Sardhatrisatikalottaragama
Based on the edition by N.R. Bhatt:
Sardhatrisatikalottaragama, avec le commentaire de Bhatta Ramakantha.
Pondicherry : Institut Francais d'Indologie 1979.
(Publications de l'Institut Francais d'Indologie, 61)



Input by Dominic Goodall, corrected by Yang Mei



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akÃraæ hyÃtmasambhavam  Stk_2.6d
vaÓo vai maï¬alÅ bhavet  Stk_16.14d
vaÓyoccÃÂanamÃraïe  Stk_16.3b
vahnimadhyaæ tata÷ param  Stk_21.10b
vÃnaprastho 'tha bhaik«uka÷  Stk_23.23b
vÃmago 'tha paro bindu÷  Stk_13.17c
vÃmadak«iïasaæsthitam  Stk_11.5b
vÃmadevo yaju÷ sm­ta÷  Stk_22.13d
vÃmo vi«ïu÷ prakÅrtita÷  Stk_22.15b
vÃmo hyÃpa÷ prakÅrtita÷  Stk_22.12b
vÃyunÃ yÃvadÅpsitam  Stk_11.12b
vÃyubindusamanvitam  Stk_21.14d
vÃyurÃkÃÓameva ca  Stk_8.1d
vÃyustatpuru«a÷ sm­ta÷  Stk_22.12d
vÃyu÷ ÓÃnti÷ prakÅrtita÷  Stk_8.6d
vÃruïapatre vÃruïo mÃrutpatre gato marudbhÃvam  Stk_10.26/b
vÃruïena tu buddhimat  Stk_21.17d
vÃruïena tu buddhimÃn  Stk_21.21d
vÃruïe srotasi sthitam  Stk_21.7d
vÃhayetpaÓcimadvÃram  Stk_7.5a
vikasatyetadÆrdhvaæ tu  Stk_11.16a
vighne«u pÃÓajÃle«u  Stk_3.8c
vicarettu yathÃsukham  Stk_23.22d
vij¤Ãnaæ kevalaæ sthitam  Stk_2.4d
vij¤Ãya pÆrvamÃdhÃraæ  Stk_17.2a
viditvÃ vyÃpinaæ jÅvaæ  Stk_20.6a
vidyÃtattvamukÃraæ tu  Stk_2.7a
vidyÃdukÃrajaæ vÃmam  Stk_22.8c
vidyÃdharasamo bhavet  Stk_16.16b
vidyÃ nÃma kalÃ sÃ tu  Stk_13.3c
vidyÃæ tejo vijÃnÅyÃd  Stk_8.6c
vidhÃnaæ parikÅrtitam  Stk_7.10b
vidhÃya mÆrdhni k«iptasya  Stk_14.3a
vidhisnÃnaæ tata÷ kuryÃn  Stk_4.2c
vidhihÅnÃ÷ «a¬Ãnana  Stk_8.22b
vidhiæ prÃpnoti pu«kalam  Stk_8.21d
vinyasedanupÆrvaÓa÷  Stk_7.6d
vibhÃgaæ cÃsya vak«yÃmi  Stk_22.7c
vibhÃgÃ daÓa prÃïasya  Stk_11.8c
vibhÃgo jÃyate yathÃ  Stk_10.15d
viyuktÃ nirahaæk­tÃ  Stk_8.40d
viÓe«o 'tra vidhÅyate  Stk_21.19b
vi«ayaæ vaÓamÃnayet  Stk_16.14b
vi«ayÅ vi«ayÃsakto  Stk_23.24a
vi«asaæharaïaæ caiva  Stk_21.2c
vi«aæ saæharati dhruvam  Stk_21.18b
vi«uvatsamprayogeïa  Stk_8.27c
vi«uvatsamprayogeïa  Stk_8.36c
vi«uvadyogasaæyutam  Stk_8.30d
vi«ïubÅjaæ prati«Âhitam  Stk_13.12d
visargastena cocyate  Stk_13.20b
visarga÷ pÆraïaæ prati  Stk_10.7b
visargÃcca bhavets­«Âi÷  Stk_13.22c
visargÃjjÃyate s­«Âir  Stk_13.19c
vis­«Âaæ yena tadbÅjaæ  Stk_13.20a
vis­«Âo ya÷ sa ÓambhunÃ  Stk_13.18d
vistaraæ tyaja deveÓa  Stk_8.33c
vistarÃdvastusÃdhanam  Stk_1.1d
vist­taæ tu tadeva tat  Stk_22.18b
visphuliÇgaÓikhÃnvitam  Stk_13.8d
v­k«asyÃlabhanaæ tathÃ  Stk_21.1d
v­k«aæ tu sakalaæ vidyÃc  Stk_23.6c
v­thÃ pariÓramastasya  Stk_8.5c
vairÃgyaæ ca tathaiÓvaryam  Stk_5.3a
vau«a¬antena nik«ipet  Stk_8.42f
vyÃno vinÃmayatyaÇgaæ  Stk_10.12a
vyÃno vyÃdhiprakopana÷  Stk_10.12b
vyÃpakaæ vyÃpakasya tu  Stk_20.8f
vyÃpanÃdvyÃna ucyate  Stk_10.12d
vyÃpinaæ sarvatomukham  Stk_1.18d
vyÃptaæ nÃbhe÷ samantata÷  Stk_10.2d
vyÃptiÓcÃsya mayÃ proktÃ  Stk_20.8c
vyÃptistasya ca kÅd­ÓÅ  Stk_22.1b
vyÃv­tenaiva vaktreïa  Stk_19.8a
vyomavyÃpÅ sadÃÓiva÷  Stk_22.14d
Óaktigarbho maheÓvara÷  Stk_13.14d
Óakticatu«ÂayapaÇkajamadhye puru«o 'liriva sa lÅna÷  Stk_10.19/b
Óaktidehaæ nira¤janam  Stk_13.15d
ÓaktinyÃsaæ tato darbhair  Stk_6.2a
Óaktibhi÷ kesaravyÆhaæ  Stk_5.3c
Óaktibhi÷ sampuÂÅk­tya  Stk_8.42e
ÓaktiraÓmisamÆhena  Stk_13.21a
Óaktireva Óive pade  Stk_8.4d
Óaktiæ ya÷ prerayettu tÃm  Stk_8.35d
ÓaktyÃ tu nÅyate jÅvas  Stk_23.13c
ÓaÇkhavÃditrani÷svanai÷  Stk_9.5b
ÓaÇkhinÅ daÓamÅ sm­tÃ  Stk_10.4d
Óatama«Âottaraæ japtvÃ  Stk_9.3c
ÓatarudrÃvadhistathÃ  Stk_8.3b
ÓataÓo 'tha sahasraÓa÷  Stk_13.21b
Óatai÷ pa¤cabhirudghÃtair  Stk_21.19a
Óatai÷ pa¤cabhirudghÃtai÷  Stk_21.11a
Óatai÷ saptabhirudghÃtair  Stk_21.7a
Óabdastatra tu jÃyate  Stk_13.7d
Óabda÷ sparÓaÓca rÆpaæ ca  Stk_17.4c
ÓabdÃdiguïavÃyubhi÷  Stk_8.37d
ÓarÅraæ kÅd­Óaæ tasya  Stk_22.1c
ÓarÅraæ Óo«ayedvatsa  Stk_3.8a
ÓareïÃstreïa saæyutÃ÷  Stk_8.28d
ÓÃntirvidyÃ prati«ÂhÃ ca  Stk_13.9c
ÓÃntistadÆrdhvamadhvÃnte  Stk_8.4c
ÓÃntiæ vai kavacena tu  Stk_8.8d
ÓÃntyatÅtaæ paraæ vyoma  Stk_8.9a
ÓÃntyatÅtÃ bhavedvyoma  Stk_8.7a
ÓÃÓvataæ dhruvamavyayam  Stk_13.11d
ÓÃstrad­«Âena karmaïÃ  Stk_7.1d
ÓÃstraæ paramadurlabham  Stk_1.4b
ÓikhayÃ muktidaæ sm­tam  Stk_1.13b
ÓikhÃæ kavacameva ca  Stk_2.12b
Óiro 'psu tejasi ÓikhÃæ  Stk_2.2c
Óivajaptaæ t­tÅyakam  Stk_3.3d
Óivajaptena tÅrthaæ tu  Stk_3.4c
Óivaj¤ÃnÃm­taæ prÃpya  Stk_23.18a
Óivatattvaæ prakÅrtitam  Stk_19.3d
Óivatattvaæ makÃrajam  Stk_2.7b
Óivabhedo '«ÂadhÃ sthita÷  Stk_19.1b
ÓivavaktrÃdvini÷s­tam  Stk_23.19b
ÓivavidyÃtmakairyathÃ  Stk_13.9b
ÓivasÃyujyamÃpnuyÃt  Stk_22.4d
Óivaæ tattu vijÃnÅyÃn  Stk_1.11c
Óivaæ tvanÃdinidhanaæ  Stk_13.16a
ÓivÃÇgÃni nyasettata÷  Stk_7.7b
ÓivÃdisarvamantrÃæÓca  Stk_6.4c
ÓivÃm­taæ mayÃ khyÃtaæ  Stk_23.22a
Óivo vidyÃæ tu ÓikhayÃ  Stk_8.8c
Óukra÷ skando bh­gustathÃ  Stk_22.5d
Óubhanak«atradivase  Stk_9.4c
ÓÆnyamarutsaædaæÓakag­hÅtakaraïÃtmako hyubhayato 'pi  Stk_10.20/a
ÓÆnyaæ taæ tu vijÃnÅyÃd  Stk_19.5c
ÓÆnyaæ dehÃntarasthitam  Stk_20.7d
Ó­ïu «aïmukha tattvata÷  Stk_23.14b
Ó­ïu «aïmukha tattvena  Stk_8.34c
Ó­ïu «aïmukha tattvena  Stk_23.1a
ÓodhanÃnukramaæ deva  Stk_8.14a
ÓvapacÃnapi dÅk«ayet  Stk_8.7d
ÓvÃsenaikena yogavit  Stk_11.14b
«aÂÓatÃni tathaiva ca  Stk_11.10b
«a¬antena samanvitam  Stk_19.3b
«a¬varïarahitaæ Óivam  Stk_19.4d
«aïmÃsÃjjÃyate m­tyur  Stk_18.4a
«aïmÃsÃtprÃpnuyÃtsiddhiæ  Stk_15.1c
«aïmÃsÃtsiddhimÃpnuyÃt  Stk_15.3d
«aïmÃsaistu na saæÓaya÷  Stk_15.2d
«a«Âhamasya dvitÅyaæ tu  Stk_1.12a
«a«Âhaæ tu yatparaæ tattvam  Stk_22.16c
«a«Âhaæ trayodaÓÃntaæ ca  Stk_1.11a
«a«Âhaæ vai prathamasya tu  Stk_19.11b
sakalaæ ni«kalaæ ÓÆnyaæ  Stk_19.2a
sakalaæ sarvabhÆtasthaæ  Stk_19.3c
sakala÷ paripaÂhyate  Stk_23.10b
sakale ni«kalo bhÃva÷  Stk_23.7a
sakale sakalo bhÃvo  Stk_23.8a
sak­jjaptena saæg­hya  Stk_3.1c
sak­jjaptvÃ tu saæhitÃm  Stk_3.2b
sa jÅvati punarv­k«o  Stk_21.8a
sa jÅvo jÅvalokasya  Stk_10.16c
sa jÅvo jÅvalokasya  Stk_11.1a
sa jÅvo jÅvalokasya  Stk_11.19e
satyaæ satyamidaæ tava  Stk_23.22b
sadÃ yojyaæ vicak«aïai÷  Stk_3.8d
sadÃ yo nandati svayam  Stk_17.3d
sadÃÓivapadaæ gatvÃ  Stk_11.19a
sadya utkramaïaæ katham  Stk_8.25d
sadyastu p­thivÅ j¤eyo  Stk_22.12a
sadya÷ kalÃ«Âasaæyuktam  Stk_22.8a
sadya÷prÃïahareïa tu  Stk_11.17b
sadyojÃtastu ­gvedo  Stk_22.13c
sadyojÃtastu vai brahmÃ  Stk_22.15a
saptamasya dvitÅyakam  Stk_19.10b
saptamÃttricaturthakam  Stk_19.10d
saptavargÃ«Âamaæ koÂi÷  Stk_19.10a
sabÃhyantaraæ k­tvÃ  Stk_2.15c
sabÃhyÃbhyantaraæ puna÷  Stk_8.40b
sabÃhyÃbhyantare sthita÷  Stk_23.4d
samayai÷ parivarjitÃ÷  Stk_8.29b
samartha÷ sarvakarmasu  Stk_17.2d
samaæ nayati gÃtre«u  Stk_10.10c
samÃdhiæ m­tyunÃÓanam  Stk_2.9b
samÃno nÃma mÃruta÷  Stk_10.10d
samÃsÃtkathita÷ sarvo  Stk_1.14c
sampÆrïakumbhavatti«Âhet  Stk_11.13c
sarva i«ÂÃ na saæÓaya÷  Stk_22.10d
sarvakarmÃïi kÃrayet  Stk_6.3d
sarvakÃmÃrthasÃdhanam  Stk_5.6b
sarvakÃmÃrthasÃdhikÃ  Stk_1.16b
sarvagandhopaÓobhitam  Stk_9.3b
sarvaj¤aæ ca tadÃtmÃnaæ  Stk_2.11c
sarvaj¤Ãne«u cottamam  Stk_5.6d
sarvatattvÃni tatraiva  Stk_8.2c
sarvatantre«u sÃmÃnyaæ  Stk_5.6c
sarvata÷ kimapi sthita÷  Stk_23.2d
sarvatraiva vyavasthita÷  Stk_23.7b
sarvadehe«u vartate  Stk_20.3b
sarvadehe«u vartate  Stk_20.4b
sarvapÃpak«ayo bhavet  Stk_15.2b
sarvapÃÓanik­ntanam  Stk_1.13d
sarvabhÆte«u tattvavit  Stk_21.13b
sarvabhÆte«vavasthitam  Stk_1.5b
sarvamantrapravartikÃm  Stk_13.2b
sarvavyÃpÅ na saæÓaya÷  Stk_20.4d
sarvasiddhipradaæ Óubham  Stk_7.2d
sarvaæ nigaditaæ prabho  Stk_14.1b
sarvÃÇgÃïi tvajÃtena  Stk_4.4a
sarvÃvastho 'pi mÃnava÷  Stk_23.24d
sarve cÃmoghaÓaktaya÷  Stk_22.11d
sarve proktÃ÷ prasÃdajÃ÷  Stk_22.6b
sarve«Ãæ copari sthita÷  Stk_1.10b
sarvau«adhiyutaæ k­tvÃ  Stk_9.3a
savidyeÓa÷ Óiva÷ prokto  Stk_13.10c
savisargaæ bhavedastram  Stk_1.10c
sa siddhiphalabhÃgbhavet  Stk_12.5d
sa hakÃro vakÃreïa  Stk_21.17a
sahasrodghÃtasaæyutam  Stk_21.5b
saækrÃntiritaÓcetaÓca gacchatastena samÃkhyÃtÃ  Stk_10.23/b
saækrÃntiæ vi«uvaæ caiva  Stk_11.3a
saækrÃnti÷ punarasyaiva  Stk_11.6a
saæk«epÃtkathayasva me  Stk_8.33d
saæk«epÃt kathayasva me  Stk_14.1d
saæk«epÃnna tu vistarÃt  Stk_9.1b
saæk«epÃnna tu vistarÃt  Stk_20.8d
saæk«epÃnna tu vistarÃt  Stk_23.18b
saæk«epeïa mayÃ skanda  Stk_7.10a
saædhÃnaæ caiva tattvÃnÃæ  Stk_8.20c
saædhÃnaæ caiva saæyogaæ  Stk_8.16c
saædhyÃæ vandeta sÃdhaka÷  Stk_3.6b
saæyÃti yatra neya÷ Óu«kadalaæ mÃruteneva  Stk_10.20/b
saæyogÃtsamprakÃÓeta  Stk_13.7a
saæyojakaviyojaka÷  Stk_13.21d
saæÓayo me mahÃdeva  Stk_11.1c
saæÓayo me mahÃdeva  Stk_23.13a
saæhÃraÓcaiva s­«ÂiÓca  Stk_14.1a
saæhÃrasampuÂaæ kÆÂam  Stk_14.4a
saæhÃraæ tasya tÅrthasya  Stk_3.9c
saæhÃro bindunÃ saha  Stk_13.22d
sÃ kalÃ ÓÃntirucyate  Stk_13.6d
sÃdhakasya bhavedbahvÅ  Stk_16.6c
sÃdhakÃ janmabandhanÃt  Stk_8.12b
sÃdhakÃnÃæ hitÃya vai  Stk_1.15b
sÃntaæ sarvagataæ ÓÆnyaæ  Stk_1.9a
sÃ rekhÃ madhyata÷ sthitÃ  Stk_13.13d
sÃ Óakti÷ paramÃ sÆk«mÃ  Stk_13.8a
siddhikÃma÷ samÃhita÷  Stk_12.3d
siddhiæ yÃnti na saæÓaya÷  Stk_16.10d
siddhyecca na kadÃcana  Stk_23.21d
sugandhÃmalakÃdibhi÷  Stk_3.5d
su«umnÃ ca t­tÅyakÃ  Stk_10.3d
su«umnÃbhinnamastakam  Stk_2.8b
su«umnÃ madhyame hyaÇge  Stk_11.7a
susamiddhe hutÃÓane  Stk_7.6b
sÆk«marekhÃ nira¤janÃ  Stk_13.5b
sÆk«maæ cintÃmayaæ bhavet  Stk_1.8b
sÆtreïa sumitaæ k­tvÃ  Stk_7.3a
sÆtre maïigaïÃ iva  Stk_8.31d
sÆryamaï¬alasaækÃÓam  Stk_2.6c
sÆryasya grahaïe vatsa  Stk_8.30c
s­jati grasati hye«a  Stk_13.21c
s­jati prabhu÷(?)  Stk_13.3b
s­«ÂinyÃsamavij¤Ãya  Stk_12.6a
s­«ÂinyÃsaæ nyasettatra  Stk_12.2a
s­«Âiæ mantralipe÷ kramÃt  Stk_13.1b
somagrahaïami«yate  Stk_11.9b
saumye saumyo bhÃvastvaiÓe tvaiÓa÷ samÃkhyÃta÷  Stk_10.27/a
sauraniyogÃddak«iïamudagayanaæ cÃndrasaæyogÃt  Stk_10.22/b
saura÷ savyo mÃrgaÓcÃndramasaÓcetara÷ samÃkhyÃta÷  Stk_10.24/a
sthÃpanaæ pÃdyamarghyaæ ca  Stk_5.4c
sthito dehe tu kÃ«Âhavat  Stk_19.5b
sthÆlabhedÃstraya÷ proktÃ  Stk_16.3a
sthÆlaæ Óabda iti proktaæ  Stk_1.8a
sthÆlaæ sÆk«maæ paraæ j¤ÃtvÃ  Stk_1.7c
sthÆla÷ sÆk«ma÷ paraÓcaiva  Stk_15.4a
snapanaæ pÆjanaæ caiva  Stk_5.5a
snÃnaæ kurvÅta «aïmukha  Stk_4.4d
snÃnaæ pÃpaharaæ Óubham  Stk_3.1b
spandatyadharaæ vaktraæ  Stk_10.11a
sravantaæ cintayettata÷  Stk_2.5d
sravantaæ cintayettasminn  Stk_12.2c
sravantaæ manasÃ smaret  Stk_8.23b
svatattve cÃhutiÓataæ  Stk_8.18a
svatantravihitaæ prÃj¤o  Stk_7.4c
svadehaæ cintayedvidvÃn  Stk_12.4a
svayaæ devo maheÓvara÷  Stk_22.13b
svareïaikena yogavit  Stk_11.11d
svasthÃnÃtsthÃna eva ca  Stk_11.6b
hakÃrÃdyantasaæsthitam  Stk_21.14b
hakÃro hrÅæ tathaiva ca  Stk_21.4b
hanti vighnÃ¤ÓivÃstreïa  Stk_1.13a
hanyÃnmu«ÂibhirÃkÃÓaæ  Stk_12.6c
hastamÃtrapramÃïata÷  Stk_7.5d
hastÃbhyÃæ saæsp­ÓetpÃdÃd  Stk_1.15c
haæsa haæseti yo brÆyad  Stk_23.3a
hitÃya sÃdhakendrÃïÃæ  Stk_9.1c
hutenaiva tu mucyante  Stk_8.12a
humphaÂkÃrasamÃyuktaæ  Stk_8.20a
humpha¬antena yojitÃ÷  Stk_8.39b
huæ phaÂ huæ phaÂ tathaiva ca  Stk_21.21b
huæpha¬antena paÂalaæ  Stk_2.3c
h­tpadmÃdyÃvattatpadmaæ  Stk_8.32a
h­tpradeÓe tu sÃ j¤eyÃ  Stk_12.1c
h­dayaæ karïikÃ padmaæ  Stk_5.2c
h­dayaæ ca ÓiraÓcaiva  Stk_2.12a
h­dayaæ bahurÆpeïa  Stk_4.3c
h­dayÃdÃvavasthita÷  Stk_22.16b
h­dayena ca kalpayet  Stk_5.3d
h­dayena tato vidvÃn  Stk_3.9a
h­dayena tu kÃrayet  Stk_5.5b
h­dayena tu «aïmukha  Stk_5.4b
h­dayena tu «aïmukha  Stk_8.18b
h­dayenÃtra tÆddhÃra÷  Stk_8.19a
h­dayenaiva kÃrayet  Stk_6.2b
h­dayenaiva mantraj¤a÷  Stk_6.3c
h­daye paÇkajamarkendvagnihiraïyadyotÃbhÃ÷ Óaktayastasmin  Stk_10.18/b
h­daye 'rcÃvidhÃnaæ tu  Stk_2.13a
h­dÃ pÆrvaæ samÃrabhya  Stk_7.9c
h­dÃ vai Óaktigarbhe tu  Stk_6.2c
h­dbÅjaæ pÃrthive yuktaæ  Stk_2.2a
h­dvyomamadhye paÇkajama«Âadalaæ karïikÃ ca tasyÃnta÷  Stk_10.18/a
homayedanupÆrvaÓa÷  Stk_6.4d
homayedanupÆrvaÓa÷  Stk_8.11b
hau ca madhye niyojitam  Stk_21.12b
hyadha Ærdhvaæ sa gacchati  Stk_17.4b
hyavicchinna÷ pravartate  Stk_23.16b
hyaukÃro haæ namastathÃ  Stk_21.16b
hyau madhye hlÅæ namaÓcÃnte  Stk_21.17c
hrasvaæ dÅrghaæ plutaæ caiva  Stk_16.1c
hrasvo dahati pÃpÃni  Stk_16.2a
hrÆækÃraæ tadanantaram  Stk_21.19d
hrauæ hrÆæ ca phaïïamaÓcÃnte  Stk_21.20a

