Srikantha: Ratnatrayapariksa 
Based on the ed. by Vajravallabha Dvivedi's edition:
Astaprakaranam
Varanasi : Sampurnanand Sanskrit University, 1988.
(Yogatantragranthamala, 12)


Input by Dominic Goodall
(not proofread)


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akriyÃpi kriyÃ tathÃ  SRtp_192b
vÃcyamantrÃtmako mata÷  SRtp_104b
vÃmadevo hyadhi«ÂhÃtÃ  SRtp_104a
vÃmÃdÅni yathottaram  SRtp_25d
vikaroti tathÃkhilam  SRtp_178d
vikaroti yathÃ lolai÷  SRtp_189c
vikaroti vicitrÃbhir  SRtp_188a
vikarotyanileraïÃt  SRtp_177d
vikalpamavalokayan  SRtp_65d
vikalpavi«ayÃvapi  SRtp_211d
vikalpo bindusaæk«obhÃc  SRtp_259a
vikÃrarahito mata÷  SRtp_51d
vikÃrÃnavikÃriïÅ  SRtp_244d
vikÃritvÃdyathÃ kumbhas  SRtp_33a
vikÃritve ja¬Ãnitya-  SRtp_52a
vikÃsÃtmÅyaÓaktaya÷  SRtp_27d
vicÃrÃllÆnamÆlatvÃd  SRtp_205c
vicitrapariïÃmata÷  SRtp_38b
vicitrai÷ pariïÃmaistair  SRtp_123c
vijÃnÃti karoti ca  SRtp_120b
vij¤ÃnakevalÃstredhÃ  SRtp_141c
vij¤Ãnaæ Óivasaæj¤itam  SRtp_291d
vij¤ÃnÃdi karoti yat  SRtp_275b
vij¤ÃnendukalÃnvita÷  SRtp_281b
vij¤eyÃ÷ saptaviæÓati÷  SRtp_105d
vij¤eyo vaÂayak«avat  SRtp_207d
vidadhad vividhÃnalpa-  SRtp_135a
vidadhÃti Óiva÷ Óakter  SRtp_132c
vidadhÃti Óiverita÷  SRtp_123d
vidadhÃtyakhilaæ citi÷  SRtp_122b
vidu«Ãmapi nÅlo«ïa-  SRtp_236c
viddhavij¤ÃnapÆrvakam  SRtp_66d
vidyÃ kalÃ ca kÃlaÓca  SRtp_105a
vidyÃj¤ÃnÃtiriktayo÷  SRtp_130d
vidyÃyÃæ sapta puru«o  SRtp_104c
vidyÃvidyÃdhipataya÷  SRtp_24a
vidyÃvidyeÓvarÃtmanÃm  SRtp_158b
vidyÃÓakti÷ parÃ nÃdo  SRtp_71a
vidyÃÓarÅro bhagavÃn  SRtp_47c
vidyÃ ÓÃntiÓca pa¤camÅ  SRtp_86d
vidyeÓÃ÷ Óivatejasa÷  SRtp_26d
vidyeÓvaraniyojyÃste  SRtp_25a
vidhÃtÃ kamalasyo«ïa-  SRtp_312a
vinÃÓotpattimattvÃbhyÃæ  SRtp_34a
vipulÃpi pragalbhate  SRtp_17d
vibhinnÃ Óaktiri«yate  SRtp_303d
vibhÆterÅÓvarasya yat  SRtp_293d
vimukte cÃïave male  SRtp_254d
vimucyerann­te bindos  SRtp_142a
virodhenÃtha paryÃyÃn  SRtp_296c
vilÅnÃ cittasaæÓrayÃ  SRtp_83d
vivartabhidurodayÃ  SRtp_184b
vivartabhedo yujyerann  SRtp_248c
vivartamÃnÃ jÃteti  SRtp_237c
vivartamÃnÃ tairbhÃvair  SRtp_232c
vivarta÷ khalu cicchakter  SRtp_242a
vivarta÷ syÃt kathaæ cite÷  SRtp_240d
vivartollÃsaÓÃlinÅm  SRtp_203b
vividhopÃdhisambandha-  SRtp_184a
viÓi«Âaæ kathayet katham  SRtp_221b
viÓi«Âe paramodÃra-  SRtp_146a
viÓi«Âairja¬avastubhi÷  SRtp_248b
viÓi«Âaiva vivartÃya  SRtp_251a
viÓuddhatvÃdata÷ siddha÷  SRtp_149a
viÓuddhamanumÅyate  SRtp_174b
viÓuddhasyÃdhvana÷ siddhir  SRtp_159c
viÓuddha÷ Óivakart­ka÷  SRtp_32b
viÓuddha÷ ÓivaÓÃsane  SRtp_153d
viÓuddhiritarÃÓrayÃ  SRtp_166b
viÓe«asm­tipÆrvakam  SRtp_227b
viÓe«asyaiva sannidhau  SRtp_187b
viÓe«Ãnupalabdhita÷  SRtp_232b
viÓe«ÃnnityarÆpayÃ  SRtp_187d
viÓe«aikasvarÆpiïÅ  SRtp_194d
vi«ayaæ sÃ tu darÓayet  SRtp_256b
vi«ïu÷ kÃraïamucyate  SRtp_101d
vistaro 'traiva vak«yate  SRtp_49d
viæÓatistatra saækhyayÃ  SRtp_101b
vÅrabhadrasya copari  SRtp_92d
v­ttayo bandhanÃtmikÃ÷  SRtp_81b
v­ttibhi÷ sthagayanniva  SRtp_188b
v­ttimatsvanyathÃ bhavet  SRtp_65b
v­ttireva matÃ bindo÷  SRtp_68a
vedÃntaiÓca kulÃmnÃyais  SRtp_14a
vaikharÅ madhyamÃbhikhyÃ  SRtp_72c
vaikharÅ Órotraje bodhe  SRtp_82c
vaikharyÃdivibhedata÷  SRtp_46d
vaicitryamapi bhogasya  SRtp_55a
vaicitryaæ candanÃdaya÷  SRtp_55d
vyabhicÃravivarjitam  SRtp_227d
vyavahÃrastu bhedÃtmÃ  SRtp_207c
vyÃpako bhuvanÃdÅnÃm  SRtp_118c
vyÃptatvÃnnÃdabinduvat  SRtp_126b
vyÃptigrahaïasambandhe  SRtp_229c
vyÃptirÃptapadÃrthÃtma-  SRtp_121a
vyÃptiæ tasyÃbhidhÃsyÃmi  SRtp_90a
vyÃptau sÃdhyaæ na sÃdhayet  SRtp_224d
vyÃpnoti kÃryamÃtmÅyaæ  SRtp_179a
vyomÃnÃhatamityapi  SRtp_71d
Óaktayo 'nye viÓerate  SRtp_285b
ÓaktipÃtapavitritai÷  SRtp_12b
ÓaktipÃtoditÃtmabhi÷  SRtp_9d
ÓaktimÃnÃhitodyoga÷  SRtp_265c
ÓaktimÃniti cenmatam  SRtp_144b
ÓaktirapratighodÃra-  SRtp_182c
ÓaktirÃÓayata÷ Óambho÷  SRtp_298a
ÓaktirekÃ hi ÓÆlina÷  SRtp_276b
Óaktireva kriyÃtmikÃ  SRtp_133d
Óaktire«Ã mahÅyasÅ  SRtp_255d
Óakterasati bandhane  SRtp_256d
ÓaktervyÃpnoti cÃkhilam  SRtp_178b
Óabdatattvamagho«Ã vÃg  SRtp_70c
ÓabdabrahmÃtmako ravi÷  SRtp_79d
ÓabdarÃÓiÓca bindÆttho  SRtp_172c
ÓabdarÃÓerabhÆdasau  SRtp_172b
ÓabdasaæskÃrapÆrvakam  SRtp_209d
ÓabdÃnuvedhena sadÃ  SRtp_170a
Óambho÷ sÃ samavÃyinÅ  SRtp_304d
ÓarÅrÃdi tathÃ nÃsau  SRtp_197c
ÓarÅrÃdisamanvitam  SRtp_43d
ÓarÅreïendriyeïa ca  SRtp_153b
ÓarÅrendriyagocarai÷  SRtp_173d
ÓarÅrendriyasaæyuktaæ  SRtp_159a
ÓÃntoditaprapa¤cÃdi-  SRtp_184c
ÓÃntau tu trÅïi tattvÃni  SRtp_109c
ÓÃntyatÅtÃ ca pa¤cÃdhva-  SRtp_116c
ÓÃntyatÅtÃ÷ kalÃ etÃ  SRtp_87a
ÓÃÓvataæ ÓivamÃÓritÃ  SRtp_199b
ÓÃstroktenaiva karmaïÃ  SRtp_239d
ÓikhÃghorau vyavasthitau  SRtp_106d
Óiro vÃmaÓca mantrau dvau  SRtp_101c
Óiva evÃptimÃn yata÷  SRtp_10b
ÓivatattvÃtmakaæ tatra  SRtp_115a
ÓivaÓaktisamÅrita÷  SRtp_307d
ÓivaÓaktyorviÓuddhyaiva  SRtp_163a
ÓivaÓÃstroditena ca  SRtp_238d
Óivasya ÓaktirÃkrÃntÃ  SRtp_167a
Óivasya samavÃyinÅ  SRtp_180d
Óivasya samavÃyinÅ  SRtp_273b
ÓivasyÃnÃhitÃpÆrva-  SRtp_187a
ÓivasyÃnupamÃkhaï¬a-  SRtp_137c
ÓivasyÃvyabhicÃriïÅ  SRtp_278b
Óivasyaiva vij­mbhate  SRtp_255b
Óiva÷ sadÃÓivo 'dhÅÓo  SRtp_182a
ÓivÃnÃmasamaiÓvarya-  SRtp_57c
ÓivÃnye tvaÓivÃ matÃ÷  SRtp_11d
ÓivÃrkakarasamparka-  SRtp_27c
ÓivÃstreÓÃnaÓabditÃ÷  SRtp_116b
Óive j¤ÃnakriyÃtmike  SRtp_127d
Óivena nibh­tÃtmÅya-  SRtp_285a
Óivena balaÓÃlinÃ  SRtp_274b
Óuddhayormalakarmaïo÷  SRtp_174d
ÓuddhÃdhvÃ copabhuktaye  SRtp_149b
ÓuddhiÓca tÃd­ÓÅ j¤eyÃ  SRtp_165c
Óuddhe 'dhvani Óiva÷ kartÃ  SRtp_289a
ÓuddhyÃ ÓuddhirmatÃdhvasu  SRtp_162b
ÓeyÃdhi«ÂheyakÃryÃdau  SRtp_294a
ÓaivÅ Óakti÷ patatyaïo÷  SRtp_315d
ÓrÅrÃmakaïÂhasadv­ttiæ  SRtp_322c
Órutayo dvaitamÃtmanÃm  SRtp_225b
ÓrotavyametadÃptoktyÃ  SRtp_9a
«aÂkoïoditamalpÃnta-  SRtp_111c
«aÂpa¤cÃÓat purÃïi ca  SRtp_100b
«a¬vidho 'dhvÃ kalÃdika÷  SRtp_125d
«o¬aÓa svarasaæj¤itÃ÷  SRtp_115d
«o¬hÃ bhavedayaæ tattva-  SRtp_141a
sa kartÃ pariïÃminÃm  SRtp_64d
sakala÷ sarvapÃvana÷  SRtp_282d
sakalÃïÆpabhogyatvÃt  SRtp_42c
sa ca tasyÃstatastathÃ  SRtp_298b
sa tayÃ ja¬amÃkramya  SRtp_264a
sa tayÃ ramate nityaæ  SRtp_268a
sa tayoreva kiÇk­ta÷  SRtp_253b
sati bÃhye tadaj¤Ãnaæ  SRtp_258a
sa tu ÓabdaÓcaturdhÃ vÃg-  SRtp_46c
sattve kÃraïaÓÆnyatvÃd  SRtp_200c
sadavasthaæ hi vastvekaæ  SRtp_37c
sadÃÓivapadaæ mahat  SRtp_148b
sadÃÓivapadaæ yogÃc  SRtp_147a
sadÃÓivamadhi«ÂhÃt­-  SRtp_31a
sadÃÓivamaheÓvarÃn  SRtp_279d
sadÃÓivasamÃv­ta÷  SRtp_279b
sadÃÓivÃditattvaugho  SRtp_32c
sadÃ ÓuddhiprasaÇgata÷  SRtp_163b
sadopahitabhÃvena  SRtp_301a
sadyojÃto 'dhidevatÃ  SRtp_97d
santo 'nye ÓÃÓvatÅ satÅ  SRtp_201b
sannidherupakÃraka÷  SRtp_122d
sapak«apak«ayorbhede  SRtp_217a
sa parasparasambaddhaÓ  SRtp_243a
sa punÃti d­ÓÃ vÃcÃ  SRtp_319a
sa bindurbahuv­ttika÷  SRtp_54b
sa bindu÷ paranÃdÃkhya÷  SRtp_22c
sa bindoravatÅryÃïu-  SRtp_279a
sabÅjÃbÅjalak«aïam  SRtp_19d
samavÃya÷ kathaæ Óive  SRtp_136d
samavÃyena tÃdÃtmyÃn  SRtp_199c
samavetÃ Óive bindur  SRtp_134a
samavaiti Óive tata÷  SRtp_126d
samÃliÇgya mahÃmÃyÃm  SRtp_285c
samÃÓraya÷ sa vij¤eya÷  SRtp_289c
samÃÓrityÃdhvamÆrdhani  SRtp_286d
samuddh­tya satÃæ dhartuæ  SRtp_2c
samudyukta÷ sadÃÓiva÷  SRtp_268b
samudyoge«u lak«yate  SRtp_83b
samp­ktÃ cidaïoryena  SRtp_53c
sampre«ayannaÓe«Ãdhva-  SRtp_280a
sammohÃyaiva kevalam  SRtp_231d
saridvÃnabhisambandhÃd  SRtp_189a
sargÃya sthitaye sra«Â­-  SRtp_308a
sarvaj¤ÃnakriyÃrÆpÃ  SRtp_276a
sarvaj¤Ã balaÓÃlina÷  SRtp_51b
sarvata÷ saæh­tikramÃt  SRtp_76b
sarvathaivÃm­taprÃpte÷  SRtp_170c
sarvadÃvyabhicÃriïÅ  SRtp_120d
sarvanyÃyavirodhinÅ  SRtp_205b
sarvabhÆtÃntaracara÷  SRtp_79c
sarvamÃkramya ca tayÃ  SRtp_120a
sarvaæ cediha vij¤Ãtam  SRtp_67a
sarvaæ Óabdena jÃyate  SRtp_85b
sarvÃdhvaprak­ti÷ parÃ  SRtp_163d
sarvÃn sÃdhakacittasthÃn  SRtp_20c
sarvÃrthadyotikÃ Óakti÷  SRtp_255a
sarvÃrthavyÃpakastayo÷  SRtp_291b
sarvÃvaraïanirmuktÃ  SRtp_255c
sarvÃÓuddhÃdhvakÃraïam  SRtp_157b
sarvÃstikabahi«k­ta÷  SRtp_139b
sarve«Ãmaviveko 'yam  SRtp_247a
sa varjanÅyo vidvadbhi÷  SRtp_139a
savÃrthadyotako yena  SRtp_109a
savikalpakabuddhi«u  SRtp_58d
savikalpakabodhavÃn  SRtp_61d
savikalpakamanyathÃ  SRtp_66b
savikalpakavij¤Ãnaæ  SRtp_46a
savikalpamasandigdhaæ  SRtp_227c
savikalpaæ vijÃnÃmÅty  SRtp_67c
savikalpÃ hi d­Óyate  SRtp_70b
sasukheti sadu÷kheti  SRtp_245c
sahasrakiraïadyuti÷  SRtp_111d
sahasreïÃpi tarkayan  SRtp_234b
sa hi tÃdÃtmyasambandho  SRtp_137a
sa hi deva÷ samÃv­tya  SRtp_119c
saækalpasya praÓÃntatvÃc  SRtp_113a
saækalpo 'rthaprasiddhaye  SRtp_103b
saækalpo vinivartate  SRtp_96d
saækalpo 'Óe«agocara÷  SRtp_108d
saæk«epeïa prakÃÓita÷  SRtp_322f
saækhyayÃ saptakoÂaya÷  SRtp_25b
saæj¤Ã syÃdapi cidghane  SRtp_298d
saævidÃÓrayate ÓaÓvac-  SRtp_263c
saævidevÃsti kevalam  SRtp_206d
saæskÃrÃ÷ sm­tiliÇgÃ hi  SRtp_60a
saæskÃro 'dhyak«abhÃvata÷  SRtp_59d
sÃkÃrakÃraïÃmÃtma-  SRtp_90c
sÃ tasya vik­tistena  SRtp_126a
sÃ tasya vik­ti÷ proktÃ  SRtp_125a
sÃ tu ÓuklÃrdhacandrÃbhÃ  SRtp_102a
sÃ tu saævidaÓe«Ãrtha-  SRtp_290a
sÃ tu saævedavij¤ÃtÃ  SRtp_233a
sÃ tu sphuradanekÃrcis  SRtp_107c
sÃdÃkhyÃ tanurucyate  SRtp_273d
sÃdharmyaæ tadabhÃvata÷  SRtp_217d
sÃdhÃrÃÇkÃdhidevatÃm  SRtp_90b
sÃdhyasiddhirbhavedata÷  SRtp_231b
sÃdhyeta taireva d­¬haæ  SRtp_214c
sÃpek«eïaiva tena yat  SRtp_55b
sÃ bhÃti binduÓÃntyÃdi-  SRtp_270c
sÃ bhogasÃdhanopÃya-  SRtp_169c
sÃmÃnye siddhasÃdhanÃt  SRtp_229d
sÃ vidhÃtrÅ padÃrthÃnÃæ  SRtp_209a
siddhÃnta eva siddhÃnta÷  SRtp_11a
siddhÃnta÷ sevita÷ sadbhir  SRtp_20a
siddhÃnta÷ sevyate sadbhi÷  SRtp_12a
siddhÃntÃgamadÃyibhi÷  SRtp_213d
siddhÃntena vinÃ svayam  SRtp_18d
siddhyasiddhÅ ca sambhÆya  SRtp_216c
siddhyet siddhÃvapi dhruvam  SRtp_219d
siddhyai vyÃptyupab­æhitÃ÷  SRtp_215d
subhagÃ÷ svadhikÃrakÃ÷  SRtp_277d
suvarïamiva karmÃraæ  SRtp_44c
sÆk«mÃ kalÃditattvÃnÃm  SRtp_156c
sÆk«mÃ vÃganapÃyinÅ  SRtp_77b
s­jatyavati hanti ca  SRtp_264b
seyaæ kriyÃtmikÃ Óaktir  SRtp_167c
seyaæ kriyÃtmikÃ Óakti÷  SRtp_278a
seyaæ bhrÃntiranÃlambÃ  SRtp_205a
saiva mÆrti÷ kriyÃbhedÃt  SRtp_273c
saivonmi«antÅ samprÃpta-  SRtp_267a
sai«Ã caturvidhÃ v­ttir  SRtp_85c
sai«Ã vikalpavij¤Ãna-  SRtp_45a
sai«Ã ÓivÃÓrayÃ Óaktir  SRtp_190a
so 'yamÃtmani tattvaugham  SRtp_134c
sthÃne«u vidh­te vÃyau  SRtp_73c
sthÆlÃ sÆk«mÃ paretyasau  SRtp_155b
sphÅtÃni nava jÃtÃni  SRtp_26a
smÃritÃrthaviÓe«ata÷  SRtp_220d
sm­tisaÇkalpavanmatam  SRtp_210d
syÃdavasthÃviÓe«ata÷  SRtp_307b
syÃde«a kalpitÃneka-  SRtp_143c
srotasÃæ jyÃyasi prabho÷  SRtp_16b
svani«Âhaghanacinmaya÷  SRtp_289d
svaparÃmarÓavÅryeïa  SRtp_169a
svabhÃvalalitÃ÷ priyÃ÷  SRtp_131d
svayamprakÃÓÃ paÓyantÅ  SRtp_76c
svarÆpajyotirevÃnta÷  SRtp_77a
svarÆpÃ mÆrdhapaÇkaje  SRtp_117b
svav­ttibhedasambhedair  SRtp_59a
svaÓaktyÃnanyabhÆtayÃ  SRtp_119d
svasaævedyÃ cidavyayÃ  SRtp_261d
svÃtmani pravilÅyante  SRtp_284c
svÃtmano 'tyantabhinnayÃ  SRtp_305d
svÃtmÃnaæ darÓayatyaïo÷  SRtp_245d
svÃbhÃvikÅ ca tanmÆlÃ  SRtp_305a
svena syÃdabhidhitsitÃ  SRtp_221d
svotthairnibaddhyate tasmÃc  SRtp_212a
hÃdiÂÃntÃ vilomata÷  SRtp_99d
h­tkaïÂhaÓravaïe sadÃ  SRtp_2d
hetubhi÷ sÃdhyate kintu  SRtp_13c
heturdevo maheÓvara÷  SRtp_306d
hetu÷ parikara÷ paÓo÷  SRtp_171d
hetÆnapi kutarkÃndha-  SRtp_19a
hetÆnapi parÅk«Ãyai  SRtp_17a
hemnastu makuÂo yathÃ  SRtp_125b
