CUMULATIVE PADA INDEX OF METRIC SAIVA TEXTS


Contributors:
Dominic Goodall, Reinhold Gruenendahl, Oliver Hellwig, 
Harunaga Isaacson, Nibedita Rout, S.A.S. Sarma,R. Sathyanarayanan, 
Peter Schreiner, Somadeva Vasudeva, Mei Yang
(For details see the files of the individual texts.)

         


Currently comprising the GRETIL versions of:

BhStc_ = Bhatta Narayana: Stavacintamani
CakBhst_ = Cakrapaninatha: Bhavopaharastotra 
Dka_ = Devikalottara-Agama (Devikalottaragama)
GorS(1)_ / GorS(2)_ = Goraksanatha (=Gorakhnath): Goraksasataka (2 versions)
JsSpst_ = Jnanasambhu: Sivapujastava
KubjT_ = Kubjikamatatantra
MrgT_ = Mrgendragama [or Mrgendratantra]
Saul_ = Saundaryalahari (attrib. to Samkara)
SUp_ = Siva-Upanisad
SvaT_ = Svacchandatantra [or Svacchandabhairavatantra]
ToT_ = Todalatantra
VT_ = Vinasikhatantra



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




a-u-ma-kàrasaüyuktaü  KubjT_8.59c
na tattvena vinà guõaþ  SvaT_4.338d
na tatra jàyate màrã  SvaT_10.263c
na tatra diþkhitaþ ka÷cin  SvaT_10.8c
na tatra prajapenmantraü  ToT_9.20a
na tatra màyopàdànaü  SRtp_148c
na tatra mçtyurna jarà  SvaT_10.569c
na tatra vidyate devo  KubjT_5.115c
na tat siddhipadaü bhavet  KubjT_24.170b
na tat sukhaü mahendrasya  SUp_7.130c
na tathà ÷udhyate tãrthais  SUp_5.38a
na tadasti jagatyasmin  MrgT_1,10.22a
na tadutpattimattasmàd  MrgT_1,9.6c
na tapa÷ ca mahe÷vari  VT_333d
na tam adhyàpayed guruþ  SUp_7.65d
na tamãùñe naraþ ka÷cit  MrgT_4.11a
na tasya kùarate binduþ  GorS(2)_69c
na tasya garbhasambhåtir  Stk_20.5a
na tasya jàyate mçtyur  SvaT_9.93c
na tasya jàyate mçtyur  Stk_2.9c
na tasya tiùñhate gàtre  KubjT_9.40c
na tasya dar÷anaü devi  KubjT_25.101a
na tasya yuktiþ ÷àstraü và  SRtp_138c
na tasya råpaü varõo và  SvaT_12.107c
na tasya lakùaõaü devi  KubjT_5.95c
na taü pa÷yàmi yasyàhaü  Dka_49c
na taü vilaïghayedvidvàn  SvaT_2.151c
na tàni punaranyasya  SRtp_250c
na tànutpàdayatyarthàn  SRtp_204a
na tàpayati vaikçùñyàd  MrgT_1,13.112a
na tàbhyàü sadç÷aþ ka÷cic  SRtp_10c
na tàü laïghayituü ÷aktà  SvaT_12.120c
na tithirlaukikakriyà  Dka_64b
na tiùñhann aparàïmukhaþ  SUp_7.16b
na tiùñhed guruõà saha  SUp_7.15b
na tãrthaü jalapåritam  KubjT_23.106b
na tu cinmàtravedinaþ  SRtp_257d
na tu nirviùayaü j¤ànaü  SRtp_296a
na tu vçttestatastathà  SRtp_63d
na tu vyàpakamàtràõàü  SRtp_162a
na tu ÷aktiþ paràpekùà  SRtp_299a
na tu hetvàdikaü param  SRtp_294b
na te 'tra dehinaþ santi  SUp_7.125a
na tena rahitaü ki¤cit  KubjT_11.70a
na tena rahitaü ki¤cit  KubjT_16.55c
na tena saha saübhàùà  SvaT_4.415c
na te prakçtimànuùàþ  SUp_7.139d
na te mantraprayoktàraþ  MrgT_3.28a
na te muktà bhavanti ca  SRtp_258d
na te vi÷vasya kartàraþ  SRtp_262a
na teùàmasito màrgaþ  SRtp_160c
na teùàü jàyate bodhaþ  Dka_3c
na teùàü duritaü bhavet  SvaT_10.75b
na teùàü sàdhanaü siddhir  KubjT_13.36c
na teùvavasthàbhedo 'sti  MrgT_1,13.91a
na todanàya kurute  MrgT_1,7.15a
na tyajanti niketanam  SvaT_10.975b
na tyajanti hi tà devaü  SvaT_10.1026a
natyantaü càrcane smçtam  SvaT_6.96d
na tvayà rahitaü kvacit  KubjT_2.17d
nadatãva mahatpuram  SvaT_10.589b
nadate càntaràdhàrà  KubjT_25.81c
nadate da÷adhà sà tu  KubjT_11.22a
nadate sarvabhåteùu  SvaT_10.1236a
na dattaü na mayà bhuktaü  SvaT_12.39a
nadatyasau sadà yasmàt  SvaT_11.8a
na dadhno nàpi dugdhasya  SRtp_37a
na dantakhàdanaü kuryàd  SUp_7.53c
na dantadhàvanàbhyaïgam  SUp_7.19a
nadanti kàlaråpasthà[þ]  KubjT_17.64c
na dantair da÷anàn spçùñvà  KubjT_23.161c
na-da-madhyagataü j¤eyaü  KubjT_4.84a
na daü÷ama÷akàvçte  SUp_7.86b
nadaþ ÷oõo gaïgà tapanatanayeti dhruvam amuü  Saul_54c
na dànairvividhai÷càpi  SvaT_10.732c
na dàrairna dhanairbhàgaiþ  SvaT_12.56a
na divà jàgaraü kuryàn  SvaT_7.257a
na divà pràvçta÷irà  SUp_7.60c
na dãkùità na sidhyanti  VT_319a
nadãjanapadodyàna-  SRtp_319c
nadãtaóàgavàpiùu  SUp_5.14c
nadã tu samudàhçtà  KubjT_25.83b
nadãnadasamàkãrõam  KubjT_11.52a
nadãnadahradàkãrõaþ  SvaT_10.550a
nadã puùkariõã nàma  MrgT_1,13.105c
nadãpravartanastambho  KubjT_17.36c
nadãråpàsi màïgalye  KubjT_2.111c
nadãvega ivàrõave  SvaT_4.440b
nadã vaitaraõã tathà  SvaT_10.83d
nadãsaïgamatãre và  KubjT_25.48a
nadãsamudrataraõam  SvaT_4.8a
na duùñànekasàdhyatà  MrgT_1,11.13d
na duþkhito na kopena  KubjT_23.102c
na duþkhena vinà saukhyaü  SUp_7.118a
na deyam aparãkùite  KubjT_23.62b
na deyaü duùñabuddhãnàm  KubjT_23.78c
na deyaü duùñabuddhãnàm  KubjT_24.89c
na deyaü duùñabuddhãnàü  KubjT_13.29c
na deyaü yasya kasyacit  VT_307b
na deyaü yasya kasyacit  SvaT_8.39d
na deyaü yasya kasyacit  KubjT_18.53d
na deyaü yasya kasyàpi  KubjT_7.5a
na deyà duùñabuddhãnàü  KubjT_7.80c
na deyà yasya kasyacit  GorS(2)_63 (=HYP 3.18)d
na doùas tatprasàdhane  KubjT_23.131b
na doùo vidyate priye  KubjT_5.116b
nadyastàþ ÷ailaniùkràntà  SvaT_10.312c
nadyàmbhodhisaritsaraiþ  KubjT_25.10b
nadyàs tãram udàhçtam  KubjT_25.84b
na drutaü na vilambitam  SvaT_2.139d
na dhårtavàdairlokairvà  SvaT_10.680a
na dhårtàya na nindake  KubjT_10.60b
na dhyànaü na japaþ påjà  KubjT_19.101a
na dhyeye dhàraõe tadà  MrgT_4.55d
na nakhàü÷ ca nakhair vidhyàn  SUp_7.54c
na nandaty ava÷aü priye  KubjT_18.85b
nanabhuvanavistaram  SvaT_10.683d
na nà÷ayed budho jãvàn  Dka_69c
na nidrà na kùudhà tçùà  GorS(2)_65 (=HYP 3.39)b
na nindedbhairavaü devaü  SvaT_5.44a
na niùedhati ki¤cana  SRtp_209b
na niùeveta bhartsayet  MrgT_3.78b
na nãcaiþ saüvasennnàpi  MrgT_3.64a
nanta÷aktistataþ punaþ  SvaT_4.446b
nantànàthàtvanà÷rità  SvaT_10.1252d
nandana÷ca tçtãyakaþ  SvaT_10.271d
nandanaü tu mahàvanam  SvaT_10.185d
nandanaü mànasaü tatra  MrgT_1,13.78c
nandà ca padmapatràkùã  SvaT_10.988a
nandàbhadràdiyogena  KubjT_23.8c
nandigaïge samabhyarcya  SvaT_2.25a
nandiskandamahàkàlàs  SUp_7.135a
nandã÷varamahàkàla  SvaT_10.574c
nandã÷varamahàkàlau  SUp_2.15a
nandyàvartàkçtãni ca  SvaT_10.688d
na pañastantubhirvinà  MrgT_1,9.3d
na pattrapuùpamålyàni  SUp_7.52c
na padbhyàm ullikhed bhåmiü  SUp_7.54a
na paraü ca ÷ivàtmakam  SvaT_4.389d
na pareõeùyate tathà  MrgT_1,12.15b
na pavitraü hi suvrate  SvaT_7.249b
na pa÷yati mahàyànaü  SvaT_7.273a
na pa÷yanti guõaü råpaü  KubjT_19.19c
na pa÷yanti paraü ÷ambhuü  KubjT_3.79c
na pa÷yanty akulàü tanum  KubjT_18.115b
na pa÷yedgagane 'pyetat  SvaT_7.275a
na pàõipàdavàkcakùuþ-  SUp_7.58a
na pàdadhàvanasnànaü  SUp_7.18c
na pàdau dhàvayet kàüsye  SUp_7.49a
na pàpair lipyate devi  KubjT_9.17a
na pãyåùaü pataty agnau  GorS(1)_36c
na punarjanmatàü vrajet  Stk_8.41b
na punaþ saüharanti ca  KubjT_8.96b
napuüsakaguõàntasthaü  KubjT_11.67a
napuüsakacatuùñayam  VT_56b
na peyàpeyameva ca  SvaT_7.248d
na prakà÷yaü kadàcana  ToT_9.7d
na prakriyàparaü j¤ànaü  SvaT_11.199c
na pratyakùo 'kùadhãryataþ  SRtp_208b
na prarohettu sà punaþ  SvaT_10.1142b
na pràgjàtivibhedataþ  SvaT_4.542d
na pràthamikasàdhakàþ  MrgT_3.9b
na pràptamapi karmàdi  MrgT_1,12.16a
na pràpnoti tadà tasya  SUp_6.249c
na bahir gandhamàlyàni  SUp_7.50c
na bahiþ surasundari  SvaT_10.332b
na bàhuü pçùñhato vàpi  SvaT_2.173a
na bimbaü tadbimbapratiphalanalàbhàd aruõitaü  Saul_62c
na buddheþ pariõàmo và  SRtp_60c
na bhaktir na ya÷aþ krauryaü  SUp_7.65c
na bhayaü vidyate tasya  KubjT_9.58c
na bhayaü vidyate tasya  KubjT_9.61c
na bhavaty aphalapradam  KubjT_19.44b
na bhavanti kadàcana  SvaT_10.1213d
na bhavanti kule÷varàþ  KubjT_3.119b
na bhavettadadhogatiþ  SvaT_4.410b
na bhavedatibhåyiùñhà  SvaT_4.520a
nabhasaþ ÷irasi sthità  SvaT_10.475d
nabhasyanavamã punaþ  KubjT_25.217b
nabhasye vocyamànavat  MrgT_3.129d
nabhasvànukta eva te  MrgT_1,12.31d
nabhasvàn pa÷cimottaràm  MrgT_1,13.122b
na bhu¤jànaü samàdhisthaü  MrgT_3.70a
na bhåtavàdibhi÷caiva  SvaT_10.677c
na bhåtaü na bhaviùyati  GorS(2)_45d
na bhåto na bhaviùyati  KubjT_23.162d
na bhåmau vinyaset pàdam  SUp_7.47a
na bhåyastàmratàü yàti  SvaT_10.374c
na bhåyas tàmratàü vrajet  KubjT_3.104b
na bhåyaþ paripçcchàmi  VT_331a
na bhåyaþ pravi÷etkàùñhaü  SvaT_10.372a
na bhåyo janma càpnuyàt  Stk_11.19b
na bhåyo janmabhàg bhavet  SvaT_11.36d
na bhåyo jàyate kvacit  SvaT_6.32d
na bhåyo malatàü yàti  SvaT_10.377c
na bhedaþ paramàrthataþ  KubjT_5.144d
na bhogã bhogamàpnoti  ToT_9.27a
nabhyadhastrãn prakalpayet  SvaT_3.124b
na bhràtà naiva bàndhavàþ  KubjT_3.72b
nama ã÷àya niþ÷eùa-  BhStc_25a
na madhyaü nàpyadhaþ kvacit  SvaT_11.35b
na madhyaü nàpyadhaþ kvacit  Dka_20b
na madhyaü nàpyadhaþ kvacit  Dka_38b
na madhyaü pãñhasaüyutam  KubjT_20.52b
na mantràdiprakalpanà  SvaT_3.28b
na mantràüllaïghayetkvacit  SvaT_2.173d
na mantroccàraõaü j¤ànaü  KubjT_13.78c
na mantro naiva cetanà  KubjT_5.115d
namanmårter nàbhau baliùu ÷anakais truñyatae iva  Saul_79b
na manyante kùayaïkarã  KubjT_2.112d
na mameti vimucyate  SUp_7.114d
na mayà kasyacit khyàtaü  KubjT_4.50c
na mayà rahitaü ki¤cin  KubjT_2.17c
namayeyur na dhãdhanàþ  BhStc_94d
nama÷ càkà÷amàtéõàü  KubjT_5.3a
nama÷cànte prakalpayet  SvaT_2.221d
nama÷ càmuõóe dvitãyaü syàt  KubjT_5.2c
namaskàrapurassaraþ  SUp_7.67d
namaskàrastadante tu  SvaT_4.155a
namaskàraü samuccàrya  ToT_5.22c
namaskàraü samuddhçtya  ToT_5.4a
namaskàràntayoginà  SvaT_3.180b
namaskàràntayojitam  VT_382b
namaskàràntayojitam  VT_390d
namaskàràntavyavasthitam  VT_384b
namaskàràbhivàdanam  SUp_7.87b
namaskàràvamànàü÷ca  SvaT_1.87c
namaskàràvasànakam  SvaT_1.43b
namaskàràvasànakam  SvaT_3.166d
namaskàràvasànikàm  SvaT_2.161b
namaskàràvasànikàþ  SvaT_14.27b
namaskàràvasànena  SvaT_6.51a
namaskàreõa tat pãñhaü  KubjT_25.199c
namaskàreõa påjayet  SUp_7.5b
namaskàreõa bhàmini  KubjT_4.9b
namaskàreõa sampåjya  SvaT_3.209c
namaskàreõa saüsthàpya  SvaT_4.204c
namaskàro japasyànte  VT_230c
namaskuryàt sadà gurum  SUp_7.7d
namaskuryàd guruü budhaþ  SUp_7.6d
namaskçtya guruü bhaktyà  GorS(2)_3a
namaskçtya guruü ÷ivam  GorS(1)_41b
namaskçtya tu daõóavat  SvaT_4.480b
namaskçtya mahe÷ànam  MrgT_4.18a
namastathàvidhàyàsmad-  SRtp_320c
namas te j¤ànabhairavi  KubjT_24.131d
namas te pàpamocani  KubjT_24.128d
namas te bhavasambhrànta-  BhStc_71a
namas tebhyaþ sadà namaþ  SUp_7.136d
namas tebhyo 'pi ye soma-  BhStc_13a
namaste rudra eva ca  SvaT_1.42d
namaste rudraråpebhyaþ  SvaT_1.62c
namas te ÷aktiråpiõi  KubjT_24.139d
namas te ÷aktiråpiõã  KubjT_24.120d
namas trailokyanàthàya  BhStc_100a
namaþ kçtakçtàntànta  BhStc_91a
namaþ pà÷aughasaüghañña-  CakBhst_3a
namaþ prasannasadvçtta-  BhStc_57a
namaþ ÷ivàya ÷aktyai ca  SRtp_1a
namaþ ÷i÷uni÷àkànta-  CakBhst_2a
namaþ sadasatàü kartum  BhStc_60a
namaþ såryakalàjàla-  CakBhst_1a
namaþ stutau smçtau dhyàne  BhStc_36a
namaþ svàhà tathà vauùañ  SvaT_1.72c
na màtà na pità caiva  KubjT_3.72a
namàmaþ sarvasàmànyaü  BhStc_6c
namàmi ghanaravopetàü  KubjT_22.40c
namàmi trijañopetàü  KubjT_22.39c
namàmi devadeve÷i  KubjT_24.132c
namàmi dhanasiddhaye  KubjT_22.37d
namàmi pàpa÷uddhyarthaü  KubjT_22.38c
namàmi ripunà÷anãm  KubjT_22.32d
namàmi ripumardanãm  KubjT_22.35d
namàmi ÷atrubhaïgàrthe  KubjT_22.33c
namàmyaïku÷adhàriõãm  KubjT_22.36b
na màyà ne÷varo nàõur  SRtp_39c
na muktàvapyupaplavaþ  MrgT_1,2.26b
na mukhena dhamed agniü  SUp_7.69a
na mudrà dhyàna cintanam  KubjT_13.78d
na målotpàñanaü kuryàt  Dka_70a
na me j¤àtaü kule÷àna  KubjT_14.43c
na me j¤àtaü pramàõaü tu  KubjT_6.2c
na me j¤àtà mahàprabho  KubjT_6.25b
na me bandho 'sti kaçtçtà  SvaT_12.146d
na me bandho 'sti pràkçtaþ  SvaT_12.49d
nameyuþ kaü paraü kaü và  BhStc_94c
na meùo vàmapàde tu  KubjT_24.8c
na me samàno bhuvanàntaràle  KubjT_10.94c
na mokùàya vidhãyate  SvaT_3.33b
na mokùo na ca bhukti÷ ca  KubjT_13.52c
na mokùo naiva sàdhanam  KubjT_10.146d
na mokùo vidyate teùàü  KubjT_13.56c
namo 'nantaprakà÷àya  BhStc_3c
namo 'nantaphalotpàda-  BhStc_16c
namo namaþ aiü vicce svàhà  KubjT_5.30c
namo namaþ ÷ivàyeti  BhStc_20a
namo namaþ ÷ivàyeti  BhStc_62c
namo nirupakàryàya  BhStc_42a
namo niþ÷eùadhãpatri-  BhStc_23a
namo 'ntaü praõavaü punaþ  Stk_21.12d
namo bhaktyà nçõàü muktyai  BhStc_30a
namo màtçgaõàyeti  KubjT_5.30a
namovàkaü bråmo nayanaramaõãyàya padayos  Saul_85a
namo 'stu te mahàmàye  KubjT_24.114a
na mriyante ca bàlakàþ  KubjT_9.49b
na mlecchamårkhapatitaiþ  SUp_7.85a
nayaj¤airbhåridakùiõaiþ  SvaT_10.732b
nayati drutamutpatham  SvaT_10.1140b
nayatyatra na saü÷ayaþ  Stk_22.3d
na yatheùña÷ ca saütiùñhet  SUp_7.14c
nayanàdyantarodhitam  SvaT_9.53d
nayane ca¤cale j¤eye  SvaT_15.7c
nayanau ca smçtau devyàþ  KubjT_4.84c
nayannàsàntagocaram  SvaT_4.427d
na yàyàdanupànatkaþ  MrgT_3.63a
nayettaü suvicakùaõaþ  Stk_8.27b
nayettà bhautikavratã  MrgT_3.7d
nayedvàrdhànimàrgeõa  SvaT_3.81c
na yogyatàïgamabhajat  MrgT_1,5.11c
nayottaràditantreùu  VT_305a
na yo navanavàyate  BhStc_111d
nayopàdair anekadhà  KubjT_2.65b
nayopàyair anekadhà  KubjT_2.39b
na yoùinna vayontasthà  MrgT_3.4c
narakaü so 'pi gacchati  SvaT_4.416b
narakà iti vi÷rutaþ  MrgT_1,13.15d
narakànnàdhigacchati  SvaT_10.60b
narakàn vividhàkàràn  SvaT_11.247c
narakànsa na pa÷yati  SvaT_10.71b
narakàstu samàkhyàtàs tv  SvaT_10.58a
narakàü÷ca na pa÷yati  SvaT_10.70b
narakàü÷ca yathàkramam  SvaT_10.346d
narakàþ parikãrtitàþ  SvaT_10.31b
narake te prapacyante  SvaT_4.415a
narake na patanti hi  SvaT_10.58d
narake pacyate tu saþ  SvaT_4.545d
narakaikàda÷agatam  SvaT_10.81c
narakai÷caiva pàtàlair  SvaT_11.279a
narakaiþ saha saptànàü  SvaT_11.230a
na raktam ulbaõaü vastraü  SUp_7.50a
naragodantasaüyuktàþ  SvaT_6.63a
naradvayocchrite pãñhe  SUp_7.76a
naranàrãpa÷umçgà¤  SvaT_12.26c
narasiühaü tçtãyaü tu  KubjT_20.15c
naras tadbhàvabhàvitaþ  SUp_1.23b
narasya j¤ànakarmaõoþ  SRtp_250b
narasya rocanàü gçhya  SvaT_6.83c
narasyevoóuràñ pa÷oþ  SRtp_233d
naraü càbhimukhaü svapne  SvaT_7.277a
naraü dharmo 'nugacchati  SUp_6.167d
naraü varùãyàüsaü nayanavirasaü narmasu jaóaü  Saul_13a
naraþ ÷ivapure vaset  SUp_6.270b
naràõàmakçtàtmanàm  SvaT_10.445b
na ràtrir na dinaü caiva  KubjT_5.96c
na ràtrau na khàràtape  MrgT_3.63d
narà yànti ÷ivaü puram  SUp_5.28d
narà÷vavçùapotebha-  SvaT_4.10a
naràsthi ÷ailamadrajam  KubjT_23.138d
na rujà jàyate tatra  KubjT_9.47a
narendraþ phalguùeõa tu  SvaT_2.285b
narendrairçùibhirdevaiþ  SvaT_4.7a
na rogã vikalo 'pi và  MrgT_3.4d
na rogo maraõaü tandrà  GorS(2)_65 (=HYP 3.39)a
na rohati yathà bãjaü  SUp_6.40c
na rohati yathà bãjaü  KubjT_3.60c
nardinã ca tathà nidrà  ToT_8.6c
narmadàyàü tathaiva ca  SvaT_9.38d
narmadeti samuccàrya  ToT_3.36c
na lakùo naiva yojanà  KubjT_5.95d
na likùàkarùaõaü kuryàd  SUp_7.55c
nalolipsustrilocanaþ  SvaT_10.643b
na loùñe sàpi kasyacit  SRtp_249b
navakaü kalpayetpårvaü  SvaT_2.51a
navakaü bhairavàbhidham  SvaT_2.86d
navakena prasidhyati  KubjT_9.11d
navake÷varadevasya  KubjT_14.93a
na vaktavyaü pa÷or agre  ToT_7.38c
navacakre÷vare÷varaþ  KubjT_14.45b
nava càtràrdhakasthale  MrgT_1,13.93d
navatattvaü tritattvakam  SvaT_2.164d
navatattvaü tritattvakam  SvaT_3.13b
navatattvaü tritattvaü ca  SvaT_1.60a
navatattvaü tritattvaü ca  SvaT_2.49c
navatattvaü tritattvaü ca  SvaT_2.86c
navatattvaü pracakùmahe  SvaT_5.10d
navatattve÷varaü devaü  KubjT_15.31c
navatattve÷vare÷asya  KubjT_14.59c
navatattve÷varo nàtho  KubjT_14.45a
navatyaïgulam ucchritam  SUp_4.3b
navatriü÷asamàyuktaü  VT_134a
na vadatyançtaü ka÷cid  SvaT_10.264c
navadåtãsamanvitaþ  KubjT_14.69b
na vaded guruõà saha  KubjT_3.64b
nava dvipa¤cakaü vàtha  KubjT_25.55a
navadhà cchidralakùaõam  SvaT_12.8d
navadhà nirõayo yathà  KubjT_11.5d
navanavatikoñya÷càpy  SvaT_10.3c
navanavatirlakùàõi  SvaT_10.93a
navanavatirlakùàõi  SvaT_10.95a
navanava padàni syur  KubjT_14.72c
navanàbhaü puraü kçtvà  SvaT_5.19a
navanàbhaü puraü smçtam  SvaT_5.35b
navanàlopa÷obhitam  KubjT_14.63d
navanãtasukomalàþ  SvaT_10.553d
navapa¤cavidhaü dravyaü  KubjT_10.112c
navapadmopalakùitam  SvaT_5.19b
nava bhàgà bhavanti hi  SvaT_10.198d
navabhirnavavarùàõi  SvaT_7.178c
nava bhedàþ smçtàstatra  SvaT_10.250c
navabhedair vyavasthità  KubjT_6.75d
navamastu kumàryàhvaþ  SvaT_10.283a
navamastu kururnàma  SvaT_10.279a
navamastu paro devaþ  SvaT_4.281a
navamastu mahà÷abdaþ  SvaT_11.7c
navamaü ke÷avàtmakam  KubjT_19.8b
navamaü dàghanirghoùaü  KubjT_11.24c
navamaü parikãrtitam  SvaT_10.253d
navamaü bha-¤a-madhyagam  KubjT_7.58d
navamaü vratabandhanam  SvaT_10.393b
navamaþ sthàpakaþ smçtaþ  SUp_2.25d
navamànte÷varaþ prabhuþ  KubjT_16.101b
nava màsàn sa jãvati  KubjT_23.36b
navame tu sadà÷ivam  KubjT_25.61d
navame pathi càtràste  SvaT_10.489a
navamo vratabandhastu  SvaT_10.388c
navamyàm ekàda÷ãùu ca  VT_15b
navamyàü pàrthivaü yàgaü  VT_17c
navayojanasàhasraü  SvaT_10.225c
navayojanasàhasraü  SvaT_10.250a
navayojanasàhasro  SvaT_10.498c
na varõàþ paramàrthataþ  SvaT_8.26b
navalakùakçte jàpye  KubjT_7.87c
navalakùàþ prakãrtitàþ  ToT_8.3d
navavarõam idaü devi  KubjT_24.51a
navavarùasahasràõi  SvaT_10.238c
navavarùàõi pàrvati  SvaT_10.280b
navavarùàdhipàþ smçtàþ  SvaT_10.279b
nava÷abdam parityajya  KubjT_11.25a
navasaükhyopalakùitàþ  SvaT_5.4b
navasaükhyopalakùitàþ  SvaT_5.18b
navasàhasravistàraü  SvaT_10.235a
navasàhasravistçtam  SvaT_10.211b
navasàhasravistçtam  SvaT_10.237b
navahastaü likhedve÷ma  SvaT_5.19c
navahastaþ smçto jyeùñhaþ  SUp_2.7a
navaü càkçùya pårayet  VT_70b
navàkùaram idaü devi  KubjT_5.4c
navàtmà-aïgasaüyuktaü  KubjT_24.57c
navàtmànapadàkùaraiþ  KubjT_19.111d
navàtmànamayaü sarvaü  KubjT_16.54a
navàtmànaü vande navarasamahàtàõóavanañam  Saul_41b
navàtmànena labhyate  KubjT_16.53b
navànàmapi sa prabhuþ  Stk_10.6d
navànàü cakravartãnàü  KubjT_14.53c
navàbdhisrotasi dvãpà  MrgT_1,13.93c
navàrõasya ca vàsanàm  ToT_9.1d
navàrõo merurucyate  ToT_9.2d
na vikalpo vibhåtaye  KubjT_3.106d
na vicittaü prakurvãta  SUp_7.57a
na vijànàti ÷abdàdãn  SvaT_11.94a
na vidyà màtçkà parà  SvaT_11.199b
na vidyàrahito guruþ  KubjT_19.125d
na vinà ca guror vidyà  KubjT_19.125c
na vindati naro yogaü  SUp_7.103a
na viviktam anàcàntam  SUp_7.6a
na vi÷ec ca gçhàd gçham  SUp_7.61b
na viùaü kramate tasya  SvaT_9.107c
na viùaü kramate tasya  SvaT_9.108c
na vçttipariõàmàbhyàü  SRtp_69c
na vedmi ko 'tra màü stauti  KubjT_2.6c
nave÷ànaü kule÷varam  KubjT_16.69b
na vai kàryo manãùiõà  Dka_45b
navaite bhàsvare÷varàþ  KubjT_14.71b
navaiva tu sahasràõi  SvaT_10.239a
navaiva paramà dåtyo  KubjT_14.80c
na vya¤jakamapekùate  MrgT_1,5.14b
na vrajed antareõa tu  SUp_7.68b
na ÷aktiþ ÷uddhavartmanaþ  SRtp_39d
na ÷aknuvanti manujà  SvaT_1.6a
na ÷aknoti talasyànte  KubjT_24.144c
na ÷akyaü vistaràdvaktuü  MrgT_4.14a
na ÷akyaþ kathituü vàpi  SvaT_12.108a
na ÷akyà gadituü tà vai  SvaT_11.172c
na ÷abdo nàpi càkà÷aü  SvaT_3.30a
na ÷ayano na càsãnaþ  SUp_7.16c
na ÷aübhos tanmålaü tava janani tàñaïkamahimà  Saul_29d
na ÷àñhyaü guruõà saha  KubjT_3.65b
na ÷àbdamapi ÷àïkaram  MrgT_1,5.16b
na ÷ivaþ paripårõatvàt  SUp_6.39c
na ÷ivaþ ÷aktivarjitaþ  KubjT_11.43b
na ÷ivena vinà ÷aktir  KubjT_11.43a
na ÷u÷råùàrthakàmà÷ ca  SUp_7.65a
na ÷çõoti na pa÷yeta  KubjT_4.24a
na ÷çõoti yadà priye  SvaT_7.188d
na ÷okàrta÷ ca saütiùñhed  SUp_7.57c
na ÷oko 'sti viyogajaþ  SvaT_10.569d
na ÷ocati na codvignaþ  SvaT_12.62c
na÷yate ÷àsanaü priye  KubjT_10.145d
na÷yanti pauruùàþ pà÷à  SvaT_10.68a
na÷yante nàtra sandehas  KubjT_23.170a
na ÷rànto na vikàravàn  SRtp_79b
na ÷rotramupasarpati  SRtp_75b
na÷varàõàmayaü dharmo  SRtp_297a
naùñaduþkhaikakaõñakaþ  MrgT_1,13.108b
naùñam anveùaõãyaü ca  SUp_7.83c
naùñam ànãya tad bhåyaþ  SUp_6.248c
naùñam ànãya tad bhåyaþ  SUp_6.251c
naùñàpahçtam anviùya  SUp_6.247a
naùñà yåyaü divaukasaþ  KubjT_3.11b
naùñàsu vidyate kàcid  SvaT_10.246c
naùñeti vividheti ca  SRtp_237d
naùñeti vividheti ca  SRtp_245b
naùñe vàyau tataþ ÷ånyam  SvaT_5.66a
na satyapi ÷ave citiþ  MrgT_1,6.5d
na sandhyà ayanaü tathà  KubjT_5.96d
na-sa-madhyagataü gçhya  KubjT_4.101a
na sarvaj¤apadànugam  KubjT_19.15b
na sarvaj¤o mçùà vadet  MrgT_1,9.10d
na sarvasya paràpekùaü  SRtp_295a
na sarvaiþ sàdhyate tadvai  SvaT_11.190c
na saüdehaspando nagapatipatàke manasi naþ  Saul_73b
na saüsàram anukramet  KubjT_3.104d
