Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarmakatve saty evaü  BVaky_3,14.67a
na vinà bhedahetunà  BVaky_3,5.3b
na vinà ÷abdabhàvanàm  BVaky_1.130d
na vinà saükhyayà ka÷ cit  BVaky_3,1.51a
na vibhaktyarthakalpanà  BVaky_3,14.232b
na virodho 'sti ka÷ cana  BVaky_2.179d
na vi÷eùe 'vatiùñhate  BVaky_2.15b
na vi÷eùye na bhedake  BVaky_3,14.466b
na vçttivat paràrthasya  BVaky_3,14.338c
na vçttau vidyate kva cit  BVaky_3,14.56b
na vaiyàkaraõaş sadà  BVaky_3,14.575b
na vyavacchidyate smçtiş  BVaky_1.172d
na vyàpàro 'sti ka÷cana  BVaky_3,3.28b
na ÷aktãnàü tathà bhedo  BVaky_3,6.27a
na ÷abdàc chabdasaünidhiş  BVaky_2.338b
na ÷abdàd arthasaünidhiş  BVaky_2.338d
na ÷abdair anugacchati  BVaky_3,3.19d
na ÷àbaleyasyàstitvaü  BVaky_3,3.75a
na ÷àbaleyo nàstãti  BVaky_3,3.75c
na ÷àstre ka÷ cid à÷ritaş  BVaky_3,14.335b
na ÷iùñair anugamyante  BVaky_1.178a
na ÷uklo nàpi càsitaş  BVaky_3,9.7b
na÷yatãti pratãyate  BVaky_3,1.38d
na ÷yàmàdyupasarjanam  BVaky_3,14.410d
na ÷rutyaiva virotsyate  BVaky_2.75d
na ÷vàdibhyo na rakùati  BVaky_2.312d
naùñaråpam ivàkhyàtam  BVaky_2.339a
na sattayaiva te 'rthànàm  BVaky_1.57c
na sattvam na ca nàstità  BVaky_3,1.21b
na santy anyà vibhaktayaş  BVaky_3,14.550d
na sa pratinidhãyate  BVaky_3,7.26d
na sa pradhànabhåtasya  BVaky_2.336c
na samyag vàpi kutsitaş  BVaky_3,14.4b
na sarvatra svabhàvataş  BVaky_3,14.309d
na sarvaü tulyalakùaõaü  BVaky_2.3d
na sarvaş pratyayas tasmin  BVaky_2.286c
na sarve bhedahetavaş  BVaky_3,5.4b
na sarveùv ekadharmatà  BVaky_3,12.12d
na sa ÷abdasya viùayaş  BVaky_2.120c
na saükhyàm avalambate  BVaky_3,1.82d
na saükhyàyàü na saükhyeye  BVaky_3,11.23a
na saükhyà sàdhanatvena  BVaky_3,1.66c
na saübandhasya vàcakaş  BVaky_2.204b
na saübhavati siddhatve  BVaky_3,8.45c
na saüvidhànàü kçtvàpi  BVaky_2.322a
na saüsçùñaü vibhaktaü và  BVaky_3,2.12c
na saüsthànam apekùate  BVaky_3,1.41b
na såtre na ca vigrahe  BVaky_3,14.467b
na so 'rthasyàbhidhàyakaş  BVaky_1.183d
na so 'rthaş pratiùidhyate  BVaky_3,14.288d
na so 'sti pratyayo loke  BVaky_1.131a
na syàt tatràtmanepadam  BVaky_3,12.26d
na syàt tenàtra sam÷ayaş  BVaky_3,14.391d
na syàt pratinidhis tathà  BVaky_2.65d
na syàt pratyayalakùaõàt  BVaky_3,14.122b
na syàt pràptavibhàùàsau  BVaky_3,12.25c
na syàd ati÷ayas tathà  BVaky_3,7.74d
na syàd atyantabhåtatvam  BVaky_3,9.95c
na syàd bhedaş padatraye  BVaky_3,14.61b
na sva÷aktiş padàrthànàü  BVaky_2.438c
na svàrthasya prakà÷akaş  BVaky_2.403b
na hi pratãyamànena  BVaky_2.100c
na hi bràhmaõa ity atra  BVaky_3,14.501a
na hi bhinnam abhinnaü và  BVaky_3,9.6c
na hi vastu vyavasthitam  BVaky_3,7.91b
na hi saü÷ayaråpe 'rthe  BVaky_3,3.23a
na hy anvàkhyàyake ÷àstre  BVaky_2.363c
na hy abhàvasya sadbhàve  BVaky_3,3.74a
na hy àtmà kasya cid bhettuü  BVaky_3,9.34c
nàkàïkùà vinivartate  BVaky_2.430d
nàga ity apadi÷yate  BVaky_3,8.31d
'nàgameùv anibandhanaş  BVaky_1.153d
nàtyantam abhidhãyate  BVaky_1.168d
nàtyantàya mimãte yat  BVaky_3,14.388a
nàtra ka÷cit pratãyate  BVaky_3,3.27d
nàtropàkhyàyate tattvam  BVaky_2.425c
nàdabhedàd vibhajyate  BVaky_1.104d
nàdasya kramajàtatvàn  BVaky_1.49a
nàdà vçtter vi÷eùakàş  BVaky_1.108d
nàdair àhitabãjàyàm  BVaky_1.86a
nàdhikyam upamàne 'sti  BVaky_3,14.543c
nànarthikàm imàü ka÷ cid  BVaky_1.29a
nànà citrà iti yathà  BVaky_3,14.241a
nànàtmakànàm ekatvaü  BVaky_2.436c
nànàtvavyavahàriõaş  BVaky_2.409b
nànàtvasyaiva saüj¤ànam  BVaky_2.411a
nànàtvaü ca viparyaye  BVaky_2.436d
nànàtvaü càvahãyeta  BVaky_3,6.28c
nànàtvaü cen na kalpayet  BVaky_3,6.28b
nànàtvaü janayantãva  BVaky_3,13.29c
nànàtvaü veti kalpane  BVaky_3,6.24b
nànàtvàbhinive÷inaş  BVaky_3,13.29b
nànàtveneva gçhyate  BVaky_3,14.405d
nànàdravyavyavasthitam  BVaky_3,9.28b
nànàbhåte 'pi vçttaş san  BVaky_3,14.241c
nànàråpeùu tadråpaü  BVaky_2.96c
nànàrthasamavetayoş  BVaky_3,9.27b
nànimittà hi ÷abdasya  BVaky_3,14.274c
nànugçhõàti tàn asau  BVaky_2.388d
nànupràpto nimittinà  BVaky_3,14.90b
nànumànena bàdhate  BVaky_1.38d
nànyatra vidhir astãti  BVaky_3,1.60a
nànyathà pratipattavyaü  BVaky_2.323c
nànyad arthasya lakùaõam  BVaky_2.330d
nànyaş ÷abdo 'sti vàcakaş  BVaky_2.50b
nànyà saüj¤à pratãyate  BVaky_2.355b
nànyenàbhiprakà÷yate  BVaky_3,1.106b
nàpatye niyamo bhavet  BVaky_3,14.83d
nàparas tatra dç÷yate  BVaky_3,3.16d
nàpàya iti gamyate  BVaky_3,7.143b
nàpi kriyàpadàkùepi  BVaky_2.204c
nàpi bhedo 'vadhàryate  BVaky_3,1.102d
nàpekùate nimittaü ca  BVaky_3,5.7a
nàbhàva upapadyate  BVaky_3,3.67d
nàbhàve vyavatiùñhate  BVaky_3,3.86b
nàbhàvo jàyate bhàvo  BVaky_3,3.61a
nàbhidhànaü svadharmeõa  BVaky_3,3.4a
nàbhimanyeta satyataş  BVaky_3,14.77d
nàbheda upajàyate  BVaky_3,14.119b
nàbhedaş pratipårvayoş  BVaky_3,12.13b
nàbhedena na bhedena  BVaky_3,14.387a
nàma÷abdàş pravartante  BVaky_3,8.30c
nàmàkhyàtavad iùyate  BVaky_3,14.338b
nàmàkhyàtasaråpà ye  BVaky_2.318a
nàmnàü sattvapradhànatà  BVaky_2.343b
nàrthavattà pade varõe  BVaky_2.402a
nàrthàc chabdasya sàünidhyaü  BVaky_2.338c
nàrthe na buddhau saübandho  BVaky_2.241c
nàrtho yogena vidyate  BVaky_3,14.539b
nàlabdhakramayà vàcà  BVaky_1.89c
nàlikàdiparigrahàt  BVaky_2.111b
nàlikàvivarà÷rite  BVaky_3,9.70b
nàlikàsalilàdiùu  BVaky_3,9.64b
nàva÷yam abhidheyeùu  BVaky_3,3.36a
nàva÷yam avatiùñhate  BVaky_2.38d
nàva÷yaü tàdç÷o bhavet  BVaky_3,14.133d
nàva÷yaü te 'bhisaübaddhàş  BVaky_2.333c
nàva÷yaü viùayatvena  BVaky_3,13.31a
nà÷aş saüstyànam ity api  BVaky_3,13.27b
nà÷ritaü tac ca laukikam  BVaky_3,14.320d
nàsti tena kriyà÷ruteş  BVaky_3,14.519d
nàsti yasya svaråpaü tu  BVaky_2.420c
nàsti vyàkaraõàd çte  BVaky_1.13d
nàstãty apy apade nàsti  BVaky_3,7.109c
nàsty uttarapade punaş  BVaky_3,14.121d
nikçùñàt tamabàdayaş  BVaky_3,14.160b
nikçùñenàdhikena và  BVaky_3,5.6d
nighàtàdivyavasthàrthaü  BVaky_2.3a
nitya eva tu saübandho  BVaky_2.366c
nityatvàn na virudhyate  BVaky_3,10.7d
'nityatvàn nàbhidhãyate  BVaky_3,1.47d
nityatve kçtakatve và  BVaky_1.28a
nityatve samudàyànàü  BVaky_2.56a
nityam àgantubhir malaiş  BVaky_1.168b
nityam ekaü vibhu dravyaü  BVaky_3,9.1c
nityam evànavasthitam  BVaky_2.138d
nityam evàbhidhãyate  BVaky_3,2.6d
nityasaübandhinàü dçùñaü  BVaky_2.157c
nityas tatra kathaü kàryaü  BVaky_2.59c
nityaü yuktavad iùyate  BVaky_3,14.595d
nityaü sarvaş prayujyate  BVaky_3,14.48b
nityaş sadasadàtmakaş  BVaky_3,3.87b
nityàdhãnasthititvàc ca  BVaky_3,9.10c
nityànityeùu jàtayaş  BVaky_3,1.26b
nityàv evopavarõitau  BVaky_3,1.2d
nityàsattvàbhidhàyitvàt  BVaky_3,14.518c
nityàş kharaõasàdayaş  BVaky_2.364b
nityàş ÷abdàrthasaübandhàs  BVaky_1.23a
nityàş ùañ ÷aktayo 'anyeùàü  BVaky_3,7.35a
nitye 'nitye 'pi vàpy arthe  BVaky_3,3.38a
nitye 'rthe nopapadyate  BVaky_3,9.97d
nityeùu ca kutaş pårvaü  BVaky_2.22a
nide÷asthàyitàdayaş  BVaky_3,14.516b
nipàtà dyotakàş ke cit  BVaky_2.192a
nipàto liïgasaükhyàbhyàü  BVaky_3,14.204c
nimittatulyà godàdau  BVaky_3,14.155c
nimittatvaü tadopaiti  BVaky_3,14.492c
nimittatvaü pratãyate  BVaky_3,14.609b
nimittatvaü sthitir matà  BVaky_3,13.18b
nimittatvàya kalpate  BVaky_1.67d
nimittatvàya kalpate  BVaky_3,7.69d
nimittatvàya kalpate  BVaky_3,14.221d
nimittatvàya kalpate  BVaky_3,14.239d
nimittatvena gamyante  BVaky_3,14.441c
nimittatve vivakùite  BVaky_3,8.29d
nimittadar÷anàd arthe  BVaky_3,13.30c
nimittaniyamaş ÷abdàt  BVaky_3,7.158a
nimittabhàvaş sàdhutve  BVaky_3,13.24c
nimittabhàvo bhàvànàm  BVaky_3,7.14a
nimittabhåtàş sàdhutve  BVaky_3,4.2a
nimittabhedàt prakrànte  BVaky_2.283a
nimittabhedàt sarvatra  BVaky_1.176c
nimittabhedàd ekasya  BVaky_2.250c
nimittabhedàd ekaiva  BVaky_3,7.37a
nimittam anurudhyate  BVaky_3,14.241b
nimittam api càsyàrthaş  BVaky_3,14.207c
nimittam abbidheyaü và  BVaky_3,14.236c
nimittam à÷rayatvena  BVaky_3,14.168a
nimittam ekam ity atra  BVaky_3,11.27a
nimittavati buddhe÷ ca  BVaky_3,14.90c
nimittavyatirekeõa  BVaky_3,11.28c
nimittaü kàlam evàhur  BVaky_3,9.3c
nimittaü kiü cid iùyate  BVaky_2.170d
nimittaü guõayoş sthitam  BVaky_3,14.379d
nimittaü tatra mukhyaü syàn  BVaky_2.267c
nimittaü tv avatiùñhate  BVaky_3,14.116d
nimittaü dvitvajanmani  BVaky_3,11.16b
nimittaü niyataü loke  BVaky_1.101c
nimittaü puõyapàpayoş  BVaky_3,1.45d
nimittaü punar anyatra  BVaky_3,14.405c
nimittaü yac ca dç÷yate  BVaky_2.289b
nimittaü liïgasaükhyayoş  BVaky_3,14.167b
nimittaü vyavatiùñhate  BVaky_3,13.31b
nimittaü sa vibhaktyarthaş  BVaky_3,14.235c
nimittaü saüj¤ayos tatra  BVaky_3,7.146c
nimittaü saüpracakùate  BVaky_3,7.152d
nimittaü hetur iùyate  BVaky_3,7.24b
nimittàt kai÷ cid iùyate  BVaky_2.255b
nimittàt tat prakalpate  BVaky_3,14.451b
nimittàt tadvato 'rthasya  BVaky_3,14.341c
nimittàt saü÷ayasya và  BVaky_3,14.281b
nimittàt smçtim àdadhat  BVaky_2.215b
nimittànuvidhànaü ca  BVaky_3,14.309c
nimittànuvidhàne ca  BVaky_3,14.205a
nimittànuvidhàne ca  BVaky_3,14.310a
nimittànuvidhàyitvàt  BVaky_3,14.24c
nimittànuvidhàyitvàt  BVaky_3,14.240c
nimittànuvidhàyitvàd  BVaky_3,14.154a
nimittànuvidhàyitvàd  BVaky_3,14.201c
nimittànuvidhàyinaş  BVaky_3,14.308b
nimittàntarahetukaş  BVaky_3,14.454b
nimittàpekùaõaü teùu  BVaky_2.365c
nimittàvadhisaükaraiş  BVaky_2.171d
nimittàvastham evàtas  BVaky_3,14.144c
nimittàsaünidhàv api  BVaky_2.370d
nimittã gauõa iùyate  BVaky_2.267d
nimitte pratyayaş pårvo  BVaky_3,14.90a
nimittebhyaş pravartante  BVaky_3,7.124a
nimitte ÷rutyapà÷rayàt  BVaky_1.142b
nimitte sati laukikã  BVaky_2.370b
nimittair abhisaübandhàd  BVaky_3,14.13a
nimittair avyavasthitaiş  BVaky_2.137b
nimittair vikçto dhvaniş  BVaky_1.97b
nimittair vyapadi÷yante  BVaky_3,14.145c
niyatagrahaõà loke  BVaky_3,7.11c
niyataü di÷i dar÷anam  BVaky_3,6.11b
niyataü na sa kàryabhàk  BVaky_1.62b
niyataü yac ca sàdhanam  BVaky_2.125b
niyataü sàdhane sàdhyaü  BVaky_2.47a
niyatà càdyudàttatà  BVaky_3,10.6b
niyatàdhàrasàdhanà  BVaky_2.418b
niyatà yànty abhivyaktiü  BVaky_2.317c
niyatàsu vibhaktiùu  BVaky_3,14.548d
niyatàs tadupàdhayaş  BVaky_3,3.6d
niyatàs tu prayogà ye  BVaky_2.125a
niyatàş ÷abda÷aktayaş  BVaky_2.168d
niyatàş ÷abda÷aktayaş  BVaky_3,12.14d
niyatàş sàdhanatvena  BVaky_2.275a
niyatair eva yujyate  BVaky_3,14.319b
niyato na prayujyate  BVaky_3,14.534b
niyato buddhiùu kramaş  BVaky_1.94d
niyato viùayo yataş  BVaky_3,14.59d
niyatau viùayàntare  BVaky_2.178b
niyamadyotanàrthà vàpy  BVaky_2.245a
niyamas tatra na tv evaü  BVaky_2.167c
niyamas tv avatiùñhate  BVaky_3,1.75d
niyamaş kvacid eva yaş  BVaky_3,3.8b
niyamaş puõyapàpayoş  BVaky_3,3.30d
niyamaş pratiùedha÷ ca  BVaky_2.351a
niyamaş saüprakà÷ate  BVaky_2.47d
niyamàc cheùa iùyate  BVaky_3,7.72d
niyamàt karmasaüj¤àyàş  BVaky_3,7.127c
niyamàrthà punaş ÷rutiş  BVaky_2.64b
niyamàrthà punaş ÷rutiş  BVaky_3,1.89b
niyamàrthà punaş ÷rutiş  BVaky_3,14.432d
niyamàrthà ÷rutir bhavet  BVaky_2.244d
niyamàrtho 'yam ucyate  BVaky_3,14.557b
niyamena prakçùyate  BVaky_3,5.6b
niyamena pratãyate  BVaky_2.276d
niyamena pratãyate  BVaky_3,14.84d
niyamena vyapekùate  BVaky_2.161d
niyamena vyavasthità  BVaky_1.98b
niyame vàbhidhàne và  BVaky_3,14.536c
niyamo na tu vastuni  BVaky_3,7.103b
niyamo nuñ÷abàdiùu  BVaky_2.167d
niyogabhedàn manyante  BVaky_2.408c
nirapekùaş pravartate  BVaky_2.158b
niràkàïkùasya sarvataş  BVaky_2.9b
niràkàïkùàõi nirvçttau  BVaky_2.352a
niràtmakànàm utpattau  BVaky_3,3.8a
niràdhàrapravçttau ca  BVaky_2.244a
nirãheùv api bhàveùu  BVaky_3,7.8c
niruktir nàvatiùñhate  BVaky_2.26d
nirupàkhyaü phalaü yathà  BVaky_2.234b
nirupàkhye prakalpitàş  BVaky_3,3.66b
nirupàkhyo 'pi kalpate  BVaky_3,14.262d
nirghoùaiva garãyasã  BVaky_1.164d
nirj¤àtadravyasaübandhe  BVaky_3,1.72a
nirj¤àtaparimàõà sà  BVaky_3,9.77c
nirj¤àta÷akter dravyasya  BVaky_1.33a
nirj¤àtasàdhanàdhàre  BVaky_3,14.293a
nirj¤àtàrthaü padaü yac ca  BVaky_2.72a
nirj¤àto 'rtho vi÷eùaõam  BVaky_3,14.7b
nirõayatvena nirõayaş  BVaky_3,3.24b
nirdi÷anty eva laukikàş  BVaky_3,3.85b
nirdi÷yanta upàdhayaş  BVaky_3,14.470d
nirdiùñaviùayaü kiü cid  BVaky_3,7.136a
nirdiùñàs te prakçtyarthàş  BVaky_2.231c
nirde÷a÷ cànyathà ÷àstre  BVaky_3,10.7c
nirde÷aü prati yà saükhyà  BVaky_3,1.59c
nirde÷e caritàrthatvàl  BVaky_3,8.61a
nirde÷e liïgasaükhyànàü  BVaky_2.307a
nirde÷o 'yaü vicàryate  BVaky_3,14.434d
nirdhàraõàdiviùaye  BVaky_3,14.42a
nirdhàraõe vibhakte yo  BVaky_3,7.147a
nirbhàgasya prakà÷asya  BVaky_2.93c
nirbhàgàtmakatà tulyà  BVaky_3,6.15a
nirbhàgeõaiva cetasà  BVaky_2.93d
nirbhàgeùv abhyupàyo và  BVaky_1.95c
nirbhàsopagamo yo 'yaü  BVaky_3,9.46a
nirbhukte 'pi kçtàdibhiş  BVaky_3,14.66b
nirmanthanaü yathàraõyor  BVaky_2.300a
nirvarttyamànaü yat karma  BVaky_3,1.27a
nirvartyatvaü pracakùate  BVaky_3,7.47d
nirvartyatvàt pradhànatà  BVaky_3,9.99b
nirvartyaü ca vikàryaü ca  BVaky_3,7.45a
nirvartyaü ca vikàryaü ca  BVaky_3,7.48c
nirvartyàdiùu tat pårvam  BVaky_3,7.54a
nirvartyo và vikàryo và  BVaky_3,7.79a
nirvçttiråpam ekasya  BVaky_3,9.86a
nirvçttiråpaü nirvçtteş  BVaky_3,9.88c
nirvçtte và virodhini  BVaky_3,9.92b
nivartate yad vacanaü  BVaky_3,14.129c
nivartamàne karmatve  BVaky_3,7.56c
nivartyeta sthità katham  BVaky_2.242d
nivartye 'tha samuccite  BVaky_3,14.192b
nivçtabhedà sarvaiva  BVaky_2.454a
nivçtta iva dç÷yate  BVaky_3,9.82b
nivçttapreùaõaü karma  BVaky_3,7.56a
nivçttapreùaõaü karma  BVaky_3,7.63a
nivçttapreùaõàd dhàtoş  BVaky_3,7.60c
nivçttaş kvàvatiùñhatàm  BVaky_2.15d
nivçttiprabhavà÷ caiva  BVaky_3,9.43c
nivçttir dyotyate na¤à  BVaky_3,14.251b
nivçtti÷ copadi÷yate  BVaky_2.324d
nivçtter avatiùñhate  BVaky_2.241d
nivçtte 'vayavas tasmin  BVaky_3,14.274a
nivçttau caritàrthatvàt  BVaky_3,1.89c
nivçttyanugamaş kçtaş  BVaky_3,14.51d
nivçttyarthà ÷rutir yeùàü  BVaky_3,14.489a
nivçttyàtmani và sthitaş  BVaky_2.427b
ni÷ritàş svavikalpajàş  BVaky_1.8b
niùkramaü nirnibandhanam  BVaky_3,9.26b
niùkramà nirupà÷rayàş  BVaky_3,6.14b
niùkriyo 'pi prayujyate  BVaky_3,7.76d
niùñhà cety abhidhãyate  BVaky_3,9.33b
niùñhàyàü karmaviùayà  BVaky_3,7.160a
niùpattàv avadhiş ka÷ cit  BVaky_3,9.109a
niùpattimàtre kartçtvaü  BVaky_3,7.18a
niùpadau bhåtakàlatà  BVaky_3,9.107b
niskçùñeùv api bhedeùu  BVaky_3,14.190a
nãduhiprakçtau ca yat  BVaky_3,7.77b
nãlam utpalam ity atra  BVaky_3,14.466a
nãlàdibhiş samàkhyànaü  BVaky_2.8c
nãlotpalàdy api tathà  BVaky_3,14.54c
nãhàràbhrasamàvçtàş  BVaky_3,14.302b
necchànimittàd icchàvàn  BVaky_3,1.94a
nendriyàõàü prakà÷ye 'rthe  BVaky_1.58c
neyam evàbhidhãyate  BVaky_3,3.27b
neùñasvàrthasya vàcakaş  BVaky_3,14.424d
naikatvam asty anànàtvaü  BVaky_3,6.26a
naikatvaü nàpi nànàtvaü  BVaky_3,1.21a
naikatvaü vyavatiùñheta  BVaky_3,6.28a
naikade÷asaråpebhyas  BVaky_2.358c
naikade÷o vibhàùyate  BVaky_3,14.59b
naiko na càpy aneko 'sti  BVaky_3,9.7a
naitad vàkyaü vivakùyate  BVaky_3,3.25b
naiti bhàvo 'nupàkhyatàm  BVaky_3,3.61b
nairàtmyàd và vyavasthitam  BVaky_2.437b
naiva càsti talaü vyomni  BVaky_2.140c
naiva tatràdriyàmahe  BVaky_3,1.85d
naivaü ka÷ cana dç÷yate  BVaky_3,14.598d
naivaüjàtãyakaü ÷àstre  BVaky_3,14.414c
naivaü tittirikalmàùyàm  BVaky_3,14.411c
naivàdhikatvaü dharmàõàü  BVaky_2.272a
naivànyenàbhisaübandhaü  BVaky_2.460c
naivàvàsthita ni÷cayaş  BVaky_2.483d
naivàsti naiva nàstãti  BVaky_3,8.32a
naiùàü sattàm anudgçhya  BVaky_3,9.23c
nocyate tena ÷abdena  BVaky_3,11.29c
nopakàrasya vàcakaş  BVaky_2.438b
nopajàyata ity eke  BVaky_2.208c
nopamànasya saübhavaş  BVaky_3,14.364d
nopamàrtho 'sti ka÷ cana  BVaky_3,14.440d
nopa÷lesaş smçter api  BVaky_3,14.91b
nopàttaü tyajate kva cit  BVaky_3,14.476d
nyakkartçùu ca gargeùu  BVaky_3,14.162a
nyakkàriõi tathà gàrgye  BVaky_3,14.161c
nyakkàriõi syur utkçùñe  BVaky_3,14.160c
nyaktàyàm api saüpårõaiş  BVaky_3,7.20c
nyagbhàvanà nyagbhavanaü  BVaky_3,7.59a
nyagbhàvanà nyagbhavanaü  BVaky_3,7.59c
nyagbhàvas tv eva kartari  BVaky_3,7.95b
nyagbhàvàpàdanàd api  BVaky_3,7.101b
nyagrodhe plakùatà yathà  BVaky_3,12.21d
nyàyaprasthànamàrgàüs tàn  BVaky_2.487a
nyàyenàyuktam ity atra  BVaky_3,14.457c
nyàyenaivopapadyate  BVaky_3,1.87d
nyàyyaü tasyà÷ ca varõyate  BVaky_3,14.317d
nyånatà và prayojikà  BVaky_2.272b
nyåneùu ca samàptàrtham  BVaky_3,8.56a
paktiş karaõaråpaü tu  BVaky_2.433c
paktvà bhujyata ity atra  BVaky_3,7.85a
pakùe strãpratyayasya ca  BVaky_3,14.421b
pacàv anuktaü yat karma  BVaky_3,7.83a
pacikriyàü karotãti  BVaky_2.433a
paciråpàdibhedavat  BVaky_3,8.63d
pacisidhyativad viduş  BVaky_3,7.57b
pacis tatràtmanepadam  BVaky_3,12.20b
pa¤capålyàdiùu tathà  BVaky_3,14.597c
pa¤càlà iti dç÷yate  BVaky_3,14.478b
pa¤càlànàü prade÷o 'pi  BVaky_3,14.480a
pa¤càlàn kurubhir yadà  BVaky_3,7.4b
pañàdãnàü vi÷eùakàş  BVaky_3,14.487d
pañàvayavavçttàs tu  BVaky_3,14.488a
[pañvãmçdvyoş samàse tu  BVaky_3,14.28a
pañhyate kiü cid eva tu  BVaky_2.259b
patatãty abhidhãyate  BVaky_3,8.57b
patimàõam anarthakam  BVaky_3,14.127d
padakàle prakà÷ate  BVaky_2.186d
padagrahaõapårvakam  BVaky_2.239b
padatve sati kevalàş  BVaky_2.194b
padaprakçtibhàva÷ ca  BVaky_2.58a
padabhàgà iva sthitàş  BVaky_2.11d
padabhede 'pi varõànàm  BVaky_1.72a
padam anyac ca vidyate  BVaky_1.73b
padam anyat prayujyate  BVaky_2.35d
padam anyat prayujyate  BVaky_3,14.417d
padam àdyaü pçthak sarvaü  BVaky_2.2a
padayor upajàyate  BVaky_3,14.6b
padaråpam ca yad vàkyam  BVaky_2.412a
padavàcyo yathà nàrthaş  BVaky_2.216a
padasyàrtham ato viduş  BVaky_2.53d
padasyoccàraõàd artho  BVaky_2.63a
padaü cet syad avàcakam  BVaky_2.87d
padaü tasyàü prayujyate  BVaky_3,14.36b
padaü yathaiva vçkùàdi  BVaky_3,14.54a
padaü lakùaõadar÷anàt  BVaky_2.59d
padaü vàkye pade dhàtur  BVaky_3,14.76c
padaü sàpekùam ity api  BVaky_2.2b
padaü svàrthàdayaş sarve  BVaky_3,14.1c
padàkhyà vàkyasaüj¤à ca  BVaky_2.52c
padàt tàbhyàü padaü tathà  BVaky_3,14.79b
padànàm arthayuktànàü  BVaky_2.206a
padànàm upapadyate  BVaky_2.10d
padànàü pravibhàgena  BVaky_2.247c
padànàü saühità yoniş  BVaky_2.58c
padàni vàkye tàny eva  BVaky_2.28a
padàntarasaråpà÷ ca  BVaky_2.11c
padàntarasthasyàrthasya  BVaky_3,14.204a
padàmnàya÷ ca yady anyaş  BVaky_2.59a
padàrthadar÷anaü tatra  BVaky_2.217c
padàrthapratyayo yathà  BVaky_2.60b
padàrtharåpabhedena  BVaky_2.442c
padàrthavyaktikalpane  BVaky_2.115b
padàrthasyàgatir bhavet  BVaky_3,14.225d
padàrthaş pravibhajyate  BVaky_2.86d
padàrthaş samavasthitaş  BVaky_3,14.273b
padàrthaş sahavçttiùu  BVaky_2.61d
padàrthà na tu vastutaş  BVaky_2.440b
padàrthànàm apoddhàre  BVaky_3,1.2a
padàrthànupaghàtena  BVaky_3,14.269a
padàrthànupaghàtena  BVaky_3,14.272a
padàrthàbhyuccaye tyàgàd  BVaky_2.34c
padàrthàstitvakalpane  BVaky_2.34b
padàrthàş samavasthitàş  BVaky_3,1.11d
padàrthãkçta evànyaiş  BVaky_3,3.12a
padàrthenàrthavanti và  BVaky_2.55b
padàrthe vartate katham  BVaky_3,14.274b
padàrtheùåpajàyate  BVaky_2.414b
padàrtheùv avibhàvitàş  BVaky_2.49b
padàrtheùv avibhàvitàş  BVaky_2.51b
padàrthe samudàye và  BVaky_2.442a
padàrthair upapàditàm  BVaky_2.143d
padàrthair eva te samàş  BVaky_2.325d
padàrthair yaş pratãyate  BVaky_2.217b
padàrthaiş parikalpitaiş  BVaky_3,3.88b
padàrthopanibandhanàş  BVaky_2.87b
padàrtho 'pi tathà bhavet  BVaky_2.16b
padàrthau sarva÷abdànàü  BVaky_3,1.2c
pade na varõà vidyante  BVaky_1.74a
pade÷v evam asaüvedyaü  BVaky_2.60c
padeùu samavasthitaş  BVaky_2.248b
padeùu sahavçttiùu  BVaky_2.61b
padair anarthakair evaü  BVaky_2.413c
panthàno ye vyavasthitàş  BVaky_1.31b
paratantrasya yal liïgam  BVaky_3,13.6a
paratantràs tu càdayaş  BVaky_2.196d
paratas tatra lakùaõam  BVaky_3,7.93d
parato nopapadyate  BVaky_3,3.70b
parato bhidyate sarvam  BVaky_3,9.80a
parato và niråpaõam  BVaky_3,3.52b
paratve càparatve ca  BVaky_3,11.4a
paradharmasya na hy atra  BVaky_3,11.10c
paradharmo yathà guõe  BVaky_3,11.5b
paramàõum apaõóitaş  BVaky_2.236b
