Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
padÃrthopanibandhanÃ÷  BVaky_2.87b
padÃrtho 'pi tathÃ bhavet  BVaky_2.16b
padÃrthau sarvaÓabdÃnÃæ  BVaky_3,1.2c
pade na varïÃ vidyante  BVaky_1.74a
padeÓv evam asaævedyaæ  BVaky_2.60c
pade«u samavasthita÷  BVaky_2.248b
pade«u sahav­tti«u  BVaky_2.61b
padair anarthakair evaæ  BVaky_2.413c
panthÃno ye vyavasthitÃ÷  BVaky_1.31b
paratantrasya yal liÇgam  BVaky_3,13.6a
paratantrÃs tu cÃdaya÷  BVaky_2.196d
paratas tatra lak«aïam  BVaky_3,7.93d
parato nopapadyate  BVaky_3,3.70b
parato bhidyate sarvam  BVaky_3,9.80a
parato vÃ nirÆpaïam  BVaky_3,3.52b
paratve cÃparatve ca  BVaky_3,11.4a
paradharmasya na hy atra  BVaky_3,11.10c
paradharmo yathÃ guïe  BVaky_3,11.5b
paramÃïum apaï¬ita÷  BVaky_2.236b
paramÃïor abhÃgasya  BVaky_3,6.13a
paramÃïor ghaÂasya ca  BVaky_3,6.15b
paramÃrthe tayor e«a  BVaky_3,6.26c
paramÃrthe tu naikatvaæ  BVaky_3,7.39a
parayÃ bÃdhyate 'parÃ  BVaky_3,7.146d
pararÆpam iva dvayo÷  BVaky_2.101d
pararÆpeïa bhidyate  BVaky_3,9.80d
pararÆpeïa rÆpyate  BVaky_3,1.105d
paravalliÇgatÃ yata÷  BVaky_3,14.305b
paraÓ cen na padÃd asau  BVaky_3,10.6d
paras tu ÓabdasaætÃna÷  BVaky_1.106c
parasmin sÃdhanaæ matÃ  BVaky_3,7.17b
parasmaipadam anyatra  BVaky_3,12.20c
parasyÃ"ngasya karmatvÃn  BVaky_3,7.131c
paraæ brahmÃdhigamyate  BVaky_1.22d
paraæ vÃ paramÃrthata÷  BVaky_2.22b
parÃÇgabhÆtaæ sÃmÃnyaæ  BVaky_3,1.82a
parÃnÃkÃÇk«aÓabdakam  BVaky_2.4b
parÃparatve mÆrtinÃæ  BVaky_3,6.4a
parÃpek«e yathÃ bhÃve  BVaky_3,14.407a
parÃrtha iti kalpanÃ  BVaky_3,14.336d
parÃrthatvena Óe«atvaæ  BVaky_3,14.7c
parÃrthaæ Óe«abhÃvaæ yo  BVaky_3,14.136a
parÃrthÃnugamÃtmake  BVaky_3,14.64b
parikalpe«u maryÃdÃ  BVaky_3,3.65c
parig­hya Órutiæ caikÃæ  BVaky_2.109a
paricchinnaparigraha÷  BVaky_3,14.185b
paricchinno 'vasÅyate  BVaky_2.237b
pariccheda÷ kathaæ bhavet  BVaky_3,9.27d
paricchedÃd dhi sÃd­Óyam  BVaky_3,14.389c
paricchede 'nunÃ k­te  BVaky_2.203b
parichinne pravartate  BVaky_3,14.247b
paritas tu paricchinnaæ  BVaky_3,8.12c
paripÃkair ayatnajÃ÷  BVaky_2.148b
parimÃïam na vidyate  BVaky_3,14.180b
parimÃïavikalpena  BVaky_3,9.66c
parimÃïaæ kriyÃvatÃm  BVaky_3,9.1d
parimÃïaæ ca yat tayo÷  BVaky_3,6.15d
parimÃïaæ svabhÃvata÷  BVaky_3,14.1.26b
parimÃïÃdhike tatra  BVaky_3,14.86c
parispandam athÃpare  BVaky_3,9.76b
pare«Ãm asamÃkhyeyam  BVaky_1.35a
pare«Ãæ pratipÃdane  BVaky_2.407d
paropakÃratattvÃnÃæ  BVaky_3,11.7a
paryarthaæ yataÓaktaya÷  BVaky_1.155b
paryÃyÃ iva laukikÃ÷  BVaky_2.332b
paryÃyÃ iva sÃdhava÷  BVaky_1.178b
paryÃye vyavati«Âhate  BVaky_2.251b
paryudÃsas tathÃrthavÃn  BVaky_2.447d
paryudÃse tu niyataæ  BVaky_3,14.291c
paryudÃso 'yam atra tu  BVaky_2.84b
parvatÃd Ãgamaæ labdhvÃ  BVaky_2.486a
parvatÃdisarÆpÃïÃæ  BVaky_1.103c
parvatÃdisthitis tasmÃt  BVaky_3,9.80c
pavitraæ sarvavidyÃnÃm  BVaky_1.14c
paÓunÃ na prakalpeta  BVaky_3,1.62c
paÓÆ rudra iva hy etÃv  BVaky_3,14.592c
paÓor nÃsti virodhinÅ  BVaky_3,1.71b
paÓyati brÃhmaïam iva  BVaky_3,14.526c
paÓyanti tadvad ekena  BVaky_2.401c
paÓyanty Ãr«eïa cak«u«Ã  BVaky_1.38b
paÓyantyÃÓ caitad adbhutam  BVaky_1.159b
paÓvantaram anarthakam  BVaky_3,1.64d
paÓvantaram upÃdeyam  BVaky_3,1.63c
paÓvÃdi«u vibhajyate  BVaky_2.459d
pÃkÃdayas t­tÅyÃntÃ÷  BVaky_3,14.437a
pÃkÃder aprayoge tu  BVaky_3,14.600c
pÃkau pÃkÃ iti yathÃ  BVaky_3,14.344a
pÃcakÃdipadasthÃ cen  BVaky_3,14.253a
pÃcake pacatis tathÃ  BVaky_3,14.78b
pÃÂha÷ kadÃ cit kartavyas  BVaky_3,14.495c
pÃÂhÃd yair avibhaktitvaæ  BVaky_3,14.587a
pÃÂhe 'nyair upavarïyate  BVaky_2.260b
pÃtÃgamanayo÷ kÃka-  BVaky_3,14.612c
pÃtrÃdibhedÃn nÃnÃtvaæ  BVaky_2.389a
pÃdyavat sÃ vibhÃgena  BVaky_2.378a
pÃratantryaæ tathÃ sthitau  BVaky_3,9.22b
pÃraæparyÃd apabhraæÓÃ  BVaky_1.181a
pÃrÃrthyam avivak«itam  BVaky_3,12.23b
pÃrÃrthyasyÃviÓi«ÂatvÃn  BVaky_2.338a
pikÃdi yad avij¤Ãtaæ  BVaky_2.72c
pit­rak«a÷piÓÃcÃnÃæ  BVaky_1.36c
pitro÷ kart­tvam ucyate  BVaky_3,7.19b
pÅtaæ na gamayet svargaæ  BVaky_1.154c
pÅyÆ«ÃpÆryamÃïÃpi  BVaky_1.168a
puïyaæ rÆpaæ prajÃpate÷  BVaky_1.126d
putrasya janmani yathÃ  BVaky_3,7.19a
putrasyÃrtha÷ pradhÃnatvaæ  BVaky_3,8.51c
putrÃdi«u na vidyate  BVaky_3,14.516d
putrÃdau guïaÓabdebhya÷  BVaky_3,14.511c
putrÅyatau na putro 'sti  BVaky_3,14.70a
putrÅyÃyÃæ kriyÃntaram  BVaky_3,14.72b
putreïa tulya÷ kapila  BVaky_3,14.507c
punar evÃvalambate  BVaky_3,6.19d
punar nopaiti darÓanam  BVaky_3,9.55d
punar vÃkye tam evÃrtham  BVaky_2.239c
punar viparivartate  BVaky_3,9.53d
punar vibhajate vaktÃ  BVaky_3,7.4c
punaÓ ca karmabhÃvena  BVaky_3,3.45c
punaÓ ca pratisaæhÃre  BVaky_3,14.89c
punaÓ cÃpy ekaÓabdatvaæ  BVaky_3,14.359c
punas tenopadiÓyate  BVaky_3,14.576d
puna÷ pratyavamarÓena  BVaky_3,14.312c
purastÃt tad vicÃritam  BVaky_3,14.345d
purÃïair Ãgamair vinÃ  BVaky_2.490b
purÃrÃd iti bhinne 'rthe  BVaky_2.268a
puruÓÃdiviparyaya÷  BVaky_3,10.7b
puru«asya viparyaye  BVaky_3,7.120b
puru«Ãrthe 'vati«Âhate  BVaky_3,14.429b
puru«eïa kathaæcana  BVaky_3,3.38b
puru«e«u vyavasthitÃ  BVaky_1.126b
puru«e «o¬aÓakale  BVaky_1.169c
puru«e«v anavasthitÃ÷  BVaky_3,14.98d
puru«o na tu vartate  BVaky_3,10.2d
puro¬ÃÓÃbhidhÃnaæ ca  BVaky_3,12.22a
pu«pÃdi«u tathÃ vÃkye  BVaky_2.89c
puælliÇgena viÓe«aïam  BVaky_3,14.506b
puævad ity asya darÓanÃt  BVaky_3,14.588b
puævadbhÃvasya siddhyarthaæ  BVaky_3,14.421a
puævadbhÃvo na sidhyati  BVaky_3,6.10b
puævadbhÃvo na sidhyati  BVaky_3,14.418d
puævadbhÃvo bhavi«yati  BVaky_3,14.419b
puæÓabde stryabhidhÃyini  BVaky_3,14.152d
pÆjopÃdhiÓ ca yo d­«Âa÷  BVaky_3,14.432a
pÆjyate kutsitatvena  BVaky_3,14.5c
pÆrvakÃyÃdivad bhavet  BVaky_3,14.477d
pÆrvabuddhir yato dik sÃ  BVaky_3,6.7c
pÆrvabhÃgas tu yaj jÃtÃt  BVaky_3,8.29a
pÆrvam asyeti «a«Âhy eva  BVaky_3,6.21c
pÆrvam ity abhidhÅyate  BVaky_3,6.9d
pÆrvayogena sidhyati  BVaky_3,14.539d
pÆrvavadgrahaïaæ prÃpte  BVaky_3,12.15c
pÆrvaÓabdaprayogÃc ca  BVaky_3,14.476a
pÆrvasÆtre ca yo vidhi÷  BVaky_3,14.533b
pÆrvasÆtre vidhÅyate  BVaky_3,14.537d
pÆrvasmÃt pracyutÃ dharmÃd  BVaky_3,1.39a
pÆrvasmin yÃ kriyÃ saiva  BVaky_3,7.17a
pÆrvasyÃrthasya tena syÃd  BVaky_2.396c
pÆrvaæ pade«v asaæs­«Âo  BVaky_2.249a
pÆrvaæ buddhi÷ pravartate  BVaky_1.93d
pÆrvÃdinÃæ yathÃ «a«Âer  BVaky_3,6.11c
pÆrvÃdinÃæ viparyÃso  BVaky_3,6.22a
pÆrvÃparÃïÃæ dharmeïa  BVaky_3,8.19c
pÆrvÃbhyÃm eva yogÃbhyÃæ  BVaky_3,14.552a
pÆrvÃm avasthÃm ÃÓritya  BVaky_3,14.566a
pÆrvÃvasthÃm avijahat  BVaky_3,7.118a
pÆrvÃæ pÆrvÃæ kriyÃæ prati  BVaky_3,7.131b
pÆrveïa na vatir bhavet  BVaky_3,14.538d
pÆrveïa pratyayo bhavet  BVaky_3,14.541d
pÆrve«Ãæ bahudhÃ matÃ÷  BVaky_2.116d
pÆrvair arthair anugato  BVaky_2.415a
pÆrvoktasya viparyaye  BVaky_3,14.511d
pÆrvottarais tathÃ bhÃgai÷  BVaky_3,8.11a
p­cchyÃder lo¬ vidhÅyate  BVaky_3,7.126b
p­thaktvÃd bhinnalak«aïam  BVaky_3,7.39b
p­thaktvena prakalpanam  BVaky_2.180b
p­thaktveneva vartate  BVaky_1.2d
p­thaktvaikatvarÆpeïa  BVaky_3,7.39c
p­thak pratyavabhÃsante  BVaky_1.137c
p­thaksthitaparigrahÃ÷  BVaky_1.21d
p­thag aprati«iddhatvÃt  BVaky_2.386c
p­thagarthaniveÓinÃm  BVaky_2.424b
p­thagarthaprakalpane  BVaky_2.192b
p­thagarthÃnupÃtinÃm  BVaky_2.423b
p­thag dvayo÷ Óruto 'py e«a  BVaky_3,14.424c
p­thag bhÃÓye nidarÓitÃ  BVaky_3,3.51d
p­thaÇnivi«ÂatattvÃnÃæ  BVaky_2.423a
p­thivyÃdi«v abhivyaktau  BVaky_3,1.41a
p­thuprabh­tayo n­pÃ÷  BVaky_3,14.554b
paurvÃparyavinÃk­tÃ÷  BVaky_3,9.5d
paurvÃparyavivarjite  BVaky_3,2.18b
paurvÃparyaæ na bhidyate  BVaky_3,14.81b
paurvÃparyÃdirÆpeïa  BVaky_3,1.37c
'py arthabhedo 'bhidhÅyate  BVaky_2.89d
prakar«asyÃbhidhÃyaka÷  BVaky_3,14.3b
prakar«aæ praty anarthakaæ  BVaky_3,5.7d
prakar«e vyÃp­taæ yadi  BVaky_3,5.7b
prakar«o niyamÃbhÃvÃt  BVaky_3,5.5c
prakar«o vidyate nÃpi  BVaky_3,5.3c
prakalpayati bhÃvÃnÃæ  BVaky_3,11.3c
prakalpayati saænidhim  BVaky_2.337d
prakalpitÃ yathÃ ÓÃstre  BVaky_3,8.47c
prakalpya bahurÆpatÃm  BVaky_3,14.18b
prakalpyaæ vi«ayÃntaram  BVaky_3,14.459d
prakÃramÃtre vartitvÃ  BVaky_3,14.620c
prakÃravacana÷ kaÓ cit  BVaky_3,14.620a
prakÃravati saæsthita÷  BVaky_3,14.620b
prakÃra÷ kaiÓ cid i«yate  BVaky_3,14.619b
prakÃrÃdhÃrabhedena  BVaky_3,14.426a
prakÃrÃ÷ sarva eva vÃ  BVaky_3,14.500b
prakÃÓakaprakÃÓyatvaæ  BVaky_2.32a
prakÃÓakÃnÃæ bhedÃæÓ ca  BVaky_1.102a
prakÃÓate tadanye«Ãæ  BVaky_2.419c
prakÃÓayate saænidhe÷  BVaky_2.301d
prakÃÓaæ yam upÃsate  BVaky_1.19d
prakÃÓa÷ pravibhajyate  BVaky_2.7b
prakÃÓÃntarakÃraïam  BVaky_1.47b
prakÃÓe tata eva vÃ  BVaky_3,8.33d
prakÃÓyo 'rtho 'nuvartate  BVaky_1.102b
prak­tÃæ tÃm atas tyaktvÃ  BVaky_3,14.547c
prak­tipratyayÃdaya÷  BVaky_2.10b
prak­tipratyayÃdivat  BVaky_3,1.1d
prak­tipratyayÃrthavat  BVaky_3,4.1d
prak­tipratyayÃv Æhyau  BVaky_3,14.79a
prak­tir veti saæÓaye  BVaky_3,7.114b
prak­tiÓ cet t­tÅyÃntÃ  BVaky_3,14.462a
prak­tiæ prÃïinÃæ tÃæ hi  BVaky_3,6.18c
prak­ti÷ pariïÃminÅ  BVaky_3,7.47b
prak­ti÷ pratipadyate  BVaky_2.280b
prak­ti÷ sÃdhanÃnÃæ sÃ  BVaky_3,8.39a
prak­tÅnÃm na vidyate  BVaky_3,14.176b
prak­ter aviÓi«ÂatvÃt  BVaky_3,14.511a
prak­tes tu vivak«ÃyÃæ  BVaky_3,7.48a
prak­te÷ syÃd viparyaye  BVaky_3,6.19b
prak­te÷ syÃd viliÇgatÃ  BVaky_3,14.160d
prak­tau pravilÅne«u  BVaky_3,1.43a
prak­tau viniv­ttÃyÃæ  BVaky_2.229c
prak­tau samavasthitÃ  BVaky_3,14.125b
prak­tyarthaviÓe«aïe  BVaky_3,14.520b
prak­tyarthaÓ ca yady asau  BVaky_3,14.171b
prak­tyarthaÓ ca saæstyÃnaæ  BVaky_3,14.175c
prak­tyarthasya yady api  BVaky_3,14.435b
prak­tyarthÃnuvÃdina÷  BVaky_2.191d
prak­tyarthe viÓi«Âe 'pi  BVaky_3,14.507a
prak­tyartho na kalpyate  BVaky_3,11.30d
prak­tyartho hi nÃdhika÷  BVaky_3,14.162d
prak­tyÃ pratyayena vÃ  BVaky_3,14.169d
prak­tyucchedasaæbhÆtaæ  BVaky_3,7.50a
prak­«Âa iti ÓuklÃdi-  BVaky_3,14.3a
prak­«Âatvaæ pratÅyate  BVaky_1.65d
prak­«Âasya prakar«e tu  BVaky_3,14.3c
prakramÃnavadhÃraïÃt  BVaky_2.414d
prakrame jÃtibhÃgasya  BVaky_2.463c
prakramyate tadÃ j¤Ãnaæ  BVaky_3,3.24c
prakramyante tathÃvidhÃ÷  BVaky_2.181d
prakrÃntÃ darÓanÃdikÃ  BVaky_2.271d
prakrÃntÃ pratipattÌïÃæ  BVaky_2.418c
prakrÃntÃ mÃÂharÃd vinÃ  BVaky_2.349b
prakrÃnto 'rtho na gamyate  BVaky_3,3.25d
prakriyÃ jagato yata÷  BVaky_1.1d
prakriyÃyÃæ na vidyate  BVaky_3,6.23d
prak«Ãlane ÓarÃvÃïÃæ  BVaky_2.313a
prakhyÃ tÃm Ãk­tiæ vidu÷  BVaky_3,1.19b
prakhyÃyate na ÓuklÃdi-  BVaky_3,14.103c
pracaya÷ parikalpyate  BVaky_3,9.35b
pracayÃpacayÃtmaka÷  BVaky_1.106d
pracayÃpacayau gata÷  BVaky_3,9.31b
pracayena pracÅyate  BVaky_3,9.65b
pracaye bhidyamÃne tu  BVaky_3,14.598a
pracetuæ vÃpi Óakyate  BVaky_3,9.34d
prajÃpatye«u sÃmarthyÃt  BVaky_2.456c
praj¤ayÃ yan nig­hyate  BVaky_3,9.39b
praj¤ÃyÃ vÃca eva vÃ  BVaky_3,7.109b
praj¤Ã vivekaæ labhate  BVaky_2.489a
praj¤usaæj¤vÃdyavayavair  BVaky_2.220a
praïÅto guruïÃsmÃkam  BVaky_2.487c
pratikriyaæ samÃptatvÃd  BVaky_3,1.99a
pratidravyam avasthitam  BVaky_1.101d
prati dravyasya nÃÓrita÷  BVaky_3,14.336b
pratipattÃv akÃraïam  BVaky_2.304d
pratipattinibandhanam  BVaky_2.443b
pratipattir anekadhÃ  BVaky_2.134d
pratipattiæ samÅhate  BVaky_2.235b
pratipattur aÓakti÷ sÃ  BVaky_1.87c
pratipattur bhavaty arthe  BVaky_3,3.2a
pratipatt­«u bhidyate  BVaky_2.474d
pratipatter upÃye«u  BVaky_3,14.354c
pratipatter upÃyo 'sau  BVaky_2.414c
pratipattau tu bhinnÃnÃm  BVaky_2.458c
pratipanna÷ pravartate  BVaky_2.130b
pratipÃdayatÃ v­ttim  BVaky_2.226a
pratipÃdyaæ na tat tatra  BVaky_3,3.26c
pratibandhas tirobhÃva÷  BVaky_3,9.11c
pratibandhaæ ca nots­jet  BVaky_3,9.5b
pratibandhÃbhyanuj¤ÃbhyÃæ  BVaky_3,9.4c
pratibandhÃbhyanuj¤ÃbhyÃæ  BVaky_3,9.30a
pratibandhÃbhyanuj¤ÃbhyÃæ  BVaky_3,9.70a
pratibandhe svatantratÃ  BVaky_3,7.150b
pratibimbakadharmeïa  BVaky_3,14.326c
pratibimbaæ tu d­Óyate  BVaky_2.294d
pratibimbaæ yathÃnyatra  BVaky_1.50a
pratibodhÃbhyupÃyÃs tu  BVaky_2.333a
pratibhaddhÃÓ ca yÃs tena  BVaky_3,9.15a
pratibhÃnyaiva jÃyate  BVaky_2.143b
pratibhÃvaæ vyavasthitau  BVaky_3,1.32b
pratibhÃs tadvatÃæ tathÃ  BVaky_2.148d
pratibhÃæ «a¬vidhÃæ vidu÷  BVaky_2.152d
pratibhedam samÆhisu  BVaky_3,8.5b
pratibhedaæ p­thak sthitÃ÷  BVaky_2.465d
pratibhedaæ samÃpyate  BVaky_2.18b
pratibhedaæ samÃpyate  BVaky_2.43b
pratibhedaæ samÃpyate  BVaky_2.395b
prativarïam asaævedya÷  BVaky_2.60a
prativarïaæ tv asau nÃsti  BVaky_2.53c
pratiÓabdam avasthita÷  BVaky_2.398b
prati«edhaprakÊptaye  BVaky_3,3.42b
prati«edha÷ pravartate  BVaky_3,3.42d
prati«edhe vivak«ite  BVaky_3,14.264b
prati«edho na kalpate  BVaky_3,14.264d
prati«edho nirarthaka÷  BVaky_3,14.319d
prati«edhopadeÓane  BVaky_2.386b
prati«edhyo yathÃbhÆtas  BVaky_3,14.288a
pratisvatantraæ vÃkyaæ vÃ  BVaky_2.457c
pratÅtatvÃt tadarthasya  BVaky_3,12.25a
pratÅyamÃnadharmÃnyo  BVaky_3,14.465c
pratyaktÃ parabhÃvaÓ cÃpy  BVaky_3,10.1a
pratyak«am anumÃnaæ ca  BVaky_1.36a
pratyak«am iva kaæsÃdÅn  BVaky_3,7.5c
pratyak«aæ pratibimbake  BVaky_1.102d
pratyak«Ãn na viÓi«yate  BVaky_1.37d
pratyaÇmukhasya yat paÓcÃt  BVaky_3,6.8c
pratyayatvaæ na sidhyati  BVaky_3,14.178d
pratyayasya pradhÃnasya  BVaky_3,1.91a
pratyayasya vidhau tatra  BVaky_3,14.595c
pratyayaæ tayapaæ hitvÃ  BVaky_3,14.121c
pratyaya÷ punar ucyate  BVaky_3,14.537b
pratyaya÷ pratipÃdyate  BVaky_3,14.504d
pratyayÃïÃm prayojakÃ÷  BVaky_3,14.174b
pratyayÃtmopajÃyate  BVaky_3,14.570b
pratyayÃnte«u lak«yate  BVaky_2.212b
pratyayÃya prayujyate  BVaky_3,14.279d
pratyayÃrthaviÓe«aïam  BVaky_3,14.510b
pratyayÃrthaviÓe«aïe  BVaky_3,14.518d
pratyayÃrthaviÓe«aïe  BVaky_3,14.524b
pratyayÃrthaÓ ca dhÃtubhi÷  BVaky_2.229d
pratyayÃrthÃtmaniyatÃ÷  BVaky_2.446a
pratyayÃrthÃ nibandhanam  BVaky_2.231b
pratyayÃrthÃviÓe«aïÃt  BVaky_3,14.507b
pratyayÃv eka eva tam  BVaky_2.230b
pratyayena vinÃ prÃdis  BVaky_3,14.585a
pratyayena vinÃ yadi  BVaky_3,14.83b
pratyaye na viÓi«yate  BVaky_3,14.366d
pratyayenÃbhidhÅyate  BVaky_2.229b
pratyayenÃbhidhÅyate  BVaky_3,7.82b
pratyayenÃbhidhÅyate  BVaky_3,8.49d
pratyaye hetur ucyate  BVaky_2.328d
pratyayair anupÃkhyeyair  BVaky_1.85a
pratyayotpattihetava÷  BVaky_1.177b
pratyayo na nivartate  BVaky_3,14.505d
pratyayo 'nyena yujyate  BVaky_3,14.609d
pratyayo vÃcakatve 'pi  BVaky_2.194c
pratyayau vartamÃnatÃm  BVaky_3,9.101b
pratyavasthaæ tu kÃlasya  BVaky_3,9.12a
pratyavÃye tathÃvidhe  BVaky_2.322b
pratyavÃyo 'bhidhÅyate  BVaky_2.321d
pratyastarÆpÃ bhÃve«u  BVaky_3,6.7a
pratyastarÆpÃæ bhÃve«u  BVaky_3,8.25c
pratyasthamitabhedÃyÃ  BVaky_1.18a
pratyÃkhyÃte 'nyathÃ sÆtre  BVaky_3,14.110c
pratyÃkhyÃnaæ na saæbhavet  BVaky_3,14.561d
pratyÃkhyÃnaæ samaæ bhavet  BVaky_3,7.134d
pratyÃkhyÃne tu yogasya  BVaky_3,14.108c
pratyÃtmav­tti siddhÃ sÃ  BVaky_2.144c
pratyÃyayati vÃcaka÷  BVaky_2.123b
pratyÃyayantÅ bhedasya  BVaky_3,14.503c
pratyÃyyena kvacid bhedo  BVaky_2.98c
pratyÃyye 'rthe vivak«ite  BVaky_2.301b
pratyÃv­tti nirÆpyate  BVaky_1.84d
pratyÃÓrayam avasthÃnaæ  BVaky_2.375c
pratyÃÓrayaæ samÃptÃyÃæ  BVaky_3,1.62a
pratyÃsanne kriyÃæ prati  BVaky_3,14.25b
praty upÃdhi÷ kathaæ bhavet  BVaky_3,14.459b
pratyekam avati«Âhate  BVaky_2.222b
pratyekam avati«Âhate  BVaky_2.457b
pratyekam avati«Âhate  BVaky_3,14.605d
pratyekaæ ca samÆho 'sau  BVaky_3,14.30c
pratyekaæ jÃtivad v­ttis  BVaky_3,14.31c
pratyekaæ tu samÃpto 'rtha÷  BVaky_2.115c
pratyekaæ tena bhidyate  BVaky_3,14.606d
pratyekaæ pratipadyante  BVaky_2.377c
pratyekaæ pravibhajyate  BVaky_2.222d
pratyekaæ vÃ bahutvena  BVaky_2.472c
pratyekaæ vÃ samastair vÃ  BVaky_2.387c
pratyekaæ vÃ samÆhina÷  BVaky_3,8.14b
pratyekaæ vya¤jakÃ bhinna  BVaky_1.91a
pratyekaæ saæhatÃnÃæ ca  BVaky_2.385c
pratyekaæ syÃd vikalpanam  BVaky_3,1.76b
pratyedaæ vÃ samÃpyate  BVaky_2.471b
prathamaæ chandasÃm aÇgam  BVaky_1.11c
prathamaæ tac ca kÃrakam  BVaky_3,8.39b
prathamaæ tad avidyÃyÃæ  BVaky_3,9.62c
prathamÃ Ói«yate puna÷  BVaky_3,14.86d
prathamÃæ tÃæ pracak«ate  BVaky_3,6.13d
prathamÃæ yu«mado vidu÷  BVaky_3,10.4d
prathame puru«e sati  BVaky_3,10.3b
pradeÓasyaikadeÓaæ vÃ  BVaky_3,3.52a
pradeÓÃnÃæ nivartakÃ÷  BVaky_3,14.217b
pradeÓÃntarabÃdhakÃ÷  BVaky_3,14.217d
pradeÓe darÓanaæ te«Ãm  BVaky_3,14.481c
pradeÓe 'py upalabhyate  BVaky_3,14.484d
pradeÓe«Æpati«Âhate  BVaky_1.70d
pradeÓe samudÃye vÃ  BVaky_3,14.489c
pradhÃnakarma kathitaæ  BVaky_3,7.71a
pradhÃnakalpanÃbhÃve  BVaky_3,14.580a
pradhÃnatvaæ na hÅyate  BVaky_3,7.162d
pradhÃnadharmÃvyÃv­ttir  BVaky_3,14.283c
pradhÃnabhÆtÃæ tÃdarthyÃd  BVaky_3,8.15c
pradhÃnam atra bhedyatvÃd  BVaky_3,14.284a
pradhÃnam anurudhyate  BVaky_3,7.81d
pradhÃnam anyÃrthatayÃ  BVaky_3,14.236a
pradhÃnavi«ayÃ Óakti÷  BVaky_3,7.82a
pradhÃnasya tathÃ na syÃd  BVaky_3,14.413c
pradhÃnasya prasiddhaye  BVaky_3,7.92d
pradhÃnaæ tu pratÅyate  BVaky_3,14.277b
pradhÃnaæ bhavati kriyÃ  BVaky_3,1.83d
pradhÃnaæ m­gadugdhÃdau  BVaky_3,14.134c
pradhÃnaæ syÃt prayojitam  BVaky_3,1.84d
pradhÃnÃni parasparam  BVaky_2.352b
pradhÃnÃnugrahÃt sÃmyÃd  BVaky_3,14.510c
pradhÃnÃntarasiddhaye  BVaky_3,1.88b
pradhÃnÃsaæbhave yuktÃ  BVaky_3,14.452c
pradhÃnetarayor yatra  BVaky_3,7.81a
pradhÃne 'py upayujyate  BVaky_3,7.157d
pradhÃne 'bhyantarÅk­ta÷  BVaky_3,14.312b
pradhÃne yÃti Óe«atÃm  BVaky_3,7.162b
pradhÃne yÃnti kart­tÃm  BVaky_3,7.21d
pradhÃne«u guïe«u vÃ  BVaky_3,14.65b
pradhÃne«u pratÅyate  BVaky_3,14.470b
praparïaprapalÃÓÃdau  BVaky_3,14.52c
pramÃïatvena tÃæ loka÷  BVaky_2.147a
pramÃïam ardhahrasÃdÃv  BVaky_2.307c
pramÃïÃdÅva Ói«yate  BVaky_3,1.4b
pramÃïÃdyanuÓÃsanam  BVaky_3,1.5d
prayatnena samÅritÃ÷  BVaky_1.114b
prayuktÃnÃæ hi ÓabdÃnÃæ  BVaky_3,14.561a
prayuktena ca saæbandhÃc  BVaky_3,14.230a
prayukte na prayujyate  BVaky_3,14.216b
prayuktair ÃÓrayair bhinno  BVaky_3,14.311c
prayujyante tyadÃdaya÷  BVaky_3,14.343d
prayoktÃ pratipattÃ vÃ  BVaky_3,3.19c
prayoktÃ m­gapak«iïÃm  BVaky_2.150d
prayokt­dharma÷ ÓabdÃrthe  BVaky_3,9.105c
prayoktÌïÃæ vivak«ita÷  BVaky_2.434b
prayoktaivÃbhisaædhatte  BVaky_2.432a
prayoktrÃ pratipÃditÃ÷  BVaky_2.475d
prayoga upalabhyate  BVaky_3,14.465b
prayogakÃlÃbhede 'pi  BVaky_2.465c
prayogadarÓanÃbhyÃsÃd  BVaky_2.120a
prayogabhedÃd dhÃtÆnÃæ  BVaky_3,14.18a
prayogamÃtre nyagbhÃvaæ  BVaky_3,7.123a
