Vahata:
Astanganighantu
Based on the edition by Priya Vat Sharma,
Madras: The Kuppuswamy Sastri Research Institute, 1973


Input by Oliver Hellwig


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



Vàhaña: Aùñàïganighaõñu

akçùñapacyo nãvàraþ  VAnigh_334a
maricaü tãkùõam åùaõam  VAnigh_39b
marutpràõaþ prabha¤janaþ  VAnigh_377b
maruvaþ kharapattrakaþ  VAnigh_133d
markañã càtmaguptà ca  VAnigh_13a
markaño vànaraþ kã÷aþ  VAnigh_350c
malayåþ vàkucã caiva  VAnigh_229c
mallikoktà vicakilà  VAnigh_320c
masåravidalà ÷yàmà  VAnigh_192a
masåraþ pittabheùajam  VAnigh_337d
mahàkadambo niculo  VAnigh_211a
mahàkàlyaja÷çïgã ca  VAnigh_93c
mahàkùã tanvikà matà  VAnigh_18d
mahàïgaþ kàlamålakaþ  VAnigh_76d
mahàjàlã vibhàõóikà  VAnigh_247d
mahànãlà pratànikà  VAnigh_286b
mahàpuruùadantikà  VAnigh_47b
mahàphalekùurà caiva  VAnigh_259c
mahàbalà varùapuùpã  VAnigh_207a
mahàmedà vçkùaruhà  VAnigh_47a
mahàrambhà gajapriyà  VAnigh_120d
mahàvçkùo mahànãlo  VAnigh_234c
mahàvçddhiþ parocyate  VAnigh_44b
mahà÷àka÷ ca vàstukã  VAnigh_263d
mahiùàkùo ni÷àcàrã  VAnigh_189c
màkùikaü sàraghaü kùaudraü  VAnigh_327a
màkùikaü haimamàkùikam  VAnigh_295d
màtaügo dvirado dvipaþ  VAnigh_343d
màtuluïgo bãjapåro  VAnigh_271c
màdhava÷ ca suràùñrajaþ  VAnigh_337b
màdhavã syàd amukta÷ ca  VAnigh_136c
màdhvãkaü madhunà kçtam  VAnigh_329d
mànadrumo mocarasaþ samaïgà  VAnigh_154c
màyasaü ca ÷ilodbhavam  VAnigh_309b
màyuþ pittaü vahnikàntaü  VAnigh_378a
màrtaõóa÷ ca vikartanaþ  VAnigh_384d
màrdvãkaü madhu vij¤eyaü  VAnigh_329c
màlatãrasasambhavaþ  VAnigh_295b
màlatã sumanà jàtã  VAnigh_320a
màlavã tri÷irà pàñhà  VAnigh_35a
màlåraþ ÷rãphalaþ ÷aivaþ  VAnigh_93a
màùaparõã mahàsahà  VAnigh_12d
màùastu picchilarasaþ  VAnigh_339a
mi÷iþ ghoùà ÷atàhvayà  VAnigh_266b
mi÷reyà ÷àlinã ÷ãta-  VAnigh_266c
mihiraü harinàmakam  VAnigh_306d
mãno matsyo 'õóaja÷ caiva  VAnigh_359a
mukulaü korakaü smçtam  VAnigh_402d
mudgaparõã sahà såpya-  VAnigh_11c
muraïgã ÷igruko rakta-  VAnigh_95a
muùkakasnugvaràdvãpi-  VAnigh_140a
muùkakàdau tu ÷ikharã  VAnigh_141a
muùkako mokùakas tathà  VAnigh_141b
mustà tu jaladàhvayà  VAnigh_151b
mustàdike gaõe mustà  VAnigh_167a
mustàvacàgnidvini÷àdvitiktà-  VAnigh_166a
måtralaü trapusaü smçtam  VAnigh_257b
måtravçddhikaraþ smçtaþ  VAnigh_99d
mårvà càtirasà smçtà  VAnigh_65b
målaü ÷àlåkakandakam  VAnigh_316b
målaü ÷àlåkakandakau  VAnigh_401b
måùikàri÷ citraphalaþ  VAnigh_268c
mçganàbhir mçgamadaþ  VAnigh_298a
mçgasvedo mçgajalaü  VAnigh_299c
mçge kuraïgavàtàyu-  VAnigh_347c
mçtamandàtiparõikà  VAnigh_22d
mçtyuüjayaþ kçttivàsàþ  VAnigh_393a
mçtsà mçtsnà ca mçttikà  VAnigh_378d
mçdukàntiþ mahà÷vetà  VAnigh_286c
mçdutvak càsthiracchadaþ  VAnigh_82b
mçdupuùpo 'tha suùiro  VAnigh_109c
mçdulohaü tãkùõalohaü  VAnigh_311a
mçdvãkà tåttamaphalà  VAnigh_52c
meghavçttistu càtakaþ  VAnigh_357b
medaþkaphaharo gaõaþ  VAnigh_114b
medaþkaphàóhyapavana-  VAnigh_150c
medaþkçminiùådanaþ  VAnigh_130b
medaþpittàsratçódàha-  VAnigh_170c
medaþsambhavam asthi syàd  VAnigh_375a
medà medaþsamudbhavà  VAnigh_46d
medodoùanibarhaõaþ  VAnigh_80d
medo 'r÷aþkapha÷ukrajit  VAnigh_140d
medhyaü syàd auttaràpatham  VAnigh_33d
meùàntrã vçùapattrikà  VAnigh_200d
maireyo hy àsavo madaþ  VAnigh_329b
mocakã guóama¤jarã  VAnigh_116b
mocaü tu kadalãphalam  VAnigh_269d
morañã kùãramorañam  VAnigh_65d
mohinã vañapattrikà  VAnigh_218d
-mlàyanã vanamàlikà (?)  VAnigh_318d
yavatiktà ki÷orikà  VAnigh_195b
yava÷ ca sthålamadhya÷ ca  VAnigh_333c
yavànã jaraõàhvayà  VAnigh_147d
yavotthaü taõóulodaü ca  VAnigh_332a
yaùñã paruùakaü hanti  VAnigh_23c
yaùñã madhukayaùñyàhvà  VAnigh_29a
yàvako 'laktakaþ smçtaþ  VAnigh_297d
yàvanàlaþ ÷ukapriyaþ  VAnigh_336d
yàva÷åko yavakùàraþ  VAnigh_294c
yàso duþspar÷akas tathà  VAnigh_210b
yuktàhvà gandhanàkulã  VAnigh_117d
yåthikà gandhanàmikà  VAnigh_320b
yonidoùaharaþ stambhã  VAnigh_114c
yoniroganibarhaõaþ  VAnigh_170d
yoniþ syàd dçóhadhàtukaþ  VAnigh_373b
raktacitras tathànyas tu  VAnigh_76c
raktapàdã ÷amãpattrà  VAnigh_280c
raktapàùàõako dhàtuþ  VAnigh_287a
raktapuùpã jayà rudrà-  VAnigh_318c
raktabinducchadà tathà  VAnigh_253d
raktabindus tilacchadaþ  VAnigh_233d
raktabãjaphalàhvayam  VAnigh_54d
raktaü ÷oõaü màüsakaraü  VAnigh_373c
raktikà kàkaõantikà  VAnigh_224b
raktairaõóo dvitãyas tu  VAnigh_7a
raktotpalasugandhike  VAnigh_61b
rakùatàü devabhiùajau  VAnigh_408c
rakùoghnaþ ÷vetasarùapaþ  VAnigh_38b
rajaþ paràgaü ki¤jalkaü  VAnigh_158a
rathadruþ sarvasàdhakaþ  VAnigh_81d
rambhà tu kadalã mocà  VAnigh_118c
rambhà tu kadalã mocà  VAnigh_270a
ravibhaktà suvarcalà  VAnigh_112d
rasabhåþ carmara¤janam  VAnigh_292b
rasàmlaü ÷uktakà¤jikam  VAnigh_332b
rasàladruþ sahakàraþ  VAnigh_175a
rasendra÷ capalaþ såto  VAnigh_290a
raso niryàsaràlakau  VAnigh_87d
rasono la÷uno j¤eyaþ  VAnigh_265c
ràjako÷àtakã smçtà  VAnigh_240d
ràjakùavaþ pãtapuùpaþ  VAnigh_134c
ràjaputrã hareõukà  VAnigh_36d
ràjamànyo 'mçtàphalaþ  VAnigh_64d
ràjamàùo 'lasàndraþ syàt  VAnigh_339c
ràjàdanaü kùãra÷uklaü  VAnigh_54a
ràjàhvaü dàóimaü ÷àkaü  VAnigh_48c
ràjàhvaü vànarapriyam  VAnigh_54b
ràjikà piõóavatphalà  VAnigh_276d
ràmañhaü bhåtanà÷anam  VAnigh_100d
ràmànyàcchàdanaphalà  VAnigh_208a
ràmàhvàrkalatàràmà  VAnigh_235c
ràlas tu devadhåpaþ syàt  VAnigh_190a
rãtikà pittalaü påti  VAnigh_307a
rugyogyo vyàghraparõyapi  VAnigh_285d
rujàkaras tv àrtagalo  VAnigh_97a
rudraretà mahàrasaþ  VAnigh_289d
ruhà kàõóodbhavàmçtà  VAnigh_45d
råpikà tàmrapuùpikà  VAnigh_318b
råpyakaü rajataü tàraü  VAnigh_305a
råpyo haritatumbilã  VAnigh_279d
recano raktacårõakaþ  VAnigh_200b
reõukà kàntanàmikà  VAnigh_182b
reto vãryàntyadhàtuke  VAnigh_376b
rogaj¤o jãvano vidvàn  VAnigh_406c
rogahàro 'gadaükàro  VAnigh_406a
rodho brahmataruþ pañuþ  VAnigh_86d
rodhra÷àbarakarodhrapalà÷àþ  VAnigh_113a
rodhraü dhàtakibilvape÷ike  VAnigh_155c
roma÷aü chadanaü pattraü  VAnigh_185a
roma÷à camarã smçtà  VAnigh_348d
roùajo dhanvanacchadaþ  VAnigh_29d
rohiõã kañurohiõã  VAnigh_167d
rohiõã khañvalà proktà  VAnigh_52a
rauhiõeyo budho dvijaþ  VAnigh_388b
lakùmaõà putrajananã  VAnigh_253c
lakùmã padmàlayà padmà  VAnigh_400a
lajjà lohitayaùñikà  VAnigh_280d
latàkastårikà ràlã  VAnigh_298c
lambaromà makùikà ca  VAnigh_369a
lambà piõóaphalekùvàkuþ  VAnigh_259a
'larko vikaraõaþ smçtaþ  VAnigh_123d
lavaõaü pañunàmakam  VAnigh_294b
lavaügaü devakusumaü  VAnigh_301c
làkùà dãptir drumavyàdhiþ  VAnigh_297a
làmbur ikùvàkusaüj¤ikà  VAnigh_241d
likuco lakuco óahuþ  VAnigh_273d
likhikà bhaktikà bhårã  VAnigh_228c
luïga÷ ca phalapårakaþ  VAnigh_271d
lulàyo mahiùo vàha-  VAnigh_371a
lelihas tàlapattrakaþ  VAnigh_312b
lelihàno danda÷åko  VAnigh_362a
lodhràdau tilvako lodhras  VAnigh_115a
loma÷à ca prakãrtità  VAnigh_256d
lohakàntamayaskàntaü  VAnigh_310c
lohanàmàgaruþ smçtaþ  VAnigh_87b
lohitaü raktacandanam  VAnigh_28d
lohitàïgaþ pipãlakaþ  VAnigh_366d
vakra÷alyà kçùõaphalà  VAnigh_178a
vacàjaladadevàhva-  VAnigh_149a
vacàdau pràg vacà proktà  VAnigh_151a
vacàharidràdigaõàv  VAnigh_150a
vacogragandhà jañilà  VAnigh_148a
vajravallã tu ÷çïkhalà  VAnigh_254d
vañhi¤jarakuñherakau  VAnigh_132d
vatsakamårvàbhàrïgãkañukà marãcaü ghuõapriyà ca gaõóãram  VAnigh_143/a
vatsakaþ kuñajas tathà  VAnigh_145d
vatsakaþ kauñajaü phalam  VAnigh_71b
vatsadantã mahà÷çïgã  VAnigh_312a
vatsanàbho halàhalaþ  VAnigh_311d
vatsàdanã suda÷àkhyà  VAnigh_252c
vanatikto vatsakàdau  VAnigh_145a
vanapriyaþ parabhçtaþ  VAnigh_357c
vanaukàþ phalabhakùakaþ  VAnigh_350d
vandàkaþ kàmavçkùakaþ  VAnigh_109b
vandhyà karkoñakã tathà  VAnigh_128b
vanyakanda÷ ca ÷åraõaþ  VAnigh_280b
vanyastu gavayo j¤eyaþ  VAnigh_371c
varadàruþ kharacchadaþ  VAnigh_55d
varàïgaü carmanàmà ca  VAnigh_184c
varàmlas tv amlavetasaþ  VAnigh_222b
varà loma÷amålikà  VAnigh_152d
varà ÷reùñhà tathottamà  VAnigh_341b
varàhaþ ÷åkaraþ kãñã  VAnigh_349a
varuõasairyakayugma÷atàvarã-  VAnigh_90a
varuõàdiþ kaphaü medo  VAnigh_91a
varuõàdau ÷vetapuùpo  VAnigh_92a
varuõo munibhikùitaþ  VAnigh_333d
varuõo varaõaþ smçtaþ  VAnigh_92b
varottamà ca triphalà  VAnigh_49c
vargo vãrataràdyo 'yaü  VAnigh_104a
varõaprasàdanaþ kaõóå-  VAnigh_180c
varõyo viùavinà÷anaþ  VAnigh_114d
varùàbhåþ dãrghapattrà ca  VAnigh_9a
vallãjaü yavaneùñaü syàn  VAnigh_39a
vallãpalà÷ikà kùãra-  VAnigh_5c
vallã matsyàrjakaþ smçtaþ  VAnigh_254b
vasantadåtã màkandà  VAnigh_174c
vasà medaþsamudbhavà  VAnigh_374d
vasukaþ sthålapuùpa÷ ca  VAnigh_105c
vasudhorvyacalà smçtà  VAnigh_381b
vasuvçkùas tu dhanvanaþ  VAnigh_221d
vahniparyàyavàcakaþ  VAnigh_76b
vaü÷àkhyà vaü÷arocanà  VAnigh_44d
vaü÷o veõur yavaphalaþ  VAnigh_215c
vàñyà kàrpàsasaüj¤akà  VAnigh_208b
vàñyà bhadraudanã balà  VAnigh_206d
vàñyàyanã tv atibalà  VAnigh_207c
vàñyàlakaþ pãtapuùpo  VAnigh_206c
vàtàriþ ÷vetapuùpikà  VAnigh_284d
vànaprastho madhudrumaþ  VAnigh_26d
vàpyaü kuùñhaü gadàhvayam  VAnigh_168d
vàpyàhvaü pauùkaraü ÷åla-  VAnigh_231c
vàmadevo mahàdevo  VAnigh_394a
vàmanaü tutthameva tu  VAnigh_291d
vàraõas taralã kumbhi-  VAnigh_216c
vàràhã vanamàlikà  VAnigh_226d
vàruõo vçkùadhåmakaþ  VAnigh_268b
vàrttàkã hiïgulã siühã  VAnigh_20a
vàrttàlohaü vartalohaü  VAnigh_308c
vàlukà sikatà smçtà  VAnigh_310b
vàsantaþ kçùõamudgastu  VAnigh_337a
vàhlãkaü ghusçõaü varam  VAnigh_188d
vikasas tu kañhillakaþ  VAnigh_9b
vij¤eya÷ carmapathikaþ  VAnigh_356a
vij¤eyaþ khapuras tathà  VAnigh_190d
vij¤eyà gandhamåùikà  VAnigh_364d
vij¤eyo vyàghranàmakaþ  VAnigh_187d
viñapaþ ÷ikharaü ÷iraþ  VAnigh_401d
vióaïgaü kçmijid balyaü  VAnigh_133a
vióaü tu kçtrimaü proktaü  VAnigh_293c
vitunnaü paripelavam  VAnigh_120b
vidàrigandhàü÷umatã  VAnigh_18a
vidàrã gajavàjãùñà  VAnigh_4a
vidàrãpa¤càïgulavç÷cikàlã-  VAnigh_2a
vidàrã ÷reùñhakandakaþ  VAnigh_5d
vidàryàdir ayaü hçdyo  VAnigh_3a
vidulo vetaso 'paraþ  VAnigh_175d
vidrumaü ca prakãrtitam  VAnigh_304d
vidhuþ sudhàü÷uþ ÷ubhràü÷ur  VAnigh_386c
vinãtaþ kulapattrakaþ  VAnigh_322b
vindhyajàto vibhãtakaþ  VAnigh_51b
vipulà sàgaràmbarà  VAnigh_382b
viprakãrõàny ataþ param  VAnigh_202d
vibudhas tãkùõasàrakaþ  VAnigh_231b
vibhàvasur grahapatis  VAnigh_385c
viralà gçdhranakhy api  VAnigh_178b
viråpàkùastrilocanaþ  VAnigh_394b
vi÷alyà sarpadaüùñrikà  VAnigh_8b
vi÷alyà halinã vahmi-  VAnigh_124c
vi÷àkho maõóalacchadaþ  VAnigh_9d
vi÷àlà ca vi÷alyà ca  VAnigh_198a
vi÷ikhà nàhikà smçtà  VAnigh_195d
vi÷eùàd vraõa÷odhanaþ  VAnigh_122d
vi÷vadevà jhaùà kàlà  VAnigh_11a
vi÷vambharà rasànantà  VAnigh_381c
vi÷varåpà råpyagaõóà  VAnigh_279c
viùamuùñi÷ ca karkoñã  VAnigh_138a
viùaü ca målakaü ÷çïgã  VAnigh_312c
viùaü vamim arocakaü kàmalàm  VAnigh_63d
viùaü viniyacchati  VAnigh_180b
viùàntardàhapittanut  VAnigh_56d
viùõukràntà nãlapuùpã  VAnigh_206a
viùõur nàràyaõaþ kçùõo  VAnigh_398a
viùvakseno janàrdanaþ  VAnigh_399b
visphårjanã vikaraõã  VAnigh_177a
vãraõyàbhayalàmajja-  VAnigh_24c
vãraü vãraõamålaü ca  VAnigh_25a
våùako rucakàhvayaþ  VAnigh_99b
vçka÷ ca dåùakaþ smçtaþ  VAnigh_364b
vçkùakaþ ÷akravçkùa÷ ca  VAnigh_145c
vçkùàdanã tu ÷ikharo  VAnigh_109a
vçkùàdanãnalaku÷àdvayaguõñhagundrà-  VAnigh_103c
vçttatuõóà kàkatiktà  VAnigh_72a
vçttapuùpàü÷umatphalà  VAnigh_118d
vçttapuùpàü÷umatphalà  VAnigh_270b
vçddhis tu ÷ràvaõã puùñiþ  VAnigh_44a
vç÷cikàly uùñradhåmakaþ  VAnigh_7d
vç÷cãvadevàhvaya÷årpaparõyaþ  VAnigh_2b
vç÷cãvaþ ÷vetamålakaþ  VAnigh_8d
vçùakarõyàkhukarõã ca  VAnigh_134a
vçùaka÷ càñaråùakaþ  VAnigh_106b
vçùagandhekùugandhikà  VAnigh_4b
vçùadaü÷aka àkhubhuk  VAnigh_366b
vçùàõã vçùabho vçùaþ  VAnigh_16d
vçùo vàsàñaråùakaþ  VAnigh_214d
vçùyabãjà galekaõóå-  VAnigh_13c
vegà kaïguõikà smçtà  VAnigh_126d
vegà kàkàõóakã tathà  VAnigh_126b
veõã jãmåtakaþ smçtaþ  VAnigh_240b
veõupatrã vçùà pàrvã  VAnigh_106c
vellantaràraõikabåkavçùà÷mabheda-  VAnigh_103a
vellantaro vãratarur  VAnigh_105a
vaikuõñho viùñara÷ravàþ  VAnigh_398b
vaigandho gandhako baliþ  VAnigh_288b
vaidehã capalà kaõà  VAnigh_31b
vaidyaputràn svarociùà  VAnigh_408d
volo vçddhaþ kulahalo  VAnigh_137c
vyàghrapàdaþ sruvataruþ  VAnigh_72c
vyàghraþ syàt puõóarãkaþ (?)  VAnigh_346b
vyàghràñaþ kha¤jarãñakaþ  VAnigh_356d
vyàghrã nidigdhikà kùudrà  VAnigh_19a
vyàghro vyàghratalopamaþ  VAnigh_7b
vyomake÷o bhavo bhãmaþ  VAnigh_396a
vraõànàm api ropaõau  VAnigh_156d
÷akañàkùo marådbhavaþ  VAnigh_88b
÷akuntamunibhojanam  VAnigh_334b
÷aïkhako màtçgehakaþ  VAnigh_358d
÷aïkhàvartà ÷aïkhapuùpã  VAnigh_195c
÷aïkhinã tiktalà vakrã  VAnigh_195a
÷aïkho vàribhavaþ kambuþ  VAnigh_304a
÷añàlavçkùo bilvo 'strã  VAnigh_92c
÷añã somasamudbhavà  VAnigh_184b
÷aõapuùpã bçhatpuùpã  VAnigh_245a
÷aõaþ ghaõña÷aõaþ smçtaþ  VAnigh_245b
÷atapattraü ku÷e÷ayam  VAnigh_314b
÷atapàt sarañà cakrã  VAnigh_363a
÷atapuùpà ÷atacchattrà  VAnigh_266a
÷atamålã ÷atàvarã  VAnigh_14d
÷aniþ païguþ såryaputraþ  VAnigh_389a
÷amã lakùmã ca ke÷anut  VAnigh_203b
÷ambåko vçtta÷aïkha÷ ca  VAnigh_358c
÷ambhur ã÷aþ pa÷upatiþ  VAnigh_391c
÷amyàka÷ caturaïgulaþ  VAnigh_70b
÷arapuïkhà bàõapuïkhà  VAnigh_284a
÷arã tu suvratà j¤eyà  VAnigh_232a
÷arekùukusumau bàõaþ  VAnigh_108a
÷alyakaióaryavçkùaþ syàc  VAnigh_78a
÷alyaparõã maõicchidrà  VAnigh_46c
÷a÷ipriyaü ca gandhàóhyaü  VAnigh_315a
÷a÷ã candro ni÷àkaraþ  VAnigh_386b
÷asyasaüvaraõaþ ÷åraþ  VAnigh_89c
÷aükara÷ candra÷ekharaþ  VAnigh_392b
÷àkaràjo bhåtavàso  VAnigh_213c
÷àka÷reùñhà sumaïgalà  VAnigh_15d
÷àkhàmçgavalãmukhàþ  VAnigh_350b
÷àõóilyaþ ÷rãnivàsakaþ  VAnigh_93b
÷àtakumbhaü ca hàñakam  VAnigh_305d
÷àrkaraü saindham aikùavam  VAnigh_330b
÷àrïgeùñàïgàravallikà  VAnigh_72b
÷àrdåla÷ citrakàyastu  VAnigh_346a
÷àlaparõã sthirà dhruvà  VAnigh_18b
÷àlaþ sarjarasàhvayaþ  VAnigh_190b
÷àlir vrãhir vara÷ caiva  VAnigh_333a
÷ikhaõóy àsphotakaþ smçtaþ  VAnigh_238d
÷ikhàvalaþ ÷ikhã kekã  VAnigh_353a
÷ikhikaõñhaü ca tutthakam  VAnigh_291b
÷igruþ ÷obhà¤janas tãkùõa-  VAnigh_94c
÷itikaõñhaþ kapàlabhçt  VAnigh_393d
÷itivàraþ såcipattraþ  VAnigh_262c
÷irãùo mçdupuùpakaþ  VAnigh_84b
÷ilàkarpårasaüj¤akam  VAnigh_296b
÷ilàjaü dhàtujaü j¤eyaü  VAnigh_102a
÷ilàjaü sthaviraü tathà  VAnigh_302d
÷ilàpuùpaü tu ÷aileyaü  VAnigh_302c
÷ivaþ ÷ålã mahe÷varaþ  VAnigh_391d
÷ivàparõà bhavànã ca  VAnigh_397a
÷ivàraõyà mi÷iþ smçtà  VAnigh_266d
÷ãghra÷àkhà ÷àkhinã ca  VAnigh_263c
÷ãtapàkã subãjakaþ  VAnigh_207b
÷ãtavãryaþ parpañakaþ  VAnigh_209a
÷ãtàü÷ur indu÷ candramàþ  VAnigh_386a
÷ãtàü÷vamçtalakùmãbhir  VAnigh_407a
÷ukaghràõo 'lpanàlikà  VAnigh_213b
÷ukanàsà tu nalikà  VAnigh_213a
÷ukeùñaü dàóimaü caiva  VAnigh_54c
÷uktaü sauvãrakaü ceti  VAnigh_331c
÷uktivyàghrinakho 'maràhvamaguruþ ÷rãvàsakaþ kuïkumaü  VAnigh_179c
÷uktiþ kararuho nakhaþ  VAnigh_186d
÷uklakandà ghuõapriyà  VAnigh_146b
÷uklakandà palà÷ikà  VAnigh_4d
÷uklapuùpà bhåmilagnà  VAnigh_204c
÷uklaü tejo bãjapuüstve  VAnigh_376a
÷uklà yà sà svàdukandà  VAnigh_148c
÷uõñhã mahauùadhaü vi÷vaü  VAnigh_33a
÷åkàtmakaþ kharabusau  VAnigh_133c
÷ålaghnã copaku¤cikà  VAnigh_34d
÷çgàlaghaõñà vajràkùã  VAnigh_254c
÷çgàlavinnà làïgålã  VAnigh_17c
÷çgàlikà puùpavallã  VAnigh_4c
÷çgàlo jambukaþ kroùñà  VAnigh_351a
÷çïgaveràbhamålakaþ  VAnigh_110b
÷çïgàñako jalaphalaü  VAnigh_317a
÷çïgã smçtà mahàghoùà  VAnigh_45a
÷ephàlikà ÷vetapuùpà  VAnigh_139c
÷ailåùaþ kàntavçkùakaþ  VAnigh_219d
÷ailodbhåtaü tathàmbaram  VAnigh_290d
÷aivàlaü jalasambhavam  VAnigh_313d
÷oõitaü kùatajam asçk  VAnigh_373d
÷oùagulmàïgamardordhva-  VAnigh_3c
÷auõóã syàt tãkùõataõóulà  VAnigh_31d
÷yàmà kàntà priyaïgukà  VAnigh_58b
÷yàmà kuñaraõà trivçt  VAnigh_194d
÷yàmàdantãdravantãkramukakuñaraõà÷aükhinã carmasàhvà  VAnigh_191a
÷yàmàdo kàlameùikà  VAnigh_192b
÷yàmàdyo hanti gulmaü viùamarucikaphau hçdrujaü måtrakçcchram  VAnigh_191d
÷yonàka÷ caiva ñuõñukaþ  VAnigh_110d
÷ravàþ kàkodaraþ phaõã  VAnigh_361b
÷ràvaõã syàt muõóitikà  VAnigh_264a
÷rãveùñako vàyasako  VAnigh_188a
÷rãhastinã kurañakà  VAnigh_111a
÷reyasã syàd gajakaõà-  VAnigh_37a
÷reùñhà càpi phalatrayam  VAnigh_49d
÷leùmàntako bahuphalaþ  VAnigh_219c
÷vadaüùñrà ca trikaõñakaþ  VAnigh_20d
÷vàsakàsaharo gaõaþ  VAnigh_3d
÷vàsadrumaþ kàkataruþ  VAnigh_285c
÷vitrakuùñhakaphakrimãn  VAnigh_80b
÷vetakàmbhojikà dhvàïkùã  VAnigh_224c
÷vetaghnaþ ÷ãta÷amanaþ  VAnigh_89a
÷vetacàmarakaþ kà÷as  VAnigh_237c
÷vetacàmarakaþ kà÷o  VAnigh_108c
÷vetatvak tãkùõasàra÷ ca  VAnigh_231a
÷vetanirguõóikà smçtà  VAnigh_139d
÷vetapàkã ÷ikhaõóikà  VAnigh_224d
÷vetapuùpaphaleti ca  VAnigh_270d
÷vetapuùpàvarohitaþ  VAnigh_217b
÷vetaraktaviùà matà  VAnigh_146d
÷vetàïgaü maricàhvayam  VAnigh_96b
÷vetà tu khañikà smçtà  VAnigh_286d
÷vetàyugmaü tàpasànàü ca vçkùaþ  VAnigh_121d
÷vetà sunàbhiþ kañabhã  VAnigh_127a
ùañpadabhramaràvaliþ  VAnigh_368b
ùaógranthà haimavatyapi  VAnigh_148b
sa kàõóekùunibhàïghrikaþ  VAnigh_108b
sakçtprasåtà gçùñiþ syàt  VAnigh_372c
sajahviþ ÷rãkaraþ ÷àlo  VAnigh_87c
satãnà chardikà tathà  VAnigh_206b
sandhànãyau hitau pitte  VAnigh_156c
saptacchadàgnisuùavãphalabàõaghoõñàþ  VAnigh_68d
saptacchado 'yugmapattraþ  VAnigh_75c
saptàhvo gucchapuùpakaþ  VAnigh_75d
saptir vàhas tu bàóavaþ  VAnigh_344d
samaïgà vikasàruõà  VAnigh_158d
samaïgà ÷atapattrà ca  VAnigh_161a
samantadugdhà ÷vajihva-  VAnigh_142c
samãraõo màtari÷và  VAnigh_377c
samudrajaü ca sàmudraü  VAnigh_294a
samudrajo vyàghranakho  VAnigh_187c
samudraphenaü ÷uùkaü ca  VAnigh_303c
samudrànto yavàsakaþ  VAnigh_159d
sa mocarasasaüj¤akaþ  VAnigh_160d
saraghà madhumakùikà  VAnigh_368d
saralo devadàrukaþ  VAnigh_116d
sarpa÷ citras tu nãlàbho  VAnigh_265a
sarpaþ pçdàkurbhujago  VAnigh_360a
sarpàkùã raktapuùpikà  VAnigh_205b
saryako mçdupuùpakaþ  VAnigh_73d
sarvaj¤àya namaskçtya  VAnigh_1a
sarvaüsahà vasumatã  VAnigh_381a
savità ca sahasràü÷ur  VAnigh_384c
sa÷ilàjatu kçcchrà÷ma-  VAnigh_98c
sahadevà mahàgandhà  VAnigh_10a
sahasravãryas tãkùõàmlo  VAnigh_222a
sahasravãryà golomã  VAnigh_232c
sahasrã bahumålakaþ  VAnigh_164b
saügrahe vàlpasaügrahe  VAnigh_202b
saügràhã bhagnasàdhanaþ  VAnigh_170b
saüj¤à tu parikãrtità  VAnigh_47d
saütànaü stanikà smçtà  VAnigh_324d
sàtalà saptalà carma-  VAnigh_196a
sàraïgaþ kha¤jana÷ caiva  VAnigh_357a
sàraõã supratànikà  VAnigh_248b
sàradruþ ÷àlmalã mocà  VAnigh_160a
sàrasaü sarasãruham  VAnigh_59d
sàrivàdigaõaü vakùye  VAnigh_24a
sàrivà phàõijihvikà  VAnigh_21b
sàrivo÷ãrakà÷marya-  VAnigh_23a
sàro maõóalapattrakaþ  VAnigh_84d
sikthakaü makùikàmalam  VAnigh_327d
sitaü tãkùõaü ÷igrubãjaü  VAnigh_96a
sità kumàrikà mallã  VAnigh_218c
sità dårvà ca ÷àdvalaþ  VAnigh_232d
sità matsyaõóikà smçtà  VAnigh_326d
sitopalà ÷arkarà ca  VAnigh_326c
siddhàrthako bhåtanà÷o  VAnigh_38a
sindåraü raktareõu ÷rã-  VAnigh_292c
sindhuraþ sindhuvàra÷ ca  VAnigh_217a
