Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
pàràvatamalakùudra-  Ras_7.92c
pàrvatã paripçcchati  Ras_1.3d
pàr÷vajyotiş pradç÷yeta  Ras_11.142a
pàlà÷air veùñayedbahiş  Ras_12.220d
pàvakaü vàyave nyaset  Ras_2.56d
pà÷àbhaye ca vàmàbhyàü  Ras_2.71a
pàùàõàbhaş kaniùñhakaş  Ras_7.29d
pàùàõe sphañike vàtha  Ras_4.59c
piõóadhàraõayoge ca  Ras_1.30a
piõóapàte ca yo mokùaş  Ras_1.9a
piõóaü baddhvà tu vidhivat  Ras_7.22c
piõóitaü måkamåùàyàü  Ras_6.135c
piõóitaü vyoma niùkledaü  Ras_6.18a
piõóãbaddhaü tu kàrayet  Ras_7.87d
piõóãbandhantu kàrayet  Ras_6.58d
piõóe tu patite devi  Ras_1.9c
piõyàkorõàsamanvitam  Ras_7.92b
pità càhaü sanàtanaş  Ras_1.34b
pituş sadà÷ivàjjàtaü  Ras_2.31c
pittaü pa¤cavidhaü matsya-  Ras_5.36a
pittai÷ca paribhàvayet  Ras_7.82d
pittaistadbhàvayet pçthak  Ras_7.83d
pidhànakasamàyuktà  Ras_4.40c
pinàkaü darduraü nàgaü  Ras_6.4a
pinàke 'gniü praviùñe tu  Ras_6.4c
pibatàü bindavo devi  Ras_6.66a
pibanti mçgatçùõikàm  Ras_1.25d
pibettattu vicakùaõaş  Ras_12.245f
pibettattu samàhitaş  Ras_12.194f
pibedamaravàruõãm  Ras_1.26b
pi÷àcàn ràkùasàüstathà  Ras_2.119d
pi÷àcãtailamadhyataş  Ras_7.104d
pi÷àcebhya÷ca yatnataş  Ras_2.75d
piùñikàbhasmakàraõam  Ras_4.16b
piùñiketyabhidhãyate  Ras_10.26b
piùñãstambhe vi÷eùataş  Ras_8.79f
piùñairmàhiùatakre tu  Ras_7.117c
piùñvà tu triphalàmbhasà  Ras_6.59b
piùñvàmalakapa¤càïgaü  Ras_6.107a
piùñvà làkùàrasena tu  Ras_8.81b
piùñvà såraõakandake  Ras_6.22b
pãóito nirmala÷ca saş  Ras_11.64b
pãtamàtreõa tenaiva  Ras_12.195a
pãtamàtre bhavenmårchà  Ras_12.252c
pãtavargamataş ÷çõu  Ras_5.39d
pãtavarõastu jàyate  Ras_7.30d
pãtavastràü trilocanàm  Ras_2.69d
pãta÷uklavibhàgataş  Ras_7.5b
pãtastu mçttikàkàro  Ras_7.29a
pãtaü kçùõaü tathà raktaü  Ras_6.41c
pãtaü kçùõaü tathà ÷uklaü  Ras_6.2e
pãtaü tadamçtaü devair  Ras_6.65c
pãtaü marakataü mahat  Ras_6.120d
pãtà tàre sità prabhà  Ras_4.49b
pãtàbhrakaü tv ekadalaü  Ras_11.185a
pãtàruõairhemabãjaü  Ras_8.17a
pãte pãtaş site sitaş  Ras_6.128b
pãlutailena lepayet  Ras_6.33b
puñatrayaü pradàtavyaü  Ras_7.7c
puñanàdvai÷yamàraõam  Ras_6.104d
puñapàkàt mçtaü bhavet  Ras_6.101d
puñapàkena taccårõaü  Ras_6.122e
puñayedgandhakenàdàv  Ras_8.79a
puñayeddhàmayettataş  Ras_12.104d
puñayogaiş punaş punaş  Ras_8.59f
puñaü karùàgninà sadà  Ras_4.12b
puñaü dadyàt prayatnena  Ras_6.115c
puñaü dadyàdvicakùaõaş  Ras_11.121d
puñàt kùatriyamàraõam  Ras_6.103d
puñàdvipro mçto bhavet  Ras_6.102d
puñàntaü yàvadàgatam  Ras_6.82d
puñitaü bahu÷o devi  Ras_9.3c
puñe kùiptvà vipàcayet  Ras_12.176b
puñettu jàritastàvat  Ras_11.122e
puñena dagdhaü vara÷uddhim eti  Ras_7.12d
puñena nihataü kàryaü  Ras_8.71a
puñena màrayecchuddhaü  Ras_11.94c
puñena màrayedetad  Ras_11.138c
puñaikaikaü pradàpayet  Ras_11.32d
puñair bahulapotakam  Ras_6.17d
puõye tithau muhårte ca  Ras_2.48a
punaranyaü pravakùyàmi  Ras_3.2a
punaranyaü pravakùyàmi  Ras_11.108a
punaranyaü pravakùyàmi  Ras_12.27a
punaranyaü pravakùyàmi  Ras_12.36a
punaranyaü pravakùyàmi  Ras_12.52a
punaranyaü pravakùyàmi  Ras_12.58a
punaranyaü pravakùyàmi  Ras_12.65a
punaranyaü pravakùyàmi  Ras_12.84a
punareva nivartate  Ras_12.247b
punarghoraü nyasettatra  Ras_12.208c
punarjàritasàritaş  Ras_11.97b
punarnavàmeùa÷çïgã-  Ras_11.189a
punarlepaü tato dadyàt  Ras_7.130a
punarlepaü prakurvãta  Ras_7.131a
punar haüsagatistataş  Ras_10.19d
punastatraiva jàrayet  Ras_11.96d
punastaü gandhakaü dattvà  Ras_12.10a
punastaü gandhakaü sàkùàd  Ras_12.11c
punastenaiva jàrayet  Ras_11.140b
punaş ka¤cukitoyena  Ras_7.124c
punaş sàritajàritaş  Ras_11.140d
punaş såtakayojitam  Ras_8.27b
purà proktaü sure÷vari  Ras_7.66b
puruùà÷ca striya÷caiva  Ras_6.68c
puruùàùñàda÷a smçtàş  Ras_3.10b
puruùàste niboddhavyà  Ras_6.69c
puùpatàmbålacandanaiş  Ras_2.73d
puùpam asteyadhåpanam  Ras_2.86d
puùpamåladalànvitàş  Ras_5.7d
puùpayogena vàpayet  Ras_12.185b
puùparàge vyavasthitàş  Ras_8.13b
puùpàõàü raktapãtànàü  Ras_7.34a
puùpairapi ca tàdç÷ã  Ras_12.123b
puüvajràş suravandite  Ras_6.71d
påjanàcca pradànàcca  Ras_1.37c
påjanãyà mahe÷àni  Ras_2.61c
påjayitvà bahiş kramàt  Ras_2.53d
påjayitvà vicakùaõaş  Ras_12.193d
påjayeccandanàdibhiş  Ras_2.95b
påjayet sakalaü ÷ivam  Ras_2.66d
påjayeddakùavàmayoş  Ras_2.55b
påjayedrasasiddhyarthaü  Ras_2.72a
påjàü kurvanti sàdhakàş  Ras_2.129b
påjàü kçtvà yathàvidhi  Ras_2.74d
påjitaü madyamàüsai÷ca  Ras_6.53c
påjyàstvaùñadale padme  Ras_2.58c
påritàrdhodarasya ca  Ras_4.7b
pårõakumbhaü nyasenmadhye  Ras_2.98c
pårõamàsyàü ca ràtrau ca  Ras_12.194a
pårõimàyàmamàyàü và  Ras_2.25a
pårõimàyàü tu kàrayet  Ras_12.129d
pårvakalkena saüyutam  Ras_8.38b
pårvaproktà rasapradà  Ras_2.25d
pårvavacca vióaü dadyàt  Ras_11.123c
pårvavat sàraõà kàryà  Ras_12.331a
pårvavat siddhidà bhavet  Ras_12.331b
pårvaü ÷akticatuùñayam  Ras_2.62b
pårvàdikramayogataş  Ras_2.59d
pårvàbhiùavayogena  Ras_11.27c
pårvàbhiùekayogena  Ras_11.49a
pårve gçhe tu sà devã  Ras_3.13c
pårvoktayantrayogena  Ras_11.83a
pårvoktavidhinà priye  Ras_12.127b
pårvoktaü rasabhairavam  Ras_2.92b
pårvoktaü rasabhairavam  Ras_2.96b
pårvoktaü labhate phalam  Ras_12.295d
pårvoktaş siddhibhàgbhavet  Ras_2.27d
pårvauùadhyà tu taddevi  Ras_12.61a
pçthagda÷apalaü sarvaü  Ras_7.142a
pçthivyà yàni kàni ca  Ras_1.38b
peñàrãbãjam athavà  Ras_6.91c
peñàrã haüsapàdã ca  Ras_6.99a
peùayedgandhatailena  Ras_6.96c
peùayedvajrakandaü và  Ras_6.93a
peùayed vajravàriõà  Ras_6.136b
peùayedvahnitoyena  Ras_4.33c
peùayenmàtuluïgena  Ras_11.183c
peùyaü trikarùakàrpàsa-  Ras_6.92a
peùyaü strãrajasà tataş  Ras_6.91b
paurõamàsyàü trayoda÷yàü  Ras_12.180a
paurõamàsyàü vi÷eùataş  Ras_12.192b
'pyaùñavidye÷varàstathà  Ras_2.61b
prakañàü måùikàü kçtvà  Ras_7.11c
prakà÷amåùà deve÷i  Ras_4.39a
prakà÷à càndhamåùà ca  Ras_4.38a
prakà÷àyàü prakurvãta  Ras_4.47c
prakùipecca rasottame  Ras_12.228:1b
prakùipet khecarãrasam  Ras_12.60b
prakùiptàni tu såtake  Ras_11.134b
prajàpatiş kçùõatejàş  Ras_12.89c
praõamya ÷irasà devã  Ras_1.3c
praõavaü pårvam uccàrya  Ras_3.5a
praõavàdinamo 'ntastu  Ras_2.86a
praõãtàkhyà nadã tatra  Ras_12.262c
pratimànàni ca tulà-  Ras_4.4c
prativàpaü daded budhaş  Ras_12.268b
prativàpena kanakaü  Ras_7.121c
prativàpena lohàni  Ras_7.136c
prativàpe niùi¤cet tat  Ras_12.147c
pratiùñhàpya yathàvidhi  Ras_2.130b
pratiùñhitam ume÷àbhyàü  Ras_2.46c
pratãvàpaş purà yojyo  Ras_4.53a
pratãhàraü rasàïku÷ãm  Ras_3.6d
pratyakùaü nopalabhyate  Ras_1.13b
pratyakùo 'yaü bhavet priye  Ras_12.19d
pradãptair upalairadhaş  Ras_10.57d
pradravet rasamadhyataş  Ras_11.135d
prabhavati khalu loke somatàràrkajãvã  Ras_12.368a
pramàdàdutthito vighno  Ras_2.123a
prayacchati na saü÷ayaş  Ras_7.17d
prayànti narakaü sarve  Ras_1.45c
prayogo dehadhàrakaş  Ras_6.57d
prayogo nàma ràkùasaş  Ras_12.3b
prarohati kùaõàddivyà  Ras_12.150c
pralipya ÷ulvapattràõi  Ras_12.176a
pravàlasadç÷o 'dharaş  Ras_2.22b
pravàlaü jàrayet sà tu  Ras_12.67c
pravitatamukhabhàgaü saüvçtàntaşprade÷aü  Ras_4.58a
pravibhaktauùadhituùà-  Ras_2.45c
praviùñaü kùãrasàgare  Ras_7.63b
pra÷astà bilasàdhane  Ras_2.10d
pra÷astàş sàdhakàş priye  Ras_2.13d
pra÷asto jàraõàvióaş  Ras_9.3d
pra÷nàvatàraü j¤àtveti  Ras_2.103a
prasannà mçgalocanà  Ras_2.24d
prasàrya làkùàpañalaü  Ras_11.168a
prasiddhaü devatàgçham  Ras_12.261b
prasiddhà jàhnavã yathà  Ras_12.236d
prasçtidvitayena ca  Ras_11.173f
prasvedàttasya gàtrasya  Ras_12.88a
prasvedàdapi måtreõa  Ras_12.88c
praharàrdhena jàyeta  Ras_11.36d
pràkàraparikhopete  Ras_2.41a
pràgahaü suravandite  Ras_12.233b
pràgevoktà rasotpattis  Ras_10.2a
pràgvadàrdrakayogaü ca  Ras_11.121a
pràõàyàmàtmasåtrake  Ras_2.84d
pràpyate paramaü padam  Ras_1.41b
pràpyate piõóadhàraõam  Ras_1.18b
pràpyate rasajàraõà  Ras_11.2b
priyàlàpakarã nityaü  Ras_2.21a
priye tanmarditaü rasam  Ras_3.21d
priye mçdukharàhvayam  Ras_8.23b
preritaü muravairiõà  Ras_12.202d
proktalakùaõavarjitàş  Ras_2.14b
proktastvayànukãrtitaş  Ras_7.20d
proktà marakate priye  Ras_8.13d
plàvayitvà punaş punaş  Ras_8.78b
plàvayenmåtravargeõa  Ras_9.12a
plàvitavyaü prayatnena  Ras_11.43c
plutaü vaikràntajaü rajaş  Ras_7.136b
phaõitrijihvà gojihvà  Ras_5.5c
phalatrayakaùàyana  Ras_6.61c
phalamålàmlamarditam  Ras_6.27b
phalavighnà÷ca koñi÷aş  Ras_2.120b
phalàni ÷àkavçkùasya  Ras_12.177a
phåtkàraü devi mu¤cati  Ras_6.5d
bakagalasamamànaü vaïkanàlaü vidheyaü  Ras_4.58c
bakulasyàrjunasya ca  Ras_8.76d
badarãdàrusambhavaş  Ras_4.57b
badarãpattrasaüyutam  Ras_6.110d
baddharàgaü vijànãyàt  Ras_11.95c
baddhastiùñhati pàradaş  Ras_12.28d
baddhastiùñhati såtakaş  Ras_12.62d
baddhastu rudraråpaş syàt  Ras_10.30c
baddhaş khecaratàü kuryàt  Ras_1.19c
baddhaş khecaratàü nayet  Ras_11.151b
baddhaş khecaratàü nayet  Ras_11.163b
baddhaş såtastadà j¤eyo  Ras_11.148c
baddhena khecarãsiddhiş  Ras_11.219c
baddhvà tu khecarãü mudràü  Ras_2.33c
baddhvà poñalikàü tena  Ras_12.62a
baddhvà vastre vicakùaõaş  Ras_7.33b
badhyate ni÷calastathà  Ras_2.117d
badhyate sàrito rasaş  Ras_10.28d
badhyate såtakaü yacca  Ras_11.201c
bandhanaü rasaràjasya  Ras_12.168e
bandhamàyàti såtakaş  Ras_11.145d
bandhayet pàradaü tataş  Ras_12.323d
balamedhàgnidãpanam  Ras_7.51d
balavajjalavat sthiram  Ras_7.132d
balavanto mahàsattvàş  Ras_2.10a
balavàn dharmatatparaş  Ras_2.38b
balà càtibalà caiva  Ras_7.138c
balà nàgabalà kçùõà  Ras_5.4c
balipuùpopahàreõa  Ras_12.241a
baliü tatra nivedayet  Ras_12.193f
baliü dattvà mahàdevi  Ras_12.137e
bahiranta÷ca deve÷i  Ras_12.279c
bahi÷ca baddhaü vastreõa  Ras_11.61c
bahişsthitaü tvayaskàntaü  Ras_6.50c
bahudhà paribhàvitaiş  Ras_8.43b
bahuratneùu jãrõeùu  Ras_11.137a
bahulaü ka¤cukàvçtaş  Ras_10.8:1b
bahuvarùasahasràõi  Ras_12.344c
bahu÷astu niùecayet  Ras_11.42b
bahånàmudgamo yadà  Ras_9.13b
bahvà÷inã ca du÷città  Ras_2.15c
bàlavatsapurãùaü tu  Ras_3.7c
bàlastu pattralepena  Ras_11.78a
bàlà càtibalà caiva  Ras_6.104a
bàlàrkasadç÷aprabham  Ras_12.322d
bàùpàõàü budbudànàü ca  Ras_9.13a
bàhubhyàü tryahavedhi syàt  Ras_12.291c
bàhye tàmbålapattreõa  Ras_6.111c
bindavaş ke 'pi sa¤jàtàş  Ras_6.67a
bindumekaü tu sàdhayet  Ras_12.221d
bindur deve÷i tasyordhve  Ras_2.112a
bindorårdhve sthito nadaş  Ras_2.112b
bãjacårõàni tailena  Ras_11.114a
bãjatvakkùãraveùñitam  Ras_6.98b
bãjapåràmlabhåkhagaiş  Ras_11.18d
bãjasyaikaü ca yojayet  Ras_12.163d
bãjaü kàraõasaünibham  Ras_8.64d
bãjaü garbhe drutaü bhavet  Ras_11.178f
bãjaü yantre vinikùipya  Ras_12.159a
bãjaü ÷abdamanuttaram  Ras_3.5b
bãjànàü kalanaü proktaü  Ras_9.1a
bãjànàü kalpanaü pçthak  Ras_8.19b
bãjànàü ra¤janaü ÷çõu  Ras_8.73b
bãjànàü sàdhanaü priye  Ras_8.16b
bãjàni kalpitànyevaü  Ras_8.41a
bãjàni ra¤jitànyevaü  Ras_8.50a
bãjàni sitagu¤jàyàş  Ras_12.185a
bãje nirvàhayet priye  Ras_8.65d
bãje nirvàhayed etat  Ras_8.67c
bãje pàdàrdhatulyàü÷e  Ras_11.179a
buddhibhaïgo hi jàyate  Ras_2.131d
budbudai÷càpavarjitaş  Ras_10.22b
brahmacaryaü mahàdãpam  Ras_2.87a
brahmaj¤ànena mukto 'sau  Ras_1.49a
brahmadaõóaş sudaõóa÷ca  Ras_5.26a
brahmadaõóã ÷ikhaõóinã  Ras_5.3b
brahmaniryàsabhàvitam  Ras_11.136b
brahmabãjadalaiş saha  Ras_8.75b
brahmarãtisamàyuktaü  Ras_12.188c
brahmaviùõumahe÷varàş  Ras_5.26d
brahmaviùõumahe÷varàş  Ras_6.42b
brahmaviùõu÷ivodbhavam  Ras_12.288b
brahmaviùõusurendràdyair  Ras_12.2c
brahmahatyàdipàpàni  Ras_2.128c
brahmàyurjàyate rasaş  Ras_11.72b
brahmàyuş sa bhavennaraş  Ras_12.196d
brahme÷vare màsikaü syàt  Ras_12.284a
bràhmaõàn kùatriyàn vai÷yàn  Ras_2.12c
bràhmaõàş kùattriyà vai÷vàş  Ras_6.67c
bhaktànàü hitakàmyayà  Ras_1.7d
bhakti÷raddhàsamanvitaş  Ras_2.38d
bhakùaõàt parame÷àni  Ras_1.40a
bhakùaõàt smaraõàdapi  Ras_1.37b
bhakùaõàya pra÷asyate  Ras_12.98d
bhakùaõàrthàya vàrttikaş  Ras_12.100d
bhakùayitvà palaikaü tu  Ras_11.159a
bhakùayet taü rasaü pràj¤aş  Ras_12.102a
bhakùayettu krameõa tu  Ras_12.360b
bhakùayet pàradaü rasam  Ras_1.28b
bhakùayet pràtarutthitaş  Ras_12.309b
bhakùayed varùam ekaü tu  Ras_12.298c
bhakùayedvarùamekaü tu  Ras_12.316c
bhakùayenmadhusarpiùà  Ras_12.274d
bhakùayenmadhusarpiùà  Ras_12.310b
bhakùayenmadhusarpiùà  Ras_12.325b
bhakùayenmàsamàtraü tu  Ras_12.263c
bhakùitavyaü prayatnena  Ras_11.104a
bhakùitaş sa raso yena  Ras_12.87a
bhakùite tolakaikena  Ras_12.87c
bhakùito bhasmasåtakaş  Ras_11.158b
bhagarekhà tu pa¤came  Ras_3.4d
bhagaliïgeùu ye ratàş  Ras_1.24b
bhagavan tvadanuj¤ayà  Ras_11.12b
bhagavan devadeve÷a  Ras_3.1a
bhagnam etacchravet kùãraü  Ras_12.167a
bhaïge caiva bhavet kùãraü  Ras_12.123c
bhaïge nãlotpaladyuti  Ras_7.53b
bhadràïge dinavedhi syàt  Ras_12.283a
bhadràùñàü÷avi÷oùitaş  Ras_10.59d
bhavejjambåphalaprabhaş  Ras_11.175b
bhavettena mahàbalaş  Ras_12.353d
bhavet samarasaü garbhe  Ras_8.23e
bhaveddhema puñatrayàt  Ras_12.110d
bhavennirvàõado rasaş  Ras_11.152d
bhavellakùaõasaüyutam  Ras_12.176d
bhastrayà jvàlamàrgeõa  Ras_4.57e
bhastràphåtkàrayuktena  Ras_12.63a
bhastràbhyàü tãvravahninà  Ras_6.16b
bhasmanà bhàvitena tu  Ras_7.123b
bhasmamåùà tu vij¤eyà  Ras_4.42c
bhasmasåtapalaikaü ca  Ras_12.354a
bhasmasåta÷ca khoña÷ca  Ras_11.198e
bhasmasåtasya lakùaõam  Ras_11.205d
bhasmàkàraü hi jàyate  Ras_12.55d
bhasmàpàmàrgajaü kùipet  Ras_8.30b
bhasmãbhavati tatkùaõàt  Ras_6.115d
bhasmãbhåtatvamàdi÷et  Ras_12.47d
bhàgavçddhyà dhamettataş  Ras_8.65b
bhàgaikaü daradasya ca  Ras_11.183b
bhàgaikà kçùõamçttikà  Ras_4.36b
bhàõóikàyàü tu rasakaü  Ras_8.47c
bhàra ekaş prakãrtitaş  Ras_10.36d
bhàlapaññàttatastasya  Ras_12.203a
bhàvanà nàtra vidyate  Ras_2.29b
bhàvanàş saptadhà pçthak  Ras_12.41b
bhàvayitvà punaş punaş  Ras_11.114b
bhàvayecca tathà tena  Ras_6.37c
bhàvayet kiü÷ukadravaiş  Ras_9.6b
bhàvayettaü manaş÷ilàm  Ras_12.38d
bhàvayettu punaş punaş  Ras_12.130d
bhàvayettu manaş÷ilàm  Ras_12.130b
bhàvayettriş snuhãkùãrair  Ras_7.128a
bhàvayet dinamekaü tu  Ras_12.53e
bhàvayet saptavàraü tu  Ras_12.8c
bhàvayedamlavargeõa  Ras_9.16e
bhàvayedekaviü÷atim  Ras_7.143d
bhàvayeddoùavarjitam  Ras_10.45b
bhàvayedviü÷atiü vàràn  Ras_11.182a
bhàvitaü kadalãrasaiş  Ras_7.16d
bhàvitaü kharparasthaü ca  Ras_8.78a
bhàvitaü gaganaü priye  Ras_12.91b
bhàvitaü gandhakaü samam  Ras_11.110b
bhàvitaü tadrasaiş kramàt  Ras_11.24d
bhàvitaü bahu÷astacca  Ras_7.54c
bhàvitaü màkùikaü muhuş  Ras_7.10d
bhàvitaü rasakaü muhuş  Ras_7.35b
bhàvitaü saptavàsaram  Ras_7.124d
bhàvitaş kùàlito 'mbhasà  Ras_7.69d
bhàvitàü kuli÷akùãre  Ras_6.30c
bhàvito niculakùàraş  Ras_9.9c
bhàvyameraõóatailakaiş  Ras_7.13b
bhàvyaü dhàtrãrasena tu  Ras_12.158b
bhàskare tàrasaünibham  Ras_8.61d
bhiõóãmålàmlavetasaiş  Ras_6.12b
bhittvà kà÷mãripàùàõe  Ras_12.129c
bhukta à÷ãviùàmçte  Ras_7.39d
bhuktimuktikarã yasmàt  Ras_1.46c
bhuktvà jãvet kalpa÷ataü  Ras_12.276e
bhu¤jãta sa ca divyànnaü  Ras_12.361c
bhåkhagoùaõa÷igrubhiş  Ras_10.60b
bhågataü màsamekaü tu  Ras_12.162:2c
bhåcaraü taü vijànãyàt  Ras_11.142c
bhåcaràkhyaü tu jàraõam  Ras_11.90b
bhåcarã jàraõà proktà  Ras_11.98a
bhåcarã mçtyunà÷inã  Ras_2.57d
bhåtaü bhavyaü bhaviùyaü ca  Ras_2.35a
bhåtebhyo yakùarakùabhyo  Ras_2.75c
bhådaõóena tu kàrayet  Ras_12.164d
bhåpàñalã ca kaumàrã  Ras_5.27a
bhåmi÷ailanihitaü samuddhçtam  Ras_12.370d
bhåmiü tenaiva ÷odhayet  Ras_4.61d
bhåmau sarvaü nidhàpayet  Ras_12.308d
bhåyo gràsaü niveditam  Ras_11.61d
bhåyo na kañhinaü bhavet  Ras_7.118d
bhåyobhåyaş puñe dahet  Ras_11.42d
bhårje dattvà tato deyaü  Ras_11.115c
bhålatà cà÷madalanã  Ras_8.32c
bhålatàdhåmasaüyutam  Ras_7.35d
bhålatàmalamàkùãka-  Ras_8.85a
bhålatà màtçvàhakaş  Ras_7.139b
bhå÷ailamasti tatraiva  Ras_12.286e
bhå÷aile kardame 'pi và  Ras_12.323b
bhçïgaràgeùu suvrate  Ras_11.137b
bhçïgàmbhasà và saptàhaü  Ras_7.69c
bhçïgirãñaü mahàbalam  Ras_2.54b
bhçïgãkaü ca dçóhàyudham  Ras_2.54d
bheka÷åkarameùàhi-  Ras_8.84a
bhedato rasakastridhà  Ras_7.28b
bhedayet sarvalohàni  Ras_8.12a
bheùajaü vyàdhinà÷anam  Ras_11.215d
bhairavãü tanum à÷ritya  Ras_1.59c
bhairaveõa pracodità  Ras_12.336d
bhogã caiva puraüdaraş  Ras_12.264d
bhramanti pa÷avo måóhàş  Ras_12.71a
bhramet pradakùiõàvartaş  Ras_11.154c
bhramenmàdhukarãü bhikùàü  Ras_2.122c
bhràmakasya mukhaü tathà  Ras_6.87b
bhràmakaü cumbaka¤caiva  Ras_6.48a
bhràmakaü cumbakaü caiva  Ras_6.40a
bhràmakaü cumbakaü bhavet  Ras_6.54b
bhràmakaü tu kaniùñhaü syàt  Ras_6.44a
bhràmakàdiùu kànteùvapy  Ras_8.4a
bhràmayellohajàtaü tu  Ras_6.45a
ma¤jiùñhàkiü÷ukarase  Ras_8.80a
ma¤jiùñhà kuïkumaü làkùà  Ras_5.39a
ma¤jiùñhàmi÷ritaü tathà  Ras_12.178b
ma¤jiùñhàraktacandanam  Ras_12.44b
maõimatthaü sakhecaram  Ras_6.137b
maõiràgajamasyaiva  Ras_7.50c
maõóape pårvavaddevãm  Ras_2.105c
maõóalasya bahiş ràtrau  Ras_2.119a
maõóåkaparõã matsyàkùã  Ras_5.3a
maõóåkaplutireva ca  Ras_10.18b
maõóåkaplutireva ca  Ras_11.75b
maõóåkasya vasà viùam  Ras_8.35b
maõóåkàsthivasàñaïka-  Ras_7.121a
maõóåkã mudgaparõã ca  Ras_10.53c
mattavàraõasaüyutam  Ras_2.44b
matprabhàvaü prakà÷ayet  Ras_10.48b
matsyakårmajalaukasàm  Ras_8.84b
matsyadràvakapa¤cakam  Ras_7.92d
matsyapittena deve÷i  Ras_7.130c
matsyapittai÷ca bhàvayet  Ras_7.69b
mathyamànasya kalkena  Ras_10.19a
madana iva sukàntiş kàminãnàü pravãraş  Ras_12.366d
madonmattagajaş såtaş  Ras_6.49a
madyamàüsaratà nityaü  Ras_1.24a
madyamàüsaratàpraj¤à  Ras_1.29a
madyaü pàcyaü dinatrayam  Ras_12.306d
madhukuùmàõóakaü tathà  Ras_7.76b
madhunà saha bhakùayet  Ras_12.250b
madhunà sahitaü lihet  Ras_12.19b
madhuratrayasaüyutà  Ras_12.347b
madhusarpirdadhikùãra-  Ras_2.49a
madhusarpiryutaü puñet  Ras_6.60b
madhu saüyojya bhàõóasthaü  Ras_12.308c
madhyamaş pãtavarõaş syàc  Ras_7.67c
madhyamà madhyamà matà  Ras_4.30d
madhyasthamandhamåùàyàş  Ras_7.42a
madhyaü dvitrimukhaü bhavet  Ras_6.47b
madhye tàsàü ca ÷aktãnàü  Ras_2.63a
madhye tu rasasaügrahaş  Ras_4.15b
madhye vajraü vinikùipet  Ras_6.108b
madhye ùañkoõamaõóalam  Ras_2.94b
madhvàjyena tu peùayet  Ras_12.355d
madhvàjyena tu saüyutam  Ras_12.222b
manasa÷ca yathà dhyànaü  Ras_1.21c
manaş kçtvà niràmaye  Ras_2.93b
manaş÷ilàtàlayuktaü  Ras_12.125c
mantratantraparij¤àne  Ras_1.45a
mantradhyànàdinà tasya  Ras_10.17a
mantranyàsamiti j¤àtvà  Ras_3.33a
mantranyàsavidàcaret  Ras_2.133b
mantranyàsaü samàcakùva  Ras_3.1c
mantrapåtena rakùayet  Ras_12.186d
mantramårtiü rasàïku÷ãm  Ras_3.2b
mantrayuktaü sumantritam  Ras_12.194d
mantrayet kà¤jikàü tatra  Ras_3.20c
mantraràjaü rasàïku÷am  Ras_3.30b
mantraràjo rasàïku÷ã  Ras_3.20d
mantrasiddhàsanà devã  Ras_5.28a
mantrasiühàsanã nàma  Ras_12.59c
mantrànuùñhànatatparaş  Ras_2.7d
mantrã ca dharmatattvaj¤o  Ras_2.38c
mantreõa racayecchuddhiü  Ras_4.61c
mantreõànena tajjalam  Ras_12.245b
mantreõànena sarùapàn  Ras_12.243b
mantro 'ghoro 'tra japtavyo  Ras_4.23c
mantrauùadhisamàyogàt  Ras_4.23a
mama deharaso yasmàt  Ras_1.36c
mama pratyaïgasambhavaş  Ras_1.36b
mameyaü caõóikà màtà  Ras_2.34a
mayà te saüprakà÷itàş  Ras_3.31b
mayà saüjãvanã vidyà  Ras_12.234a
mayåragçdhramàrjàra-  Ras_7.127c
mayårapattrikàbhàsaü  Ras_10.9a
mayåravàlasadç÷a÷  Ras_6.127c
maricàbhrakacårõena  Ras_6.58c
maricaiş paripeùitaiş  Ras_11.189d
maricaiş sumukhena ca  Ras_6.13b
mardake tu niyojayet  Ras_3.16d
mardanaü càpi kàrayet  Ras_12.299b
