Yasodhara: Rasaprakasasudhakara 
Based on the ed. by Jivram Kalidas Sastri
Gondal : Rasasala Ausadhasram, 1940


Input by Oliver Hellwig



PADA INDEX


The transliteration emulates Devanagari script.
Therefore, word boundaries are usually not marked by blanks


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akùarà kuñajà tathà  YRps_9.7b
cocchrità tu ùaóaügulà  YRps_1.48f
cotsedho 'pi navàügulaþ  YRps_1.38b
cobhayaü samabhàgikam  YRps_6.65b
cordhvagaü satvamàharet  YRps_11.98d
chagaõakai÷ca puñaü paridãyatàm  YRps_3.30b
chagaõànàü sahasreõa  YRps_10.41c
chagaõena vi÷uùkeõa  YRps_4.82c
chagaõenàtha pårayet  YRps_4.88b
chagaõenàtha pårvavat  YRps_2.16b
chagaõairaùñabhiþ kçtvà  YRps_5.111a
chagaõairaùñabhiþ samyak  YRps_10.47a
chagaõopalasàrã ca  YRps_10.53c
chata÷aratsu niràmayakçtparam  YRps_3.18b
chattriõã caiva go÷çügã  YRps_9.3a
chàõairdadyàtsvedanaü mandavahnau  YRps_8.23b
chàõopari kçte garte  YRps_4.81a
chàyàyàü sthàpayecciram  YRps_4.76b
chidre càyasanàlikàm  YRps_1.57b
chinnàïgàyàþ kvàthapànaü vidheyam  YRps_8.16b
chucchuüdarãsthaü hi vipàcitaü puñe  YRps_7.28c
chede kçùõaü guru snigdhaü  YRps_4.95a
jananapàlanasaüharaõàtmakaü  YRps_1.1c
jantukàrã ÷igruvallã  YRps_9.38a
jantupàdã ca nirguõóã  YRps_9.27c
japàpuùpanibhaü svarõaü  YRps_11.56e
jambãrais tanmarditaü yàmayugmam  YRps_8.30d
jambukã jalayutà dravantikà  YRps_7.59b
jayantikàyàþ svarasena mauktikam  YRps_7.54d
jayedbahuvidhàn rogàn  YRps_4.55a
jaràdàridryanà÷anaþ  YRps_2.70d
jaràdàridryanà÷anaþ  YRps_9.10d
jaràdoùakçtàn rogàn  YRps_4.78c
jaràmçtyuvinà÷anam  YRps_4.50b
jaràmçtyuvinà÷anam  YRps_4.56d
jaràyur bahirujjhitaþ  YRps_6.83b
jaràü ca maraõaü vyàdhiü  YRps_4.78a
jalakumbhã meghanàdà  YRps_9.13a
jalakåmbhãrasaiþ pa÷càn  YRps_2.24c
jalapippalikà bhàrügã  YRps_9.17c
jalaprasthatrayaü tathà  YRps_1.62b
jalabhedo yadà na syàn  YRps_11.14c
jalayaütrasya yogena  YRps_1.79a
jalayaütreõa vai pàcyaü  YRps_11.3a
jalasekaþ prakartavyaþ  YRps_2.89c
jalasaiüdhavasaüyukto  YRps_1.65c
jalaü tatràóhakatrayam  YRps_1.80d
jalàpàmàrgamàüsike  YRps_9.12d
jalena dhautaü tàvacca  YRps_11.8e
jalena paripeùitam  YRps_12.1d
jalenoùõena påritam  YRps_1.84b
jalotpalà ci¤cikà ca  YRps_9.12c
jalaukà khoñapàñakau  YRps_2.2b
jalaukàmeùasåkaràþ  YRps_1.123d
jaübãrapårakajalair  YRps_1.74c
jaübãrasya draveõàtha  YRps_4.47c
jàtaü tad vartalohakam  YRps_4.114b
jàtaü tutthasamaü nãlaü  YRps_1.106c
jàtaü dçùñaü nànçtaü satyametat  YRps_11.123f
jàtãpattrã devapuùpaü ca ÷uõñhã  YRps_8.31a
jàtãpatraü phalaü tathà  YRps_13.6b
jàtãpatraü ÷atàvarã  YRps_12.2d
jàtãphalasamàü÷akàn  YRps_13.2d
jàtãphalàrkakarahàñalavaïga÷uõñhãkaïkolake÷arakaõàharicandanàni  YRps_13.10a
jàtãphalodbhavenàpi  YRps_2.82a
jàte sati virecane  YRps_6.59b
jàyate'tiruciraü kaïkuùñhakam  YRps_6.52b
jàyate'tiruciro jvaràrikaþ  YRps_8.8c
jàyate da÷avarõaü tu  YRps_11.53c
jàyate'dhikataraü guõena vai  YRps_3.64e
jàyate nàtra saüdeho  YRps_2.79e
jàyate nàtra saüdeho  YRps_4.19c
jàyate nàtra saüdeho hy  YRps_6.29c
jàyate nàtra saü÷ayaþ  YRps_1.155d
jàyate nàtra saü÷ayaþ  YRps_2.33b
jàyate nàtra saü÷ayaþ  YRps_4.70b
jàyate nàtra saü÷ayaþ  YRps_5.88d
jàyate nàtra saü÷ayaþ  YRps_11.4b
jàyate nàtra saü÷ayaþ  YRps_11.30b
jàyate nàtra saü÷ayaþ  YRps_11.44d
jàyate nàtra saü÷ayaþ  YRps_11.55b
jàyate nàtra saü÷ayaþ  YRps_11.56f
jàyate nàtra saü÷ayaþ  YRps_11.60d
jàyate nàtra saü÷ayaþ  YRps_11.108b
jàyate niübukadravaiþ  YRps_5.83d
jàyate pàradastataþ  YRps_2.13d
jàyate pravaraü kàüsyaü  YRps_4.111c
jàyate pravaraü tàraü  YRps_11.87c
jàyate pravaraü tàraü  YRps_11.94a
jàyate pravaraü tàraü  YRps_11.99c
jàyate pravaraü tàraü  YRps_11.127a
jàyate pravaraü hema  YRps_11.7a
jàyate bahubhiþ puñaiþ  YRps_5.25d
jàyate rasavaïgakam  YRps_4.91b
jàyate ruciraü tàraü  YRps_11.76e
jàyate ruciraþ sàkùàd  YRps_1.17c
jàyate sarvakàryeùu  YRps_4.101a
jàyate sarvarogànàü  YRps_4.71a
jàyate hema sundaraü  YRps_4.5b
jàyante doùavarjitàþ  YRps_6.89d
jàraõaü na ÷rutaü mayà  YRps_1.114d
jàraõaþ paramaþ smçtaþ  YRps_6.84d
jàraõe ca niyàmane  YRps_9.21d
jàrayed gurumàrgataþ  YRps_1.113d
jàràvalã mahàràùñrã  YRps_9.35a
jàritarasaràjakaþ  YRps_6.77d
jàvitrikàbdhi÷oùaü ca  YRps_13.2a
jãrõe pa¤caguõe càbhre  YRps_1.117a
jãvakarùabhakau jãvàü  YRps_12.17c
jãvedvarùa÷ataü sàgraü  YRps_5.112c
jãved varùa÷ataü sukhã  YRps_5.67b
jårtiü jayennãlamidaü pra÷astam  YRps_7.44d
jårtiü raktaü nà÷ayeccàtisàram  YRps_8.35b
jårtiü samyaï nà÷ayatyà÷u tãvràm  YRps_8.16d
jyotirnàmnã ca raktikà  YRps_9.3b
jyotiùmatã tejavatã  YRps_9.23a
jvaraghnam atihidhmàghnaü  YRps_6.25c
jvarapàõóupramehanut  YRps_5.99b
jvarànmehàü÷ca kàsàü÷ca  YRps_5.51a
jvaràü÷ca viùamànapi  YRps_5.132b
jvàlayet krama÷a÷caiva  YRps_5.96c
jvàlayenmårdhni pàvakam  YRps_1.54f
jvàlàmukhãrasenaiva  YRps_2.66a
jvàlàmukhãrase ùaùñhã-  YRps_4.12c
ñaïkaõaü dugdham àvikam  YRps_5.36d
ñaïkaõena samanvitam  YRps_11.47b
ñaïkabhàrà hi madhyamà  YRps_6.70d
ñaïkamànaü prakartavyaü  YRps_11.64a
ñaükaõaü vallapa¤cakam  YRps_11.82b
ñaükaõaü ÷àõamànaü hi  YRps_11.69c
ñaükaõena samanvitam  YRps_11.48d
ñaükaõena samaü piùñvà  YRps_5.21c
ñaükaõena samàyuktaü  YRps_5.88a
ñaükatrayamitaü pçthak  YRps_11.110b
ñaükamànena mi÷ritam  YRps_4.77d
óamarukàbhidhayaütranive÷itas  YRps_3.3a
óamaråkàbhidhayaütravareõa taü  YRps_3.8a
óàkinãbhåtasaüve÷a-  YRps_5.77a
óhekãsaüj¤am udàhçtam  YRps_10.5b
takramadhye trivàraü hi  YRps_4.80e
takre måtre'tha vahninà  YRps_5.13d
taccaturguõamçttikà  YRps_10.13b
taccaturda÷avarõakam  YRps_4.6d
taccaturda÷avarõàóhyaü  YRps_4.5c
taccàpyuktaü ÷akranãlàbhidhànam  YRps_7.41f
taccàvakraü masçõaü komalaü ca  YRps_7.17c
tacchuddhaü kaladhåtaü hi  YRps_4.23e
tacchuddhaü ca vidhãyate  YRps_5.108d
tacchodhayedvai bhasitasya måùyàü  YRps_4.24c
tañe tapatyàþ saüjàtaü  YRps_5.79c
taõóulãyarasenaiva  YRps_5.18c
taõóulãya÷iphàrasaiþ  YRps_5.21b
tata uddhçtya vastreõa  YRps_2.8c
tata÷caiva viùopamàþ  YRps_1.28d
tatastadavatàrayet  YRps_11.13d
tatastadgolakaü kçtvà  YRps_2.73c
tatastu gaüdhaü khalu màrkavadravair  YRps_3.55a
tataþ kùàrajalena và  YRps_6.4d
tataþ khalve nidhàpayet  YRps_2.29b
tataþ prakà÷amåùàyàü  YRps_2.55a
tataþ ÷aõabhavenàpi  YRps_4.86c
tataþ ÷odhanakaü tasya  YRps_1.5c
tataþùoóa÷abhàgena  YRps_1.88c
tataþ saüpuñake nyaset  YRps_4.98b
tataþ svarõabhavaü patraü  YRps_4.12a
tato gu¤jàrasenaiva  YRps_2.53c
tato dvàda÷avàràõi  YRps_4.30c
tato dhårtaphalànàü hi  YRps_2.91a
tato dhårtaphalàntasthaü  YRps_2.79a
tato dhårtaphale nyastaü  YRps_2.10a
tato dhårtarasenaiva  YRps_2.75a
tato'nnam upayojayet  YRps_12.21b
tato mçtàbhraü bhakùeta  YRps_1.160c
tato yojyà rasàyane  YRps_4.109f
tato viü÷ativàràõi  YRps_5.32c
tato'ùñabhàgaü trikañuü niyojya  YRps_8.3a
tatkàütaü dràvakaü bhavet  YRps_4.62d
tatkiññaü gomayenàtha  YRps_5.41c
tat kçùõapãtaü bhavatãva recanaü tçtãyamàhurvibudhà bhiùagvaràþ  YRps_6.54/b
tattadvarõe ÷obhanãyaü pradiùñam  YRps_7.26b
tattàraü ÷uddhatàrake  YRps_11.72d
tattrayoda÷akaü råpyaü  YRps_11.108a
tatpiùñãgolakaü gràhyaü  YRps_5.86a
tatpuñaü bhådharàhvayam  YRps_10.51d
tatputreõa ya÷odhareõa kavinà graüthaþ svayaü nirmitaþ  YRps_13.16d
tatprasånarasena hi  YRps_2.52b
tatrasthaü ÷ãtalãkçtam  YRps_2.48d
tatra svedanakaü kuryàd  YRps_1.30a
tatràgatà kåpamavekùamàõà  YRps_1.14c
tatràdyaü dvividhaü caiva  YRps_5.102a
tatropari ca vinyaset  YRps_4.87b
tatropari nidhàpayet  YRps_4.81d
tatropari puñaü deyaü  YRps_2.69a
tatsatvaü jàrayedrase  YRps_1.102b
tatsatvaü dhàtuvàdàrthe  YRps_6.15e
tatsannidhàne 'tisuvçttakåpe  YRps_1.13c
tatsamàü÷asya gaüdhasya  YRps_4.45a
tatsarvaü bhakùayetpa÷càd  YRps_6.49c
tatsarvaü hi ÷ilàbhàõóe  YRps_4.48a
tatsuvarõasya patràõi  YRps_11.28a
tatsauràùñrabhavaü ÷ubham  YRps_4.111d
tathà kuru bhiùagvara  YRps_5.33b
tathàgnau paritaptaü tu  YRps_5.14c
tathà ca kaüguõãtaile  YRps_2.81c
tathà ca taü dàóimabãjatoyaiþ  YRps_3.54b
tathà ca da÷a karmàõi  YRps_1.77a
tathà ca pañupaücakam  YRps_1.31b
tathà ca pañupaücakam  YRps_1.43b
tathà ca samabhàgena  YRps_1.90a
tathà càùñavidhaü ca ruk  YRps_4.53*d
tathà coparasànàü hi  YRps_1.7c
tathà tryåùaõasaüyutàm  YRps_3.43d
tathàdrikarõyà svarasena mardayet  YRps_3.53d
tathà dhårtarasenàpi  YRps_2.37c
tathà dhårtavadhå÷ caiva  YRps_2.76a
tathà nàgàbhranàmedaü  YRps_5.10c
tathà nàóãrasena vai  YRps_2.38b
tathàpàmàrgasaübhavaiþ  YRps_11.128d
tathà bhasmàbhidhaþ sàkùàt  YRps_2.2c
tathàbhrakagràsamàna-  YRps_1.24a
tathà mudràü pradàpayet  YRps_11.44b
tathà mehàü÷ca viü÷atiþ  YRps_4.93d
tathàmlaiþ sveditàþ khalu  YRps_5.54b
tathà raktagaõenaiva  YRps_1.151c
tathà ÷odhanamàraõam  YRps_1.8d
tathàùñàda÷a karma ca  YRps_1.5d
tathà hi pañupa¤cakam  YRps_1.50b
tathaiva jàyate vedhaþ  YRps_1.149c
tathaiva ÷alabhàdãnàü  YRps_1.125a
tathaivàmbarabhakùitam  YRps_2.24b
tadanu kajjalikàü pratimucya vai  YRps_3.32b
tadanu kàcaghañãü vinive÷ya vai  YRps_3.16a
tadanu kukkuñànàü puñe ÷çto  YRps_3.25a
tadanu khalvatale suvimarditaþ  YRps_3.31b
tadanu tatra nive÷aya poññalãm  YRps_3.29d
tadanu tatra rasaþ parimucyatàm  YRps_3.15b
tadanu tàmrarasau vinive÷yatàü  YRps_3.40a
tadanu dhàtukhañãpañukàükùikàþ  YRps_3.6b
tadanu mocadalopari óhàlyate  YRps_3.41b
tadanu luïgarasena pariplutau  YRps_3.10b
tadanu loharajaþ khañikàsamam  YRps_3.3b
tadanu vahnimadhaþ kuru vai dçóhaü  YRps_3.33c
tadanu saptadinaü kç÷avahninà  YRps_3.37d
tadanu såtakçtàü varakajjalãm  YRps_3.40d
tadanu såtavarasya tu kajjalãü  YRps_3.20c
tadabhrasatvaü såtasya  YRps_1.95c
tadardhaü rasakaü muktvà  YRps_11.43c
tadahaü kathayiùyàmi  YRps_2.71c
tadahaü sampravakùyàmi  YRps_11.1e
tadà tàmraprabhaü satvaü  YRps_5.88c
tadà bhaveyuþ khalu siddhatà yadà  YRps_7.64a
tadàbhraü jàritaü samyak  YRps_1.112c
tadàmçtopamaü càbhraü  YRps_5.35c
tadà ÷odhyaü bhiùagvaraiþ  YRps_4.7d
tadà sãsopamaü satvaü  YRps_5.127c
tadårdhvaü dhmàpayetsamyak  YRps_1.129a
tadårdhvàdho vióaü nyaset  YRps_1.108b
tadeva vióalohàkhyaü  YRps_4.114c
tadevaü parikãrtitam  YRps_1.54b
tadbaügena tu råpyakam  YRps_11.109b
tadbhasma puratoyena  YRps_4.18a
tadråpye marditaü såtaü  YRps_11.107c
tadromakaü bhràmakacumbake ca  YRps_4.58b
tadvatkçùõàmàkùikeõaiva jårtiü  YRps_8.25a
tadvat puùpamathà¤janaü tadanu cennãlàüjanaü kathyate  YRps_6.22b
tadvadvàsàrasena ca  YRps_5.18d
tadvàlukàpuñaü samyag  YRps_10.50e
tanmadhye gartakaü kçtvà  YRps_11.63c
tanmadhye pàradaü kùipet  YRps_1.33b
tanmadhye pàradaü kùiptvà  YRps_1.156c
tanmadhye piùñikàü muktvà  YRps_2.61a
tanmadhye vartulaü gartaü  YRps_10.36c
tanmadhye sudçóhaü samyak  YRps_1.81a
tanmàtraü tàrasaüpuñam  YRps_11.81d
tanmukhe hyaparo ghañaþ  YRps_1.56d
tanmålasalile ghçùñaü  YRps_6.41a
tanmçdaþ pàtane yaütre  YRps_1.17a
tanmçdà racità måùà  YRps_10.12c
taptakhalvena saümardya  YRps_11.23a
taptam àyasakhalvena  YRps_1.73c
taptaü kàüsyaü gavàü måtre  YRps_4.112a
taptà tuùajale kùiptà  YRps_4.104c
taptànevaü tu kàüjike  YRps_5.46d
taptenàtha pramardayet  YRps_1.73d
tamàcchàdya vanotpalaiþ  YRps_10.42b
tayà yà racità måùà  YRps_10.11a
taraü sarvaguõairyutam  YRps_11.137d
talabhasma gçhãtavyaü  YRps_11.20c
tallohaü triguõaü caiva  YRps_11.71a
tasmàjjàtaü tu yallauhaü  YRps_4.60c
tasmàtsevyaü sarvakàlaü manuùyaiþ  YRps_7.19d
tasmàddoùàpaharaõaü  YRps_1.29e
tasmàdbalivasetyukto  YRps_6.39a
tasmàdyatnena sadvaidyair  YRps_5.6e
tasmàdyantrasya råpàõi  YRps_10.1c
tasmàdviùaguõàdhikam  YRps_5.73b
tasmànmayà mànakarma  YRps_1.87a
tasmin taile supàcayet  YRps_1.126d
tasminnikùipya màtrayà  YRps_2.85d
tasmin ÷aübhupadàravindaratikçcchrãpadmanàbhaþ svayam  YRps_13.16c
tasya paükasya guñikàü  YRps_11.135c
tasya haste bhaviùyati  YRps_2.57b
tasyàdhastàd aùñayàmaü prakuryàd  YRps_8.28a
tasyàs tv adhordhvaü pradadãta gomayaü ÷ãtãkçtà gavyaghçtena bharjità  YRps_3.57/a
tasyàü nidhàyàtha rasasya golakaü  YRps_3.61c
tasyàþ prakalpayenmåùàü  YRps_2.25a
tasyàþ phalarasena và  YRps_5.49b
tasyopari ca patràõi  YRps_4.87c
tasyopari ca såtakam  YRps_11.64b
tasyopari jalàdhànaü  YRps_1.53a
tasyordhvaü vai gaüdhacårõasya càrdham  YRps_4.51d
taü kàkamàcyàþ svarasena piùñvà  YRps_3.54a
taü nàgavallãdalajena sàrdhaü  YRps_8.3c
taü pacetsikatayaütramadhyataþ  YRps_8.7d
taü sveditaü càmlarasena samyak  YRps_3.61d
tàni patràõi lepayet  YRps_4.38d
tàni ÷àlisametàni  YRps_11.132a
tànyeva kolamàtràõi  YRps_2.72c
tàpitaü hi vinikùipet  YRps_4.12b
tàpità caiva nirguüóã-  YRps_4.108a
tàpyakaü svedayetpa÷càl  YRps_11.22c
tàpyamànaü hi nitya÷aþ  YRps_5.11b
tàpyasattvaü tathà nàgaü  YRps_1.138a
tàpyasatvaü kalàü÷ena  YRps_1.73a
tàpyasatvaü grasedrasaþ  YRps_11.25d
tàpyasatvaü samàharet  YRps_5.87d
tàpyasatvaü su÷obhanam  YRps_11.26d
tàpyasatvàbhrasattvaü ca  YRps_1.94a
tàpyasatvena saüyuktaü  YRps_11.56c
tàpyaü nàgaü gandhakaü såtaràjo  YRps_11.33a
tàpyàkhyaü màkùikaü vadet  YRps_5.79d
tàmrakalkãkçtenaiva  YRps_1.155a
tàmrapàtrasthamamlaü vai  YRps_1.105c
tàmrapàtre tu yallagnaü  YRps_11.120c
tàmrabhàjanamukhaü nirudhya vai  YRps_8.7c
tàmrasyaivaü bhàgayugmaü prakuryàd  YRps_8.21c
tàmraü gadyàõakaü ÷uddhaü  YRps_11.106a
tàmraü càpi dvidhà proktaü  YRps_4.35a
tàmraü caiva tathàvaràn  YRps_1.146d
tàmraü caivà÷masàraü ca  YRps_4.2c
tàmraü dvàda÷avallaü hi  YRps_11.86a
tàmraü svarõaprabhaü varam  YRps_5.123d
tàmràdisaüsargabhavaü tva÷uddhaü  YRps_4.24a
tàmràbhà saiva ÷asyate  YRps_6.17b
tàmreõa raktakàcena  YRps_1.152c
tàmre dadyàcca vallakam  YRps_11.72b
tàmre saptaguõaü nàgaü  YRps_11.54a
tàragarbhagirerjàtaü  YRps_5.106a
tàracårõaü samaü lepyaü  YRps_11.111a
tàramàkùikayo÷cårõam  YRps_4.31c
tàramàyàti kà¤canam  YRps_11.38d
tàravarõaü prajàyate  YRps_11.76b
tàrasaüpuñamadhye tu  YRps_11.83c
tàraü doùavivarjitam  YRps_11.73b
tàraü và nàgameva và  YRps_11.3d
tàràcca ùaóguõaü nàgaü  YRps_4.25a
tàrkùyaü snigdhaü bhàsuraü ÷aùpavarõaü  YRps_7.14a
tàlakasya tadardhasya  YRps_4.46a
tàlakaü ca paladvaüdvaü  YRps_11.115c
tàlakaü tuvarã gaüdhaü  YRps_6.1a
tàlakaü triguõaü tathà  YRps_5.95d
tàlakaü dvividhaü proktaü  YRps_6.2a
tàlakàbhraviùasåtañaükaõam  YRps_11.88b
tàlakena tadardhena  YRps_4.40c
tàlakena samàyuktaü  YRps_5.129a
tàlakenàtha puñitaü  YRps_5.110c
tàlagaüdhaka÷ilàsamanvitaü  YRps_7.57a
tàlatàmrarasagaüdhatutthakàn  YRps_8.10a
tàlamålãkara¤jakaiþ  YRps_4.46d
tàlasattvena sàdhayet  YRps_11.93b
tàlaü tàmraü rãtighoùaü samàü÷aü  YRps_11.123a
tàlena nihataü baügaü  YRps_11.109a
tàlenàmlena sahitàü  YRps_4.30a
tàvacchubhràõi kàrayet  YRps_11.132b
tàvattaü mardayetsamyag  YRps_2.60a
tàvatpiùñvà tu bharjayet  YRps_5.31d
tàvatsåte bandhanaü durlabhaü hi  YRps_7.65d
tàvatsvedyaü tu golakam  YRps_2.106b
tàvaddarvyà pracàlayet  YRps_4.68d
tàvanmànena dehasya  YRps_1.162c
tàsàü madhye durlabhàbhradruti÷ca  YRps_7.65e
tàstu lakùaõasaüyuktàþ  YRps_9.11a
tàü dràvayellohamaye supàtre  YRps_3.56b
tàü drutiü prakùipetpattre  YRps_6.48c
tàübålena samaü caivaü  YRps_6.59c
tiktaü mehapraõà÷anam  YRps_4.91d
tiryakpàtanakaü tathà  YRps_10.2d
tiryakpàtaþ krameõa hi  YRps_1.48b
tiryakpàto bhavedrasaþ  YRps_1.58d
tiryakpradhamanàkhyà ca  YRps_10.40c
tiryagghañe rasaü kùiptvà  YRps_1.56c
tilakandàtasãtalà  YRps_9.8b
tilajaprativàpakam  YRps_5.131b
tiùñhetsåryàtapeùu ca  YRps_6.43b
tisra÷ca saüdar÷ayatãha ÷ubhràþ  YRps_7.49d
tãkùõacårõaü sadaradaü  YRps_11.51c
tãkùõalohaü tathaiva ca  YRps_2.102b
tãkùõàtkàütaü mahàguõam  YRps_4.65b
tãkùõàü÷unàtha mçditaü  YRps_2.52c
tãvratvaü vegakàritvaü  YRps_1.69a
tãvràgniü jvàlayedbudhaþ  YRps_1.58b
tãvràïgàraiþ prayatnataþ  YRps_2.92d
tucchameva kathitaü bhiùagvaraiþ  YRps_7.41d
tutthakasyàlavàlakam  YRps_2.85b
tutthakaü bãjapårasya  YRps_11.28c
tutthakaü vallamàtraü ca  YRps_11.27c
tutthacårõena saüchàdya  YRps_2.86a
tutthañaükaõayutaü su÷odhitam  YRps_8.6b
turãpuùpakasãsàbhyàü  YRps_10.15a
turyabhàgamiha tàpyakaü bhavet  YRps_7.39b
turyabhàgaþ prakãrtitaþ  YRps_1.105b
turyànbhàgànindravallãphalànàü  YRps_8.15a
tulasã ca vidàrã ca  YRps_9.17a
tulàyantrasya yogataþ  YRps_1.154b
tuùabhasmayutà mçtsnà  YRps_10.10c
tuùami÷rà ÷aõena ca  YRps_10.18b
tuùambukà ca durgandhà  YRps_9.14c
tuùavàriprapårite  YRps_1.34d
tuùairvà gomayairvàpi  YRps_10.48a
tçtãyaþ kàüsyavimalaþ  YRps_5.92a
tçtãye prahare khalu  YRps_6.43d
tejoyuktaü pra÷asyate  YRps_5.69d
tena tàmreõa rasakaü  YRps_11.54c
tena dugdhena mardayet  YRps_11.139b
tena bandhatvamàyàti  YRps_1.99a
tena vedhyaü drutaü tàmraü  YRps_11.3c
tena vedhyaü drutaü tàmraü  YRps_11.93c
tena svargamayã siddhir  YRps_5.120c
tebhya÷caiva hi satvapàtanamatho samyagdruteþ pàtanam  YRps_7.66b
tebhyo yaddràvitaü lohaü  YRps_4.59c
teùàü guõànvacmi samàsato hi  YRps_7.20d
teùàü ca ÷uddhiü ÷çõu bhairavoktàü  YRps_7.54a
teùàü nàmàni vargàü÷ca  YRps_5.1c
teùàü varõà jàtaya÷ca prabhedàþ  YRps_7.21c
teùàü hi rasasiddhiþ syàd  YRps_1.29c
tailabiüdurjale kùipto  YRps_4.64a
tailamadhye niyojayet  YRps_1.126b
tailaü jàtãphalodbhavam  YRps_1.140d
tailena maricena ca  YRps_6.42d
tailena saha peùayet  YRps_6.42b
tailenàtho ÷odhito buddhimadbhiþ  YRps_8.14d
tailenairaõóajena ca  YRps_11.79b
tailenairaõóajena vai  YRps_11.69d
tailenairaõóajena vai  YRps_11.101b
toyena da÷asaükhyakàþ  YRps_4.74b
tolakaü ÷uddhasåtaü ca  YRps_2.59c
tolamekaü suvarõaü hi  YRps_11.44c
taulye guru÷ca masçõo  YRps_5.53c
tauvarã vaïgajà ràja-  YRps_9.37a
trayamita÷ca sadà parisevitaþ  YRps_3.12d
trayamidaü sarasaü ca vimarditam  YRps_3.40b
trayamekatra mardayet  YRps_2.36d
tràyamàõàsurã ÷aükha-  YRps_9.26c
tràsa÷ca pànãyakçtà sagarbhatà  YRps_7.52b
trikañu triphalà caiva  YRps_1.31c
trikañubhiþ samanvitam  YRps_5.114b
triguõaü cårõanirbaddhaü  YRps_11.38c
triguõaü jàraõaü rase  YRps_1.96b
triguõaü vàhayettrapu  YRps_2.93b
triguõena suvastreõa  YRps_1.33c
triguõair bhårjapatraistu  YRps_2.77c
tritayaü sukaraü khalu  YRps_1.59b
tridaõóã karasã bhçüga-  YRps_9.5c
tridinameva hi haüsapadãrase  YRps_3.31c
tridinaü sthàpayettataþ  YRps_2.87b
tridinaü svedayetsamyak  YRps_1.35a
tridinaü svedyameva hi  YRps_2.96b
tridoùa÷amanastathà  YRps_6.86b
tridoùa÷amanaü caiva  YRps_5.74a
tridoùa÷amano gràhã  YRps_6.84a
tridhà pàtanamityuktaü  YRps_1.47c
trinayanaü ca caturbhujavàmanam  YRps_1.3b
trinemikàvajravallã-  YRps_2.44c
triphalàkvàthamadhye tu  YRps_2.95a
triphalàkùaudrasaüyutà  YRps_3.43b
triphalà gçhadhåmakaþ  YRps_5.57d
triphalà ùaóguõà kàryà  YRps_6.40a
triyàmaü svedayetsudhãþ  YRps_2.95b
trivarùasevanànnånaü  YRps_5.67c
trivàraü pàcayed dhruvam  YRps_2.90b
trivàraü bhàvitàþ ÷uùkà  YRps_6.89c
trivàraü hi kçte sati  YRps_5.128b
trivàreõa vi÷udhyanti  YRps_5.54c
triü÷advanopalairdadyàt  YRps_11.18a
triü÷advanopalaiþ samyak  YRps_11.59c
trãõi vàràõi yatnataþ  YRps_5.48b
trãõyevaite hiügulasyàpi turyaþ  YRps_8.20c
traivàreõa ca måkamåùadhamitaü vindanti candraprabham  YRps_11.89/b
tryahaü tryahaü ca saümardya  YRps_2.31a
tvakpatrakailàþ saha kesareõa palapramàõà hi tato vidadhyàt  YRps_12.10/b
tvadhaþ patati pàradaþ  YRps_5.85b
dagdhaü mçtimavàpnuyàt  YRps_5.82b
daõóadhàrã bhavedrasaþ  YRps_1.112d
daõóadhàrã bhavedrasaþ  YRps_1.115b
dattvà gharme trãõi càtho puñàni  YRps_8.28c
dattvàïgulyà vimardayet  YRps_6.49b
dattvà caikàü jàtasadyojvaràya  YRps_8.16a
dattvà mudràü bhasmanà saiüdhavena  YRps_8.22d
dattvà mçdvagninà sàdhyaü  YRps_12.19c
dattvà saüpuñamàcaret  YRps_1.51d
dattvà hema pragàlayet  YRps_11.27d
dadyàttadvat kanyakàyà rasena  YRps_8.28d
dadyàdardhagajàhvaye  YRps_5.16d
dadyàd vajraü và vinà tatpumàüsam  YRps_7.25d
dadhyannaü và bhojayettakrayuktaü  YRps_8.35c
dantibãjamiti vardhitaiþ kramàt  YRps_8.4b
daradaü khaõóa÷aþ kçtvà  YRps_11.110a
