Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittamaþ  KDA_465d
bràhmaõà api mànavàþ  KDA_218b
bràhmaõà naiva mànuùàþ  KDA_236d
bràhmaõà yonito jàtà÷  KDA_137a
bràhmaõà vedapàragàþ  KDA_108d
bràhmaõàs te 'pi mànavàþ  KDA_189d
bràhmaõàs te mahà÷uddhà÷  KDA_163c
bràhmaõàs te yudhiùñhira  KDA_267d
bràhmaõàþ kùatriyàs tathà  KDA_169b
bràhmaõàþ syur naràþ khalu  KDA_233b
bràhmaõàþ syur narottamàþ  KDA_237b
bràhmaõàþ syus tathà naràþ  KDA_233d
bràhmaõã kutra saübhavà  KDA_199b
bràhmaõã kutra saübhavà  KDA_244b
bràhmaõãgarbhasaübhavàþ  KDA_128d
bràhmaõe kùatriye tathà  KDA_202b
bràhmaõe cànyajàtau và  KDA_134c
bràhmaõe cànyajàtau và  KDA_134c
bràhmaõe cànyajàtau và  KDA_196c
bràhmaõo jàyate kharaþ  KDA_112d
bràhmaõo 'dattam àdàya  KDA_114c
bràhmaõo na bhavet khalu  KDA_230b
bràhmaõo 'pi kriyàhãnaþ  KDA_132c
bràhmaõo 'pi kriyàhãnaþ  KDA_263c
bràhmaõo 'pi bhavec chådraþ  KDA_214c
bràhmaõo 'pi mçtotsçùño  KDA_138a
bràhmaõo brahmacàràõàt*  KDA_265d
bràhmaõo 'smãty ahaükàro  KDA_90c
bràhmaõy api tathà caiva  KDA_199c
bràhmaõy api mukhàj jàtà  KDA_244c
bràhmaõyasaüvaraü pràptuü  KDA_74c
bhakùitum upacakrame  KDA_19d
bhakùito 'bhåt sa nàgakaþ  KDA_22d
bhakùyate tena kiü na hi  KDA_216b
bhakùyante yena màüsàni  KDA_216a
bhagavantaü mahàsaumyaü  KDA_305c
bhagavàn ity udàharat*  KDA_458b
bhajanti kuladharmiõaþ  KDA_191b
bhadanta ÷rotum icchàmi  KDA_2a
bhavanti nirguõà janàþ  KDA_345d
bhavanti brahmacàriõaþ  KDA_45b
bhavanto 'sya nu kiü nàma  KDA_26c
bhaviùyati na saü÷ayaþ  KDA_289d
bhavec cittaü prasàditam*  KDA_349d
bhaved àryàpavàdakaþ  KDA_407d
bhaveyaü bauddhasadyatiþ  KDA_466b
bhaveyaü ÷ràvakottamaþ  KDA_469b
bhàrate 'pi tathà caivaü  KDA_250a
bhàrate 'pi tathà proktam  KDA_107a
bhàryà dharmànucàriõã  KDA_385b
bhàryàyà garbham àvi÷at*  KDA_23d
bhàvanãyà sadàdaràt*  KDA_369d
bhàvanãyà sadà maitrã  KDA_312a
bhikùavo dhyànasaüratàþ  KDA_20b
bhikùavo brahmavàdinaþ  KDA_166d
bhikùà÷inaþ samàdhisthàs  KDA_48c
bhikùà÷ino vratasthàs te  KDA_166c
bhikùàhetor vihartuü và  KDA_344c
bhikùàhetoþ kule kule  KDA_346d
bhikùuõyupàsikàbhi÷ ca  KDA_11a
bhikùubhi÷ ca jitendriyaiþ  KDA_10d
bhikùuþ subhåtiþ sugataprabhàvàt*  KDA_324d
bhikùåõàü brahmacàriõàm*  KDA_454b
bhikùåõàü brahmacàriõàm*  KDA_472d
bhikùån àmantrayàmàsa  KDA_452c
bhitvà và pçthivãü jàto  KDA_136c
bhidyante khalu mànavàþ  KDA_226b
bhindann avidyàdrim ivàõóako÷aü  KDA_327 c
bhinnacitto vikãryate  KDA_405b
bhiùajas te hi vaidyakàþ  KDA_183d
bhåtadoùàõy abhij¤àya  KDA_184a
bhåtapårvam atãte 'dhvany  KDA_460a
bhåtinàmnà dvijasyàsau  KDA_23c
bhåtiü tam abruvaüs tathà  KDA_27d
bhåtvàraõàvihàriõàm*  KDA_469d
bhåmiùv api na na÷yati  KDA_479f
bhedatà ca pravartate  KDA_224b
bhedatà saüpravartate  KDA_223d
bhedà ca saüprajàyate  KDA_223b
bhairavabhaktimànasàþ  KDA_190b
bhairavikà÷ ca mànavàþ  KDA_190d
bhaiùajyaü ye dadanty eva  KDA_183c
bhojayantaþ parasparam*  KDA_440b
bhautikàs te 'pi mànavàþ  KDA_184d
bhramanti durgatiùv api  KDA_347d
bhramanti narakeùu te  KDA_332d
bhraùñim evam avàpnuyàm*  KDA_341d
bhràtaraþ sahajà÷ càpi  KDA_384a
bhràntacitto 'bhavac chivaþ  KDA_393d
bhràmyanti tribhavàlaye  KDA_100d
matvà ca saüsàragatiü vibhaïginãm*  KDA_326b
matsaràkràntacetasaþ  KDA_50b
manasà praõidhir dadhe  KDA_20d
manaþ ÷amaü na gçhõàti  KDA_370a
manujànàü tathà nàsti  KDA_147c
manunàbhihitaü khalu  KDA_121d
manuùyeùu na vidyate  KDA_157d
manovàkkàyavispandaiþ  KDA_415c
mantrasiddhiprayogavit*  KDA_85b
manyante sevayà ÷uddhiü  KDA_177c
mayi mokùàrthasàdhini  KDA_301b
maruto và samudbhavaþ  KDA_136b
mahadvyasanam àptavàn+  KDA_331d
maharùir dvijasattama  KDA_291d
mahàdàtàpy abhåt tadà  KDA_464d
mahàduþkhabhayàni ca  KDA_396b
mahàduþkham avàpnuyàt*  KDA_409d
mahàn nàgo vinirmitaþ  KDA_359d
mahàbhij¤às tapasvinaþ  KDA_444b
mahàbhåtasamudbhåta-  KDA_225a
mahàyaj¤asamàcàrà  KDA_165c
mahàyaj¤àdikarmiõaþ  KDA_232b
mahàraudrà÷ ca te khyàtà  KDA_190c
mahotsàho mahàvãraþ  KDA_84c
màõava uttaro nàma  KDA_467a
màõava tvaü prajànàü tu  KDA_467c
màtaraü janmadàtrãü ca  KDA_380a
màtreõa bràhmaõo bhavet*  KDA_211b
mànavànàü tathà nàsti  KDA_143c
mànavànàü tathà nàsti  KDA_145c
mànavà bràhmaõàþ khalu  KDA_129b
mànavà ye pra÷àntàsthà  KDA_163a
mànavàs te tapasvinaþ  KDA_167d
mànavo 'pi na påjyate  KDA_227b
mànino madamohàndhà  KDA_346a
màyàkle÷àrthasàdhinà  KDA_42b
màyàyàü jàyate ratiþ  KDA_333d
màsam ekaü nirantaram*  KDA_111b
màsam ekaü nirantaram*  KDA_207b
màhe÷varãvratàdhàràþ  KDA_191c
màü vihàre prave÷aya  KDA_302d
màüsàsthiguõabhedatà  KDA_147d
mithyàjãvena jãvan yaþ  KDA_109c
mi÷rataiva tu mi÷ràõàü  KDA_480e
mi÷rato mi÷rabhuktàra  KDA_106c
mukta÷ carati yo nityaü  KDA_255c
mukhato bràhmaõo jàto  KDA_242a
mukhàdivarõa÷abdai÷ ca  KDA_140c
muditàpi sadà sàdhyà  KDA_314a
muditàü hi samàlambya  KDA_314c
munayaþ satyavàdinaþ  KDA_169d
muninà muninà + +  KDA_109b
munãnàm à÷ramaü yayau  KDA_73d
munãnàm upade÷àni  KDA_43a
munãndraþ ÷rãdhanaþ ÷àstà  KDA_294c
muhuþ pa÷yann ananda saþ  KDA_25d
måóhasya dråyate cittaü  KDA_334c
måóho duùñava÷aü vrajet*  KDA_406b
mçgadàve jinà÷rame  KDA_463b
mçgàþ kàli¤jare girau  KDA_107d
mçta÷ ca sa prajàyate  KDA_111d
mçtaþ sa ÷và prajàyate  KDA_207d
mçtena svàminà saha  KDA_434b
mçttikayaiva bhàrgavaþ  KDA_219d
mçttikàyà na bhedo 'sti  KDA_220a
mçtyuü yànti janaiþ sàrdhaü  KDA_377c
meror upariùaõóàyàm  KDA_18c
maitrãcittaü samàlambya  KDA_413c
maitrãdharmam upàdi÷at*  KDA_365d
maitrãdharmopade÷ena  KDA_451c
maitrãmà¤ jagatàm iùño  KDA_423a
maitrãmà¤ jagatàü mitro  KDA_423c
maitrãmà¤ jagatàü sakhà  KDA_423d
maitrãmà¤ jagatàü suhçt*  KDA_423b
maitrãmàn puruùaþ ÷rãmàn  KDA_424a
maitrãmàn puruùaþ sàdhur  KDA_421a
maitrãmàn sajjano loke  KDA_422a
maitrãmàn sanmatir bandhur  KDA_422c
maitrãmålodbhavàni hi  KDA_446d
maitrãyuktam ivàtmaje  KDA_274b
maitrã loke prasàryatàm*  KDA_420d
maitrã saddharmasàdhanã  KDA_420b
maitrã hi jagatàü màtà  KDA_441a
maitrãü citte samàdhàya  KDA_447c
maitrãü bhàvaya satveùu  KDA_484c
maitrãü vinà na jàyeta  KDA_442a
maitryà saüskàraya¤ jagat*  KDA_425d
maithunaü nàdhigacchanti  KDA_207c
maithunaü hi sadà tyaktaü  KDA_256c
yakùagandharvakinnaraiþ  KDA_8b
yac ca bhàryànuyàty eva  KDA_434a
yac ca ràjà prajàþ pàti  KDA_430a
yac ca vidvàn guruþ ÷iùyàn  KDA_431a
yac ca vãrà raõe sthitvà  KDA_432a
yac cànena punas tatra  KDA_475c
yac cittaü muditaü loke  KDA_276a
yac chàükaro mahàraudro  KDA_376a
yatayo yogino 'pi te  KDA_170d
yataþ saukhyaü pravartate  KDA_412d
yatitavyaü ÷ubheùv eva  KDA_481c
yatir mokùam avàpnuyàt*  KDA_349f
yatãn dçùñvànumodaü ca  KDA_339c
yato dàtà prajàpatiþ  KDA_56d
yat taþ kle÷àprahãõatvàd  KDA_472a
yatnai ratnàni sàdhayan*  KDA_433b
yat pità bàlakaü putram  KDA_429a
yat pità svàtmajaü putraü  KDA_383a
yatra yatra pragacchati  KDA_424b
yat svayaü pariõãtàpi  KDA_385a
yathà karoti bhàõdàni  KDA_219c
yathàkçtivi÷eùatà  KDA_143b
yathà ca kçmikãñànàü  KDA_141a
yathà prakà÷atamasor  KDA_134a
yathà bhasmani sauvarõe  KDA_134a
yathà bhåruhavçkùàõàü  KDA_142a
yathàmràdiphalànàü ca  KDA_147a
yathà vajràdiratnànàü  KDA_150a
yathà varõàdibhedatà  KDA_145b
yathà vçkùo 'hiveùñitaþ  KDA_400d
yathà ùaórasajàtãnàü  KDA_148a
yathà siühàdijantånàü  KDA_139a
yathà haüsamayåràdi-  KDA_140a
yathà hi bàlakà bàlà  KDA_152a
yathà hemàdidhàtånàü  KDA_149a
yathaikavçkùajàtànàü  KDA_160a
yadà ca garuóenàhaü  KDA_339a
yadà na kurute pàpaü  KDA_273a
yadà varùa÷atàyuùi  KDA_467d
yadà sarvaparadravyaü  KDA_254a
yadi te dharmavà¤chàsti  KDA_311c
yadi te 'sti kçpà devi  KDA_301a
yadi bauddheùu dharmeùu  KDA_288a
yadi me ÷araõaü yàtha  KDA_366c
yadi và¤chàsti te yate  KDA_293b
yadi và brahmajà viprà  KDA_199a
yadi vipraþ ÷arãraþ syàt  KDA_212a
yadi vipro mukhàj jàto  KDA_244a
yadi vedàd dvijo bhavet*  KDA_230b
yadi vedair bhaved vipro  KDA_237c
yadi ÷ådro 'pi tãrõavàn*  KDA_264b
yadi svàcàrato vipraþ  KDA_234a
yad uktaü ÷àkyasiühena  KDA_2c
yad dadanti mahàsatvàþ  KDA_439a
yad dveùàbhyàsata÷ càsaü  KDA_331a
yad dhetor janà÷ caivaü(?)  KDA_347c
yad yat karmànucàriõaþ  KDA_185b
yady àcàrapramàõatà  KDA_236b
yad ràjàno viruddhà÷ ca  KDA_377a
yan mayà hitam ucyate  KDA_291b
yan màtà duþkhitàpy evam  KDA_428a
ya÷ ca dàtà vi÷uddhàtmà  KDA_56a
yasmàt saüskàrato dvijaþ  KDA_91b
yasmàd bhåter ayaü putraü  KDA_28a
yasya cittaü dayà÷ålaü  KDA_58a
yasya cittaü pravikùiptaü  KDA_54a
yasya cittaü sadà satva-  KDA_60a
yasya cittaü hy avi÷uddhaü  KDA_51a
yasya citte dayà nàsti  KDA_399a
yasya dàtuü mano nàsti  KDA_50a
yasya na ku÷alotsàhaü  KDA_53a
yasya praj¤à jagalloka-  KDA_61a
yasya praj¤à vi÷uddhà na  KDA_55a
yasya lokahite cittaü  KDA_274a
yasya loke dayà nàsti  KDA_52a
yasya lokeùu kàruõyaü  KDA_275a
yasyaiva hetunà lokà  KDA_332c
yasyopekùàyutaü cittaü  KDA_277a
yà gatir brahmacàriõaþ  KDA_271b
yàtàþ saukhàvatãü te 'py amitarucimuner dharmam àràdhayanti  KDA_486d
yàdç÷aü sàdhyate karma  KDA_195a
yàni mahànti pàpàni  KDA_396a
yàmi te ÷araõaü sadà  KDA_321b
yàvac citte sthitaü krodhaü  KDA_368c
yàvajjãvam api ghnataþ  KDA_371b
yàvajjãvaü sukhaü bhuktvà  KDA_448c
yàvat krodham anirjitya  KDA_68c
yàvat krodhànaloddãptaü  KDA_336a
yàvad duùñàn anirjitya  KDA_69a
yàvanti pàpaduþkhàni  KDA_411a
yàvanti sukhabhogyàni  KDA_446a
yukta÷ carati dharmaü yo  KDA_272c
yugàntakàlavij¤àtà  KDA_182c
yuddhaü kçtvà parasparam*  KDA_377b
yåyaü sarve 'numoditàþ  KDA_448b
ye ete duþkhino loke  KDA_367c
ye ete sukhino loke  KDA_367a
yee bhajanti sadà buddhaü  KDA_192a
ye ca kurvanti mànavàþ  KDA_181b
ye ca kùatràõi rakùantaþ  KDA_174a
ye ca kùetràõi karùanti  KDA_178a
ye ca jitendriyagràmà  KDA_170a
ye ca bhasmaviliptàïgà  KDA_172a
ye ca màràn vinirjitya  KDA_167a
ye ca màhe÷varãü devãü  KDA_191a
ye ca lokapracàreùu  KDA_169a
ye ca satvahitàdhàne  KDA_176a
ye ca sàrthàn samàhçtya  KDA_180a
ye ca sthaõóilam à÷ritya  KDA_171a
ye càparigrahãtàro  KDA_49a
yena krodho jito vairo  KDA_398a
yena saürakùitaü nityaü  KDA_57a
yenaite garuóà nàgà  KDA_453c
yenaite rakùitàþ sarve  KDA_364c
yenaiva duùkaraü karma  KDA_59a
yenaiva nàgayonau ca  KDA_471c
yenaiva nirjitàþ kle÷à÷  KDA_62a
yenaiva yat kçtaü karma  KDA_459c
yenaiva yat kçtaü karma  KDA_478a
yenaivaü sarvasatànàü  KDA_349c
ye 'pi kle÷àn vinirjitya  KDA_48a
ye 'pi parigrahàüs tyaktvà  KDA_45a
ye pravrajyàü samàgçhya  KDA_46a
ye bhajanti jinaü caiva  KDA_193a
ye bhajanti mahàraudraü  KDA_190a
ye bhajanti viùõuü nityaü  KDA_188a
ye bhajanti ÷ivaü nityaü  KDA_187a
ye bhajanti sadà brahma  KDA_164c
ye maitrãbhàvadharmaü kalimatiharaõaü tat subhåte÷ caritraü  KDA_486a
ye ye duùñà÷ayàþ kråràþ  KDA_391a
ye ye satvà mahàbhij¤àþ  KDA_426a
ye ye svàcàravanta÷ ca  KDA_234c
ye ra¤jayanti dharmàrthe  KDA_175a
ye ÷àntà yatayo dhãrà÷  KDA_387a
ye satvàs tàmasà raudrà  KDA_97c
ye samiddhavyadravyàõi  KDA_173a
ye sthità mokùakàïkùiõaþ  KDA_267b
yogo 'py eùa na vidyate  KDA_158d
yojayiùye ca saüyame  KDA_39d
yojayeyaü sa sarvathà  KDA_88d
yonijaü sarvam eva hi  KDA_197d
yo 'sau bhagavatànena  KDA_466c
rajodharmadharà naràþ  KDA_94b
rajodharmaratà ye hi  KDA_98a
ratau ràgo 'bhijàyeta  KDA_334a
ratnàkarasamàgatàþ  KDA_180b
ratnàïgam iva jaïgamam*  KDA_306d
ramadhvaü maitramànasàþ  KDA_366d
raràma sa vayonvitaþ  KDA_29d
ràkùaso 'pi dvijaþ khalu  KDA_237d
ràkùaso vedapàragaþ  KDA_238b
ràgacaryànusàriõaþ  KDA_98b
ràgadveùanivçtti÷ ca  KDA_268c
ràge mohaþ pravardhate  KDA_334b
ràjabhã ràjamàtrai÷ ca  KDA_7a
ràjànas te mahàvãràþ  KDA_175c
råpam eva trayo guõàþ  KDA_103b
rocate tapase mama  KDA_65b
roùità bhedità÷ayàþ  KDA_384b
rauravaü so 'dhigacchati  KDA_208d
rauravàdãn samantataþ  KDA_409b
lakùaõaiþ samalaükçtam*  KDA_305d
lakùyate mànavas tathà  KDA_221d
làbhã cãvaravàsasàm*  KDA_9b
lipim anvagrahãt kramàt*  KDA_34d
lipi÷àlàm upàgamat*  KDA_34b
lokànàü jagatàm api  KDA_422d
lokànàü paricàrakàþ  KDA_183b
lokànugrahakàraõàt*  KDA_351d
lokàn nãtiprayojakàþ  KDA_175b
loke 'narthaü kariùyati  KDA_38d
loke 'narthaü kariùyati  KDA_87d
loke÷o hi kùamàkaraþ  KDA_58d
vaõikkarmàbhisaüyuktà  KDA_179c
vaõijas te mahodyamàþ  KDA_179d
vanaprasthanivàsinaþ  KDA_164b
vandanãyàþ sadà khalu  KDA_45d
varaü vipraþ suyantritaþ  KDA_270b
varjitaþ pitçdevai÷ ca  KDA_208c
varõagandhàdibhedatà  KDA_145d
varõasaüsthànagandhà÷ ca  KDA_146c
varõàkàravi÷eùatà  KDA_144d
varõàkàràdilakùaõam*  KDA_144b
varõàvasthàþ pratiùñhitàþ  KDA_249d
varõàs tathaiva catvàraþ  KDA_158a
varõàs sathava càpy anye  KDA_138c
varõà hy anekajàtayaþ  KDA_133b
vartate guõabhedatà  KDA_222d
varùasahasram àyuù ca  KDA_460c
vasanti kle÷abhàginaþ  KDA_97f
vasanti dhyàyinaþ sadà  KDA_44d
vasanti narake ghore  KDA_390c
vasanti mànuùàdayaþ  KDA_98d
vasanti svargatiü gatàþ  KDA_99d
vasantã vanadevatà  KDA_284b
vasiùñhàkhyo mahàmuniþ  KDA_124b
vaseyaü janapadà÷rame(?)  KDA_341b
vaseyaü dhyànasaürataþ  KDA_349b
vastånàü sarvataþ sadà  KDA_10b
vàcaüyamà÷ ca te bhadrà  KDA_169c
vànaprasthà hi te dvijàþ  KDA_164d
vàyubhir nàpi ÷uùyati  KDA_479d
vàràõasãm upà÷ritya  KDA_463a
vikalàni kçtàny api  KDA_473d
vikalpen dhanadãptena  KDA_372a
vikãrõaþ kli÷yate màraiþ  KDA_405c
vikru÷yàbhàõi sàüghike  KDA_474b
vikruùño 'tha ruùà÷ayaþ  KDA_86d
vigçhõanti mahàkruddhàs  KDA_384c
vigrahavàn asaüyataþ  KDA_78d
vigrahã vàdasaürataþ  KDA_86b
vigrahe nirato 'bhavat  KDA_30d
vicikùepa yatãn api  KDA_79d
vijagràhàsamàhitaþ  KDA_80d
vij¤àya bodhimàrgeùu  KDA_303c
vidàrya j¤ànavajreõa  KDA_318c
vidikùu càpi sarvataþ  KDA_17d
vidyàcaraõasaüpannaþ  KDA_5c
vidyàcaraõasaüpannaþ  KDA_461c
vidyà vidyànamàdhãtyam  KDA_269c
vinayànugrahàrthinà  KDA_13b
vinayàrthaü subhåtinà  KDA_359b
viniþkçùya prayatnena  KDA_70c
vinãtaþ ÷raddhayànvitaþ  KDA_77d
vinãtà dharmasatpathe  KDA_451d
vinãtà dharmasatpathe  KDA_453d
viparãtaü samàcaret*  KDA_407b
viparãtànubodhena  KDA_407c
vipràõàü patanaü dçùñvà  KDA_215c
viratà dharmamànasàþ  KDA_169b
viramya tadadhiùñhànàd  KDA_42c
vivàdã krodhabàhulaþ  KDA_79b
viviktàraõyagocare  KDA_338d
viviktàraõyavàseùu  KDA_44c
vivikte 'raõyade÷e 'pi  KDA_350c
vivikte 'raõyavàse sa  KDA_342c
vividhàrthànukàriõaþ  KDA_176b
vivçddhà tasyaivaü parahitarucir maitryanugatà  KDA_417c
vi÷àrado mahàbhij¤o  KDA_83c
vi÷uddhàtmàparigrahaþ  KDA_260b
vi÷eùa upalabhyate  KDA_134b
vi÷eùa upalabhyate  KDA_134b
vi÷eùaü nàdhigacchati  KDA_287d
vi÷eùo naiùa vidyate  KDA_134d
vi÷rambhapraõayaü tasmin  KDA_32c
vi÷vakarmà yato vidhiþ  KDA_59d
vi÷vasyate sadà sadbhir  KDA_421c
vi÷vàmitro mahàmuniþ  KDA_126b
viùa÷astrànalàdibhiþ  KDA_390b
viùõudharmasamàcàràd  KDA_188c
viùõubhaktiparàyaõàþ  KDA_188b
vismayaharùasaüyutàþ  KDA_450b
viharadhvaü yathàsukhaü  KDA_413d
vihàraü brahmasàdhanam*  KDA_278b
vihàre vyaharad dharmaü  KDA_12c
vihãno mànavaþ pa÷uþ  KDA_222b
viü÷atiguõitaü yadà  KDA_460d
viü÷ati÷ikharodgatam*  KDA_318b
vçttai÷ ca yadi bhåùitaþ  KDA_401b
vçthà syàt saüskçter vidhiþ  KDA_119d
vçthà syàd dharmasaüskçtaiþ  KDA_91d
vçddhiü pràpya guõà÷ cettham  KDA_101a
vçùalãphenapãtasya  KDA_110a
vedakarmànucàrakàþ  KDA_238d
vedadharmàrthasàdhakàþ  KDA_173d
vedadharmàsthito dvijaþ  KDA_61d
veda÷àstràgamais tasya  KDA_50c
vedasiddhàntamàninam*  KDA_81b
vedasiddhàntayogànàü  KDA_85c
vedasiddhànta÷àstreùu  KDA_79a
vedenàpi tathà naiva  KDA_237a
ve÷ayanti prajà dharme  KDA_176c
vairànu÷ayatàü tyaktvà  KDA_449c
vai÷ampàyana àdaràt*  KDA_252b
vai÷ampàyanam àgamya  KDA_250c
vai÷ya÷ådre tathànyeùu  KDA_202c
vai÷yasyàpi bhaved bhàryà  KDA_246c
vai÷yà tu bhaginã vi÷aþ  KDA_246d
vai÷yàpi hi tathà caivam  KDA_246a
vai÷yàs te hi narottamàþ  KDA_176d
vai÷yàþ ÷ådràs tathànye 'pi  KDA_169c
vaiùõavàs te 'pi mànavàþ  KDA_188d
vya¤janai÷ ca viràjantaü  KDA_306a
vyaharat sarvasatvànàm  KDA_463c
vyaharaddhyànatatparaþ  KDA_282d
vyàkçta iti bodhaye  KDA_467b
vyàmaprabhàmahojjvalam*  KDA_306b
vyàyacchamànaþ khalu bodhimàrge  KDA_325c
vyàso nàma mahàmuniþ  KDA_123b
vratacaryànuliïginaþ  KDA_194b
vratàcàravihãnà ye  KDA_177a
vratopavàsadharmiùñà  KDA_235c
÷atravo duþkhadàyakàþ  KDA_398d
÷abda eva na càparaþ  KDA_102b
÷abdaspar÷aråparasà÷  KDA_103c
÷abdaspar÷au ca vàyor vai  KDA_102c
÷amayanti ca ye bhåtàn  KDA_184c
÷ayituü vàbhilàpitum*  KDA_33b
÷ayyàdãnàü tathaiva ca  KDA_9d
÷arãradahanàd bhavet*  KDA_212d
÷arãràkàrabhedatà  KDA_150d
÷arãro bràhmaõo bhavet*  KDA_217d
÷àkyamunir mahàbuddhaþ  KDA_468a
÷àntàtmàno jitendriyàþ  KDA_46b
÷àntàtmà sukham àsthàya  KDA_43c
÷àntàtmà hitakçdyogã  KDA_388a
÷àpà÷aniprahàreõa  KDA_87c
÷àstà devamanuùyàõàü  KDA_6a
÷àstà devamanuùyàõàü  KDA_462a
÷àstuþ pàdau praõamya ca  KDA_15b
÷ilpinas te tathànye 'pi  KDA_181c
÷ivadharmànucàrataþ  KDA_187d
÷ivabhaktiparàyaõàþ  KDA_187b
÷ivo 'py abhåd digambaraþ  KDA_394f
÷ãla÷ cendriyasaüyamaþ  KDA_205b
÷ãlasaüvaravarjitam*  KDA_51b
÷ãlaü pradhànaü na kulaü pradhànaü  KDA_203a
÷ãlaü saüyamasaüvçttam*  KDA_57b
÷ãlaþ kalyàõakàrakaþ  KDA_204b
÷ukra÷oõitasaübhåtaü  KDA_197c
÷uklànàü ÷uklatà nityaü  KDA_480c
÷ucau tasmin vàõã vrajati vikçtaü naiva ca tanuþ  KDA_417b
÷uddhàcàrapramàõataþ  KDA_231b
÷uddhàcàrasamanvitàþ  KDA_235b
÷ådrasyàpi bhaved bhàryà  KDA_247c
÷ådràt pratigrahagràhã  KDA_112c
÷ådràt pratyavaro bhavet*  KDA_132d
÷ådràt pratyavaro bhavet*  KDA_263d
÷ådràs te ÷reùñhinas tathà  KDA_177d
÷ådrã ca gçhamedhinã  KDA_208b
÷ådrã càpi tathodbhavà  KDA_247b
÷ådrãparivçto vipraþ  KDA_208a
÷ådrãhastena yo bhuïkte  KDA_207a
÷ådrãhastena yo bhu¤kte  KDA_111a
÷ådrã hi bhaginã khalu  KDA_247d
÷ådro 'pi na kathaü dvijaþ  KDA_123b
÷ådro 'pi bràhmaõo bhavet*  KDA_228d
÷ådro 'pi ÷ãlasaüpanno  KDA_132a
÷ådro 'pi ÷ãlasaüpanno  KDA_263a
÷çõu tat kathyate mayà  KDA_252d
÷çõudhvaü bhikùavaþ sarve  KDA_458c
÷çõudhvaü madvacaþ sarve  KDA_366a
÷çõu putra mayà proktaü  KDA_41a
÷çõu ràjan mahàbàho  KDA_4a
÷çõu vatsa mahàbhàga  KDA_291a
÷çõu vatsa hitaü vakùye  KDA_89c
÷çõu vipra mahàbhàga  KDA_311a
÷çõvanti ÷ràvayanti tribhuvanasukhadaü saünipàtya janaughàn*  KDA_486b
÷eùàþ ÷udrà yudhiùñhira  KDA_258d
÷aikùà÷aikùagàõànàü ca  KDA_472c
÷aucam indriyanigrahaþ  KDA_257b
÷ma÷ànavratacàriõaþ  KDA_172d
÷ràvakà bhikùava÷ caiva  KDA_15c
÷ràvastyàü puri + + +  KDA_23b
÷ràvastyàü ràjadhànyàü vai  KDA_12a
÷rutaü me gurubhàùitam*  KDA_483b
÷rutvà lokahitotsukaþ  KDA_63b
÷reùñhatve vçùalatve ca  KDA_137c
÷reùñhibhiþ sàrthavàhai÷ ca  KDA_7c
÷rotuü tasthau mudàþ puraþ  KDA_309d
÷rotriyà gçhavàsinaþ  KDA_165b
÷rotriyo vedanàn yatiþ  KDA_57d
÷vapacà api dharmasthàþ  KDA_93a
÷vapaco 'pi dvijo bhavet*  KDA_121b
÷va÷urasyàpi dakùasya  KDA_394c
÷vànaþ saptati janmàni  KDA_113c
ùañkarmaniratà ye tu  KDA_165a
ùañ ca pàramitàþ khyàtàþ  KDA_295c
ùaóabhij¤o munã÷varaþ  KDA_462d
ùaóindriyavi÷eùatà  KDA_148d
ùaóindriyasamàs tathà  KDA_151b
ùaógatiùu bhramanti te  KDA_95d
ùaógatau bhujyate dhruvam*  KDA_480f
ùaùñi janmàni såkaraþ  KDA_113b
sa eva bràhmaõaþ ÷uddhaþ  KDA_57c
sa eva bràhmaõottamaþ  KDA_62d
sa eva bràhmaõo dhãro  KDA_59c
sa kiü guhàniviùño 'pi  KDA_54c
sakaivartàdinãcajàþ  KDA_229b
saïgàd dhi jàyate màyà  KDA_333c
saccittalabdhaþ sa muneþ prasàdàt  KDA_325a
satkàyadçùñi÷ailaü ca  KDA_318a
