Kalpadrumavadanamala

Based on the text appended to P.L. Vaidya's edition of the Avadanasataka
(Darbhanga 1958, Buddhist Sanskrit Texts ; 19)

Input by Klaus Wille, G”ttingen


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarod brahmavittama÷  KDA_465d
pitÃ ÓÃstÃ guru÷ prabhu÷  KDA_441b
pit­bhyÃm apy upek«ita÷  KDA_31d
pit­bhyo m­takebhyo 'pi  KDA_435a
puïyasiddhÃni sarvathÃ  KDA_446b
putra brahmasusÃdhanai÷  KDA_67b
putrÅæ vÃ bÃlakÃm api  KDA_383b
punar anyat subhÃ«itam*  KDA_2b
punar apy abravÅn mudÃ  KDA_66d
punas tena suparïÃnÃæ  KDA_359a
purÃ ÓrÅbhagavÃn buddho  KDA_5a
puru«adamyasÃrathi÷  KDA_462b
pÆjyate svajanair yathÃ  KDA_424d
pÆjyante nÅcajÃ api  KDA_226d
pÆjyante satvalokaiÓ ca  KDA_426c
pÆjyaÓ ca mÃnyo abhivÃdanÅyo  KDA_328c
pÆrvakarmabalÃdhÃnÃt  KDA_30a
pÆrvam ÃsÅd yudhi«Âhira  KDA_261b
prakÃÓayata saæv­tim*  KDA_14b
prak«iptaæ yatra yad dravyaæ  KDA_221a
prajÃpatir hi caikatve  KDA_195c
praïidhÃnaæ tathÃ cÃyam  KDA_465c
pratasthus te niyogina÷  KDA_15d
pratideÓÃnupÃsthitÃ÷  KDA_16d
pratimÃdÅn vighÃtayet*  KDA_408b
pratilabhya jitendriya÷  KDA_43b
pratyuvÃceti kaunteya  KDA_252c
prathamaæ brÃhmalak«aïam*  KDA_253d
pradÃnak«ÃntyÃdÅ¤ janayati guïÃn kÅrtyanus­tÃn*  KDA_417d
prabodhayaæs tam abravÅt*  KDA_40d
prabodhya bÃlakÃ¤ chÃsti  KDA_431c
pramathnanti ru«ÃkulÃ÷  KDA_389d
pramadÃpi ca bhartÃraæ  KDA_386a
prayatadhvaæ samÃhitÃ÷  KDA_397d
prayatadhvaæ samÃhitÃ÷  KDA_404d
prayujyamÃno vyaharat samÃdhau  KDA_325b
prarak«anti svapak«ÃæÓ ca  KDA_432c
pravadaæs taæ samagrahÅt*  KDA_323d
pravi«Âo mama ÓÃsane  KDA_470b
pravrajya buddhaÓÃsane  KDA_475d
pravrajyÃprÃrthanÃæ cakre  KDA_320a
pravrajyÃæ dehi me nÃtha  KDA_322a
pravrajyÃæ dehi me satyaæ  KDA_75c
pravrajyÃæ samayÃcata  KDA_74d
pravrajyÃæ samupÃsiÓritya  KDA_72c
prasasrire samantata÷  KDA_356d
prÃ¤jali÷ paryap­cchata  KDA_250d
prÃtihÃryam adarÓayat*  KDA_355d
prÃpadabhij¤Ã÷ pratisaævidaÓ ca  KDA_327 d
prÃpnuvanti yudhi«Âhira  KDA_271d
prÃpya sÃk«Ãtk­taæ mudÃ  KDA_476d
prÃrabhat tÅk«ïamÃnasa÷  KDA_36d
prÃsÃde maïimaï¬ite  KDA_374b
proktÃ vai jÅvajÃtaya÷  KDA_105d
phalanti khalu dehinÃæ  KDA_478f
phalamÆlÃdito«itai÷  KDA_375b
phalamÆlÃmbusaætu«Âo  KDA_343c
phalamÆlodakais tu«ÂÃs  KDA_47c
phalÃnÃæ nÃsti bhedatÃ  KDA_160b
phale«v anabhilipsÃtha  KDA_260c
bandhubhiÓ ca parityakto  KDA_32a
bandho dharmÃrthakÃmÃnÃæ  KDA_373c
babhÆva vÃnarÃdhipa÷  KDA_114d
babhÆva sa brahmavihÃracÃrÅ  KDA_328d
babhÆvÃyaæ mahÃvi«a÷  KDA_475b
babhÆvur maitricÃriïa÷  KDA_449d
babhÆvur maitricÃriïa÷  KDA_450d
balÃd Ãk­«ya bhak«ita÷  KDA_339b
balipÆjÃvidhÃnata÷  KDA_184b
bahavo narÃ nÅcakulaprasÆtÃ÷  KDA_203c
bÃndhavÃæs te 'pi rak«anti  KDA_438c
bÃndhavai÷ svajanair janai÷  KDA_421d
bÃlav­ddhÃdidu÷khite  KDA_52b
bÃhubhyÃm eva cet tathÃ  KDA_245b
bÃhubhyÃæ k«atriya÷ sm­ta÷  KDA_242b
buddhadharmaæ samaik«ata  KDA_317d
buddhavacom­taæ pÅtvÃ  KDA_482c
buddhasya vacanaæ ÓrutvÃ  KDA_293c
buddhasyopÃsakÃÓ ca ye  KDA_296b
buddhenÃdvayavÃdinÃ  KDA_114b
buddho 'pi sa bhavi«yati  KDA_117d
buddho hi jagatÃæ bandhus  KDA_425a
buddho hi bhagavÃn nÃtha÷  KDA_294a
bodhÃrtham iti tÅrthikai÷  KDA_241b
bodhicittaæ ca lapsyati  KDA_288d
bodhicitte pralabdhe tu  KDA_289a
bodhipadam avÃpnuyÃ÷  KDA_314d
bodhisatvamahÃsatvai÷  KDA_11c
bodhisatvÃ mahÃsatvÃ  KDA_427a
bodhisatvo 'bhavan n­pa÷ (Speyer: bhaven)  KDA_117b
bodhisatvo mahÃvij¤o  KDA_289c
bodhisaæbhÃrasÃdhakÃ÷  KDA_427b
bauddhadharmaparÃyaïÃ÷  KDA_192b
brahmacaryam apÃlayat*  KDA_465b
brahmacaryaæ ca pÃlitam*  KDA_476b
brahmacaryaæ cari«ye 'haæ  KDA_322c
brahmacÃri¤ jinendravat*  KDA_298b
brahmacÃrÅ bhavÃmy aham*  KDA_340d
brahmacÃrÅ mumoda sa÷  KDA_343d
brahmajÃ brÃhmaïÃ naivaæ  KDA_198c
brahmajÃ brÃhmaïÃ yadi  KDA_249b
brahmajÃ yadi sÃæpratam*  KDA_199d
brahmaje«u hi sarve«u  KDA_133c
brahmaïÃæ brahmajÃ yadi  KDA_200d
brahmadharmasamÃcÃrÃd  KDA_189c
brahmapraïidhim Ãlambya  KDA_279c
brahmabhaktiparÃyaïÃ÷  KDA_189b
brahmar«is tvaæ bhave÷ kila  KDA_280b
brahmalokam avÃpnuyÃ÷  KDA_280d
brahmavihÃrasaæpanno  KDA_77c
brahma saæpadyate tadÃ  KDA_273d
brahmas­«Âisamudbhavam*  KDA_130b
brahmahatyÃ ca bandhÆnÃæ  KDA_212c
brahmÃ j¤Ãnarato yata÷ (Speyer: dhyÃnarato)  KDA_60d
brahmÃïaæ ye bhajayanty eva  KDA_189a
brahmÃïÃæÓ ca samudbhavÃ÷ (Speyer:brahmÃïÃæÓasamudbhavÃ÷)  KDA_105b
brahmÃïotpattir ucyate  KDA_104d
brÃhmaïabÅjasaæbhÆta÷  KDA_123a
brÃhmaïasya ca sÃ bhÃryÃ  KDA_200a
brÃhmaïa÷ patito bhavet*  KDA_216d
brÃhmaïa÷ sa yudhi«Âhira  KDA_259d
brÃhmaïa÷ syÃd yudhi«Âhira  KDA_260d
brÃhmaïÃ api mÃnavÃ÷  KDA_218b
brÃhmaïÃ naiva mÃnu«Ã÷  KDA_236d
brÃhmaïÃ yonito jÃtÃÓ  KDA_137a
brÃhmaïÃ vedapÃragÃ÷  KDA_108d
brÃhmaïÃs te 'pi mÃnavÃ÷  KDA_189d
brÃhmaïÃs te mahÃÓuddhÃÓ  KDA_163c
brÃhmaïÃs te yudhi«Âhira  KDA_267d
brÃhmaïÃ÷ k«atriyÃs tathÃ  KDA_169b
brÃhmaïÃ÷ syur narÃ÷ khalu  KDA_233b
brÃhmaïÃ÷ syur narottamÃ÷  KDA_237b
brÃhmaïÃ÷ syus tathÃ narÃ÷  KDA_233d
brÃhmaïÅ kutra saæbhavÃ  KDA_199b
brÃhmaïÅ kutra saæbhavÃ  KDA_244b
brÃhmaïÅgarbhasaæbhavÃ÷  KDA_128d
brÃhmaïe k«atriye tathÃ  KDA_202b
brÃhmaïe cÃnyajÃtau vÃ  KDA_134c
brÃhmaïe cÃnyajÃtau vÃ  KDA_134c
brÃhmaïe cÃnyajÃtau vÃ  KDA_196c
brÃhmaïo jÃyate khara÷  KDA_112d
brÃhmaïo 'dattam ÃdÃya  KDA_114c
brÃhmaïo na bhavet khalu  KDA_230b
brÃhmaïo 'pi kriyÃhÅna÷  KDA_132c
brÃhmaïo 'pi kriyÃhÅna÷  KDA_263c
brÃhmaïo 'pi bhavec chÆdra÷  KDA_214c
brÃhmaïo 'pi m­tots­«Âo  KDA_138a
brÃhmaïo brahmacÃrÃïÃt*  KDA_265d
brÃhmaïo 'smÅty ahaækÃro  KDA_90c
brÃhmaïy api tathÃ caiva  KDA_199c
brÃhmaïy api mukhÃj jÃtÃ  KDA_244c
brÃhmaïyasaævaraæ prÃptuæ  KDA_74c
bhak«itum upacakrame  KDA_19d
bhak«ito 'bhÆt sa nÃgaka÷  KDA_22d
bhak«yate tena kiæ na hi  KDA_216b
bhak«yante yena mÃæsÃni  KDA_216a
bhagavantaæ mahÃsaumyaæ  KDA_305c
bhagavÃn ity udÃharat*  KDA_458b
bhajanti kuladharmiïa÷  KDA_191b
bhadanta Órotum icchÃmi  KDA_2a
bhavanti nirguïÃ janÃ÷  KDA_345d
bhavanti brahmacÃriïa÷  KDA_45b
bhavanto 'sya nu kiæ nÃma  KDA_26c
bhavi«yati na saæÓaya÷  KDA_289d
bhavec cittaæ prasÃditam*  KDA_349d
bhaved ÃryÃpavÃdaka÷  KDA_407d
bhaveyaæ bauddhasadyati÷  KDA_466b
bhaveyaæ ÓrÃvakottama÷  KDA_469b
bhÃrate 'pi tathÃ caivaæ  KDA_250a
bhÃrate 'pi tathÃ proktam  KDA_107a
bhÃryÃ dharmÃnucÃriïÅ  KDA_385b
bhÃryÃyÃ garbham ÃviÓat*  KDA_23d
bhÃvanÅyÃ sadÃdarÃt*  KDA_369d
bhÃvanÅyÃ sadÃ maitrÅ  KDA_312a
bhik«avo dhyÃnasaæratÃ÷  KDA_20b
bhik«avo brahmavÃdina÷  KDA_166d
bhik«ÃÓina÷ samÃdhisthÃs  KDA_48c
bhik«ÃÓino vratasthÃs te  KDA_166c
bhik«Ãhetor vihartuæ vÃ  KDA_344c
bhik«Ãheto÷ kule kule  KDA_346d
bhik«uïyupÃsikÃbhiÓ ca  KDA_11a
bhik«ubhiÓ ca jitendriyai÷  KDA_10d
bhik«u÷ subhÆti÷ sugataprabhÃvÃt*  KDA_324d
bhik«ÆïÃæ brahmacÃriïÃm*  KDA_454b
bhik«ÆïÃæ brahmacÃriïÃm*  KDA_472d
bhik«Æn ÃmantrayÃmÃsa  KDA_452c
bhitvÃ vÃ p­thivÅæ jÃto  KDA_136c
bhidyante khalu mÃnavÃ÷  KDA_226b
bhindann avidyÃdrim ivÃï¬akoÓaæ  KDA_327 c
bhinnacitto vikÅryate  KDA_405b
bhi«ajas te hi vaidyakÃ÷  KDA_183d
bhÆtado«Ãïy abhij¤Ãya  KDA_184a
bhÆtapÆrvam atÅte 'dhvany  KDA_460a
bhÆtinÃmnÃ dvijasyÃsau  KDA_23c
bhÆtiæ tam abruvaæs tathÃ  KDA_27d
bhÆtvÃraïÃvihÃriïÃm*  KDA_469d
bhÆmi«v api na naÓyati  KDA_479f
bhedatÃ ca pravartate  KDA_224b
bhedatÃ saæpravartate  KDA_223d
bhedÃ ca saæprajÃyate  KDA_223b
bhairavabhaktimÃnasÃ÷  KDA_190b
bhairavikÃÓ ca mÃnavÃ÷  KDA_190d
bhai«ajyaæ ye dadanty eva  KDA_183c
bhojayanta÷ parasparam*  KDA_440b
bhautikÃs te 'pi mÃnavÃ÷  KDA_184d
bhramanti durgati«v api  KDA_347d
bhramanti narake«u te  KDA_332d
bhra«Âim evam avÃpnuyÃm*  KDA_341d
bhrÃtara÷ sahajÃÓ cÃpi  KDA_384a
bhrÃntacitto 'bhavac chiva÷  KDA_393d
bhrÃmyanti tribhavÃlaye  KDA_100d
matvÃ ca saæsÃragatiæ vibhaÇginÅm*  KDA_326b
matsarÃkrÃntacetasa÷  KDA_50b
manasÃ praïidhir dadhe  KDA_20d
mana÷ Óamaæ na g­hïÃti  KDA_370a
manujÃnÃæ tathÃ nÃsti  KDA_147c
manunÃbhihitaæ khalu  KDA_121d
manu«ye«u na vidyate  KDA_157d
manovÃkkÃyavispandai÷  KDA_415c
mantrasiddhiprayogavit*  KDA_85b
manyante sevayÃ Óuddhiæ  KDA_177c
mayi mok«ÃrthasÃdhini  KDA_301b
maruto vÃ samudbhava÷  KDA_136b
mahadvyasanam ÃptavÃn+  KDA_331d
mahar«ir dvijasattama  KDA_291d
mahÃdÃtÃpy abhÆt tadÃ  KDA_464d
mahÃdu÷khabhayÃni ca  KDA_396b
mahÃdu÷kham avÃpnuyÃt*  KDA_409d
mahÃn nÃgo vinirmita÷  KDA_359d
mahÃbhij¤Ãs tapasvina÷  KDA_444b
mahÃbhÆtasamudbhÆta-  KDA_225a
mahÃyaj¤asamÃcÃrÃ  KDA_165c
mahÃyaj¤Ãdikarmiïa÷  KDA_232b
mahÃraudrÃÓ ca te khyÃtÃ  KDA_190c
mahotsÃho mahÃvÅra÷  KDA_84c
mÃïava uttaro nÃma  KDA_467a
mÃïava tvaæ prajÃnÃæ tu  KDA_467c
mÃtaraæ janmadÃtrÅæ ca  KDA_380a
mÃtreïa brÃhmaïo bhavet*  KDA_211b
mÃnavÃnÃæ tathÃ nÃsti  KDA_143c
mÃnavÃnÃæ tathÃ nÃsti  KDA_145c
mÃnavÃ brÃhmaïÃ÷ khalu  KDA_129b
mÃnavÃ ye praÓÃntÃsthÃ  KDA_163a
mÃnavÃs te tapasvina÷  KDA_167d
mÃnavo 'pi na pÆjyate  KDA_227b
mÃnino madamohÃndhÃ  KDA_346a
mÃyÃkleÓÃrthasÃdhinÃ  KDA_42b
mÃyÃyÃæ jÃyate rati÷  KDA_333d
mÃsam ekaæ nirantaram*  KDA_111b
mÃsam ekaæ nirantaram*  KDA_207b
mÃheÓvarÅvratÃdhÃrÃ÷  KDA_191c
mÃæ vihÃre praveÓaya  KDA_302d
mÃæsÃsthiguïabhedatÃ  KDA_147d
mithyÃjÅvena jÅvan ya÷  KDA_109c
miÓrataiva tu miÓrÃïÃæ  KDA_480e
miÓrato miÓrabhuktÃra  KDA_106c
muktaÓ carati yo nityaæ  KDA_255c
mukhato brÃhmaïo jÃto  KDA_242a
mukhÃdivarïaÓabdaiÓ ca  KDA_140c
muditÃpi sadÃ sÃdhyÃ  KDA_314a
muditÃæ hi samÃlambya  KDA_314c
munaya÷ satyavÃdina÷  KDA_169d
muninÃ muninÃ + +  KDA_109b
munÅnÃm ÃÓramaæ yayau  KDA_73d
munÅnÃm upadeÓÃni  KDA_43a
munÅndra÷ ÓrÅdhana÷ ÓÃstÃ  KDA_294c
muhu÷ paÓyann ananda sa÷  KDA_25d
mÆ¬hasya drÆyate cittaæ  KDA_334c
mÆ¬ho du«ÂavaÓaæ vrajet*  KDA_406b
m­gadÃve jinÃÓrame  KDA_463b
m­gÃ÷ kÃli¤jare girau  KDA_107d
m­taÓ ca sa prajÃyate  KDA_111d
m­ta÷ sa ÓvÃ prajÃyate  KDA_207d
m­tena svÃminÃ saha  KDA_434b
m­ttikayaiva bhÃrgava÷  KDA_219d
m­ttikÃyÃ na bhedo 'sti  KDA_220a
m­tyuæ yÃnti janai÷ sÃrdhaæ  KDA_377c
meror upari«aï¬ÃyÃm  KDA_18c
maitrÅcittaæ samÃlambya  KDA_413c
maitrÅdharmam upÃdiÓat*  KDA_365d
maitrÅdharmopadeÓena  KDA_451c
maitrÅmÃ¤ jagatÃm i«Âo  KDA_423a
maitrÅmÃ¤ jagatÃæ mitro  KDA_423c
maitrÅmÃ¤ jagatÃæ sakhÃ  KDA_423d
maitrÅmÃ¤ jagatÃæ suh­t*  KDA_423b
maitrÅmÃn puru«a÷ ÓrÅmÃn  KDA_424a
maitrÅmÃn puru«a÷ sÃdhur  KDA_421a
maitrÅmÃn sajjano loke  KDA_422a
maitrÅmÃn sanmatir bandhur  KDA_422c
maitrÅmÆlodbhavÃni hi  KDA_446d
maitrÅyuktam ivÃtmaje  KDA_274b
maitrÅ loke prasÃryatÃm*  KDA_420d
maitrÅ saddharmasÃdhanÅ  KDA_420b
maitrÅ hi jagatÃæ mÃtÃ  KDA_441a
maitrÅæ citte samÃdhÃya  KDA_447c
maitrÅæ bhÃvaya satve«u  KDA_484c
maitrÅæ vinÃ na jÃyeta  KDA_442a
maitryÃ saæskÃraya¤ jagat*  KDA_425d
maithunaæ nÃdhigacchanti  KDA_207c
maithunaæ hi sadÃ tyaktaæ  KDA_256c
yak«agandharvakinnarai÷  KDA_8b
yac ca bhÃryÃnuyÃty eva  KDA_434a
yac ca rÃjÃ prajÃ÷ pÃti  KDA_430a
yac ca vidvÃn guru÷ Ói«yÃn  KDA_431a
yac ca vÅrÃ raïe sthitvÃ  KDA_432a
yac cÃnena punas tatra  KDA_475c
yac cittaæ muditaæ loke  KDA_276a
yac chÃækaro mahÃraudro  KDA_376a
yatayo yogino 'pi te  KDA_170d
yata÷ saukhyaæ pravartate  KDA_412d
yatitavyaæ Óubhe«v eva  KDA_481c
yatir mok«am avÃpnuyÃt*  KDA_349f
yatÅn d­«ÂvÃnumodaæ ca  KDA_339c
yato dÃtÃ prajÃpati÷  KDA_56d
yat ta÷ kleÓÃprahÅïatvÃd  KDA_472a
yatnai ratnÃni sÃdhayan*  KDA_433b
yat pitÃ bÃlakaæ putram  KDA_429a
yat pitÃ svÃtmajaæ putraæ  KDA_383a
yatra yatra pragacchati  KDA_424b
yat svayaæ pariïÅtÃpi  KDA_385a
yathÃ karoti bhÃïdÃni  KDA_219c
yathÃk­tiviÓe«atÃ  KDA_143b
yathÃ ca k­mikÅÂÃnÃæ  KDA_141a
yathÃ prakÃÓatamasor  KDA_134a
yathÃ bhasmani sauvarïe  KDA_134a
yathÃ bhÆruhav­k«ÃïÃæ  KDA_142a
yathÃmrÃdiphalÃnÃæ ca  KDA_147a
yathÃ vajrÃdiratnÃnÃæ  KDA_150a
yathÃ varïÃdibhedatÃ  KDA_145b
yathÃ v­k«o 'hive«Âita÷  KDA_400d
yathÃ «a¬rasajÃtÅnÃæ  KDA_148a
yathÃ siæhÃdijantÆnÃæ  KDA_139a
yathÃ haæsamayÆrÃdi-  KDA_140a
yathÃ hi bÃlakÃ bÃlÃ  KDA_152a
yathÃ hemÃdidhÃtÆnÃæ  KDA_149a
yathaikav­k«ajÃtÃnÃæ  KDA_160a
yadÃ ca garu¬enÃhaæ  KDA_339a
yadÃ na kurute pÃpaæ  KDA_273a
yadÃ var«aÓatÃyu«i  KDA_467d
yadÃ sarvaparadravyaæ  KDA_254a
yadi te dharmavÃ¤chÃsti  KDA_311c
yadi te 'sti k­pÃ devi  KDA_301a
yadi bauddhe«u dharme«u  KDA_288a
yadi me Óaraïaæ yÃtha  KDA_366c
yadi vÃ¤chÃsti te yate  KDA_293b
yadi vÃ brahmajÃ viprÃ  KDA_199a
yadi vipra÷ ÓarÅra÷ syÃt  KDA_212a
yadi vipro mukhÃj jÃto  KDA_244a
yadi vedÃd dvijo bhavet*  KDA_230b
yadi vedair bhaved vipro  KDA_237c
yadi ÓÆdro 'pi tÅrïavÃn*  KDA_264b
yadi svÃcÃrato vipra÷  KDA_234a
yad uktaæ ÓÃkyasiæhena  KDA_2c
yad dadanti mahÃsatvÃ÷  KDA_439a
yad dve«ÃbhyÃsataÓ cÃsaæ  KDA_331a
yad dhetor janÃÓ caivaæ(?)  KDA_347c
yad yat karmÃnucÃriïa÷  KDA_185b
yady ÃcÃrapramÃïatÃ  KDA_236b
yad rÃjÃno viruddhÃÓ ca  KDA_377a
yan mayÃ hitam ucyate  KDA_291b
yan mÃtÃ du÷khitÃpy evam  KDA_428a
yaÓ ca dÃtÃ viÓuddhÃtmÃ  KDA_56a
yasmÃt saæskÃrato dvija÷  KDA_91b
yasmÃd bhÆter ayaæ putraæ  KDA_28a
yasya cittaæ dayÃÓÆlaæ  KDA_58a
yasya cittaæ pravik«iptaæ  KDA_54a
yasya cittaæ sadÃ satva-  KDA_60a
yasya cittaæ hy aviÓuddhaæ  KDA_51a
yasya citte dayÃ nÃsti  KDA_399a
yasya dÃtuæ mano nÃsti  KDA_50a
yasya na kuÓalotsÃhaæ  KDA_53a
yasya praj¤Ã jagalloka-  KDA_61a
yasya praj¤Ã viÓuddhÃ na  KDA_55a
yasya lokahite cittaæ  KDA_274a
yasya loke dayÃ nÃsti  KDA_52a
yasya loke«u kÃruïyaæ  KDA_275a
yasyaiva hetunÃ lokÃ  KDA_332c
yasyopek«Ãyutaæ cittaæ  KDA_277a
yÃ gatir brahmacÃriïa÷  KDA_271b
yÃtÃ÷ saukhÃvatÅæ te 'py amitarucimuner dharmam ÃrÃdhayanti  KDA_486d
yÃd­Óaæ sÃdhyate karma  KDA_195a
yÃni mahÃnti pÃpÃni  KDA_396a
yÃmi te Óaraïaæ sadÃ  KDA_321b
yÃvac citte sthitaæ krodhaæ  KDA_368c
yÃvajjÅvam api ghnata÷  KDA_371b
yÃvajjÅvaæ sukhaæ bhuktvÃ  KDA_448c
yÃvat krodham anirjitya  KDA_68c
yÃvat krodhÃnaloddÅptaæ  KDA_336a
yÃvad du«ÂÃn anirjitya  KDA_69a
yÃvanti pÃpadu÷khÃni  KDA_411a
yÃvanti sukhabhogyÃni  KDA_446a
yuktaÓ carati dharmaæ yo  KDA_272c
yugÃntakÃlavij¤ÃtÃ  KDA_182c
yuddhaæ k­tvÃ parasparam*  KDA_377b
yÆyaæ sarve 'numoditÃ÷  KDA_448b
ye ete du÷khino loke  KDA_367c
ye ete sukhino loke  KDA_367a
yee bhajanti sadÃ buddhaæ  KDA_192a
ye ca kurvanti mÃnavÃ÷  KDA_181b
ye ca k«atrÃïi rak«anta÷  KDA_174a
ye ca k«etrÃïi kar«anti  KDA_178a
ye ca jitendriyagrÃmÃ  KDA_170a
ye ca bhasmaviliptÃÇgÃ  KDA_172a
ye ca mÃrÃn vinirjitya  KDA_167a
ye ca mÃheÓvarÅæ devÅæ  KDA_191a
ye ca lokapracÃre«u  KDA_169a
ye ca satvahitÃdhÃne  KDA_176a
ye ca sÃrthÃn samÃh­tya  KDA_180a
ye ca sthaï¬ilam ÃÓritya  KDA_171a
ye cÃparigrahÅtÃro  KDA_49a
yena krodho jito vairo  KDA_398a
yena saærak«itaæ nityaæ  KDA_57a
yenaite garu¬Ã nÃgÃ  KDA_453c
yenaite rak«itÃ÷ sarve  KDA_364c
yenaiva du«karaæ karma  KDA_59a
yenaiva nÃgayonau ca  KDA_471c
yenaiva nirjitÃ÷ kleÓÃÓ  KDA_62a
yenaiva yat k­taæ karma  KDA_459c
yenaiva yat k­taæ karma  KDA_478a
yenaivaæ sarvasatÃnÃæ  KDA_349c
ye 'pi kleÓÃn vinirjitya  KDA_48a
ye 'pi parigrahÃæs tyaktvÃ  KDA_45a
ye pravrajyÃæ samÃg­hya  KDA_46a
ye bhajanti jinaæ caiva  KDA_193a
ye bhajanti mahÃraudraæ  KDA_190a
ye bhajanti vi«ïuæ nityaæ  KDA_188a
ye bhajanti Óivaæ nityaæ  KDA_187a
ye bhajanti sadÃ brahma  KDA_164c
ye maitrÅbhÃvadharmaæ kalimatiharaïaæ tat subhÆteÓ caritraæ  KDA_486a
ye ye du«ÂÃÓayÃ÷ krÆrÃ÷  KDA_391a
ye ye satvÃ mahÃbhij¤Ã÷  KDA_426a
ye ye svÃcÃravantaÓ ca  KDA_234c
ye ra¤jayanti dharmÃrthe  KDA_175a
ye ÓÃntÃ yatayo dhÅrÃÓ  KDA_387a
ye satvÃs tÃmasÃ raudrÃ  KDA_97c
ye samiddhavyadravyÃïi  KDA_173a
ye sthitÃ mok«akÃÇk«iïa÷  KDA_267b
yogo 'py e«a na vidyate  KDA_158d
yojayi«ye ca saæyame  KDA_39d
yojayeyaæ sa sarvathÃ  KDA_88d
yonijaæ sarvam eva hi  KDA_197d
yo 'sau bhagavatÃnena  KDA_466c
rajodharmadharÃ narÃ÷  KDA_94b
rajodharmaratÃ ye hi  KDA_98a
ratau rÃgo 'bhijÃyeta  KDA_334a
ratnÃkarasamÃgatÃ÷  KDA_180b
ratnÃÇgam iva jaÇgamam*  KDA_306d
ramadhvaæ maitramÃnasÃ÷  KDA_366d
rarÃma sa vayonvita÷  KDA_29d
rÃk«aso 'pi dvija÷ khalu  KDA_237d
rÃk«aso vedapÃraga÷  KDA_238b
rÃgacaryÃnusÃriïa÷  KDA_98b
rÃgadve«aniv­ttiÓ ca  KDA_268c
rÃge moha÷ pravardhate  KDA_334b
rÃjabhÅ rÃjamÃtraiÓ ca  KDA_7a
rÃjÃnas te mahÃvÅrÃ÷  KDA_175c
rÆpam eva trayo guïÃ÷  KDA_103b
rocate tapase mama  KDA_65b
ro«itÃ bheditÃÓayÃ÷  KDA_384b
rauravaæ so 'dhigacchati  KDA_208d
rauravÃdÅn samantata÷  KDA_409b
lak«aïai÷ samalaæk­tam*  KDA_305d
lak«yate mÃnavas tathÃ  KDA_221d
lÃbhÅ cÅvaravÃsasÃm*  KDA_9b
lipim anvagrahÅt kramÃt*  KDA_34d
lipiÓÃlÃm upÃgamat*  KDA_34b
lokÃnÃæ jagatÃm api  KDA_422d
lokÃnÃæ paricÃrakÃ÷  KDA_183b
lokÃnugrahakÃraïÃt*  KDA_351d
lokÃn nÅtiprayojakÃ÷  KDA_175b
loke 'narthaæ kari«yati  KDA_38d
loke 'narthaæ kari«yati  KDA_87d
lokeÓo hi k«amÃkara÷  KDA_58d
vaïikkarmÃbhisaæyuktÃ  KDA_179c
vaïijas te mahodyamÃ÷  KDA_179d
vanaprasthanivÃsina÷  KDA_164b
vandanÅyÃ÷ sadÃ khalu  KDA_45d
varaæ vipra÷ suyantrita÷  KDA_270b
varjita÷ pit­devaiÓ ca  KDA_208c
varïagandhÃdibhedatÃ  KDA_145d
varïasaæsthÃnagandhÃÓ ca  KDA_146c
varïÃkÃraviÓe«atÃ  KDA_144d
varïÃkÃrÃdilak«aïam*  KDA_144b
varïÃvasthÃ÷ prati«ÂhitÃ÷  KDA_249d
varïÃs tathaiva catvÃra÷  KDA_158a
varïÃs sathava cÃpy anye  KDA_138c
varïÃ hy anekajÃtaya÷  KDA_133b
vartate guïabhedatÃ  KDA_222d
var«asahasram Ãyu« ca  KDA_460c
vasanti kleÓabhÃgina÷  KDA_97f
vasanti dhyÃyina÷ sadÃ  KDA_44d
vasanti narake ghore  KDA_390c
vasanti mÃnu«Ãdaya÷  KDA_98d
vasanti svargatiæ gatÃ÷  KDA_99d
vasantÅ vanadevatÃ  KDA_284b
vasi«ÂhÃkhyo mahÃmuni÷  KDA_124b
vaseyaæ janapadÃÓrame(?)  KDA_341b
vaseyaæ dhyÃnasaærata÷  KDA_349b
