Vagisvarakirti: Mrtyuvancanopadesa
Based on the ed. by Johannes Schneider: VÃgÅÓvarakÅrtis M­tyuva¤canopadeÓa, eine buddhistische Lehrschrift zur Abwehr des Todes.
Wien : Verlag der ™sterreichischen Akademie der Wissenschaften 2010.
(Beitr„ge zur Kultur- und Geistesgeschichte Asiens ; 66) (Denkschriften der philosophisch-historischen Klasse ; 394)
ISBN 978-3-7001-6722-8


Input by Johannes Schneider



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akasmÃj jÃyate sthÆla÷  VMv_1.61a
bhe«ajÃnÃæ ni«evaïÃt  VMv_3.69b
bhe«ajai÷ sahitÃæ sadÃ  VMv_3.68b
bhairavÃyapadaæ vadet  VMv_4.11b
bhai«ajyÃdi pratikriyÃ  VMv_1.78d
bhojyaÓayyÃdidÃnata÷  VMv_3.31b
bhra«ÂÃyu÷ san naro 'vaÓyaæ  VMv_4.54c
bhrÃtrÃdÅnÃæ mahÅyasÃm  VMv_1.95d
bhrÆmadhye jyoti«o 'd­«Âau  VMv_1.109a
makarÃt karkaÂÃvadhe÷  VMv_1.30d
maïimantrau«adhÅnÃæ ca  VMv_1.8c
maïimantrau«adhÅsiddha-  VMv_3.35a
maïimantrau«adhair bÃhyam  VMv_3.2c
maïÅnÃæ sarvasaæmatam  VMv_3.38d
maï¬alÃlekhanÃd dhomÃn  VMv_3.30a
maï¬alena sphurattvi«Ã  VMv_4.70d
madhusarpi÷samanvitÃt  VMv_3.81b
madhyamo dviguïas tata÷  VMv_4.66d
madhya÷ syÃd dviguïas tathÃ  VMv_4.63d
madhyÃhnÃt parato m­tyu÷  VMv_2.14c
madhyÃhne padamÃtrikÃ  VMv_1.27b
madhye Óe«e ca ha¤chikÃ  VMv_1.43b
mantrajÃpaparÃyaïa÷  VMv_4.3d
mantram ak«aralak«akam  VMv_3.43b
mantram enaæ daÓÃk«aram  VMv_4.32d
mantraÓaktes tato 'vaÓyaæ  VMv_3.61c
mantraæ lokeÓvarasyÃsya  VMv_3.41a
mantrÃïÃm api sÃmarthye  VMv_3.65a
mantrÃdibhir va¤cana eva yatna÷  VMv_1.139d
mantraikalak«ajÃpata÷  VMv_3.56b
mantrair yai÷ ÓÃntikarma  VMv_3.64a
mantro 'yaæ m­tyuva¤caka÷  VMv_3.59b
mantro vighnanivÃraïa÷  VMv_4.14d
mantro 'Óokadale 'male  VMv_3.46b
mama rak«Ãæ kuru svÃhÃ  VMv_4.17d
maraïava¤canam atra yathÃbalam  VMv_3.83b
maraïaæ tasya nirdiÓet  VMv_1.70d
maraïaæ tasya nirdiÓet  VMv_1.133b
maraïaæ tasya pÆrvavat  VMv_1.123d
maraïaæ pa¤cavatsarai÷  VMv_1.40b
maraïaæ parikÅrtitam  VMv_1.92d
maraïaæ bhÃvi tatparai÷  VMv_1.10d
maraïÃdi manÅ«ibhi÷  VMv_2.7d
maraïe du÷khasaædarÓÅ  VMv_4.8a
martavyadivasaæ j¤ÃtvÃ  VMv_4.69a
mastakÃgre p­thakp­thak  VMv_1.50b
mastakopari niryÃntÅæ  VMv_1.102a
maste patati vajrÃgnau  VMv_1.9c
mahÃgaïapatipadÃj  VMv_4.14a
mahÃdaæ«ÂrotkaÂapadÃd  VMv_4.11a
mahÃmaï¬alakalpoktÃ-  VMv_3.49a
mahÃyÃnaprakÃÓakÃn  VMv_3.25b
mahÃÓvetÃdidevatÃm  VMv_4.38b
mahÃ«ÂasthÃnapÆjÃbhir  VMv_3.20c
mahÃsamÃjakaæ sÆtram  VMv_3.23a
mÃghamÃsasya saækrÃnte÷  VMv_2.25a
mÃghÃdi«u ÓubhÃÓubham  VMv_1.35d
mÃtaraæ kÃmarÆpadhÃm  VMv_4.30b
mÃtÃpit­gurujye«Âha-  VMv_3.17a
mÃtrÃbhojÅ mitÃlÃpÅ  VMv_4.3a
mÃnasatkÃradÃnÃc ca  VMv_3.17c
mÃrayitum ayogyatvÃn  VMv_4.42c
mÃravighno nirÃkula÷  VMv_4.18b
mÃruta÷ sÆryagocara÷  VMv_2.44b
mÃrgaÓÅr«asya saækrÃnti-  VMv_2.21a
mÃrjÃranetratulyÃni  VMv_1.103c
mÃsatrayÃt pak«atrayÃn  VMv_1.52c
mÃsÃn maraïam ÃdiÓet  VMv_1.31d
mÃsÃs te 'hÃni Óe«Ãs tithidigi«uguïa-dvÅndavo jÅvitasya  VMv_2.53d
mÃsaiÓ caturbhir m­tyu÷ syÃt  VMv_1.41a
mitakÃlÃtyayÃd bhavet  VMv_2.5d
mithyetyÃdi prakÃÓanÃt  VMv_1.120b
muktÃnÃm eva yujyate  VMv_1.4b
muktÃphalavibhÆ«aïÃn  VMv_1.90d
muktÃhÃrÃn ivÃlÆnÃn  VMv_1.90c
muï¬itaæ raktavÃsasam  VMv_1.135d
mudrÃïÃæ bandhanÃd api  VMv_3.30b
muhuÓ ca mativibhrama÷  VMv_1.62d
muhu÷ skhalati vÃïÅ ca  VMv_1.62c
muhÆrtam api na svapet  VMv_4.57b
mÆ¬hÃ bhogaikatatparÃ÷  VMv_4.59b
mÆtraÓukrapurÅ«Ãïi  VMv_1.78a
mÆtraæ yasya bhaven m­tyus  VMv_1.115c
mÆrchito vÃ bhaven muhu÷  VMv_1.67d
mÆrdhni candramaso bimbÃt  VMv_4.43a
m­takÃd vidhibhak«itÃt  VMv_3.70b
m­tasaæjÅvanam api  VMv_3.74a
'm­tÃm atyantam Ãcaret  VMv_3.67d
m­tyudvÃraæ na paÓyati  VMv_3.68d
m­tyunÃ naiva d­Óyate  VMv_4.79d
m­tyunirïayakÃraka÷  VMv_2.29d
m­tyur a«ÂÃdaÓÃbdata÷  VMv_2.21d
m­tyur ÃyÃti va¤canÃm  VMv_4.40d
m­tyur ÃyÃti va¤canÃm  VMv_4.75d
m­tyur ekadinÃt kramÃt  VMv_1.52d
m­tyur ekÃhiko bhavet  VMv_1.112b
m­tyur eva na saæÓaya÷  VMv_1.33d
m­tyur dÆragato bhavet  VMv_3.14d
m­tyur dÆrÃyate kramÃt  VMv_3.11d
m­tyur d­«Âa÷ kva cid bhavet  VMv_1.19b
m­tyur dvÃdaÓavar«ata÷  VMv_2.23b
m­tyur dharmeïa va¤cyate  VMv_3.7d
m­tyur nÃma vikalpo 'yam  VMv_4.81a
m­tyur nÃyÃti saænidhim  VMv_4.69d
m­tyur nÃsty atra saæÓaya÷  VMv_2.33d
m­tyur naivopasarpati  VMv_3.17d
m­tyur naivopasarpati  VMv_4.42d
m­tyur mÃsacatu«ÂayÃt  VMv_1.85d
m­tyur mÃsatrayÃd bhavet  VMv_1.108d
m­tyur mÃsÃd viniÓcita÷  VMv_1.32d
m­tyur mÃsÃvadher bhavet  VMv_1.68d
m­tyur var«atrayÃvadhe÷  VMv_1.102d
m­tyur var«advayÃd bhavet  VMv_2.44d
m­tyur var«eïa tasya hi  VMv_1.39d
m­tyulak«aïasaæbhava÷  VMv_2.51b
m­tyuliÇgÃni tÃni ka÷  VMv_1.138b
m­tyuliÇgÃni paÓyatu  VMv_1.121d
m­tyuva¤canakÃraka÷  VMv_3.48b
m­tyuva¤canakauÓalam  VMv_4.1b
m­tyuva¤canabhÃjanam  VMv_4.85d
m­tyuva¤canam aÓnute  VMv_3.25d
m­tyuva¤canam aÓnute  VMv_3.41d
m­tyuva¤canam Ãpyate  VMv_3.26d
m­tyuva¤canam Ãrabhet  VMv_1.7d
m­tyuva¤canam Ãrabhet  VMv_4.8d
m­tyuva¤canam ucyate  VMv_1.5d
m­tyuva¤canam udyatai÷  VMv_3.3b
m­tyuva¤canavÃ¤chayÃ  VMv_3.7b
m­tyuva¤canavÃ¤chayÃ  VMv_4.67d
m­tyuÓaÇkÃ prajÃyate  VMv_1.29d
m­tyus tasyaikavar«ata÷  VMv_1.84d
m­tyuæ kurvanti paï¬itÃ÷  VMv_3.29d
m­tyuæ jayati niÓcitam  VMv_4.58d
m­tyuæ jayati m­tyuvat  VMv_4.34d
m­tyuæ jayati m­tyuvat  VMv_4.44d
m­tyuæ trividhalak«aïam  VMv_1.13b
m­tyuæ so 'pi na paÓyati  VMv_4.80b
m­tyu÷ prÃkkarmado«ata÷  VMv_1.81d
m­tyu÷ «a¬mÃsato no cet  VMv_1.116c
m­tyu÷ sadyas tadÃ bhavet  VMv_1.50d
m­tyu÷ syÃc chatavÃsarai÷  VMv_1.104b
m­tyu÷ syÃt tasya pÆrvavat  VMv_1.125d
m­tyu÷ syÃt pa¤camÃsata÷  VMv_1.53d
m­tyu÷ syÃt saptarÃtrata÷  VMv_1.53b
m­tyu÷ syÃd a«ÂamÃsata÷  VMv_1.137d
m­tyu÷ syÃd var«amadhyata÷  VMv_1.94d
m­tyu÷ syÃd vÃsaratrayÃt  VMv_1.111d
m­tyu÷ syÃn navavar«ata÷  VMv_2.23d
m­tyor bhavati va¤caka÷  VMv_3.24d
m­tyor lak«aïam Ãj¤Ãtuæ  VMv_1.11a
m­tyor vi«kambhaïaæ kuryÃt  VMv_3.34c
m­tyo÷ parÃjayo d­«Âa÷  VMv_3.35c
m­tyo÷ samyag viniÓcaya÷  VMv_2.2b
maitryacittÃditatpara÷  VMv_4.4d
maithune sati ghaïÂÃyÃ  VMv_1.48a
mok«o 'pi jÃyate nÆnaæ  VMv_3.50c
mriyate svayam eva hi  VMv_4.27b
mriyante tu vilomena  VMv_4.59a
mriyamÃïo jarÃdibhi÷  VMv_4.90b
yata iha kamanÅyaæ jÅvitÃn nÃnyad asti  VMv_4.98d
yata÷ sarvatra d­Óyate  VMv_3.82d
yata÷ sarve«u saæmatam  VMv_3.65d
yata÷ so 'm­tasaæcaya÷  VMv_4.52b
yatra rÃÓau naro jÃtas  VMv_2.30a
yatra velÃk«aïe vÃyor  VMv_2.33a
yathÃkÃmaprayogata÷  VMv_3.67b
yathÃ jÅrïasya gehasya  VMv_4.91a
yathÃ tathÃyaæ deho 'pi  VMv_4.90a
yathÃ nÃsty atra saæÓaya÷  VMv_4.88b
yathÃbhivÃ¤chitaæ yogaæ  VMv_4.18c
yathÃvad anupÆrvaÓa÷  VMv_2.26d
yathÃÓakti parityÃge  VMv_1.21c
yathÃsaækhyaæ bhavet tadÃ  VMv_2.39d
yathÃsaækhyaæ bhaven m­ti÷  VMv_2.37d
yathÃsvaæ yasya gocarÃn  VMv_1.62b
yathopadeÓayuktÃbhir  VMv_3.72c
yadÃ tv ekaæ dalaæ tatra  VMv_1.97a
yadÃ vaktreïa gacchati  VMv_2.20b
yadi cak«uÓ ca vidhyati  VMv_1.37b
yadi dharmaæ na sevate  VMv_1.45d
yadi dharmaæ na sevate  VMv_1.61d
yadi na syÃt pratikriyÃ  VMv_1.47d
yadi brahmasamo bhavet  VMv_1.48d
yadi bhrÃntyÃ na kalpita÷  VMv_1.86d
yadi mantrÃdi nÃcaret  VMv_1.60d
yadi vajrasamo 'py asau  VMv_2.20d
yadi vedho 'pratÅkÃro  VMv_1.50c
yadi Óakrasamo bhavet  VMv_1.46d
yad yad vibhÃvyate 'bhÅk«ïam  VMv_4.83a
yad vÃ khaÂvÃÇgabhÃvakam  VMv_4.42b
yan na mantrai÷ prasidhyati  VMv_3.66b
yaÓ cÃpi vÃnarÃrÆ¬ha÷  VMv_1.125a
yas tasya m­tyur var«eïa  VMv_1.61c
yasya mastakam Ãruhya  VMv_1.82a
yasyÃnubhÆyate tasya  VMv_1.80c
yasyÃrdhapraharaæ vahet  VMv_2.17b
ya÷ paÓyet tasya m­tyu÷ syÃt  VMv_1.69c
ya÷ satataæ kurute hitayogam  VMv_3.73b
ya÷ svapne labhate tasya  VMv_1.137c
yÃ tu badhnÃti bandhanai÷  VMv_1.127b
yÃty asau yamamaï¬alam  VMv_1.128d
yÃni «aÂ «a¬ dinÃny atra  VMv_1.34c
yÃvaj jÅvati saæsÃre  VMv_1.6a
yÃvat kaïÂhaæ Óiro 'thavÃ  VMv_1.52b
yÃvat pa¤cadaÓÅtarÃ  VMv_2.10d
yÃvat pa¤cadaÓÅ sitÃ  VMv_2.9d
yÃvat pa¤cadinaæ m­tyu÷  VMv_1.113c
yÃvad ÃdhyÃtmikaæ samyag  VMv_2.2c
yugapatpa¤cadhÃraæ vÃ  VMv_1.115a
yugapan nirgamo bÃhu-  VMv_1.84a
ye«Ãæ sattve«u saætatam  VMv_3.10b
yai÷ syÃd Ãyu«o v­ddhis  VMv_3.64c
yogatantrÃdivÃcanÃt  VMv_3.26b
yogo 'yaæ bahusaæmata÷  VMv_3.77d
yo na paÓyati tasya syÃn  VMv_1.102c
yo na paÓyati darpaïe  VMv_1.47b
yo nirodhena ti«Âhati  VMv_4.69b
yo 'bhirohati mÃnava÷  VMv_1.123b
yo 'bhirohati svapnÃnte  VMv_1.122c
yo vÃnararathÃrÆ¬ho  VMv_1.131a
raktagandhapraliptÃÇgaæ  VMv_1.135a
raktamÃlyavibhÆ«itam  VMv_1.135b
raktamÃlyÃni gandhÃæÓ ca  VMv_1.137a
raktavarïÃmitÃbhÃkhya-  VMv_4.23a
raktÃmbaram athÃpi vÃ  VMv_1.137b
rak«a÷pretapiÓÃcakai÷  VMv_1.132b
ratnalak«aïaÓÃstrokta-  VMv_3.36a
ratnolkÃyÃÓ ca jÃpata÷  VMv_3.28d
rambhÃphalanibhÃæ chÃyÃæ  VMv_1.96c
rasÃyanabalÃt svayam  VMv_3.35b
rasÃyanasvabhÃvakÃt  VMv_3.70d
rÃjacauramahÃmÃra-  VMv_4.2a
rÃtrÃv apaÓyato 'kasmÃt  VMv_1.72c
rÃtrÃv indradhanu÷ paÓyed  VMv_1.64a
rÃtrir e«Ã mamÃntimÃ  VMv_1.131d
rÃtrau sÆryaæ divÃ candraæ  VMv_1.74a
rÃÓau tatraiva candraÓ cej  VMv_2.31a
rudradikpÃlamanmathai÷  VMv_4.34b
rogÃder api saæsk­te÷  VMv_2.3d
romakÆpai÷ samantata÷  VMv_4.43d
ryaÓatÃk«arasaæj¤ina÷  VMv_3.49b
lak«aïaæ kathyate sphuÂam  VMv_2.1b
lak«aïaæ naiva niÓcitam  VMv_2.2d
lak«aïÃd dÆrato m­tyuæ  VMv_1.9a
lak«aïÃnÃæ pariccheda-  VMv_1.23a
lak«aïÃny upalak«ayet  VMv_1.22d
lak«aïÅyam ata÷ p­thak  VMv_1.25d
lak«aïÅyam idaæ trayam  VMv_1.98b
lak«aïe jvala jvalana-  VMv_3.54c
lak«ayet prÃtarÃdita÷  VMv_2.4d
lak«ayen madhyatas tayo÷  VMv_1.96d
lak«ayen maraïaæ tadÃ  VMv_2.34d
lak«aÓa÷ koÂiÓo vÃpi  VMv_3.47a
lalÃÂasthatrirekhÃïÃæ  VMv_1.112c
lÃlÃjihvÃm adhomukhÅm  VMv_4.48b
likhitaÓ candanadravai÷  VMv_3.46d
liÇgÃni bÃhyÃni yathoditÃni  VMv_1.139b
liÇgÃny ari«Âam iti cÃparanÃmakÃni  VMv_2.55b
liÇginÃæ prÃtar ÃdarÃt  VMv_3.18b
liptvÃ ÓayyÃæ m­tÃ vayam  VMv_4.94d
lekhakÃnÃæ tapasvinÃm  VMv_4.102b
lokeÓagatacetasaæ  VMv_4.26d
lokeÓam aparaæ tathÃ  VMv_4.25b
lokeÓvaraguro÷ pura÷  VMv_3.61b
lokeÓvaram anaÓvaram  VMv_4.22b
locanÃæ mÃmakÅæ cundÃæ  VMv_4.38a
locaneti padatrayam  VMv_3.45d
lohadaï¬adharaæ k­«ïaæ  VMv_1.134a
lohitaæ vyÃdhisÆcakam  VMv_1.49d
vaktuæ var«aÓatair api  VMv_1.138d
vak«yamÃïÃrthadarÓikÃ  VMv_4.63b
vajrakÃya÷ svarÆpavÃn  VMv_3.79b
vajrakÃyo bhaved dhruvam  VMv_4.21d
vajra¬Ãkaæ catu«pÅÂhaæ  VMv_4.99a
vajraparyaÇkasaæÓli«Âaæ  VMv_4.23c
vajrapÃtÃdilak«aïa÷  VMv_1.15d
vajrÃïÃæ ca namo vajra-  VMv_4.10c
va¤caka÷ syÃn na saæÓaya÷  VMv_3.37d
va¤canÃni m­ter iha  VMv_4.94b
va¤cyate m­tyur udyatai÷  VMv_3.27d
va¤cyate m­tyur udyatai÷  VMv_4.1d
vatsarair manusaækhyÃtair  VMv_2.34c
varadotpaladhÃriïÅm  VMv_4.28d
varïaæ padmopamaæ mukhe  VMv_1.75b
var«atrayÃtyayÃn m­tyur  VMv_1.86c
var«atrayÃtyayÃn m­tyur  VMv_2.25c
var«asyaiva caturthÃæÓai÷  VMv_1.101c
var«Ãn m­tyur udÅrita÷  VMv_2.47d
var«Ãn m­tyur bhavet tatra  VMv_1.78c
var«air m­tyur yathÃkramam  VMv_1.100d
valÅpalitadaurbhÃgya-  VMv_4.35a
valÅpalitanirmukto  VMv_3.79a
vahec cet tridvyekavar«air  VMv_2.36c
vahec ced arkadikÓaila-  VMv_2.35c
vahet saptadaÓÃhaæ ced  VMv_2.47a
vahed ÃtmÅyanÃsÃgra-  VMv_3.76c
vahed ekÃdaÓÃhaæ cen  VMv_2.44a
vahed yasya daÓÃhÃni  VMv_2.15c
vahed vÃyur yadi tadÃ  VMv_2.13c
vahnitoyÃdyupadrava÷  VMv_1.16d
vÃ¤chÃ cet kasya cid bhavet  VMv_1.11b
vÃ¤chitÃrthaprasÃdhakÃt  VMv_4.39d
vÃtaÓÅtÃdisaÇgÃc ca  VMv_1.25c
vÃmanÃsÃpuÂe vÃyu÷  VMv_2.19a
vÃmapÃïer adarÓanÃt  VMv_1.95b
vÃmÃk«iputtalÅcchÃyÃæ  VMv_1.47a
vÃmÃvartaæ vigandhi ca  VMv_1.115b
vÃyujÃpaparo bhavet  VMv_4.55d
vÃyur ghrÃïÃsyagocara÷  VMv_2.1d
vÃyur vahati yÃmÃrdhaæ  VMv_2.7a
vÃyuÓ ced divasÃn vahet  VMv_2.26b
vÃyuÓ cen m­tyuvarjitÃ÷  VMv_2.27b
vÃyusaæcÃratatpara÷  VMv_4.58b
vÃyus tasya vijÃnÅyÃt  VMv_2.17c
vÃyus tasyÃrthanÃÓa÷ syÃd  VMv_2.18c
vÃyu÷ sÆryaikagocara÷  VMv_2.47b
vÃyÆdayavaÓÃj j¤eyo  VMv_2.51c
vÃlukÃcaityakaraïÃt  VMv_3.22a
vÃlukÃbhasmarÃÓiæ vÃ  VMv_1.123c
vÃlmÅkaæ pÃæÓurÃÓiæ vÃ  VMv_1.126c
vÃsarai÷ syÃt tribhir n­ïÃm  VMv_1.40d
vÃhayed anulomena  VMv_4.58a
vikalpamÃtrasaæbhÆtaæ  VMv_4.80a
vikalpaæ hÃnayet tasmÃn  VMv_4.82c
vikalpa÷ sarvadu÷khÃni  VMv_4.82a
vikalpo m­tyur ucyate  VMv_4.82b
vikÃra÷ ÓukramÆtrÃïÃæ  VMv_1.114c
vikÃsi parilak«yate  VMv_1.97b
vigatÃÓe«asaædeho  VMv_4.8c
vighnÃrer mantralak«akam  VMv_4.9b
vicchedÃd api pak«ata÷  VMv_1.57d
vij¤Ãya tÃni tvaritaæ vidheyo  VMv_1.139c
vij¤Ãya tÃni sapadi tvaritair vidheyo  VMv_2.55c
vij¤eya÷ sa tu yatnata÷  VMv_1.23d
vitatya bÃhÆ svacchÃyÃæ  VMv_1.93c
vidu«Ãæ saæmato dharma÷  VMv_3.9a
vidyÃdharapiÂodita÷  VMv_3.40d
vidhinÃ pÆritena tu  VMv_4.54b
vidhinÃ lak«ajÃpata÷  VMv_3.50b
vinÃyakÃnpadaæ vadet  VMv_4.13d
vinÃÓo brahmasÆtrasya  VMv_1.84c
viphalaæ yas tu paÓyati  VMv_1.130b
vilomas tadviparyayÃt  VMv_4.59d
viÓe«akÃlabodhÃya  VMv_2.28c
viÓe«as tv ayam ucyate  VMv_1.104d
viÓe«eïa k­pÃ ye«Ãæ  VMv_3.9c
viÓodhanipadaæ vadet  VMv_3.58d
viÓvarÆpadharas tathÃ  VMv_3.36d
vi«uvatk«aïasaæprÃptau  VMv_2.16a
vi«ïor api na saæÓaya÷  VMv_2.40d
visphoÂayadvayaæ tata÷  VMv_4.13b
visphoÂayadvayÃd brÆyÃt  VMv_4.17a
vihÃraya«Âiæ svapnÃnte  VMv_1.123a
vihÃrastÆpabimbÃde÷  VMv_3.20a
viæÓatiæ divasÃn yÃvat  VMv_1.100a
viæÓatiæ pa¤caviæÓatim  VMv_2.37b
vÅryÃt prÃrabdhani«pattir  VMv_4.6a
v­k«aæ t­ïaæ vÃ kÃ«Âhaæ vÃ  VMv_1.130a
v­k«Ãgre Óikhare gire÷  VMv_1.66d
v­k«Ãd vÃ prapatet svapne  VMv_1.129c
v­thÃ prÃptÃÓvÃso vim­Óati na lolÃæ bhavagatim  VMv_4.97b
v­ddhikÃle k«ayo yadi  VMv_1.32b
v­ddhikÃle 'py ativ­ddhau  VMv_1.33a
v­«aïe golakak«ayÃt  VMv_1.109d
vedha÷ sadÃho yasyÃsau  VMv_1.51c
vairocanÃd bharadvayaæ  VMv_3.58a
vyabhre nabhasi madhyÃhne  VMv_1.28c
vyÃghrÃdibhayavarjite  VMv_4.2b
vyÃdhidÃridryasaæk«aya÷  VMv_4.35b
vyÃdhidurbhik«akÃntÃra-  VMv_2.27c
vyomahemÃdibhir baddhÃn  VMv_3.70a
vrajantaæ dak«iïÃæ diÓam  VMv_1.136b
Óaktir asyÃpi tÃd­ÓÅ  VMv_4.15d
ÓaÇkhakundendusaækÃÓÃt  VMv_4.40a
Óanair ÃpÆrya vÃyunÃ  VMv_4.61b
Óanair lak«ÃdisaækhyayÃ  VMv_4.53b
Óabdo dhÆmo dyutis tathÃ  VMv_1.98d
Óabdo na ÓrÆyate dehÃd  VMv_1.83a
ÓaraccandrakarÃkÃrÃæ  VMv_4.29a
ÓÃntaæ ÓaÓÃÇkasaækÃÓaæ  VMv_4.22c
ÓÃntik­c cÃpi jÃyate  VMv_3.48d
ÓÃntir mÃyopamÃ mati÷  VMv_1.133d
ÓÃradacandranabha÷ pariÓuddhaæ  VMv_4.101a
ÓÃsanÅti padaæ tata÷  VMv_3.52d
ÓÃstrÃïy Ãlokya yatnata÷  VMv_4.100b
Óiraso 'darÓanÃt tasya  VMv_1.94c
Óirasy adhomukhaæ Óuklaæ  VMv_4.45a
ÓilÃtalaæ m­dv api vÃridhÃrÃ  VMv_4.92d
ÓÅlavadbhyo 'pi cÃdarÃt  VMv_3.16b
ÓuklÃyÃæ pratipattithau  VMv_1.49b
ÓuklÃæ vahati candraga÷  VMv_2.8b
ÓuddhaviyacchaÓinÃpy asamÃptam  VMv_4.101b
Óuddha÷ ÓraddhÃvidhÃnata÷  VMv_3.47b
Óu«yaddh­tpadmasaælÅnaæ  VMv_4.71c
Óu«yanty abhÅk«ïaæ «a¬mÃsÃn  VMv_1.70c
ÓÆnyatÃ kathitÃ jinai÷  VMv_4.76f
ÓÆnyatÃgrahavarjitÃm  VMv_4.79b
ÓÆnyatÃæ bhÃvayen nityaæ  VMv_4.79c
Ó­ÇkhalÃyÃ÷ samutthitai÷  VMv_3.74d
ÓokarÃjÃdyupadravÃ÷  VMv_2.27d
ÓoïitonmiÓraÓukrÃkhya-  VMv_3.75a
ÓodhyÃ÷ «o¬aÓa vÃsarÃ÷  VMv_1.101b
ÓraddhayÃ Óakyate kartuæ  VMv_3.3a
ÓraddhayÃ sarvasaæsiddhir  VMv_4.5c
ÓraddhÃ j¤Ãnaæ tapo hutam  VMv_3.5b
ÓraddhÃ dharma÷ paraæ sÆk«ma÷  VMv_3.5a
ÓraddhÃm ato d­¬hÅkuryÃd  VMv_3.3c
ÓraddhÃ sarvam idaæ jagat  VMv_3.5d
ÓraddhÃ svargaÓ ca mok«aÓ ca  VMv_3.5c
ÓraddhÃhÅnai÷ surair api  VMv_3.4d
ÓramÃt pÃcanapÃnÃder  VMv_4.86a
ÓrÃddhas tadagrato 'vaÓyaæ  VMv_3.41c
ÓrÃvaïasyÃpi ced evaæ  VMv_2.23a
ÓrÃvaïÃdau ÓubhÃÓubham  VMv_1.35b
Órotre Óirasi netre ca  VMv_1.98c
ÓvakÃkag­dhragomÃyu-  VMv_1.132a
Óvabhraæ vÃ cÃrakaæ tathÃ  VMv_1.129b
«aÂtrinetrendumÃsata÷  VMv_1.105d
«aÂtriæÓan mÃtrÃ yÃvat syus  VMv_4.66a
«aÂtriæÓanmÃtriko hÅno  VMv_4.63c
«aÂsaptÃ«ÂÃviæÓatiæ ced  VMv_2.38a
«a¬ dadyÃc choÂikÃs tata÷  VMv_4.65b
«a¬dinaæ cet tribhir var«aiÓ  VMv_2.42a
«a¬dinÃni viparyayÃt  VMv_2.13b
«a¬bhir mÃsair bhaven m­tyur  VMv_2.11c
«a¬bhir mÃsais tadÃ m­tyur  VMv_1.49c
«a¬bhir mÃsais tadÃ m­tyur  VMv_1.60c
«a¬bhir mÃsais tribhiÓ caiva  VMv_2.37c
«a¬bhir var«ais tadÃ bhavet  VMv_2.24d
«a¬ mÃsÃn d­¬haniÓcaya÷  VMv_4.32b
«a¬mÃsÃn na sa jÅvati  VMv_1.126d
«a¬mÃsÃn na sa jÅvati  VMv_1.130d
«a¬ mÃsÃn bhÃvayed yogÅ  VMv_4.44a
«a¬mÃsÃn maraïaæ bhavet  VMv_1.97d
«a¬mÃsÃn maraïaæ bhavet  VMv_1.107b
«a¬mÃsÃn m­tyudarÓanÃt  VMv_1.114d
«a¬mÃsÃn m­tyum ÃdiÓet  VMv_1.72d
«a¬mÃsÃn mriyate dhruvam  VMv_1.51d
«a¬mÃsÃbhyantare dhruvam  VMv_1.69d
«a¬mÃsÃbhyantare m­tyu÷  VMv_1.55c
«a¬mÃsÃyur na tat paÓyed  VMv_1.89c
«a¬vÃsaraviyojitÃt  VMv_2.49b
«a¬vedÃbdai÷ kramÃn m­ti÷  VMv_2.35d
«aïïavatidinonitÃt  VMv_2.46b
«aïïavatidinonitai÷  VMv_2.43d
«o¬aÓadinavÃhena  VMv_2.46c
«o¬aÓÃbdavapu«matÅm  VMv_4.29d
'«ÂÃdaÓÃhavivarjitÃt  VMv_2.50b
'«ÂottaraÓatamÃtrika÷  VMv_4.67b
sa eva jeyo yatnena  VMv_4.67c
sak«udrakaæ mahÃmeghaæ  VMv_3.23c
saÇgatyÃgÃd anu«ÂhÃnam  VMv_4.7a
sa jayatu jitam­tyur darÓitÃnantamÃya÷  VMv_1.1d
satk­tya vÃcayed bhik«Æn  VMv_3.24a
sattvÃnukampayÃ proktam  VMv_4.100c
satyasvapno 'tha yo nara÷  VMv_1.121b
