Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
paÂhedavimanÃ nara÷  SkP_21.55b
paÂhedvÃ ÓrÃvayÅta vÃ  SkP_25.58d
paÂhennaro ya÷ Ó­ïuyÃcca sarvadÃ  SkP_7.38c
païavÃnakagomukhai÷  SkP_23.66b
pataÇgo 'gnimivÃgata÷  SkP_29.141d
patÃkÅ daÓabhistathÃ  SkP_23.46d
patiryukta÷ svatejasÃ  SkP_3.24b
pativratÃyÃÓcÃkhyÃnaæ  SkP_2.19c
patiste sa bhavi«yati  SkP_15.11d
patiæ prÃpyenduvarcasam  SkP_10.3b
patiæ rudramavÃpsyasi  SkP_10.5d
patiæ vratapatiæ ÓubhÃ  SkP_28.1b
patiæ sarvajagatpatim  SkP_28.47b
pati÷ ÓambhuravÃpyate  SkP_10.4d
patnÅ ca Óambho÷ puru«asya dhÃmno  SkP_13.24c
patnÅ tu karuïaæ tasya  SkP_15.8a
patnÅtvaæ prajagÃma ha  SkP_29.134d
patnÅrÆpaæ samÃsthÃya  SkP_13.43c
patnÅ himavata÷ sutÃ  SkP_29.230b
pathi rÃjÃnamaik«ata  SkP_18.13b
padmaki¤jalkasamp­kta-  SkP_13.90a
padmakoÓodgatastanÅ  SkP_13.83b
padmÃnÃæ tu sahasrasya  SkP_28.34a
padmotpaladalÃbhÃk«Å  SkP_22.17c
padmotpalavanopetÃ  SkP_22.16e
padmotpalÃnÃæ mukulairupetÃ÷  SkP_13.103b
papÃta jvalane tasmin  SkP_4.13c
papÃta bhasmasÃccaiva  SkP_15.7c
papÃta mÆ¬hacetÃ vai  SkP_5.44c
papÃta sa mahÅtale  SkP_15.6d
papÃta sÃ ca vistÅrïÃ  SkP_6.5e
papu÷ prah­«ÂÃ÷ suradantimukhyÃ÷  SkP_13.105d
papracchurudbhavaæ k­tsnaæ  SkP_5.5e
payasÃ ÓaÇkhagaureïa  SkP_22.21e
payodasaæghÃtasamÅpavartinÃ  SkP_13.78c
paramaæ paratÃpana÷  SkP_23.40d
paramaæ yatnamÃsthÃya  SkP_8.11a
paramÃtmÃnamavyayam  SkP_13.50d
parameïa svatejasÃ  SkP_4.4d
parameÓo mahÃdevo  SkP_5.33a
paramaiÓvaryayogadh­k  SkP_3.28b
paramaiÓvaryasaæyuta÷  SkP_25.18b
paramaiÓvaryasaæyuta÷  SkP_25.20b
paraÓvadhadharastathÃ  SkP_23.8d
paraÓvadhadharÃya ca  SkP_21.24b
parasparamaninditau  SkP_20.2b
parasparaæ hi mÃlatyo  SkP_13.109c
paraæ kautÆhalaæ hi me  SkP_27.9d
paraæ priyamanuttamam  SkP_7.28f
parÃ iva bhavanti na÷  SkP_29.223f
parÃnsapta ca tÃrayet  SkP_29.120b
parÃÓaramapÆjayan  SkP_18.38d
parÃÓarasuto yogÅ  SkP_30.61a
parÃÓarasya cotpattir  SkP_2.8c
parÃÓarasyedamadÅnasambhavaæ  SkP_18.41a
parÃÓare tu garbhasthe  SkP_19.15a
pariïÃmÃntaraæ gata÷  SkP_16.10d
pariïÃmÃntaraæ gata÷  SkP_16.11d
paritu«yÃmi pÃrvati  SkP_28.44d
parityak«yati mÃnava÷  SkP_7.30b
parityajati dustyajÃn  SkP_22.32b
pari«vajya paraæ premïÃ  SkP_1.21c
pareïa cetasÃ bhaktir  SkP_16.3c
pare tapasi saæsthita÷  SkP_11.7d
parvatasya nitambe«u  SkP_13.116c
parvataæ cÃsya vaibhrÃjaæ  SkP_25.21a
parvatÃnÃæ guhÃsu ca  SkP_26.17d
parvateÓÃya vai nama÷  SkP_14.2b
pallavÃÇgulidhÃriïÅ  SkP_13.88b
pavanÃkampimÆrtibhi÷  SkP_13.114d
pavanÃgrakarai÷ surÃn  SkP_13.90b
pavanebhyastathaiva ca  SkP_25.47d
pavitraæ tanna saæÓaya÷  SkP_9.25f
paÓavaÓcaiva sarvaÓa÷  SkP_24.31d
paÓupÃÓairvimucyate  SkP_29.57d
paÓÆnÃæ pataye caiva  SkP_24.55c
paÓÆnÃæ pataye nama÷  SkP_14.15d
paÓÆnÃæ pataye nama÷  SkP_14.19b
paÓÆæÓcaiva hi putrÃæÓca  SkP_26.35c
paÓcimottarayostathÃ  SkP_28.15d
paÓyatastasya viprar«e÷  SkP_15.38c
paÓyataste 'bhisaæmatam  SkP_20.63b
paÓyatÃmeva sarve«Ãæ  SkP_9.30c
paÓyatÃæ sarvadevÃnÃm  SkP_7.34c
paÓyadhvaæ mÃæ yathepsitam  SkP_8.29d
paÓyadhvaæ mÃæ ÓucismitÃ÷  SkP_29.183b
paÓya no balamuttamam  SkP_8.15d
paÓyanto 'nvahamÃdareïa Óucaya÷ snÃtÃ÷ sadÃ matparÃ÷  SkP_29.91b
paÓyanto 'pi vyalÅkÃni  SkP_29.229a
paÓya mÃæ divyacak«u«Ã  SkP_29.100b
paÓya mÃæ vigatajvara÷  SkP_31.6d
paÓya mÃæ sagaïaæ dvija  SkP_15.17f
paÓya liÇgÃni puïyÃni  SkP_29.50c
paÓyÃmi Óaækaraæ devam  SkP_6.9c
paÓyettatra v­«adhvajam  SkP_9.28b
paÓyeyaæ tvÃ yathÃsukham  SkP_5.63d
paÓyeyaæ sarvadÃ yathÃ  SkP_31.9d
pÃÂalaæ caikapÃÂalÃ  SkP_11.25b
pÃÂalena tathaikena  SkP_11.26c
pÃÂalaiÓcÃpi pÃÂalÃ÷  SkP_13.114b
pÃïibhyÃæ parimÃrjatÅ  SkP_22.21b
pÃï¬arÃïi viÓÃlÃni  SkP_13.97a
pÃï¬arai÷ p­thivÅpati÷  SkP_13.96d
pÃtakairapi samanvita÷ sadÃ  SkP_27.47b
pÃdayostaæ vyanÃmayat  SkP_22.20d
pÃdayostÃni suÓroïi  SkP_27.42c
pÃdayo÷ praïatastasthau  SkP_31.7c
pÃdayo÷ ÓirasÃ natam  SkP_22.1d
pÃdayo÷ sthÃpayÃmÃsa  SkP_13.56c
pÃdÃnvavande devasya  SkP_25.13c
pÃpak«ayÃdvirajasa÷ pratibhÃnti martyÃ÷  SkP_30.74d
pÃpaæ na ca bhavetsadÃ  SkP_29.227d
pÃyasaæ sagh­taæ Óubhe  SkP_27.31b
pÃrÃvatadhvaninikÆjitacÃruÓ­Çgair  SkP_30.32a
pÃrÃÓarya stavaæ hÅdaæ  SkP_14.30a
pÃrÃÓaryomayÃ saha  SkP_29.125b
pÃrthivaæ pradahanniva  SkP_17.22d
pÃrthivÃdhama viprÃïÃæ  SkP_17.23a
pÃrthivÃnÃæ tathaiva ca  SkP_24.22d
pÃrthive«u tadÃ vyÃsa  SkP_24.39c
pÃrvatyÃ bhuvaneÓvara÷  SkP_30.21b
pÃrvatyÃ saha Óaækara÷  SkP_30.22b
pÃrvatyÃ sahito dhÅmann  SkP_25.17c
pÃrÓvagÃæ caiva netreïa  SkP_29.132c
pÃrÓvasthaæ gaïapaæ prÃha  SkP_26.20c
pÃrÓve«u haritÃlaæ ca  SkP_28.16a
pÃvanaÓcaiva puïyaÓca  SkP_11.23c
pÃvayitvÃ ca suprabhe  SkP_7.9b
pÃÓahasto manojava÷  SkP_23.18b
pÃhi deva namo 'stu te  SkP_24.57d
piÇgalaæ dÅptimacca ha  SkP_29.148d
piÇgÃk«o '«ÂÃbhireva ca  SkP_23.45d
pitaraæ caiva me deva  SkP_25.16a
pitaraæ tapasÃ mantrair  SkP_18.25c
pitaraæ dÅptatejasam  SkP_20.30b
pitaraæ du÷khitaæ bh­Óam  SkP_20.52d
pitara÷ putrakÃmÃ vai  SkP_19.3a
pitara÷ sapitÃmahÃ÷  SkP_11.11b
pitÃ na÷ kaÓyapa÷ ÓrÅmÃn  SkP_25.6a
pitÃmahakapÃlasya  SkP_6.6c
pitÃmahapitÃ brahmÃ  SkP_25.6c
pitÃmahapura÷sarÃ÷  SkP_18.38b
pitÃmahapurogamÃ÷  SkP_24.48d
pitÃmahastatra samÃjagÃma  SkP_13.8d
pitÃ me 'styaraïÅ tathÃ  SkP_12.8b
pitÃ sampratuto«a ha  SkP_3.11d
pituradya mahÃtmana÷  SkP_26.13b
pituste girirÃjÃcca  SkP_29.78a
pit­kanyÃæ tata÷ kÃlÅm  SkP_19.10c
pitÌngartÃtsamuddh­tya  SkP_11.16c
pit­paitÃmahaæ vibho  SkP_18.19b
pit­sargaæ tathÃÓe«aæ  SkP_5.7c
pitrÃ tavÃbhyanuj¤Ãta÷  SkP_17.27e
pitrÃ te girirÃjena  SkP_29.39a
pinÃkapÃïaye caiva  SkP_21.23c
pinÃkinaæ daï¬ahastaæ  SkP_8.33c
pinÃkÅ nÅlalohita÷  SkP_8.27b
piÓÃcÃ devayonaya÷  SkP_24.34d
piÓÃcyaÓca mahÃbalÃ÷  SkP_7.21d
piÓitasyaiva cÃlpatvÃd  SkP_17.9a
piÓitaæ m­gayansamyaÇ  SkP_17.11c
piÓitaæ sampratij¤Ãtaæ  SkP_17.7c
pÅnÃÇgaya«Âi÷ suk­tÃÇgahÃras  SkP_13.12a
pÅnonnatapayodharÃ  SkP_18.8b
pÅyatÅnÃæ payo vegÃt  SkP_29.9c
puïyamasyÃpi darÓanam  SkP_29.23b
puïyaæ devavanaæ Óubham  SkP_29.21d
puïyaæ parvasu parvasu  SkP_29.81f
puïyaæ pavitraæ sthÃnaæ vai  SkP_9.23c
puïyaæ sarvatra pÆjitam  SkP_4.39d
puïyÃkhyairguhyanÃmabhi÷  SkP_13.40f
puïyÃ ca sarvasaritÃæ  SkP_7.10c
puïyÃnvaivÃhikÃnmantrÃ¤  SkP_13.71c
puïyÃ pÃpapramocanÅ  SkP_29.41b
puïyÃ maïijalÃ ÓubhÃ  SkP_22.16b
puïye loke mahÅyate  SkP_29.218d
putrakÃma÷ prajÃpati÷  SkP_4.11d
putrakÃma÷ prajÃhetos  SkP_3.10c
putra tvaæ kila var«eïa  SkP_20.54a
putratve kalpayÃmi tam  SkP_27.35d
putra putreti cÃpyukto  SkP_3.6a
putrapautrasamanvita÷  SkP_29.177b
putrapremïÃbhya«i¤cattaæ  SkP_22.21c
putramutpÃdayanti sma  SkP_19.3c
putramutpÃdayi«yasi  SkP_10.37d
putraÓokena mahatÃ  SkP_18.3e
putrastu«Âiprada÷ Óubha÷  SkP_20.43b
putraste 'yamiti procya  SkP_22.20c
putraste 'yaæ yato devi  SkP_29.143e
putrastvaæ manasÃbravÅt  SkP_4.5b
putraæ ca Óoïakaæ nÃma  SkP_18.21c
putraæ cÃpnoti saæmatam  SkP_2.29d
putraæ nandinamacyutam  SkP_20.46b
putraæ putraÓatÃgrajam  SkP_16.2f
putraæ ÓataÓalÃkasya  SkP_11.34c
putraæ ÓataÓalÃkasya  SkP_29.97c
putra÷ putravatÃæ Óre«Âho  SkP_19.5c
putra÷ sa bh­gunandana÷  SkP_11.33b
putrÃnsaubhÃgyameva ca  SkP_26.30b
putre jÃte na saæÓaya÷  SkP_26.45d
putro nÃmnÃ parÃÓara÷  SkP_18.23d
punardehe svayecchayÃ  SkP_10.24b
punarnirÅk«ya deveÓaæ  SkP_29.64a
punarnÅlamabhÆttadÃ  SkP_4.16d
punarvaktumihÃrhasi  SkP_30.44d
punarvasuæ ca pu«yaæ ca  SkP_24.19c
punaÓcakre vapu÷ Óubham  SkP_29.70d
punaÓcÃpi tato brahmÃ  SkP_29.28a
punaÓcÃsya vinÃÓÃya  SkP_29.137a
punastejasvilaÇghanam  SkP_29.147d
punastvaæ nÃtra saæÓaya÷  SkP_7.9d
puna÷ pÃÓaird­¬hairbaddhvÃ  SkP_18.5a
purakamalahimaugha÷ kÃmayaj¤endhanÃgni÷  SkP_29.239b
purastÃdbhojayi«ye te  SkP_26.45c
puraæ praveÓayÃmÃsa  SkP_13.128c
purÃ jambukarÆpeïa  SkP_29.48a
purÃïavistÅrïakaÂir  SkP_5.13c
purÃïaæ ca paraæ tvayÃ  SkP_1.9b
purÃïaæ yogatattvaj¤Ã  SkP_3.26c
purÃïa÷ puruhÆtaÓca  SkP_28.68a
purÃïÃkhyÃnajij¤Ãsor  SkP_2.3c
purÃïÃdyadviÓi«yate  SkP_1.11b
purÃ brahmÃ prajÃdhyak«a÷  SkP_3.4a
purÃ bhaktirmahattarÃ  SkP_29.26d
purÃ yaj¤asya caiva ha  SkP_5.21d
purÃ himavatÃ svayam  SkP_29.39b
purÅ vÃrÃïasÅ tadÃ  SkP_26.63b
purÅ ÓÆnyÃ bhavi«yati  SkP_26.60d
purÅæ vÃrÃïasÅæ prabhu÷  SkP_26.26d
puru«aprerakÃya ca  SkP_5.51d
puru«asya ca sarvaÓa÷  SkP_14.22b
puru«asya parÃtmana÷  SkP_29.68f
puru«ÃtparagÃmine  SkP_20.15d
puru«Ãdo bhavi«yasi  SkP_17.24d
puru«Ãdo bhavetyevaæ  SkP_17.26a
puru«Ãdo mahÃbala÷  SkP_18.1d
puru«Ãya namaste 'stu  SkP_14.21a
puru«ecchÃkarÃya ca  SkP_14.21b
purÆravasamÃnÅya  SkP_8.8c
pure 'smi¤chuci karhicit  SkP_17.13b
pulahÃya pulastyÃya  SkP_21.45c
pu«karaæ naimiÓaæ caiva  SkP_29.79c
pu«pÃïyetena mantreïa  SkP_28.57a
pu«pe datte tadekasmiæl  SkP_28.36c
pu«pairÃcitabhÆtalam  SkP_30.41d
pu«paiÓca vividhairapi  SkP_27.35b
pu«potkarÃnilavighÆrïitapÃdapÃgram  SkP_30.39a
pu«potkarairupacitaæ suviÓÃlaÓÃkhai÷  SkP_30.40d
puænÃge«u dvijaÓatavirutaæ  SkP_30.42a
puæsÃæ strÅbhogasiddhyarthaæ  SkP_29.234c
puæsÃæ h­dayabandhanÃ÷  SkP_29.232d
puæskokilÃÓcÃtikalaæ vinedu÷  SkP_13.104d
pÆjayanti sabhart­kÃ÷  SkP_10.17b
pÆjayeyamahaæ haram  SkP_27.21b
pÆjÃmasaæmatÃæ hÅnÃm  SkP_10.20c
pÆjÃyai te namaste 'stu  SkP_29.195a
pÆjÃrho na bhavÃæstasmÃn  SkP_26.56a
pÆjÃæ g­hÃïa tÃæ putri  SkP_10.19c
pÆjÃæ cÃnye varÃrthina÷  SkP_26.37d
pÆjÃæ tvaæ kuru«e mayi  SkP_10.21b
pÆjito 'haæ sadÃ bhaktyÃ  SkP_27.35c
pÆjyate 'mararÃ¬iva  SkP_14.30d
pÆjyejyaÓca sadÃ bhava  SkP_25.19b
pÆtaæ pavitraæ paramaæ  SkP_28.72c
pÆrïabhadrasuta÷ ÓrÅmÃn  SkP_30.4a
pÆrïabhadrastathaiva ca  SkP_23.54b
pÆrïabhadra÷ pitÃbravÅt  SkP_30.7b
pÆrïabhadra÷ pratÃpavÃn  SkP_30.13b
pÆrïe pÆrïe sahasre tu  SkP_11.27a
pÆrïe var«asahasre tu  SkP_15.17a
pÆrvadak«iïayoÓcÃtra  SkP_28.15c
pÆrvasminsa diÓÃbhÃge  SkP_29.5a
pÆrvasyÃæ saætyajedvÃpi  SkP_25.55c
pÆrvaæ jvalanayojitam  SkP_4.16b
pÆrvaæ devena coditÃm  SkP_5.56f
pÆrvÃdhÅtaæ ca vetsyati  SkP_29.119b
pÆ«Ã dantÃndaÓandantai÷  SkP_13.37a
pÆ«ïo dantaharÃya ca  SkP_14.10b
p­cchataste mahÃmune  SkP_27.10b
p­cchasva pravadÃmyaham  SkP_1.22d
p­thakp­thakcÃrug­hÅtave«Ã÷  SkP_13.22b
p­thivÅ ca samudrÃÓca  SkP_24.30c
p­thivÅbhÃjane bhuÇkte  SkP_28.8a
p­thivÅ svarga eva ca  SkP_24.32b
p­thivyÃmekarÃ¬bhavet  SkP_28.9d
p­thivyÃÓcaiva bandhanam  SkP_2.15b
p­thivyÃæ yÃni puïyÃni  SkP_29.81c
p­thivyÃæ sarvatÅrthÃni  SkP_29.77a
p­«Âaste kathayÃmi te  SkP_27.11d
p­«Âo 'kathayadavyaya÷  SkP_27.6d
p­«Âo nandÅÓvara÷ prabhu÷  SkP_27.7b
p­«ÂhenÃbhivirÃjitam  SkP_24.17d
pautraæ ca tvatsamaæ divyaæ  SkP_15.32a
paurÃïikamapaÓyanta  SkP_1.5a
paurÃïai÷ sÃmasaægÅtai÷  SkP_13.40e
pauraiÓcaiva samarcita÷  SkP_26.55b
paurïamÃsÅ trayodaÓÅ  SkP_28.10b
paurïamÃsyÃæ k­tÃhnikÃ÷  SkP_1.4d
prakÃmaæ darÓanaæ cÃsya  SkP_29.175a
prak­tistvaæ sureÓvari  SkP_29.143d
prak­termÆrtimÃsthÃya  SkP_29.68c
prak­teÓca pravartaka÷  SkP_4.29b
prak­te÷ pataye nityaæ  SkP_20.15c
prak­te÷ preraïÃya ca  SkP_5.51b
pragÅtavidyÃdharasiddhacÃraïaæ  SkP_30.28a
prag­hya devÅ prasabhaæ pratasthe  SkP_13.27d
pracetasÃæ sutaÓcaiva  SkP_10.28c
prajaj¤ire padmavanÃni sarvata÷  SkP_13.111d
prajajvÃla tato grÃhas  SkP_12.51a
prajÃ dhÃrayato yogÃd  SkP_4.22c
prajÃnÃæ pataye nama÷  SkP_21.43b
prajÃpatiratidyuti÷  SkP_3.25d
prajÃpatermahÃk«etre  SkP_1.3a
prajÃ brahmankathaæcana  SkP_10.11b
prajÃ m­tyuvivarjitÃ÷  SkP_10.9d
prajÃ m­tyusamanvitÃ÷  SkP_10.10b
prajÃrthaæ yacca te taptaæ  SkP_3.22a
prajÃsu ca viv­ddhÃsu  SkP_4.23c
prajÃstÃ÷ s­jyamÃnÃÓca  SkP_4.1c
prajÃ÷ sa jagati prabhu÷  SkP_4.19d
prajÃ÷ sra«Âuæ pracakrame  SkP_4.1b
praj¤ÃrÆpaguïairyukta÷  SkP_28.23e
praïata÷ pÃdayorvibho÷  SkP_20.9b
praïata÷ prÃ¤jalirbhÆtvÃ  SkP_3.6c
praïatÃrtiharaæ haram  SkP_20.69d
praïatÃrtiharaæ haram  SkP_21.5b
praïanÃma v­«adhvajam  SkP_13.134f
praïamanti gatÃtmabhÃvacintÃ÷  SkP_8.37c
praïamanto bhavamindunirmalam  SkP_8.36b
praïamanto maheÓvaram  SkP_14.1f
praïamya kar«ita÷ samyag  SkP_29.130c
praïamya devaæ devÅæ ca  SkP_24.1c
praïamya prayata÷ Óuci÷  SkP_2.3b
praïamya bahumÃnata÷  SkP_25.39b
praïamya bhayapÅ¬ita÷  SkP_8.10d
praïamya v­«avÃhanam  SkP_9.1d
praïamya ÓirasÃ pÃdÃv  SkP_29.101c
praïamya ÓirasÃ prabhum  SkP_15.18b
praïamya ÓirasÃ bhÅto  SkP_18.16c
praïamya ÓirasÃ munim  SkP_18.17b
praïamya ÓirasÃ haram  SkP_26.26b
praïamya ÓubhayÃ girÃ  SkP_5.61b
praïayÃtsa tadÃ devyÃ  SkP_27.6c
praïÃmÃrthamupÃgatam  SkP_1.5d
praïipatya v­«adhvajam  SkP_25.56d
praïemuruccairapi cÃbhinedu÷  SkP_23.69d
praïemurmanasÃ Óarvaæ  SkP_13.51c
praïemuste mahÃmunim  SkP_18.34b
pratanutamÃni Óanairvikampayanta÷  SkP_13.99d
pratighÃtasamanvita÷  SkP_4.12b
pratibhÃsyanti caiva te  SkP_15.32d
pratimÃsamathÃ«ÂamyÃæ  SkP_29.75a
pratimÃsaæ caturdaÓÅm  SkP_29.75b
prati«ÂhÃpyÃrcayatsadÃ  SkP_29.98b
prati«ÂhitÃyÃæ vÃrttÃyÃæ  SkP_4.23a
pratÅkÃraæ kari«yati  SkP_18.36d
pratÅccha mÃæ sadÃ deva  SkP_21.54c
pratÅhÃratvameva ca  SkP_20.4d
pratyagrasaæjÃtaÓilÅndhrakandalÃ  SkP_13.76a
pratyasthÃpayadarcÃæ ca  SkP_26.33c
prathamaæ martyaloke 'smin  SkP_5.19a
prathamaæ samupaiti mÃm  SkP_12.41b
pradak«iïaæ samÃv­tya  SkP_20.68c
pradattamÃsanaæ bheje  SkP_1.7c
pradattaæ punarÃharet  SkP_12.55d
pradahanniva tejasÃ  SkP_26.58d
pradÃya ca mahÃmanÃ÷  SkP_25.57d
pradÃya bhagavÃ¤chiva÷  SkP_29.169b
pradÅptÃnalalocanam  SkP_8.32b
pradhÃnaguïakÃriïe  SkP_14.21d
pradhÃnacodakÃyaiva  SkP_3.16a
pradhÃnapuru«astattvaæ  SkP_13.41c
pradhÃnÃya namo nityaæ  SkP_20.13a
pradhÃnÃya prameyÃya  SkP_14.20c
pradhÃne mama kÃraïe  SkP_29.29b
pradhÆpitaæ samÃlak«ya  SkP_11.35e
pran­ttanityÃnugatÃpsarogaïam  SkP_30.28b
prapa¤codbhavakÃraïam  SkP_12.32b
prapadyante maheÓvaram  SkP_3.8d
prapadye devamÅÓÃnaæ  SkP_2.1a
prapitÃmahÃÓca kliÓyÃmas  SkP_11.11c
praphullanÃnÃvidhagulmaÓobhitaæ  SkP_30.23a
praphullanÃnÃvidhacÃrupaÇkajai÷  SkP_30.29c
praphullapadmÃsanasaænivi«Âa÷  SkP_13.8a
praphullendÅvarÃbhoga-  SkP_13.84c
prabhavi«ïustrilokeÓa  SkP_25.4c
prabhavi«yati mÃ Óuca÷  SkP_20.55d
prabhÃkaraÓca viæÓatyÃ  SkP_23.57c
prabhÃvaæ tasya taæ j¤ÃtvÃ  SkP_18.38c
prabhÃvÃccÃsya guhyasya  SkP_29.116a
prabhÃvÃyai namo nama÷  SkP_29.211b
pramattadÃtyÆharutaiÓca valgubhi÷  SkP_30.25d
pramattapuæskokilasampralÃpair  SkP_13.118c
pramattahÃrÅtakulopanÃditam  SkP_30.28d
pramathÃnÃæ tathaiva ca  SkP_25.30d
pramathÃya vareïyÃya  SkP_24.52c
pramathÃrtiharÃya ca  SkP_14.9b
pramathÃ÷ koÂibhistribhi÷  SkP_23.56b
prayacchati mahaddhanam  SkP_29.166b
prayaccha bhagavanprabho  SkP_29.113d
prayacchÃmi janÃv­tam  SkP_25.21d
prayatÃtmÃ tathaiva ha  SkP_21.6b
prayato vyÃsa nityaÓa÷  SkP_29.214b
prayatnaæ mahadÃsthita÷  SkP_17.11b
prayayÃvÃÓramaæ muni÷  SkP_18.12d
prayÃgaæ sap­thÆdakam  SkP_29.79d
prayÃgÃdapi tÅrthÃgryÃd  SkP_30.54c
prayÃge parame puïye  SkP_1.3c
prayÃge yajataÓca ha  SkP_4.23d
prayÃge vÃ bhavenmok«a  SkP_30.54a
prayÃma dÃtuæ yak«Ãya  SkP_31.1c
prayÃsyÃmi mahÃvrate  SkP_15.14d
prayuktavantau samyaktu  SkP_20.49e
prayuÇkto dharmanityatÃm  SkP_20.47b
prayunakti mahÃmanÃ÷  SkP_4.29d
pralayotpattaye caiva  SkP_29.163a
pralayotpattikÃriïe  SkP_14.16d
pravartakÃya prak­te÷  SkP_14.22a
pravavau sukhasaæsparÓa  SkP_13.67e
praviÓanti tapodhanÃ÷  SkP_10.18b
praviÓanti sadÃbhyetya  SkP_29.81e
praviÓeta sa mÃæ k«ipram  SkP_27.46c
pravi«Âe bhavanaæ deve  SkP_15.1a
prav­ttÃ tvaæ ÓubhÃnane  SkP_22.18d
prav­ttÃ paramÃmbhasÃ  SkP_5.15d
prav­ttÃ brahmalokagÃ  SkP_5.20b
prav­ttÃyÃæ sarasvatyÃm  SkP_8.2c
prav­ttÃ sÃ mahÃnadÅ  SkP_22.24b
prav­tte v­«Âisarjane  SkP_4.23b
prav­tte srotasÅ bh­Óam  SkP_22.27b
praÓastÃÓcetare p­thak  SkP_10.27b
praÓÃdhi rÃjyaæ rÃjendra  SkP_18.19a
prasannasya natasya ca  SkP_29.145b
prasannaæ saparicchadam  SkP_21.51b
prasannÃ cedamabravÅt  SkP_29.146d
prasanne surabhÅrmayi  SkP_29.16b
prasamÅk«ya mahÃsureÓakÃlaæ  SkP_8.37a
prasÃdamakarottasya  SkP_29.146c
prasÃdayaæÓca taæ devaæ  SkP_15.6c
prasÃdayÃmÃsa tadÃ  SkP_18.17c
prasÃdaæ kartumarhasi  SkP_5.53d
prasÃdaæ kuru deveÓa  SkP_29.13c
prasÃdaæ kuru deveÓe  SkP_29.145c
prasÃdaæ kuru bÃlasya  SkP_29.139c
prasÃdaæ paramÃlambya  SkP_20.20c
prasÃdaæ manasastathÃ  SkP_12.17d
prasÃda÷ sahasotpanno  SkP_13.61a
prasÃdÃttava deveÓa  SkP_13.44c
prasÃdÃtpÃrameÓvarÃt  SkP_1.22b
prasÃdÃnmama suvrate  SkP_30.69d
prasthitebhyo namo nama÷  SkP_25.45b
prahar«amatulaæ gatvÃ  SkP_14.1c
prahasanpravicÃlayan  SkP_23.39d
prahasya ca nirÅk«ya ca  SkP_16.12b
prahasya vacanaæ Óubham  SkP_6.6f
prahasya vadatÃæ vara÷  SkP_16.8b
prah­«ÂanÃnÃvidhapak«isevitaæ  SkP_30.28c
prah­«ÂenÃntarÃtmanÃ  SkP_13.134d
prahlÃdayantÅ cetÃæsi  SkP_13.86c
prahlÃdavigrahaÓcaiva  SkP_2.28c
prahvÃ samavati«Âhata  SkP_7.6d
prÃk«ipaæste«vathau«adhÅ÷  SkP_24.39b
prÃgeva narapuægava  SkP_17.8d
prÃÇmukha÷ sa gaïeÓÃnÃm  SkP_23.4c
prÃjÃpatyaæ tato labdhvÃ  SkP_4.1a
prÃjÃpatyÃbhi«ekaÓca  SkP_2.4c
prÃjÃpatye 'bhya«ecayat  SkP_3.28d
prÃ¤jalirh­«itÃnana÷  SkP_26.24d
prÃ¤jali÷ prayato bhÆtvÃ  SkP_24.58c
prÃ¤jali÷ ÓirasÃ natÃ  SkP_22.17b
prÃïÃniha tu saænyasya  SkP_29.38e
prÃïÃniha narastyaktvÃ  SkP_29.30a
prÃïÃnnÆnaæ vihÃsyata÷  SkP_12.35d
prÃïÃnsamyakparityajet  SkP_12.26b
prÃïinÃæ jÅvadÃya ca  SkP_21.38b
prÃta÷ prÃ¤jalirutthita÷  SkP_28.51d
prÃta÷ ÓucirniyamavÃnpurato dvijÃnÃm  SkP_20.21b
prÃdÃtparamadeveÓa÷  SkP_13.54c
prÃdurbabhÆvu÷ kusumÃvataæsÃ÷  SkP_13.101c
prÃptaæ nidhanamutsukau  SkP_12.35b
