Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmànmçtyuràyàto  Bca_7.8c
janmanyatraiva và punaþ  Bca_2.28b
janmàntare 'pi so 'bhyàsaþ  Bca_7.48a
janmàvàsaparigrahaþ  Bca_8.34d
japàstapàüsi sarvàõi  Bca_5.16a
jambudvãpagatà naràþ  Bca_2.56b
jalàni ca svacchamanoramàõi  Bca_2.2d
jàtametadrasàyanaü  Bca_3.28b
jàtaü cedapriyaü ÷atros  Bca_6.87a
jàtaü saübodhicittaü sakalajanaparitràõamàtà dayà ca  Bca_10.13d
jàtà mayyapakàriõaþ  Bca_6.47b
jàtismaratvaü pravrajyàm  Bca_10.51a
jànatàpi nçpàpadam  Bca_8.106b
jànannapi ca nãyo 'haü  Bca_4.26c
jàyantàü kalpapàdapàþ  Bca_10.6d
jàyante pàpakàriõàm  Bca_7.41d
jinaputtreùu ÷ubhaü tvayatnataþ  Bca_1.35d
jinabimbaü tathekùyate  Bca_9.36d
jinaratnapratimàü karotyanarghàü  Bca_1.10b
jinasiühasuto hyaham  Bca_7.55d
jinastambho 'pi sàdhitaþ  Bca_9.38b
jineùu gauravaü yadvan  Bca_6.113c
jinairapi na toùitàþ  Bca_8.22b
jãvamatsya ivàsmãti  Bca_7.11a
jãvalokamimaü tyaktvà  Bca_2.62a
jãvitàrthe 'pi na tyajet  Bca_5.102b
jãvinà và mçtena và  Bca_8.179b
j¤àtvà j¤ànena kathyate  Bca_9.22b
j¤àtvà sadoùamàtmànaü  Bca_8.113a
j¤àtvedaü kena kathyate  Bca_9.22d
j¤ànatà cettataþ sarva-  Bca_9.67c
j¤ànaü j¤eyàdanàdi ca  Bca_9.122d
j¤ànaü nàstãti ni÷cayaþ  Bca_9.62d
j¤ànàstitvaü kuto j¤àtaü  Bca_9.116c
j¤ànàstitve tu kà gatiþ  Bca_9.112d
j¤eyasaükle÷avàsanà  Bca_9.32b
j¤eyaü yattena gamyate  Bca_9.116d
j¤eyaü vinà tu kiü vetti  Bca_9.61c
j¤eyaü såtràntavàcanàt  Bca_5.103d
j¤eyàjj¤ànena jàtena  Bca_9.115c
j¤eyàtpårvaü yadi j¤ànaü  Bca_9.105a
j¤eyàstitve tu kà gatiþ  Bca_9.113b
j¤eyena saha cejj¤ànaü  Bca_9.105c
jvaladasi÷aktighàta÷ata÷àtitamàüsadalaþ  Bca_7.45c
óàkinãràkùasàdayaþ  Bca_10.40d
óàkinyo ràkùasàstathà  Bca_5.4d
ta eva nàthàþ kimanàdaro 'tra  Bca_6.126d
tacca nirvàõamucyate  Bca_9.111d
taccittaratnagrahaõàya samyak  Bca_2.1a
taccittasya dçóhatvena  Bca_6.18a
taccintayà mudhà yàti  Bca_8.8a
taccedbuddhoktamiùyate  Bca_9.50b
tacchastrayuddhaü ca paraspareõa  Bca_10.9c
tacchastraü mama kàya÷ca  Bca_6.43a
tajjãyate 'nyena ÷ubhena kena  Bca_1.6c
tatastajj¤ànamapyasat  Bca_9.63d
tataþ kiü jàyate bhayam  Bca_9.56d
tataþ kiü bodhicaryayà  Bca_9.14b
tataþ koñi÷atenàpi  Bca_8.83a
tataþ prabhçti suptasya  Bca_1.19a
tataþ satyadvayaü kutaþ  Bca_9.107b
tataþ suraktàni sudhåpitàni  Bca_2.12c
tato 'nyanna vicintayet  Bca_5.43b
tato 'pi na nivartya÷cet  Bca_9.78c
tatkathaü hi pramãyatàü  Bca_1.26d
tatkaroti kramàtpa÷càd  Bca_7.25c
tatkarturapi jàyate  Bca_9.31d
tatkarmavyasanã bhavet  Bca_7.62b
tatkarma÷auõóo 'tçptàtmà  Bca_7.62c
tatkiü mamànena parigraheõa  Bca_8.134d
tatko 'syecchàü kariùyati  Bca_8.175d
tatkùaõaü tatparityàjyaü  Bca_6.71c
tattatsarvaü jagau muniþ  Bca_5.8b
tattatsahasraguõitaü  Bca_8.18c
tattatsmaraõatàü yàti  Bca_2.36a
tattadàtmani sattvàrthe  Bca_8.165c
tattadevàpahçtyarthaü  Bca_8.159c
tattadevàpahçtyàsmàt  Bca_8.139c
tattoùaõàtsarvamunãndratuùñis  Bca_6.122c
tattvaj¤asyàpi sà sthitiþ  Bca_9.137d
tattvataþ kùaõikà naite  Bca_9.7c
tattvataþ ÷ånyatà tasmàd  Bca_9.139c
tattvayànavabuddhatvàd  Bca_9.52c
tatparaþ syàttathà vratã  Bca_7.70d
tatra kiü parilambyate  Bca_4.3d
tatra kuryànnavetyevaü  Bca_4.2c
tatra khaógaü yathà bhraùñaü  Bca_7.68a
tatra càkhaõóitavratàþ  Bca_10.45d
tatra cànupamàstãvrà  Bca_9.159a
tatra càsattvamãdç÷am  Bca_9.158b
tatra tatraiva tatpàpair  Bca_7.43c
tatra tatraiva tatpuõyaiþ  Bca_7.42c
tatra doùakùayàrambhe  Bca_7.34a
tatra pràkçtako loko  Bca_9.3c
tatra loko dvidhà dçùño  Bca_9.3a
tatra sarvaj¤avaidyasya  Bca_2.57a
tatrànyonyavirodha÷ca  Bca_9.158c
tatràpakàre 'pakçtaü munãnàm  Bca_6.122d
tatràpi jãvitàrogya-  Bca_9.160a
tatràpi màro yatate  Bca_9.162a
tatràpyabhyastavikùepa-  Bca_9.161c
tatràpyalpatvamàyuùaþ  Bca_9.159d
tatràpyahaü na kupyàmi  Bca_4.29c
tatràpyevamasaübandhàt  Bca_6.97c
tatràmedhyamaniùñaü te  Bca_8.49c
tatràsanmàrgabàhulyàd  Bca_9.162c
tatraikaikaguõàbhyàso  Bca_7.35c
tatraivamalpabalatà  Bca_9.159c
tatsattà kiü na gamyate  Bca_9.115d
tat sattvànàü samçdhyatu  Bca_10.49d
tatsarvaü de÷ayàmyaham  Bca_2.31d
tatsarvaü de÷ayàmyeùa  Bca_2.65a
tat sarvaü mayi pacyatàm  Bca_10.56b
tatsukhena sukhitvaü cet  Bca_6.96a
tatsthitaü ghoramagrataþ  Bca_2.38d
tathà kathaücidapyetad  Bca_3.27c
tathà kasmànna dehinaþ  Bca_8.114d
tathàkàyo 'nyadãyo 'pi  Bca_8.112a
tathà kiücit paràpekùam  Bca_9.20a
tathàgatàràdhanametadeva  Bca_6.127a
tathà jagadbhinnamabhinnaduþkha-  Bca_8.91c
tathà tathàgatànnàthàn  Bca_2.22c
tathàdhunà mayà kàryaü  Bca_3.26a
tathà na durbalaü kaücid  Bca_6.129c
tathànyeùvapi bhàvaya  Bca_8.158d
tathàpi tadduþkhameva  Bca_8.92c
tathàpi tasya tadduþkham  Bca_8.93c
tathàpi nidràü yàsyeva  Bca_7.5c
tathàpi syànna và sukham  Bca_7.63b
tathàpyete na rakùitàþ  Bca_6.51b
tathà bhavàdhvagasyàpi  Bca_8.34c
tathà bhedo 'nayorj¤eyo  Bca_1.16c
tathàbhyàü vyàkulaü cittaü  Bca_5.24c
tathà yatnaü karomyaham  Bca_6.69b
tathà yadyapyasaüvedyam  Bca_8.93a
tathà sattvaü tayordvayoþ  Bca_9.114d
tathà stutiya÷ohànau  Bca_6.93c
tathàhamapyasadbhåto  Bca_9.75c
tathedaü kutra kupyate  Bca_6.46d
tathaiva cchidramàsàdya  Bca_7.69c
tathotsàhava÷aü yàyàd  Bca_7.75c
tadacchannaü kimapriyam  Bca_8.51b
tadatyayaü de÷ayàmi  Bca_2.29c
tadadya pàpaü pratide÷ayàmi  Bca_6.124c
tadadya bhakùitaü yàvat  Bca_8.46c
tadanantaramastu sà  Bca_9.46b
tadabhàvàtsukhàdyasat  Bca_9.132b
tadabhàvo na gçhyate  Bca_9.140b
tadarthamarjanàyàso  Bca_8.71c
tadarthamàtmanyapi nirvyapekùàþ  Bca_6.121b
tadavasthaþ kathaü bhàvaþ  Bca_9.147c
tadà kà strã pumàü÷ca kaþ  Bca_9.88d
tadà kimupalabhyate  Bca_9.16b
tadà kiü kena dç÷yate  Bca_9.17b
tadà kiü na ÷çõotyapi  Bca_9.63b
tadà kiü nàma duùkaram  Bca_7.26d
tadàkçùyàpanãyate  Bca_6.70d
tadà j¤ànaü kuto bhavet  Bca_9.106b
tadàtmajànàü ca sagãtavàdyaü  Bca_2.11d
tadàtmanaþ ko vi÷eùo  Bca_8.95c
tadàtmanaþ ko vi÷eùo  Bca_8.96c
tadà tvaü kiü kariùyasi  Bca_5.67d
tadànavasthà tasyàpi  Bca_9.110c
tadà nirà÷rayo 'bhàvaþ  Bca_9.34c
tadànyagatyabhàvena  Bca_9.35c
tadàvasthàmimàü dçùñvà  Bca_9.99c
tadà sarve tathàgatàþ  Bca_9.30b
tadàhaü kiü kariùyàmi  Bca_2.47c
tadindrasyàpi durlabham  Bca_8.88d
tadãyai÷cakùuràdibhiþ  Bca_8.138b
tadutpàdanaduþkhavat  Bca_7.22d
tadupasthàyaka÷caiva  Bca_3.7c
tadupàyena sidhyatu  Bca_10.23d
tadeva tàvanniùpàdyaü  Bca_5.43c
tadeva yadi na÷yati  Bca_6.61b
tadeva råpaü jànàti  Bca_9.63a
tadeva såkùmatàü yàti  Bca_9.133c
tadeva hi bhavàmãti  Bca_6.27c
tadevaü ÷ånyatàpakùe  Bca_9.54a
tadevaü spar÷anàbhàve  Bca_9.98a
tadevànyena råpeõa  Bca_9.66a
tadaiùàü parakàyeùu  Bca_6.37c
tadgatenàntaràtmanà  Bca_5.43d
tadduùñà÷ayamevàtaþ  Bca_6.111a
tadduþkhe kiü sukhaü tava  Bca_6.88b
tadduþkhena na me bàdhety  Bca_8.97a
taddçùñikàle tasyàto  Bca_9.32c
taddheturåpà bhàvà÷cen  Bca_9.131a
tadbãjaü tena vardhitam  Bca_8.59d
tadbodhicittaü dvividhaü  Bca_1.15a
tadbhàvakalpanotpàdaü  Bca_9.141c
tadråpagrahaõaü katham  Bca_9.64b
tadvadutpàdayàmyeùa  Bca_3.23a
tadvadeva ca tàþ ÷ikùàþ  Bca_3.23c
tadvipakùaþ ka ucyate  Bca_7.2b
tanna kiücidataþ sattvàþ  Bca_9.104c
tanna pràptaü mudhaivàyur  Bca_8.75c
tannàrakavyathàhetuþ  Bca_6.73c
tannàsti kàyo mohàttu  Bca_9.84a
tannimittaü tu yatpàpaü  Bca_2.38c
tanmukhaü tåtparikle÷am  Bca_8.45a
tanme syàdavicàrataþ  Bca_7.20d
taptà ca bhåþ sphàñikakuññimaü syàt  Bca_10.8b
taptàyaþkuññimaü kena  Bca_5.7c
tameva nàthaü pa÷yeyaü  Bca_10.53c
tayoryenàstità samà  Bca_9.68b
tara duþkhamahànadãm  Bca_7.14b
talenàsmi talaü gataþ  Bca_4.12d
tallokacittarakùàrthaü  Bca_5.107c
tavedaü yadi na priyam  Bca_6.78b
tasmàcchubhaü durbalameva nityaü  Bca_1.6a
tasmàtkarmàvasàne 'pi  Bca_7.65a
tasmàtkàryaþ ÷ubhacchando  Bca_7.46a
tasmàt kiü kokacintayà  Bca_8.22d
tasmàtkle÷avadhe sadà  Bca_4.42d
tasmàt kùàntiü prayatnena  Bca_6.2c
tasmàttiùñhàmi kàùñhavat  Bca_5.51d
tasmàttiùñhàmi kàùñhavat  Bca_5.52d
tasmàttiùñhàmi kàùñhavat  Bca_5.53d
tasmàt pràj¤o na tamicched  Bca_8.19a
tasmàtsattvà jinaiþ samàþ  Bca_6.116b
tasmàtsarvamidaü jagat  Bca_9.150d
tasmàt sà cittameva tu  Bca_5.10d
tasmàtsàpyasya såkùmatà  Bca_9.91d
tasmàtsåtràõi vàcayet  Bca_5.104b
tasmàtstutyàdighàtàya  Bca_6.99a
tasmàt snehaü karomi kim  Bca_8.181d
tasmàtsmçtirmanodvàràn  Bca_5.29a
tasmàtsvaduþkha÷àntyarthaü  Bca_8.136a
tasmàtsvadhiùñhitaü cittaü  Bca_5.18a
tasmàtsvapne sute naùñe  Bca_9.141a
tasmàdamitraü mitraü và  Bca_6.33a
tasmàdahaü stuto 'smãti  Bca_6.97a
tasmàdàràdhayetsattvàn  Bca_6.130c
tasmàdàvaraõaü hantuü  Bca_8.186a
tasmàdutpàdayet praj¤àü  Bca_9.1c
tasmàdutsaïgage sarpe  Bca_7.71a
tasmàdekàkità ramyà  Bca_8.38a
tasmàdetatkùamàphalam  Bca_6.108b
tasmàdetatparityàge  Bca_8.3c
tasmàdevaü vicàreõa  Bca_9.142a
tasmàddçóhena cittena  Bca_7.54a
tasmàdbahåni duþkhàni  Bca_7.23c
tasmàdbhàvo mçùà yo hi  Bca_9.140c
tasmàdyathànta÷o 'varõàd  Bca_8.110a
tasmàdyathànyadãyeùu  Bca_8.158a
tasmàdyathà pratij¤àtaü  Bca_4.12a
tasmàdyathàrti÷okàder  Bca_8.117a
tasmàdvighàtayiùyàmi  Bca_6.8a
tasmànna ka÷citrailokye  Bca_5.8c
tasmànna tàvadahamatra dhuraü kùipàmi  Bca_4.36a
tasmànna prasaro deyaþ  Bca_8.177a
tasmànnaùñàstapasvinaþ  Bca_6.51d
tasmànnirvicikitsena  Bca_9.54c
tasmànmamàstu vratametadeva  Bca_6.127d
tasmànmayànapekùeõa  Bca_8.184a
tasmànmayà yajjanaduþkhadena  Bca_6.124a
tasmànmayaiùàü kartavyaü  Bca_7.50c
tasmànmçduvyathàbhyàsàt  Bca_6.14c
tasmànme yuktamevaitat  Bca_6.42c
tasmàllokaü parityajya  Bca_8.2c
tasminsthàne mahàbhaye  Bca_2.47d
tasya kriyeti saübandhe  Bca_6.30c
tasya durgatiparyanto  Bca_4.9c
tasya ràjabalaü balam  Bca_6.129b
tasya saüpadajãrõikà  Bca_8.176d
tasyàpi målaü satataü  Bca_7.40c
tasyàbhàvaþ sphuñaü mçùà  Bca_9.140d
tasyà÷anamahaü ripoþ  Bca_6.8b
tasyàsvàdalavasyàrthe  Bca_8.81a
tasyaiva tatprãtisukhaü  Bca_6.95c
tasyaiva sukhamityevaü  Bca_6.78a
taü gandhenànulimpati  Bca_8.66d
taü càvalokitaü nàthaü  Bca_2.51a
taü namasyàmi vajriõam  Bca_2.53d
taü nàvaiùãti vismayaþ  Bca_8.56d
taü spraùñuü kathamicchasi  Bca_8.58d
tàtparyava÷itàbalaiþ  Bca_7.32d
tàtparyàtmavidheyatà  Bca_7.16b
tàni vairàõyanusmaran  Bca_8.172d
tàneva narakànpunaþ  Bca_4.26d
tàndhåpameghairupadhåpayàmi  Bca_2.16b
tànyevàsthãni nànyàni  Bca_8.43a
tàmevànyatra saükràmya  Bca_8.127c
tàvatkàyaþ pumàniva  Bca_9.85b
tàvatkàyo 'tra dç÷yate  Bca_9.85d
tàvadeva vanaü vrajet  Bca_8.35d
tàvanmama sthitirbhåyàj  Bca_10.55c
tàvanmàyàpi vartate  Bca_9.10b
tàsvavasthàsu yàþ ÷ikùàþ  Bca_5.99c
tira÷càmapagacchatu  Bca_10.17b
tiùñhato nirvçtasya ca  Bca_9.39d
tiùñhatyeùa tu susthitaþ  Bca_8.142b
tiùñhan paràrthaü saüsàre  Bca_7.28c
tãrthikaiþ savivàdatvàt  Bca_9.44c
tãvrànnarakaduþkhataþ  Bca_7.11d
tubhyameva dadàti saþ  Bca_6.82b
tulyameva sukhaü priyam  Bca_8.95b
tulyà÷aye tu tattyàjyam  Bca_5.87c
tulyaiva pañhyate yasmàt  Bca_9.39c
tuùñaþ kiü nçpatirdadyàd  Bca_6.132a
tuùñimàtrà'parà cetsyàt  Bca_9.91c
tåryasaïgãtimeghà÷ca  Bca_2.20c
tålagarbhairmçduspar÷ai  Bca_8.50a
tçõàdau yatra sajyeta  Bca_6.70c
tçptiü pårvasukhaiþ kuryàt  Bca_1.29c
tçùõà tàvadupàdànaü  Bca_9.47a
tçùõàdveùàdi÷atravaþ  Bca_4.28b
tçùõàndhena mayà tatra  Bca_6.44c
tçùõe kiü na vidãryase  Bca_9.99d
te te vijayinaþ ÷åràþ  Bca_6.20c
tena kiü sraùñumiùñaü ca  Bca_9.122a
tena påjyo na cedariþ  Bca_6.109b
tena ÷astraü mayà kàyo  Bca_6.43c
tena sattvaparo bhåtvà  Bca_8.139a
tena sarvaü janàþ santu  Bca_10.1c
tena syàü sarvasattvànàü  Bca_3.6c
tenàkçto 'nyo nàstyeva  Bca_9.124c
tenàtra tava ko vyayaþ  Bca_5.60d
tenànarthasamàgamaþ  Bca_8.14b
tenàlaü lokacaritaiþ  Bca_8.185a
tenàsaünihitaj¤eyaü  Bca_9.62c
tenàsau kimapekùatàm  Bca_9.124d
tenaiva dhçtimàcara  Bca_8.53b
tenaiva na vinà ratiþ  Bca_8.119d
te 'pi kasmànna me priyàþ  Bca_8.183d
te 'pi cenmàninàü madhye  Bca_7.58c
te 'pi nàvãcikaü vahniü  Bca_4.30c
te 'pi pårvaü nivàritàþ  Bca_9.127b
te 'pi pratyayakopitàþ  Bca_6.22d
te 'pi me suhçdaþ kila  Bca_8.183b
te 'pyàsan daü÷ama÷akà  Bca_7.18a
te 'pyenaü hantumicchanti  Bca_6.4c
te pràpnuvantu matpuõyaiþ  Bca_10.2c
te bodhisattva÷ikùàyàm  Bca_3.22c
te bhavantu mahaujasaþ  Bca_10.29b
tebhyo nividyaü ca nivedayàmi  Bca_2.16d
te bhramanti mudhàmbare  Bca_5.17b
te mànino vijayina÷ca ta eva ÷årà  Bca_7.59a
teùàmasmi puraþ sthitaþ  Bca_5.31d
teùàmeva ca sattvànàü  Bca_1.24a
teùàü kiü paridahyase  Bca_6.81d
teùàü ÷arãràõi namaskaromi  Bca_1.36a
teùàü sa eva hetuþ syàn  Bca_3.15c
teùu kopo na yukto me  Bca_6.39c
taireva nanu paryàptaü  Bca_8.108c
tailapàtradharo yadvad  Bca_7.70a
tai÷càpyadhigataü dharmaü  Bca_2.49a
toùasthàne prakupyanti  Bca_8.10c
toùo yasya ca påjayà  Bca_8.182b
tyaktavyaü cenmayà sarvaü  Bca_3.11c
tyaktvànyo 'nyasukhotpàdaü  Bca_8.133a
tyajed bhçkuñisaïkocaü  Bca_5.71c
tyajenna jãvitaü tasmàd  Bca_5.87a
tyàgacittàjjane 'khile  Bca_5.10b
trapàdarabhayànvitaþ  Bca_5.32b
trastàþ pa÷yantvakasmàdiha yamapuruùàþ kàkagçdhrà÷ca ghoràþ  Bca_10.11a
tràõa÷ånyà di÷o dçùñvà  Bca_2.47a
tràõànveùã caturdi÷aü  Bca_2.46b
tràõànveùã viraumyaham  Bca_2.52d
tràsastasmàt prajàyatàm  Bca_9.56b
tràsoccàraviliptàïgo  Bca_7.10c
trikàlaü ca pravartayet  Bca_5.98b
tricãvarabahistyajet  Bca_5.85d
triùu màno vidhàtavyaþ  Bca_7.49a
trailokyapåjyaü buddhatvaü  Bca_6.81a
trailokyamapi na kùamam  Bca_6.117d
trailokyavijigãùutvaü  Bca_7.54c
tvatta÷cetpçthagevàyaü  Bca_5.60c
tvattuùñhyà kiü punarbhavet  Bca_6.87b
tvadà÷aüsanamàtreõa  Bca_6.87c
tvayà peyaü na ÷oõitam  Bca_5.65b
tvayà yatràsmi nà÷itaþ  Bca_8.169d
tvayàhaü vyathita÷ciram  Bca_8.172b
tvaü màü narakapàleùu  Bca_8.171c
tvaü vikrãto mayànyeùu  Bca_8.170c
tvàmeva nigrahãùyàmi  Bca_8.168c
tvàü sattveùu na dàsyàmi  Bca_8.171a
dakùa utthànasaüpannaþ  Bca_5.82a
dakùiõena tu sàdaram  Bca_5.94b
daõóayàtràbhirapare  Bca_8.74a
dattastebhyo mayà kàya÷  Bca_3.13c
dattàdattena tena kim  Bca_6.84d
dattvàsmai vetanaü tasmàt  Bca_5.69a
datvàsmai yàpanàmàtram  Bca_8.153c
dadàti na ca sevyate  Bca_6.5b
dadàmi càtmànamahaü jinebhyaþ  Bca_2.8a
dadàmi tebhyo varacãvaràõi  Bca_2.12d
dadàmi bhayavihvalaþ  Bca_2.50b
dadàmyanyebhya àtmànaü  Bca_8.136c
dadàmyàtmànamàtmanà  Bca_2.50d
dantakàùñhasya kheñasya  Bca_5.91a
dantake÷anakhà nàhaü  Bca_9.58a
dantaiþ samalapàõóuraiþ  Bca_8.68b
daridràõàü ca sattvànàü  Bca_3.9a
daridrà÷à na pårità  Bca_7.37d
dar÷anàt svaü prakà÷ate  Bca_9.25b
da÷adigvyomaparyanta-  Bca_4.41a
da÷adigvyomaparyanta-  Bca_10.54a
dahanasamajalàyàü vaitaraõyàü nimagnàþ  Bca_10.10b
dahyate tena ÷okena  Bca_8.7c
dahyate dveùavahninà  Bca_6.71b
dahyamàne gçhe yadvad  Bca_6.70a
dàtavyamiti me bhayam  Bca_7.20b
dàtyåhakàraõóavacakravàka-  Bca_10.7a
dànakàle tu ÷ãlasya  Bca_5.42c
dànapàramitàdayaþ  Bca_5.83b
dànapàramità proktà  Bca_5.10c
dànapàramità yadi  Bca_5.9b
dànavighnaþ kçto 'rthinà  Bca_6.105b
dànaü sugatapåjanam  Bca_6.1b
dàsatvàdyanubhåyate  Bca_8.128b
dàsàrthinàmahaü dàso  Bca_3.18c
dàhacchedàdivedanàm  Bca_6.13b
dàhaü tyaktuü na ÷akyate  Bca_8.135d
dàhyaþ pàñyo 'pyaneka÷aþ  Bca_7.21b
digvibhàgo niraü÷atvàd  Bca_9.87c
divyenaikena kàyena  Bca_10.47c
divyairmçdu÷lakùõavicitra÷obhair  Bca_2.13a
di÷aþ pa÷yetkadàcana  Bca_5.36b
di÷aþ sarvà bhavantu ca  Bca_10.34b
di÷o vi÷ramya vãkùeta  Bca_5.37c
dãnàstu vada kãdç÷àþ  Bca_7.58d
dãpaþ prakà÷ata iti  Bca_9.22a
dãpàrthinàmahaü dãpaþ  Bca_3.18a
dãrghakàlakçtànyapi  Bca_5.16b
dãrghatãvravyatheùu ca  Bca_9.157b
dãrghadar÷ã mahàjanaþ  Bca_6.128d
dãrghamàyurapãdç÷aü  Bca_4.32b
dãrghasaütànamàtreõa  Bca_9.10c
duràpastryàdilipsayà  Bca_6.35d
duràpà bodhiruttamà  Bca_7.18d
duràràdhàþ pçthagjanàþ  Bca_8.10d
durgatibhyo vimucyantàü  Bca_10.16c
durgatirnãcatà maurkhyaü  Bca_8.127a
durgativyàóavaktrasthe-  Bca_8.146a
durgativyàdhimaraõa-  Bca_4.14c
durgatyuttaraõe setuþ  Bca_3.30a
durgandhaü na sravantãti  Bca_8.50c
durgàputrakakarõàñà  Bca_6.13a
durjanàn gaganopamàn  Bca_5.12b
durbalà balinaþ santu  Bca_10.22c
durbalà ÷ånyavàsanà  Bca_9.32d
durbhikùàntarakalpeùu  Bca_3.8c
duryodhanaþ kle÷agaõaiþ  Bca_7.60c
durlabhàstvapakàriõaþ  Bca_6.106b
duùkarànna nivarteta  Bca_8.119a
duþkhatvàdàtmaduþkhavat  Bca_8.94b
duþkhatvàdeva vàryàõi  Bca_8.102c
duþkhaduryodhanastasmàd  Bca_6.18c
duþkhanivçttikàïkùayà  Bca_9.1d
duþkhaniþsaraõà÷ayà  Bca_1.28b
duþkhameva tvayàrjitam  Bca_8.155d
duþkhamevàbhidhàvanti  Bca_1.28a
duþkhavyupa÷amàrthaü tu  Bca_9.77c
duþkha÷astrairvihanyate  Bca_7.43d
duþkhasyànudayo yadi  Bca_9.92b
duþkhasyoparatirmatà  Bca_6.32d
duþkhaheturahaükàra  Bca_9.78a
duþkhaheturnivàryate  Bca_9.26d
duþkhahetau kathaü tava  Bca_7.15d
duþkhaü kasmànnivàryaü cet  Bca_8.103a
duþkhaü kçtaü sarvamahàkçpàõàm  Bca_6.124b
duþkhaü gçhõanti mohitàþ  Bca_8.133d
duþkhaü tyaktuü na ÷akyate  Bca_8.135b
duþkhaü necchàmi duþkhasya  Bca_6.45a
duþkhaü nyakkàrapàruùyam  Bca_6.11a
duþkhaü praveùñukàmasya  Bca_6.101a
duþkhaü bhåtvopatiùñhati  Bca_8.18d
duþkhaü saübodhisàdhanam  Bca_7.22b
duþkhaü soóhuü na pàryate  Bca_6.73b
duþkhaü sthitamayantataþ  Bca_6.12b
duþkhaü hantuü sukhaü pràptuü  Bca_5.17a
duþkhàni kasmànmama bàdhakàni  Bca_4.39d
duþkhàni daurmanasyàni  Bca_7.41a
duþkhànyapramitàni ca  Bca_5.6b
duþkhàya kevalaü màtur  Bca_7.38c
duþkhite ca mahacchubham  Bca_5.81d
duþkhito 'hamayaü sukhã  Bca_8.141d
duþkhenaiva ca niþsàra÷  Bca_6.12c
duþkhe 'pi naiva cittasya  Bca_6.19a
duþ÷ãlàþ santu saüvignàþ  Bca_10.45a
dåùaõaü nopapadyate  Bca_9.54b
dç÷yatàmidamantaram  Bca_8.130b
dç÷yate tasya påjàrthaü  Bca_6.117c
dç÷yate naiùa saübhavaþ  Bca_9.73b
dç÷yate spç÷yate càpi  Bca_9.100a
dç÷yanta ete nanu sattvaråpàs  Bca_6.126c
dç÷yante dahyamànà÷ca  Bca_8.78c
dç÷yà draùñç tathà manaþ  Bca_9.28b
dçùñaü ca teùu sàmarthyaü  Bca_9.46c
dçùñaü na tadabhàvataþ  Bca_9.145b
dçùñaü munãndrairhitametadeva  Bca_1.7b
dçùñàdçùñasukhotsavam  Bca_8.133b
dçùñàdçùñaü hataü bhavet  Bca_6.78d
dçùñàntenobhayeùñena  Bca_9.4c
dçùñivi÷ràmahetostu  Bca_5.36a
dçùño 'pyartho na sidhyati  Bca_8.132b
dçùñvà kopaü nivàrayet  Bca_6.65d
dçùñvàgre ma¤jughoùaü bhavatu kalakalaþ sàüprataü nàrakàõàm  Bca_10.14d
dçùñvà pçùñvà ca varjayet  Bca_5.93d
dçùñvàpyanyàyakàriõam  Bca_6.33b
dçùñvà pràmodyavegàd vyapagatadurità yàütu tenaiva sàrdham  Bca_10.11d
dçùñvà mårcchàü vrajanti yat  Bca_6.17d
devatànàmçùãõàü và  Bca_1.23c
devàdilokeùu ca gandhadhåpàþ  Bca_2.4a
devàsuranarairnityaü  Bca_10.50c
devo varùatu kàlena  Bca_10.39a
de÷ayiùyàmi ÷ånyatàm  Bca_9.168b
de÷àntare sthànaparigrahaþ syàt  Bca_4.45b
dehinàü niyatà vyathà  Bca_6.66b
dolàyamànaþ saüsàre  Bca_4.11c
doùa÷citte prasarpati  Bca_7.69d
daurmanasyà÷anaü pràpya  Bca_6.7c
daurmanasyena tatra kim  Bca_6.10b
daurmanasyena tatra kim  Bca_6.10d
daurmanasye 'pi nàstãùñaü  Bca_6.9c
drakùyasyetadguõàn pa÷càd  Bca_8.156c
draviõaü ca vyayãkçtam  Bca_8.42b
