Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmÃnm­tyurÃyÃto  Bca_7.8c
grÃhyo 'smÃbhirasau balÃt  Bca_8.153b
glÃnÃnÃmasmi bhai«ajyaæ  Bca_3.7a
ghaÂitÃni prayatnata÷  Bca_5.7b
ghaÂo naivÃ¤janaæ bhavet  Bca_9.25d
ghnantu nindantu vÃ nityam  Bca_3.12c
ghnantyÃtmÃnamapi priyam  Bca_6.37b
cakartha tvamahaækÃraæ  Bca_8.158c
cakravartisukhaæ sphÅtaæ  Bca_6.134c
cak«u«Ã saæpibanniva  Bca_5.80b
caï¬Ãlamahi«o yathÃ  Bca_7.5d
caturbhiÓcaturuttarai÷  Bca_2.55d
caturbhi÷ puru«airyÃvat  Bca_8.35a
candanÃdeva nÃnyata÷  Bca_8.65b
caratyapek«Ãvirato yathe«Âam  Bca_8.87d
carmaïyutpÃÂite yasmÃd  Bca_8.64a
caryÃdu÷khÃnmahaddu÷khaæ  Bca_8.83c
calatkaÇkÃlasaækule  Bca_8.70d
calaæ cittamarak«atÃ  Bca_5.1d
caækramyate parahitÃya vicintyate ca  Bca_8.86d
cÃlyamÃnÃd bhayaæ na kim  Bca_8.48d
cikitsati mahÃturÃn  Bca_7.24d
cikitsÃgocaraæ gata÷  Bca_4.13d
cikitsÃpÃÂhamÃtreïa  Bca_5.109c
cikitsyo 'haæ yathÃÓakti  Bca_8.144c
cittamattadvipastathÃ  Bca_5.40b
cittamÃtre 'pi kalpite  Bca_9.30d
cittamÃpadyate tava  Bca_9.29d
cittamÃyÃsamete tu  Bca_9.11c
cittameva yadÃ mÃyÃ  Bca_9.17a
cittamevaæ prahar«ayet  Bca_3.24d
cittarak«Ãvrataæ muktvÃ  Bca_5.18c
cittaratnasya yatpuïyaæ  Bca_1.26c
cittaÓodhanamÃcÃraæ  Bca_5.97c
cittasya brahmatÃdikam  Bca_5.15d
cittasyaikasya damanÃt  Bca_5.5c
cittasyaikasya bandhanÃt  Bca_5.5b
cittasyaiva sa ÃkÃro  Bca_9.16c
cittaæ guhyaæ na bhÃvitam  Bca_5.17d
cittaæ cittaæ na paÓyati  Bca_9.17d
cittaæ nedaæ kari«yasi  Bca_8.168b
cittaæ rak«itukÃmÃnÃæ  Bca_5.23a
cittaæ rak«yaæ prayatnata÷  Bca_5.1b
cittÃdanyÃ na mÃyÃ cen  Bca_9.27a
cittÃdanyo bhayÃnaka÷  Bca_5.8d
cittÃdeva bhavantÅti  Bca_5.6c
cittÃbhÃvÃnna pÃpakaæ  Bca_9.11b
cittena sahajÃtatvÃd  Bca_9.100c
cittotpÃdasamudrÃæÓca  Bca_3.3a
cintayÃ kiæ mayÃnayÃ  Bca_3.13d
cintÃmaïirbhadraghaÂa÷  Bca_3.19a
cintÃmaïi÷ kalpatarur  Bca_9.36a
cirajÅbyalpajÅvino÷  Bca_6.58d
ciraæ ti«Âhatu ÓÃsanam  Bca_10.57d
ciraæ dhak«yatiniÓcitaæ  Bca_4.25d
ciraæ dhak«yati me kÃyaæ  Bca_4.25a
ciraæ bhuktvÃ sukhÃnyapi  Bca_6.59b
cirÃtprÃptaæ k«aïavaraæ  Bca_5.58a
cirÃdenaæ khalÅk­tam  Bca_8.150b
cetanÃcetanak­tÃ  Bca_6.66a
cetanÃcetane caikyaæ  Bca_9.68a
cetastasmÃdd­¬hÅbhava  Bca_6.12d
ceta÷ kasmÃtprakupyasi  Bca_6.53d
caitanyenÃsya kiæ k­tam  Bca_9.70b
caitye«u pratimÃsu ca  Bca_2.21b
cauravyÃghrÃdinirbhayÃ÷  Bca_10.25d
caurÃsaæbhogacÅvara÷  Bca_8.29b
cchedabhedÃdyavÃpnuyÃæ  Bca_4.14d
chakyÃ vÃrayituæ na hi  Bca_5.14b
chandamÃnaratityÃga-  Bca_7.32c
chandasthÃmaratimukti-  Bca_7.31a
chandaæ du÷khabhayÃtkuryÃd  Bca_7.31c
chandaæ mÆlaæ munirjagau  Bca_7.40b
channÃ bhavati medinÅ  Bca_5.13d
chabdayedalpasaæbhrame  Bca_5.95b
chamiti narakavahniæ d­Óyate nÃÓayantÅ  Bca_10.12b
chayÅtepsitayÃ diÓÃ  Bca_5.96b
chalamasya nirÆpaya  Bca_8.161d
chÃdyerannapi me do«Ã÷  Bca_8.149a
chidyante kÃmina÷ kecid  Bca_8.78a
chÆlamutpadyate yathÃ  Bca_6.23b
chettavyaÓcÃsmi bhettavyo  Bca_7.21a
chocanta÷ kurvate vyathÃm  Bca_8.37b
jagato 'vayavatvena  Bca_8.114c
jagatkleÓavimok«aïe  Bca_4.41b
jagatkleÓo«maÓamana  Bca_3.30c
jagatyabhyasyatÃæ tathÃ  Bca_8.117d
jagatsarvaæ visaævÃdya  Bca_4.6c
jagat sukhitamastu ca  Bca_10.56d
jagadaj¤Ãnatimira-  Bca_3.31a
jagadadya nimantritaæ mayÃ  Bca_3.33a
jagadarthaæ manorathÃ÷  Bca_10.49b
jagadÃnandabÅjasya  Bca_1.26a
jagaddaridramadyÃpi  Bca_5.9c
jagaddÃridryaÓamanaæ  Bca_3.28c
jagaddu÷khahare du÷khe  Bca_6.75c
jagaddu÷khaæ nirÆpyedaæ  Bca_8.104c
jagaddu÷khÃni nighnata÷  Bca_10.55d
jagaddu÷khaikabhai«ajyaæ  Bca_10.57a
jagaddu÷khau«adhasya ca  Bca_1.26b
jagaddhitÃrthaæ na kathaæ sahe 'ham  Bca_4.40d
jagadbuddhatvamÃpnuyÃt  Bca_10.47d
jagadrak«ÃrthamudyuktÃn  Bca_2.48c
jagadviÓrÃmapÃdapa÷  Bca_3.29d
jagadvyÃdhipraÓamanaæ  Bca_3.29a
jagannÃthÃnmahÃbalÃn  Bca_2.48b
jaganm­tyuvinÃÓÃya  Bca_3.28a
janayÃmÅti cetanÃ  Bca_6.26b
janasÃrthasya bhavÃdhvacÃriïa÷  Bca_3.32b
janito 'smÅti cetanÃ  Bca_6.26d
janmanyatraiva vÃ puna÷  Bca_2.28b
janmÃntare 'pi so 'bhyÃsa÷  Bca_7.48a
janmÃvÃsaparigraha÷  Bca_8.34d
japÃstapÃæsi sarvÃïi  Bca_5.16a
jambudvÅpagatÃ narÃ÷  Bca_2.56b
jalÃni ca svacchamanoramÃïi  Bca_2.2d
jÃtametadrasÃyanaæ  Bca_3.28b
jÃtaæ cedapriyaæ Óatros  Bca_6.87a
jÃtaæ saæbodhicittaæ sakalajanaparitrÃïamÃtÃ dayÃ ca  Bca_10.13d
jÃtÃ mayyapakÃriïa÷  Bca_6.47b
jÃtismaratvaæ pravrajyÃm  Bca_10.51a
jÃnatÃpi n­pÃpadam  Bca_8.106b
jÃnannapi ca nÅyo 'haæ  Bca_4.26c
jÃyantÃæ kalpapÃdapÃ÷  Bca_10.6d
jÃyante pÃpakÃriïÃm  Bca_7.41d
jinaputtre«u Óubhaæ tvayatnata÷  Bca_1.35d
jinabimbaæ tathek«yate  Bca_9.36d
jinaratnapratimÃæ karotyanarghÃæ  Bca_1.10b
jinasiæhasuto hyaham  Bca_7.55d
jinastambho 'pi sÃdhita÷  Bca_9.38b
jine«u gauravaæ yadvan  Bca_6.113c
jinairapi na to«itÃ÷  Bca_8.22b
jÅvamatsya ivÃsmÅti  Bca_7.11a
jÅvalokamimaæ tyaktvÃ  Bca_2.62a
jÅvitÃrthe 'pi na tyajet  Bca_5.102b
jÅvinÃ vÃ m­tena vÃ  Bca_8.179b
j¤ÃtvÃ j¤Ãnena kathyate  Bca_9.22b
j¤ÃtvÃ sado«amÃtmÃnaæ  Bca_8.113a
j¤Ãtvedaæ kena kathyate  Bca_9.22d
j¤ÃnatÃ cettata÷ sarva-  Bca_9.67c
j¤Ãnaæ j¤eyÃdanÃdi ca  Bca_9.122d
j¤Ãnaæ nÃstÅti niÓcaya÷  Bca_9.62d
j¤ÃnÃstitvaæ kuto j¤Ãtaæ  Bca_9.116c
j¤ÃnÃstitve tu kÃ gati÷  Bca_9.112d
j¤eyasaækleÓavÃsanÃ  Bca_9.32b
j¤eyaæ yattena gamyate  Bca_9.116d
j¤eyaæ vinÃ tu kiæ vetti  Bca_9.61c
j¤eyaæ sÆtrÃntavÃcanÃt  Bca_5.103d
j¤eyÃjj¤Ãnena jÃtena  Bca_9.115c
j¤eyÃtpÆrvaæ yadi j¤Ãnaæ  Bca_9.105a
j¤eyÃstitve tu kÃ gati÷  Bca_9.113b
j¤eyena saha cejj¤Ãnaæ  Bca_9.105c
jvaladasiÓaktighÃtaÓataÓÃtitamÃæsadala÷  Bca_7.45c
¬ÃkinÅrÃk«asÃdaya÷  Bca_10.40d
¬Ãkinyo rÃk«asÃstathÃ  Bca_5.4d
ta eva nÃthÃ÷ kimanÃdaro 'tra  Bca_6.126d
tacca nirvÃïamucyate  Bca_9.111d
taccittaratnagrahaïÃya samyak  Bca_2.1a
taccittasya d­¬hatvena  Bca_6.18a
taccintayÃ mudhÃ yÃti  Bca_8.8a
taccedbuddhoktami«yate  Bca_9.50b
tacchastrayuddhaæ ca paraspareïa  Bca_10.9c
tacchastraæ mama kÃyaÓca  Bca_6.43a
tajjÅyate 'nyena Óubhena kena  Bca_1.6c
tatastajj¤Ãnamapyasat  Bca_9.63d
tata÷ kiæ jÃyate bhayam  Bca_9.56d
tata÷ kiæ bodhicaryayÃ  Bca_9.14b
tata÷ koÂiÓatenÃpi  Bca_8.83a
tata÷ prabh­ti suptasya  Bca_1.19a
tata÷ satyadvayaæ kuta÷  Bca_9.107b
tata÷ suraktÃni sudhÆpitÃni  Bca_2.12c
tato 'nyanna vicintayet  Bca_5.43b
tato 'pi na nivartyaÓcet  Bca_9.78c
tatkathaæ hi pramÅyatÃæ  Bca_1.26d
tatkaroti kramÃtpaÓcÃd  Bca_7.25c
tatkarturapi jÃyate  Bca_9.31d
tatkarmavyasanÅ bhavet  Bca_7.62b
tatkarmaÓauï¬o 't­ptÃtmÃ  Bca_7.62c
tatkiæ mamÃnena parigraheïa  Bca_8.134d
tatko 'syecchÃæ kari«yati  Bca_8.175d
tatk«aïaæ tatparityÃjyaæ  Bca_6.71c
tattatsarvaæ jagau muni÷  Bca_5.8b
tattatsahasraguïitaæ  Bca_8.18c
tattatsmaraïatÃæ yÃti  Bca_2.36a
tattadÃtmani sattvÃrthe  Bca_8.165c
tattadevÃpah­tyarthaæ  Bca_8.159c
tattadevÃpah­tyÃsmÃt  Bca_8.139c
tatto«aïÃtsarvamunÅndratu«Âis  Bca_6.122c
tattvaj¤asyÃpi sÃ sthiti÷  Bca_9.137d
tattvata÷ k«aïikÃ naite  Bca_9.7c
tattvata÷ ÓÆnyatÃ tasmÃd  Bca_9.139c
tattvayÃnavabuddhatvÃd  Bca_9.52c
tatpara÷ syÃttathÃ vratÅ  Bca_7.70d
tatra kiæ parilambyate  Bca_4.3d
tatra kuryÃnnavetyevaæ  Bca_4.2c
tatra kha¬gaæ yathÃ bhra«Âaæ  Bca_7.68a
tatra cÃkhaï¬itavratÃ÷  Bca_10.45d
tatra cÃnupamÃstÅvrÃ  Bca_9.159a
tatra cÃsattvamÅd­Óam  Bca_9.158b
tatra tatraiva tatpÃpair  Bca_7.43c
tatra tatraiva tatpuïyai÷  Bca_7.42c
tatra do«ak«ayÃrambhe  Bca_7.34a
tatra prÃk­tako loko  Bca_9.3c
tatra loko dvidhÃ d­«Âo  Bca_9.3a
tatra sarvaj¤avaidyasya  Bca_2.57a
tatrÃnyonyavirodhaÓca  Bca_9.158c
tatrÃpakÃre 'pak­taæ munÅnÃm  Bca_6.122d
tatrÃpi jÅvitÃrogya-  Bca_9.160a
tatrÃpi mÃro yatate  Bca_9.162a
tatrÃpyabhyastavik«epa-  Bca_9.161c
tatrÃpyalpatvamÃyu«a÷  Bca_9.159d
tatrÃpyahaæ na kupyÃmi  Bca_4.29c
tatrÃpyevamasaæbandhÃt  Bca_6.97c
tatrÃmedhyamani«Âaæ te  Bca_8.49c
tatrÃsanmÃrgabÃhulyÃd  Bca_9.162c
tatraikaikaguïÃbhyÃso  Bca_7.35c
tatraivamalpabalatÃ  Bca_9.159c
tatsattÃ kiæ na gamyate  Bca_9.115d
tat sattvÃnÃæ sam­dhyatu  Bca_10.49d
tatsarvaæ deÓayÃmyaham  Bca_2.31d
tatsarvaæ deÓayÃmye«a  Bca_2.65a
tat sarvaæ mayi pacyatÃm  Bca_10.56b
tatsukhena sukhitvaæ cet  Bca_6.96a
tatsthitaæ ghoramagrata÷  Bca_2.38d
tathÃ kathaæcidapyetad  Bca_3.27c
tathÃ kasmÃnna dehina÷  Bca_8.114d
tathÃkÃyo 'nyadÅyo 'pi  Bca_8.112a
tathÃ kiæcit parÃpek«am  Bca_9.20a
tathÃgatÃrÃdhanametadeva  Bca_6.127a
tathÃ jagadbhinnamabhinnadu÷kha-  Bca_8.91c
tathÃ tathÃgatÃnnÃthÃn  Bca_2.22c
tathÃdhunÃ mayÃ kÃryaæ  Bca_3.26a
tathÃ na durbalaæ kaæcid  Bca_6.129c
tathÃnye«vapi bhÃvaya  Bca_8.158d
tathÃpi taddu÷khameva  Bca_8.92c
tathÃpi tasya taddu÷kham  Bca_8.93c
tathÃpi nidrÃæ yÃsyeva  Bca_7.5c
tathÃpi syÃnna vÃ sukham  Bca_7.63b
tathÃpyete na rak«itÃ÷  Bca_6.51b
tathÃ bhavÃdhvagasyÃpi  Bca_8.34c
tathÃ bhedo 'nayorj¤eyo  Bca_1.16c
tathÃbhyÃæ vyÃkulaæ cittaæ  Bca_5.24c
tathÃ yatnaæ karomyaham  Bca_6.69b
tathÃ yadyapyasaævedyam  Bca_8.93a
tathÃ sattvaæ tayordvayo÷  Bca_9.114d
tathÃ stutiyaÓohÃnau  Bca_6.93c
tathÃhamapyasadbhÆto  Bca_9.75c
tathedaæ kutra kupyate  Bca_6.46d
tathaiva cchidramÃsÃdya  Bca_7.69c
tathotsÃhavaÓaæ yÃyÃd  Bca_7.75c
tadacchannaæ kimapriyam  Bca_8.51b
tadatyayaæ deÓayÃmi  Bca_2.29c
tadadya pÃpaæ pratideÓayÃmi  Bca_6.124c
tadadya bhak«itaæ yÃvat  Bca_8.46c
tadanantaramastu sÃ  Bca_9.46b
tadabhÃvÃtsukhÃdyasat  Bca_9.132b
tadabhÃvo na g­hyate  Bca_9.140b
tadarthamarjanÃyÃso  Bca_8.71c
tadarthamÃtmanyapi nirvyapek«Ã÷  Bca_6.121b
tadavastha÷ kathaæ bhÃva÷  Bca_9.147c
tadÃ kÃ strÅ pumÃæÓca ka÷  Bca_9.88d
tadÃ kimupalabhyate  Bca_9.16b
tadÃ kiæ kena d­Óyate  Bca_9.17b
tadÃ kiæ na Ó­ïotyapi  Bca_9.63b
tadÃ kiæ nÃma du«karam  Bca_7.26d
tadÃk­«yÃpanÅyate  Bca_6.70d
tadÃ j¤Ãnaæ kuto bhavet  Bca_9.106b
tadÃtmajÃnÃæ ca sagÅtavÃdyaæ  Bca_2.11d
tadÃtmana÷ ko viÓe«o  Bca_8.95c
tadÃtmana÷ ko viÓe«o  Bca_8.96c
tadÃ tvaæ kiæ kari«yasi  Bca_5.67d
tadÃnavasthÃ tasyÃpi  Bca_9.110c
tadÃ nirÃÓrayo 'bhÃva÷  Bca_9.34c
tadÃnyagatyabhÃvena  Bca_9.35c
tadÃvasthÃmimÃæ d­«ÂvÃ  Bca_9.99c
tadÃ sarve tathÃgatÃ÷  Bca_9.30b
tadÃhaæ kiæ kari«yÃmi  Bca_2.47c
tadindrasyÃpi durlabham  Bca_8.88d
tadÅyaiÓcak«urÃdibhi÷  Bca_8.138b
tadutpÃdanadu÷khavat  Bca_7.22d
tadupasthÃyakaÓcaiva  Bca_3.7c
tadupÃyena sidhyatu  Bca_10.23d
tadeva tÃvanni«pÃdyaæ  Bca_5.43c
tadeva yadi naÓyati  Bca_6.61b
tadeva rÆpaæ jÃnÃti  Bca_9.63a
tadeva sÆk«matÃæ yÃti  Bca_9.133c
tadeva hi bhavÃmÅti  Bca_6.27c
tadevaæ ÓÆnyatÃpak«e  Bca_9.54a
tadevaæ sparÓanÃbhÃve  Bca_9.98a
tadevÃnyena rÆpeïa  Bca_9.66a
tadai«Ãæ parakÃye«u  Bca_6.37c
tadgatenÃntarÃtmanÃ  Bca_5.43d
taddu«ÂÃÓayamevÃta÷  Bca_6.111a
taddu÷khe kiæ sukhaæ tava  Bca_6.88b
taddu÷khena na me bÃdhety  Bca_8.97a
tadd­«ÂikÃle tasyÃto  Bca_9.32c
taddheturÆpÃ bhÃvÃÓcen  Bca_9.131a
tadbÅjaæ tena vardhitam  Bca_8.59d
tadbodhicittaæ dvividhaæ  Bca_1.15a
tadbhÃvakalpanotpÃdaæ  Bca_9.141c
tadrÆpagrahaïaæ katham  Bca_9.64b
tadvadutpÃdayÃmye«a  Bca_3.23a
tadvadeva ca tÃ÷ Óik«Ã÷  Bca_3.23c
tadvipak«a÷ ka ucyate  Bca_7.2b
tanna kiæcidata÷ sattvÃ÷  Bca_9.104c
tanna prÃptaæ mudhaivÃyur  Bca_8.75c
tannÃrakavyathÃhetu÷  Bca_6.73c
tannÃsti kÃyo mohÃttu  Bca_9.84a
tannimittaæ tu yatpÃpaæ  Bca_2.38c
tanmukhaæ tÆtparikleÓam  Bca_8.45a
tanme syÃdavicÃrata÷  Bca_7.20d
taptÃ ca bhÆ÷ sphÃÂikakuÂÂimaæ syÃt  Bca_10.8b
taptÃya÷kuÂÂimaæ kena  Bca_5.7c
tameva nÃthaæ paÓyeyaæ  Bca_10.53c
tayoryenÃstitÃ samÃ  Bca_9.68b
tara du÷khamahÃnadÅm  Bca_7.14b
talenÃsmi talaæ gata÷  Bca_4.12d
tallokacittarak«Ãrthaæ  Bca_5.107c
tavedaæ yadi na priyam  Bca_6.78b
tasmÃcchubhaæ durbalameva nityaæ  Bca_1.6a
tasmÃtkarmÃvasÃne 'pi  Bca_7.65a
tasmÃtkÃrya÷ Óubhacchando  Bca_7.46a
tasmÃt kiæ kokacintayÃ  Bca_8.22d
tasmÃtkleÓavadhe sadÃ  Bca_4.42d
tasmÃt k«Ãntiæ prayatnena  Bca_6.2c
tasmÃtti«ÂhÃmi kÃ«Âhavat  Bca_5.51d
tasmÃtti«ÂhÃmi kÃ«Âhavat  Bca_5.52d
tasmÃtti«ÂhÃmi kÃ«Âhavat  Bca_5.53d
tasmÃt prÃj¤o na tamicched  Bca_8.19a
tasmÃtsattvÃ jinai÷ samÃ÷  Bca_6.116b
tasmÃtsarvamidaæ jagat  Bca_9.150d
tasmÃt sÃ cittameva tu  Bca_5.10d
tasmÃtsÃpyasya sÆk«matÃ  Bca_9.91d
tasmÃtsÆtrÃïi vÃcayet  Bca_5.104b
tasmÃtstutyÃdighÃtÃya  Bca_6.99a
tasmÃt snehaæ karomi kim  Bca_8.181d
tasmÃtsm­tirmanodvÃrÃn  Bca_5.29a
tasmÃtsvadu÷khaÓÃntyarthaæ  Bca_8.136a
tasmÃtsvadhi«Âhitaæ cittaæ  Bca_5.18a
tasmÃtsvapne sute na«Âe  Bca_9.141a
tasmÃdamitraæ mitraæ vÃ  Bca_6.33a
tasmÃdahaæ stuto 'smÅti  Bca_6.97a
tasmÃdÃrÃdhayetsattvÃn  Bca_6.130c
tasmÃdÃvaraïaæ hantuæ  Bca_8.186a
tasmÃdutpÃdayet praj¤Ãæ  Bca_9.1c
tasmÃdutsaÇgage sarpe  Bca_7.71a
tasmÃdekÃkitÃ ramyÃ  Bca_8.38a
tasmÃdetatk«amÃphalam  Bca_6.108b
tasmÃdetatparityÃge  Bca_8.3c
tasmÃdevaæ vicÃreïa  Bca_9.142a
tasmÃdd­¬hena cittena  Bca_7.54a
tasmÃdbahÆni du÷khÃni  Bca_7.23c
tasmÃdbhÃvo m­«Ã yo hi  Bca_9.140c
tasmÃdyathÃntaÓo 'varïÃd  Bca_8.110a
tasmÃdyathÃnyadÅye«u  Bca_8.158a
tasmÃdyathÃ pratij¤Ãtaæ  Bca_4.12a
tasmÃdyathÃrtiÓokÃder  Bca_8.117a
tasmÃdvighÃtayi«yÃmi  Bca_6.8a
tasmÃnna kaÓcitrailokye  Bca_5.8c
tasmÃnna tÃvadahamatra dhuraæ k«ipÃmi  Bca_4.36a
tasmÃnna prasaro deya÷  Bca_8.177a
tasmÃnna«ÂÃstapasvina÷  Bca_6.51d
tasmÃnnirvicikitsena  Bca_9.54c
tasmÃnmamÃstu vratametadeva  Bca_6.127d
tasmÃnmayÃnapek«eïa  Bca_8.184a
tasmÃnmayÃ yajjanadu÷khadena  Bca_6.124a
tasmÃnmayai«Ãæ kartavyaæ  Bca_7.50c
tasmÃnm­duvyathÃbhyÃsÃt  Bca_6.14c
tasmÃnme yuktamevaitat  Bca_6.42c
tasmÃllokaæ parityajya  Bca_8.2c
tasminsthÃne mahÃbhaye  Bca_2.47d
tasya kriyeti saæbandhe  Bca_6.30c
tasya durgatiparyanto  Bca_4.9c
tasya rÃjabalaæ balam  Bca_6.129b
tasya saæpadajÅrïikÃ  Bca_8.176d
tasyÃpi mÆlaæ satataæ  Bca_7.40c
tasyÃbhÃva÷ sphuÂaæ m­«Ã  Bca_9.140d
tasyÃÓanamahaæ ripo÷  Bca_6.8b
tasyÃsvÃdalavasyÃrthe  Bca_8.81a
tasyaiva tatprÅtisukhaæ  Bca_6.95c
tasyaiva sukhamityevaæ  Bca_6.78a
taæ gandhenÃnulimpati  Bca_8.66d
taæ cÃvalokitaæ nÃthaæ  Bca_2.51a
taæ namasyÃmi vajriïam  Bca_2.53d
taæ nÃvai«Åti vismaya÷  Bca_8.56d
taæ spra«Âuæ kathamicchasi  Bca_8.58d
tÃtparyavaÓitÃbalai÷  Bca_7.32d
tÃtparyÃtmavidheyatÃ  Bca_7.16b
tÃni vairÃïyanusmaran  Bca_8.172d
tÃneva narakÃnpuna÷  Bca_4.26d
tÃndhÆpameghairupadhÆpayÃmi  Bca_2.16b
tÃnyevÃsthÅni nÃnyÃni  Bca_8.43a
tÃmevÃnyatra saækrÃmya  Bca_8.127c
tÃvatkÃya÷ pumÃniva  Bca_9.85b
tÃvatkÃyo 'tra d­Óyate  Bca_9.85d
tÃvadeva vanaæ vrajet  Bca_8.35d
tÃvanmama sthitirbhÆyÃj  Bca_10.55c
tÃvanmÃyÃpi vartate  Bca_9.10b
tÃsvavasthÃsu yÃ÷ Óik«Ã÷  Bca_5.99c
tiraÓcÃmapagacchatu  Bca_10.17b
ti«Âhato nirv­tasya ca  Bca_9.39d
ti«Âhatye«a tu susthita÷  Bca_8.142b
ti«Âhan parÃrthaæ saæsÃre  Bca_7.28c
tÅrthikai÷ savivÃdatvÃt  Bca_9.44c
tÅvrÃnnarakadu÷khata÷  Bca_7.11d
tubhyameva dadÃti sa÷  Bca_6.82b
tulyameva sukhaæ priyam  Bca_8.95b
tulyÃÓaye tu tattyÃjyam  Bca_5.87c
tulyaiva paÂhyate yasmÃt  Bca_9.39c
tu«Âa÷ kiæ n­patirdadyÃd  Bca_6.132a
tu«ÂimÃtrÃ'parÃ cetsyÃt  Bca_9.91c
tÆryasaÇgÅtimeghÃÓca  Bca_2.20c
tÆlagarbhairm­dusparÓai  Bca_8.50a
t­ïÃdau yatra sajyeta  Bca_6.70c
t­ptiæ pÆrvasukhai÷ kuryÃt  Bca_1.29c
t­«ïÃ tÃvadupÃdÃnaæ  Bca_9.47a
t­«ïÃdve«ÃdiÓatrava÷  Bca_4.28b
t­«ïÃndhena mayÃ tatra  Bca_6.44c
t­«ïe kiæ na vidÅryase  Bca_9.99d
te te vijayina÷ ÓÆrÃ÷  Bca_6.20c
tena kiæ sra«Âumi«Âaæ ca  Bca_9.122a
tena pÆjyo na cedari÷  Bca_6.109b
tena Óastraæ mayÃ kÃyo  Bca_6.43c
tena sattvaparo bhÆtvÃ  Bca_8.139a
tena sarvaæ janÃ÷ santu  Bca_10.1c
tena syÃæ sarvasattvÃnÃæ  Bca_3.6c
tenÃk­to 'nyo nÃstyeva  Bca_9.124c
tenÃtra tava ko vyaya÷  Bca_5.60d
tenÃnarthasamÃgama÷  Bca_8.14b
tenÃlaæ lokacaritai÷  Bca_8.185a
tenÃsaænihitaj¤eyaæ  Bca_9.62c
tenÃsau kimapek«atÃm  Bca_9.124d
tenaiva dh­timÃcara  Bca_8.53b
tenaiva na vinÃ rati÷  Bca_8.119d
te 'pi kasmÃnna me priyÃ÷  Bca_8.183d
te 'pi cenmÃninÃæ madhye  Bca_7.58c
te 'pi nÃvÅcikaæ vahniæ  Bca_4.30c
te 'pi pÆrvaæ nivÃritÃ÷  Bca_9.127b
te 'pi pratyayakopitÃ÷  Bca_6.22d
te 'pi me suh­da÷ kila  Bca_8.183b
te 'pyÃsan daæÓamaÓakÃ  Bca_7.18a
te 'pyenaæ hantumicchanti  Bca_6.4c
te prÃpnuvantu matpuïyai÷  Bca_10.2c
te bodhisattvaÓik«ÃyÃm  Bca_3.22c
te bhavantu mahaujasa÷  Bca_10.29b
tebhyo nividyaæ ca nivedayÃmi  Bca_2.16d
te bhramanti mudhÃmbare  Bca_5.17b
te mÃnino vijayinaÓca ta eva ÓÆrÃ  Bca_7.59a
te«Ãmasmi pura÷ sthita÷  Bca_5.31d
te«Ãmeva ca sattvÃnÃæ  Bca_1.24a
te«Ãæ kiæ paridahyase  Bca_6.81d
te«Ãæ ÓarÅrÃïi namaskaromi  Bca_1.36a
te«Ãæ sa eva hetu÷ syÃn  Bca_3.15c
te«u kopo na yukto me  Bca_6.39c
taireva nanu paryÃptaæ  Bca_8.108c
tailapÃtradharo yadvad  Bca_7.70a
taiÓcÃpyadhigataæ dharmaæ  Bca_2.49a
to«asthÃne prakupyanti  Bca_8.10c
to«o yasya ca pÆjayÃ  Bca_8.182b
tyaktavyaæ cenmayÃ sarvaæ  Bca_3.11c
tyaktvÃnyo 'nyasukhotpÃdaæ  Bca_8.133a
tyajed bh­kuÂisaÇkocaæ  Bca_5.71c
tyajenna jÅvitaæ tasmÃd  Bca_5.87a
tyÃgacittÃjjane 'khile  Bca_5.10b
trapÃdarabhayÃnvita÷  Bca_5.32b
trastÃ÷ paÓyantvakasmÃdiha yamapuru«Ã÷ kÃkag­dhrÃÓca ghorÃ÷  Bca_10.11a
trÃïaÓÆnyÃ diÓo d­«ÂvÃ  Bca_2.47a
trÃïÃnve«Å caturdiÓaæ  Bca_2.46b
trÃïÃnve«Å viraumyaham  Bca_2.52d
trÃsastasmÃt prajÃyatÃm  Bca_9.56b
trÃsoccÃraviliptÃÇgo  Bca_7.10c
