Kalidasa: Raghuvamsa
Based on the ed. by A. Scharp‚: Kalidasa Lexicon, Vol. 1,
Brugge 1964
(Rijksuniversiteit te Gent, Werken uitgegeven door de 
Faculteit van de Letteren en Wijsbegeerte, 134)


Input by N.N.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot pçthivãruhàn api  Ragh_8.70c
pathi vyajçmbhanta divaukasàm api  Ragh_3.19d
padam çddham ajena paitçkaü  Ragh_8.6c
padavãü taruvalkavàsasàü  Ragh_8.11c
padavãü pariõàmade÷inãü  Ragh_8.9*c
padavãü hariràkùasàş  Ragh_15.99b
padaü da÷asu mårdhasu  Ragh_12.52d
padaü padavyàü sagarasya saütateş  Ragh_3.50d
padaü vimànena vigàhamànaş  Ragh_13.1b
padaü hi sarvatra guõair nidhãyate  Ragh_3.62d
padà spç÷antaü da÷ati dvijihvaş  Ragh_14.41d
pade pade durnimite galantã  Ragh_7.10b
padmavyajanahastayà  Ragh_10.63d
padmàntaraü mànasaràjahaüsãm  Ragh_6.26d
padmà padmàtapatreõa  Ragh_4.5c
padmeva nàràyaõam anyathàsau  Ragh_7.13c
panthànaş siddhihetavaş  Ragh_10.27b
papàta bhåmau saha sainikà÷rubhiş  Ragh_3.61b
papàta vidyàdharahastamuktà  Ragh_2.60d
papàv anàsvàditapårvam à÷ugaş  Ragh_3.54c
papau nimeùàlasapakùmapaïktir  Ragh_2.19c
papau vasiùñhena kçtàbhyanuj¤aş  Ragh_2.69c
papraccha ku÷alaü ràjye  Ragh_1.58c
papraccha bhadraü vijitàribhadraş  Ragh_14.31d
payaş pårvaiş svaniş÷vàsaiş  Ragh_1.67c
payoghañair à÷ramabàlavçkùàn  Ragh_14.78a
payodavàtàd iva darpaõasya  Ragh_14.37d
payodharãbhåtacatuşsamudràü  Ragh_2.3c
payodharaiş puõyajanàïganànàü  Ragh_13.60a
payodharotsarpiùu ÷ãryamàõàş  Ragh_16.62c
payodhir indådayamårchito yathà  Ragh_3.16*d
payomucàü païktiùu vidyuteva  Ragh_6.5d
parakarmàpahaş so 'bhåd  Ragh_17.61a
paratreha ca ÷armaõe  Ragh_1.69d
paraparàkùisàdç÷yam  Ragh_1.40a
parabhçtàbhir itãva nivedite  Ragh_9.47c
parabhçtà madanakùatacetasàü  Ragh_9.27*a
parabhçtàvirutai÷ ca vilàsinaş  Ragh_9.43c
paramaü jyotir avekùituü raghuş  Ragh_8.19*d
param çtor viralaü kçtavàn himam  Ragh_9.28*d
param ekaş paraütapaş  Ragh_15.7b
pararandhrasya tatàna maõóale  Ragh_8.19*b
paralokajuùàü svakarmabhir  Ragh_8.85c
paralokam asaünivçttaye  Ragh_8.49c
paralokopanataü jalà¤jalim  Ragh_8.68d
parasparasyopari paryacãyata  Ragh_3.24d
parasparaü ÷aravràtàş  Ragh_12.94c
parasparàbhyukùaõatatparàõàü  Ragh_16.57a
parasparàviruddhàs te  Ragh_10.81a
paraspareõa kùatayoş prahartror  Ragh_7.53a
paraspareõa vij¤àtas  Ragh_4.79a
paraspareõa spçhaõãya÷obhaü  Ragh_7.14a
parasmàd àsta so 'nyathà  Ragh_17.59d
paraütapo nàma yathàrthanàmà  Ragh_6.21d
paràgas tadantaram  Ragh_4.30b
paràtmanoş paricchidya  Ragh_17.59a
paràbhisaüdhànaparaü  Ragh_17.76a
paràmç÷an harùajaóena pàõinà  Ragh_3.68c
paràrthaikaphalà guõàş  Ragh_1.29d
paràrdhyavarõàstaraõopapannam  Ragh_6.4a
parà vavçtire kriyàş  Ragh_12.56d
parikalpitasàünidhyà  Ragh_4.6a
parikãrõà parivàdinã muneş  Ragh_8.35b
parikhãkçtasàgaràm  Ragh_1.30b
parigçhyocitam aïkam aïganàm  Ragh_8.41d
parigrahàn mànavadeva devyàş  Ragh_14.32d
paricayaü calakùyanipàtane  Ragh_9.49a
paricaryàparo bhava  Ragh_1.90b
paricetum upàü÷u dhàraõàü  Ragh_8.18c
paricetuü yatate sma dhàraõàş  Ragh_8.18*d
parijanavanitànàü pàdayor vyàpçtànàü  Ragh_5.75*c
pariõàme hi dilãpavaü÷ajàş  Ragh_8.11b
pariõetuş prasåtaye  Ragh_1.25b
paridher mukta ivoùõadãdhitiş  Ragh_8.30d
paribhåtàrõavadhvaniş  Ragh_10.36d
parimeyapuraşsarau  Ragh_1.37b
parivàham ivàvalokayan  Ragh_8.74c
parivçttaprathamacchaviü kùaõàt  Ragh_8.41*b
parivçtyàvalokitam  Ragh_4.72d
parivçddharàgam anubhandhasevayà  Ragh_9.69c
parivettàram àtmànaü  Ragh_12.16c
pari÷ånyaü ÷ayanãyam adya me  Ragh_8.66d
parãteva mahauùadhiş  Ragh_12.61d
pareõa bhagne 'pi bale mahaujà  Ragh_7.55a
pareùu sveùu ca kùiptair  Ragh_17.51a
parjighàya puraüdaraş  Ragh_12.84d
parõa÷àlàm atha kùipraü  Ragh_12.40a
paryantasaücàritacàmarasya  Ragh_18.43a
parya÷rur asvajata mårdhani copajaghrau  Ragh_13.70c
paryastamuktàpañalaü payodheş  Ragh_13.17b
paryastam etat sahasormivegàt  Ragh_13.13b
paryasta÷àlaş prabhuõà vinà me  Ragh_16.11b
paryastà ya÷asàm iva  Ragh_4.19d
paryàpto 'si prajàş pàtum  Ragh_10.26c
paryàyapãtasya surair himàü÷oş  Ragh_5.16c
paryàyavçttyeva mahàrõavormã  Ragh_7.54d
paryàyodyatakàrmukau  Ragh_4.16d
paryàvilànãva navodakàni  Ragh_7.40d
paryutsukatvam abalà ni÷i khaõóiteva  Ragh_5.67b
paryutsukà praõayinã ni÷i khaõóiteva  Ragh_5.67*d
paryupàsyanta lakùmyà ca  Ragh_10.63c
parvàtyaye soma ivoùõara÷meş  Ragh_7.33d
palitacchadmanà jarà  Ragh_12.2d
pallavasnigdhapàñalà  Ragh_1.83b
pavanaprerito giriş  Ragh_15.23d
pavanasyànukålatvàt  Ragh_1.42a
pavanàgnisamàgamo hy ayaü  Ragh_8.4c
pavanàdhåtalatàsu vibhramaş  Ragh_8.59d
pavamànaş pçthivãruhàn iva  Ragh_8.9b
pa÷càt pàrthivakanyànàü  Ragh_17.3c
pa÷càtpuromàrutayoş pravçddhau  Ragh_7.54c
pa÷càtprayàyibhiş païkà÷  Ragh_4.31*c
pa÷càd adhyayanàrthasya  Ragh_15.9c
pa÷càdavasthàpitavàhinãkaş  Ragh_13.66b
pa÷càd bhad[r]am upeyuùe  Ragh_10.19*d
pa÷càd vanàya gaccheti  Ragh_12.7c
pa÷càn nivavçte ràmaş  Ragh_15.56c
pa÷cimakratuvidà purodhasà  Ragh_19.54b
pa÷cimàd yàminãyàmàt  Ragh_17.1c
pa÷cime vayasi naimiùaü va÷ã  Ragh_19.1d
pa÷yati sma janatà dinàtyaye  Ragh_11.82c
pa÷yan pulindair upapàditàni  Ragh_16.32d
pa÷yànavadyàïgi vibhàti gaïgà  Ragh_13.57c
pa÷yàvarodhaiş ÷ata÷o madãyair  Ragh_16.58a
pasraveõàbhivarùantã  Ragh_1.84c
pàka÷àsanatejasaş  Ragh_10.1b
pàõibhiş pàr÷vavaribhiş  Ragh_17.27b
pàõim agràhayat pità  Ragh_17.3d
pàõiü vareõyena kuru prave÷e  Ragh_6.24b
pàõóupattram iva tàóakàsutam  Ragh_11.28d
pàõóyo 'yam aüsàrpitalambahàraş  Ragh_6.60a
pàtayaty api mçdus tañadrumam  Ragh_11.76d
pàtàlam adhitiùñhati  Ragh_1.80d
pàtuü saho vi÷vasakhaş samagràü  Ragh_18.24c
pàtrasàc ca vasudhàü sasàgaràm  Ragh_11.86b
pàtrãkçtàtmà gurusevanena  Ragh_18.30a
pàtre nidhàyàrgahyam anarghya÷ãlaş  Ragh_5.2b
pàdacàram api na vyabhàvayat  Ragh_11.10d
pàdapàviddhaparighaş  Ragh_12.73a
pàdapãñhaü mahãkùitàm  Ragh_17.28d
pàdapair iva dantinaş  Ragh_4.33d
pàdaü sumeror iva vajrabhinnam  Ragh_5.30d
pàdàrpaõànugrahapåtapçùñam  Ragh_2.35b
pàdena haimaü vililekha pãñham  Ragh_6.15d
pànabhåmiracanàş priyàsakhaş  Ragh_19.11b
pàrasãkàüs tato jetuü  Ragh_4.60a
pàrijàtam ivàparam  Ragh_10.11d
pàrijàtàü÷abhàginã  Ragh_17.7d
pàriplavàş srotasi nimnagàyàş  Ragh_16.61c
pàrthiva÷rãr dvitãyeva  Ragh_4.14c
pàrthivaş prathitavaü÷ajanmanaş  Ragh_11.38b
pàrthivãm udavahad raghådvaho  Ragh_11.54a
pàrvaõau ÷a÷idivàkaràv iva  Ragh_11.82d
pàrvatãparame÷varau  Ragh_1.1d
pàrvatãyair gaõair abhåt  Ragh_4.77b
pàr÷vadrumàş pà÷abhçtà samasya  Ragh_2.9b
pàr÷vavartiùu guruùv alajjavat  Ragh_19.14d
pàvakasya mahimà sa gaõyate  Ragh_11.75c
pàvanaü bhuvi paprathe  Ragh_15.101d
pàvanaü ÷ruam çùer upeyivàn  Ragh_11.22b
pàvanãm anavalokya saütatim  Ragh_19.53b
pàvanair avalokanaiş  Ragh_10.14b
pà÷càtyair a÷vasàdhanaiş  Ragh_4.62b
pióitopavanapàdapàü balaiş  Ragh_11.52b
piõóavicchedadar÷inaş  Ragh_1.66b
piõóeùv anàsthà khalu bhautikeùu  Ragh_2.57d
pitaraü praõipatya pàdayor  Ragh_8.12c
pitarãvàgnisaüskàràt  Ragh_12.56c
pità nidhànakumbhasya yuveva durgataş  Ragh_3.16*b
pità pitşõàm ançõas tam ante  Ragh_18.26a
pità samàràdhanatatpareõa  Ragh_18.11a
pitur anantaram uttarkosalàn  Ragh_9.1a
pitur àj¤eti na bhogatçùõayà  Ragh_8.2d
pitur uddi÷ya sadarthavedibhiş  Ragh_8.27b
pitur niyogàt prahçtam dviùadvat  Ragh_14.46b
pitur niyogàd vanavàsam evaü  Ragh_14.21a
pitur mudaü tena tatàna so 'rbhakaş  Ragh_3.25d
pitus tvadãyasya mayàpahàritaş  Ragh_3.50b
pituş prayatnàt sa samagrasaüpadaş  Ragh_3.22a
pitçbhaktyà pitçkàryakalpavit  Ragh_8.26b
pitçvyàpatti÷okayoş  Ragh_12.56b
piteva dhuri putriõàm  Ragh_1.91d
pitrà dattàü rudan ràmaş  Ragh_12.7a
pitrà nisçùñàü madapekùayà yaş  Ragh_13.67a
pitrà saüvardhito nityaü  Ragh_17.62a
pitroş sakà÷am avasannadç÷or ninàya  Ragh_9.77b
pitryam asmi gamitaş ÷amaü yadà  Ragh_11.90b
pitryam aü÷am upavãtalakùaõaü  Ragh_11.64a
pitryaü prapede padam a÷viråpaş  Ragh_18.23b
pipriye sa na tathà yathà yuvà  Ragh_19.30c
pibaty asau pàyayate ca sindhåş  Ragh_13.9d
piban ya÷o mårtam ivàbhàse  Ragh_7.63d
pãóayiùyati na màü khilãkçtà  Ragh_11.87c
pãóàm aparyàptavatãva soóhum  Ragh_16.28b
pãóito duhiñ÷ulkasaüsthayà  Ragh_11.38d
pãtàmbhasi piber apaş  Ragh_1.89d
pãtenevàtmaniùkrayam  Ragh_15.55d
pãvarastanaviluptacandanam  Ragh_19.32d
puõóarãkàtapatras taü  Ragh_4.17a
puõyagandhena kànanam  Ragh_12.27b
puõyatãrthagamanàya rakùa me  Ragh_11.87b
puõyam àvarjitaü payaş  Ragh_15.80b
puõyaş kç÷ànor udiyàya dhåmaş  Ragh_7.26b
putrajanmaprave÷yànàü  Ragh_10.77a
putras tathaivàdhikavatsalena  Ragh_18.11c
putraü àpakumudvatã  Ragh_17.1b
putraü àpakumudvatã  Ragh_17.2b
putraü tamo'pahaü lebhe  Ragh_10.67c
putraü paràsum anugantumanàş sadàraş  Ragh_9.81d
putraü prajàkùemavidhànadakùam  Ragh_18.9b
putraü yam àhur niùadhàkhyam eva  Ragh_18.1d
putraü labhasvàtmaguõànuråpaü  Ragh_5.34c
putraş samàropayad agrasaükhyàm  Ragh_18.30d
putràbhyàü saha sãtayà  Ragh_15.76b
putrãkçto 'sau vçùabhadhvajena  Ragh_2.36b
putrãyàm iùñim çtvijaş  Ragh_10.4d
putreõa putrã sa yathaiva tena  Ragh_18.11b
putr' opabhuïkùv' eti tam àdide÷a  Ragh_2.65d
putro raghus tasya padaü pra÷àsti  Ragh_6.76a
punar aklãbatayà prakà÷yatàü  Ragh_8.84d
punar didãpe madadurdina÷rãş  Ragh_5.47d
punar babhàùe turagasya rakùità  Ragh_3.51b
punar yuddhàya mandiràt  Ragh_12.83b
punaş punar duùkçtinaü nininda  Ragh_14.57d
punaş punaş såtaniùiddhacàpalaü  Ragh_3.42c
punaş sahasràciùi saünidhatte  Ragh_13.44d
punaş saüdhàna÷aïkinàm  Ragh_12.101d
punànaü pavanoddhåtair  Ragh_1.53c
punàsi puruùaü yataş  Ragh_10.30b
pupoùa gàmbhãryamanoharaü vapuş  Ragh_3.32d
pupoùa vçddhiü harida÷vadãdhiter  Ragh_3.22c
pura evopavane samàpitàş  Ragh_8.73d
puraprave÷àbhimukho babhåva  Ragh_7.1d
puram avi÷ad ayodhyàü maithilãdar÷anãnàü  Ragh_11.93c
puraskçtà vartmani pàrthivena  Ragh_2.20a
puraüdara÷rãş puram utpatàkaü  Ragh_2.74a
puraüdhribhi÷ ca krama÷aş prayuktam  Ragh_7.28b
puraü navãcakrur apàü visargàn  Ragh_16.38c
puraü niùàdàdhipater idaü tad  Ragh_13.59a
puraş paràrdhyapratimàgçhàyàş  Ragh_16.39b
purà janasthànavimarda÷aïkã  Ragh_6.62c
puràõapattràpagamàd anantaraü  Ragh_3.7c
puràõam ajaraü viduş  Ragh_10.20d
puràõa÷obhàm adhiropitàyàm  Ragh_16.42b
puràõasãdhuü navapàñalaü ca  Ragh_16.52b
puràõasya kaves tasya  Ragh_10.37a
purà dåùayati shtalãm  Ragh_12.30b
puràrgalàdãrghabhujo bubhoja  Ragh_18.4d
puràvido yaü dhyuùità÷vam àhuş  Ragh_18.23d
purà ÷akram upasthàya  Ragh_1.75a
purà sa darbhàïkuramàtravçtti÷  Ragh_13.39a
purãü pauruùabhåùaõaş  Ragh_15.28b
puruùam àtmabhuvaü ca pativratà  Ragh_9.19b
puruùasya padeùv ajanmanaş  Ragh_8.78a
puruùaü yogasamàdhinà raghuş  Ragh_8.24d
puruùaş prababhåvàgner  Ragh_10.51c
puruùàyuùajãvinyo  Ragh_1.63a
puruhåtadhvajasyeva  Ragh_4.3a
puruhåtaprabhçtayaş  Ragh_10.50a
purogaiş kaluùàs tasya  Ragh_4.31*a
puro nive÷e pathi ca vrajantã  Ragh_16.29b
puropakaõñhopavanàni reme  Ragh_14.30d
puropakaõñhopavanà÷rayàõàü  Ragh_6.9a
purohitapurogàs taü  Ragh_17.13a
pulindayoùàmbuvihàrakà¤cãş  Ragh_5.46*b
puùñiü janàş puùya iva dvitãye  Ragh_18.32d
puùpakàlokasaükùobhaü  Ragh_10.47c
puùpacàpam iva pe÷alaü smaraş  Ragh_11.45d
puùpareõåtkirair vàtair  Ragh_1.38c
puùpavçùñiü na sehire  Ragh_12.94d
puùpaü divaş puùpakam anvamaüsta  Ragh_14.20d
puùpaü phalaü càrtavam àharantyo  Ragh_14.77a
puùpàõy upàttàni vilàsinãbhiş  Ragh_16.19b
puùpitàş kamalinãr iva dvipaş  Ragh_19.11d
puùpitàş surabhãr abhãş  Ragh_15.8d
puùpair vàyum iva drumàş  Ragh_10.50d
puùpoccalita ùañpadam  Ragh_12.27d
puùpyaty udàraü parabhàgalekhà  Ragh_13.57Dd
puùyaty anekaü sarayåpravàhaş  Ragh_16.58d
puünàgebhyaş ÷ilãmukhàş  Ragh_4.57d
puüvat pragalbhà pratihàrarakùã  Ragh_6.20b
puüsas tenàpi durvaham  Ragh_10.52d
puüsàü pumàn àdya ivàvatãrõaş  Ragh_18.15b
påjyapåjàvyatikramaş  Ragh_1.79d
påtàtmanàm atra kilàbhiùekàt  Ragh_13.58b
pår apy abhivyaktamukhaprasàdà  Ragh_16.23c
pår àbabhàse vipaõisthapaõyà  Ragh_16.41c
påryamàõam adç÷yàgni  Ragh_1.49c
pårva evàbhavat pakùas  Ragh_4.10c
pårvajanmadhanuùà samàgataş  Ragh_11.80a
pårvam utsavam apohad utsavaş  Ragh_19.5d
pårvaràjaviyogauùmyaü  Ragh_17.33c
pårvavçttakathitaiş puràvidaş  Ragh_11.10a
pårvasàgaragàminãm  Ragh_4.32b
pårvas tayor àtmasame ciroóhàm  Ragh_18.12a
pårvaü tadutpãóitavàrirà÷iş  Ragh_5.46c
pårvaü pradåmito ràj¤àü  Ragh_4.2c
pårvaü prahartà na jaghàna bhåyaş  Ragh_7.47a
pårvàkàràdhikatararucà saügataş kàntayàsau  Ragh_8.95c
pårvànubhåtaü smaratà ca yatra  Ragh_13.28a
pårvànu÷iùñàü nijagàda bhojyàm  Ragh_6.59d
pårvàn mahàbhàga tayà 'ti÷eùe  Ragh_5.14b
pårvàpekùã tadanu vidadhe ko÷avçddhiü kuberas  Ragh_17.81c
pårvàrdhabhàgaiş phalibhiş ÷aravyam  Ragh_7.45d
pårveùàü pàvanakùamàm  Ragh_1.34*b
pårvaiş kilàyaü parivardhito naş  Ragh_13.3d
pårvotthito dhåma ivàbabhàse  Ragh_7.43d
pçñatãùu vilolam ãkùitaü  Ragh_8.59c
pçthivãm eva kevalàm  Ragh_15.1d
pçthivãü ÷àsatas tasya  Ragh_10.1a
pçthivyàm a÷rubindavaş  Ragh_10.76d
pçùatair mandaroddhåtaiş  Ragh_4.27c
pçùñanàmànvayo ràj¤à  Ragh_15.50a
pçùñànvayaş sa jalakumbhaniùaõõadehaş  Ragh_9.76b
pçùñhataş suratavàraràtriùu  Ragh_19.18b
petur vànarakoñiùu  Ragh_12.82b
pautraş ku÷asyàpi ku÷e÷ayàkùaş  Ragh_18.4a
pauradçùñikçtamàrgatoraõau  Ragh_11.5d
paurastyàn evam àkràmaüs  Ragh_4.34a
paureùu so 'haü vahulãbhavantam  Ragh_14.38a
paurobhàgyam ivàcaran  Ragh_12.22d
paulastya eùa samareùu puraş prahartà  Ragh_13.72b
paulastyacakite÷varàş  Ragh_10.74b
paulastyajayaghoùaõaş  Ragh_12.72d
paulastyatulitasyàdrer  Ragh_4.80c
paulastyopaplutà harim  Ragh_10.5b
pauùyaü tithau puùyam asåta patnã  Ragh_18.32b
prakàmavistàraphalaü hariõyaş  Ragh_2.11d
prakà÷a÷ càprakà÷as ca  Ragh_1.68c
prakçtimaõóalam àtmakulocitam  Ragh_9.2b
prakçtiùv anuvàsaram  Ragh_17.44b
prakçtiùv àtmajam àtmavat tayà  Ragh_8.10b
prakçtiùv àtmajam àbhigamikaiş  Ragh_8.9*b
prakçtisthaü samaloùñakà¤canaş  Ragh_8.21d
prakçtau sthàpayituü kçtasthitiş  Ragh_8.76d
prakùàlanàd vàrivihàrakàle  Ragh_6.48b
pracakrame cakradharaprabhàvaş  Ragh_16.55d
pracakrame ca prativaktum uttaram  Ragh_3.47d
pracakrame pallavaràgatàmrà  Ragh_2.15c
pracakrame vaktum anukramaj¤à  Ragh_6.70c
pracãyamànàvayavà raràja sà  Ragh_3.7b
pracchadàntagalità÷rubindubhiş  Ragh_19.22c
prajànàm eva bhåty arthaü  Ragh_1.18a
prajànàü tam aghàvaham  Ragh_15.51b
prajànàü vinayàdhànàd  Ragh_1.24a
prajàni÷ekaü mayi vartamànaü  Ragh_14.60c
prajàyai gçhamendhinàm  Ragh_1.7d
prajàrthasàdhane tau hi  Ragh_4.16c
prajàlopanimãlitaş  Ragh_1.68b
prajàvatã dohada÷aüsinã te  Ragh_14.45a
prajà÷ ciraü suprajasi praje÷e  Ragh_18.29c
prajàs tadguruõà nadyo  Ragh_17.41a
prajàş prajànàtha piteva pàsi  Ragh_2.48d
prajàş prajàrthavratakar÷itàïgam  Ragh_2.73b
prajàş svatantrayàü cakre  Ragh_17.74c
prajighàya kçtàntasya  Ragh_15.21c
prajighàya samàdhibedinãü  Ragh_8.79c
prajeti tvàü ÷a÷àpa sà  Ragh_1.77d
praje÷varaş ÷àsanahàriõà hareş  Ragh_3.68b
prajeùvaraü prãtamanà maharùiş  Ragh_5.32b
praj¤ayà sadç÷àgamaş  Ragh_1.15b
praõamya cànarca vi÷àlam asyàş  Ragh_2.21c
praõayinãva nakhakùatamaõóanaü  Ragh_9.27c
praõava÷ chandasàm iva  Ragh_1.11d
praõà÷anàya prabalasya vidviùaş  Ragh_3.60b
praõidhànàd gurur à÷ramasthitaş  Ragh_8.75b
praõipatya suràs tasmai  Ragh_10.15a
praõipàtapratãkàraş  Ragh_4.64c
pratasthe digjigãùayà  Ragh_4.26d
pratasthe sthalavartmanà  Ragh_4.60b
pratàpasaü÷oùita÷atrupaïke  Ragh_6.36b
pratàpaü na viùehire  Ragh_4.49d
pratàpaş pràpa duşsahaş  Ragh_17.37d
pratàpàt tapano yathà  Ragh_4.12b
pratàpo 'gre tataş ÷abdaş  Ragh_4.30a
pratikàravidhànam àyuùaş  Ragh_8.40c
pratikålàcaritaü kùamasva me  Ragh_8.81b
pratikçtiracanàbhayo dåtisaüdar÷itàbhyaş  Ragh_18.53a
pratigçhya vaco visasarja munim  Ragh_8.91b
pratijagràha kàliïgas  Ragh_4.40a
pratij¤àü pårvajanmanaş  Ragh_15.95d
pratinidhiş kanakàbharaõasya yat  Ragh_9.40b
pratipaccandranibho 'yam àtmajaş  Ragh_8.65b
pratipatsye tadàj¤ayà  Ragh_15.73d
pratipadyàdhikaü babhau  Ragh_4.1b
pratipannàtmamårtiùu  Ragh_15.102b
pratipede jaya÷riyam  Ragh_4.41d
pratipede vyapavarjitàü ÷riyam  Ragh_8.13d
pratipede sakalàn guõàn api  Ragh_8.5d
pratiprayàteùu tapodhaneùu  Ragh_14.19a
pratiprahàràkùamam a÷vasàdã  Ragh_7.47b
pratipriyaü ced bhavato na kuryàü  Ragh_5.56c
pratibadhnàti hi ÷reyaş  Ragh_1.79c
pratibodhena viùàdam àùu me  Ragh_8.54b
pratibhinnà himàü÷unà  Ragh_1.82*d
pratiyàtam ivàntikam asya guroş  Ragh_8.91d
pratiyojayitavyavallakã  Ragh_8.41a
pratiyodhe rajasy abhåt  Ragh_4.62d
prati÷u÷ràva kàkutsthas  Ragh_15.4a
prati÷u÷ràva ràghavaş  Ragh_12.69b
pratiùiddhaprasareùu jàgratau  Ragh_8.23b
pratiùiddhàpi kaikeyyà  Ragh_12.26c
pratisaühçtacakùuùaş  Ragh_15.78b
pratisthaş sa raghådvahaş  Ragh_15.46b
pratisvanenàsya guhàgatena  Ragh_2.51b
pratihartà tvam àpadàm  Ragh_1.60d
pratãpa ity àgamavçddhasevã  Ragh_6.41b
pratãpagàm uttarato 'sya gaïgàm  Ragh_16.33b
pratyakùo 'py aparicchedyo  Ragh_10.29a
pratyagrahãt pàrthivavàhinãü tàü  Ragh_7.36c
pratyagrahãt pràgraharo raghåõàm  Ragh_16.23b
pratyagrahãt saügaram agrajanmà  Ragh_5.26b
pratyagrahãt saüvaraõasrajeva  Ragh_6.80d
pratyagrahãt seti nanandatus tau  Ragh_2.22b
pratyagrahãd agraja÷àsanaü tad  Ragh_14.46c
pratyapadyata ciràya yat puna÷  Ragh_11.34a
pratyapadyata tatheti ràghavaş  Ragh_11.88a
pratyapadyata naràdhipa÷riyam  Ragh_19.55d
pratyapadyata samartham uttaram  Ragh_11.79d
pratyabravãc cainam iùuprayoge  Ragh_2.42a
pratyabhij¤ànaratnaü ca  Ragh_12.64a
pratyayaprakçtiyogsaünibhaş  Ragh_11.56d
pratyarpayiùyataş kàle  Ragh_15.41c
pratyarpayiùyaty anaghàü sa sàdhuş  Ragh_13.65b
pratyarpitasvàïgam ive÷vareõa  Ragh_6.2b
pratyarpitàş ÷atruvilàsinãnàm  Ragh_6.28c
pratyarpya påjàm aupdàchalena  Ragh_7.30d
pratyavekùyà niratyayàş  Ragh_17.53b
pratyàgatàsuş samatapyatàntaş  Ragh_14.56b
pratyàgatau tatra cirapravàsàd  Ragh_14.1*a
pratyàdide÷àvinayaü vinetà  Ragh_6.39d
pratyàdide÷ainam abhàùamàõà  Ragh_6.25d
pratyàdi÷yanta iva me  Ragh_1.61c
pratyàdiùña ivàbhavan  Ragh_10.69d
pratyàyayatu maithilã  Ragh_15.73b
pratyàyayàv à÷ramam a÷rameõa  Ragh_2.67d
pratyà÷vasantaü ripum àcakàïkùa  Ragh_7.47d
pratyàhatàstro giri÷aprabhàvàd  Ragh_2.41c
pratyàha vainaü ÷aramokùavandhyo  Ragh_2.42*a
pratyujjagàma krathakai÷ikendra÷  Ragh_5.61c
pratyujjagàmàtithim àtitheyaş  Ragh_5.2d
pratyujjagàmopavanàntavàyuş  Ragh_16.36d
pratyudgatam ivànuùõais  Ragh_12.62c
pratyudgatà pàrthivadharmpatnyà  Ragh_2.20b
pratyudgato màü bharataş sasainyaş  Ragh_13.64d
pratyudgamanavçttibhiş  Ragh_1.49*d
pratyuddhçtàü dhçtimatãü bharato vavande  Ragh_13.77d
pratyudyàtais tapasvibhiş  Ragh_1.49d
pratyudvrajantãva kham utpatantyo  Ragh_13.33c
pratyuvàca tam çùir na tattvatas  Ragh_11.85a
pratyuvàca tam çùir ni÷amyatàü  Ragh_11.41a
pratyåpuş padmaràgeõa  Ragh_17.23c
pratyekanikùiptapadaş sa÷abdaü  Ragh_16.47c
pratyekam àttasvatayà babhåvuş  Ragh_7.34b
pratyekaü ca satàü manaş  Ragh_12.9d
pratyekaü hlàdayàü cakre  Ragh_12.3c
prathamaparigatàrthas taü raghuş saünivçttaü  Ragh_7.71a
prathamaparigçhãte ÷rãbhuvau ràjakanyàş  Ragh_18.53d
prathamam anyabhçtàbhir udãritàş  Ragh_9.34a
prathamà bahuratnasår abhåd  Ragh_8.28c
pradakùiõakriyàtãtas  Ragh_1.75*c
pradakùiõakriyàrhàyàü  Ragh_1.76c
pradakùiõaprakramaõàt kçùànor  Ragh_7.24a
pradakùiõàrcir vyàjena  Ragh_4.25c
pradakùiõàrcir havir agnir àdade  Ragh_3.14b
pradakùiõãkçtya payasvinãü tàü  Ragh_2.21a
pradakùiõãkçtya hutaü hutà÷am  Ragh_2.71a
pradiùñakàlà parame÷vareõa  Ragh_2.39b
pradãpàrcir ivoùasi  Ragh_12.1d
pradhmàta÷aïkhe parito digantàüs  Ragh_6.9c
prapede paramàõutàm  Ragh_15.22d
