Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
niÓeva ÓaÓalak«maïÃ  Pnc_6.23b
niÓvÃsa÷ kampam Ãdadhe  Pnc_6.38b
ni«iktam anta÷ p­«atÃpi yasya  Pnc_1.14b
ni«iktÃk«aram Ãdade  Pnc_6.87d
ni«icyamÃne 'maracÃpaÓobhini  Pnc_4.47d
ni«evitum bhÆpatim abhyupÃgatÃ  Pnc_7.29c
ni«evyamÃïa÷ sphuÂalak«yadehayÃ  Pnc_4.45c
ni«kampaketur mahatÃspadena  Pnc_14.28c
ni«ÂhyÆtabÃlÃtapapallaveva  Pnc_1.3d
ni«yandinÃ phaïivadhÆr atha sÃ hasantÅ  Pnc_4.63b
nisargak­«ïendravadhÆkapole  Pnc_1.12c
nisargagaureïa narendraraÓminÃ  Pnc_7.9c
nisargadurgÃm api bhÆmim etÃæ  Pnc_9.49c
nisargam­davo 'py ete  Pnc_6.77c
nisargaraktam etasyÃ÷  Pnc_16.30a
nisargalalitÃ tasya  Pnc_2.76a
nist­æÓadhÃrÃsad­Óena ye«Ãæ  Pnc_1.5c
nist­æÓalekhÃm iva manmathasya  Pnc_9.15d
nistriæÓavallÅvalayÃkulÃsu  Pnc_17.14b
nihate«u tvayÃ deva  Pnc_2.59a
nihita ivÃdhikam utkyÃ kaÂÃk«a÷  Pnc_3.62d
nihitatamÃlapallave  Pnc_3.73b
nihitanijapÃïipallavÃ÷  Pnc_15.8b
nihitaÓucivÃridhÃrayÃ  Pnc_15.17b
nihitaæ balidÅpake«u tat  Pnc_12.40a
nihitÃ na kiæ mahati ÓokasÃgare  Pnc_10.18c
nihitÃ÷ sÃsramÃlÅbhir  Pnc_16.42a
nihitena karodare  Pnc_16.27b
nihnutaikabhujadvandvo  Pnc_6.28c
ni÷ÓaÇkaæ madanas tvayi  Pnc_6.67d
ni÷ÓvÃsabhinnÃdharapallavÃni  Pnc_9.54b
ni÷ÓvÃsaiÓ cÃmÃrayitam  Pnc_11.79d
ni÷svanacchadmanÃ vane  Pnc_2.81b
ni÷svanatsamadÃlini  Pnc_2.67b
nÅ¬anya¤canniculanicayaÓyÃmalÃsu sthalÅ«u  Pnc_2.101d
nÅta÷ suv­ttair gurutÃæ  Pnc_11.75c
nÅtÃ p­«Âena caitena  Pnc_11.106c
nÅte 'pi karïÃtithitÃæ vihasya  Pnc_14.77b
nÅto 'si netrÃtithitÃæ tvam asyÃ÷  Pnc_9.47c
nÅyate tava yathocitaæ kuru  Pnc_8.10b
nÅyante ÓoïatÃæ yasya  Pnc_11.62c
nÅrandhragharmasalila-  Pnc_16.32c
nÅrandhraniryanm­ganÃbhigandhai÷  Pnc_1.51b
nÅrandhrabhÆtidhavalÃya gajendrak­tti-  Pnc_18.20a
nÅrandhramukte«u paÂu kvaïanta÷  Pnc_17.13b
nÅrandhravidyÃdharamauliratna-  Pnc_14.10c
nÅrandhrasindhujalasiktakapÃlamukta-  Pnc_18.18a
nÅramah­ta na hi ÓuddhimatÃæ  Pnc_15.22c
nÅralavaÓabalagaï¬atalÃsv  Pnc_15.31c
NÅlakaïÂhapriyÃ kÃmaæ  Pnc_11.54a
nÅlakaïÂhair itas tar«Ãt  Pnc_2.63c
nÅlachatrÃvataæsÃ bhujagapatisutÃpÃï¬ugaï¬asthalÃnta÷-  Pnc_18.68a
nÅlanalinadaladÃmad­ÓÃæ  Pnc_15.28c
nÅlÃtapatrabhramam Ãrabhante  Pnc_14.40d
nÅlÃtapatramitreïa  Pnc_2.86a
nÅlÃÓmaveÓmÃruïavaijayantya÷  Pnc_1.24b
nuhur vadantÅ karuïaæ ruroda sÃ  Pnc_13.51d
n­pa, ratnacÆ¬a iti nÃgaraka÷  Pnc_10.46b
n­pa kesarÅ kathaya kiæ vilambate  Pnc_10.26d
n­pa g­hÅtuæ nayam atra ko 'py alaæ  Pnc_7.68a
n­pa ghaÂate vipine 'pi hÃraya«Âe÷  Pnc_3.28b
n­pacandrÃÓ candramaïe÷ ÓilÃtalam  Pnc_13.13d
n­pa cintyam asty uditaÓaktisampada÷  Pnc_10.24b
n­patim abhi praïayÅ ramÃÇgado 'pi  Pnc_3.43b
n­patir atha tadonmukhaÓ carantaæ  Pnc_3.7a
n­patir anuyayau vane vihaÇgaæ  Pnc_3.43a
n­patir iye«Âa m­gaæ m­gendrakalpa÷  Pnc_2.100d
n­pater nÃmalak«ma sÃ  Pnc_6.12b
n­pater vak«asi pÃÂalÃ dadarÓa÷  Pnc_5.67d
n­pates tena mana÷ kilÃharat  Pnc_12.70d
n­pa vÃsarÃïi nirupaplavÃ÷ prajÃ÷  Pnc_10.23a
n­pas tamÃladrumakÃnanodare  Pnc_4.9b
n­pasya kasyÃpi paricchadÃÇganÃ  Pnc_4.56a
n­pasya citre madhureyam Ãk­tir  Pnc_7.26a
n­pasya dÅpikÃk­tyaæ  Pnc_16.63a
n­pasya padam Ãdadhe  Pnc_2.71b
n­pasyÃraïyasa¤cÃra÷  Pnc_6.91a
n­pa hÃra÷ phaïirÃjakanyakÃyÃ÷  Pnc_5.75b
n­pa÷ k«aïÃd eva vicitrabhÆ«aïam  Pnc_13.28c
n­pa÷ saparyÃæ punaruktasaævidÃæ  Pnc_7.32c
n­pÃtibhÃreïa nitambinÅnÃæ  Pnc_14.36c
n­peïa nÃgendrasutÃbhyadhÅyata  Pnc_7.44d
n­peïa sÃkÆtavilokito muni÷  Pnc_13.30d
n­peïa svayam uktÃpi  Pnc_16.8a
n­peïÃddhyÃsitÃ h­di  Pnc_6.46b
n­pe navapremasÃrdracetasi  Pnc_7.58b
n­pair muktÃphalair iva  Pnc_11.75d
n­popamÃnÃm upamÃnatÃæ gataæ  Pnc_7.7c
n­po babhÆvÃstamanÃ÷ sacitraæ  Pnc_14.77c
n­po 'yaæ nÆtanaæ vaya÷  Pnc_6.83b
n­lokapÃtÃlatalÃÓraye mitha÷  Pnc_13.17a
netranirvi«ayatÃm avÃpa sÃ  Pnc_8.16d
netrarodhini tayor na kevalaæ  Pnc_8.5a
netrasphaÂikaÓuktibhi÷  Pnc_16.70b
netrÃ¤janaÓyÃmalapak«marÃjaya÷  Pnc_7.30b
netrÃïi ÓatrupramadÃjanasya  Pnc_1.79d
netrendÅvaravÃgurÃ  Pnc_6.105d
nendu÷ siddhataÂinÅ na phaïÅndrahÃra÷  Pnc_18.23b
nepathyanÅlamaïiveÓmani ratnacÆ¬am  Pnc_18.30b
nemisvanotkaïÂhitanÅlakaïÂhÃm  Pnc_14.1b
neyaæ pravÃlaÓayyÃyÃæ  Pnc_16.29a
naite kavÅndrÃ÷ kati kÃvyabandhe  Pnc_1.9a
naivam atra niyataæ rasÃtale  Pnc_8.30c
naiva svadhÃmagamanÃbhimukho babhÆva  Pnc_13.66b
no kasya lokatrayasaæmatÃnÃæ  Pnc_9.3c
nok«Ã vi«aæ na dayitÃpi na yatra rÆpam  Pnc_18.23c
ntarapÃriplavasÃrasÃsu d­«Âa÷  Pnc_5.39d
nya¤cacchikhÃbharaïabhÃsurapadmarÃga-  Pnc_18.28a
nyabhÃd anÅkaæ kariïÃæ ca sÃndra-  Pnc_17.4a
ny amandam Ãrabdham­daÇgavÃdye  Pnc_1.54b
nyamÅlayan yadvijayaprayÃïe  Pnc_1.68c
nyaviÓata vindhyanagendrakandarasya  Pnc_3.3d
nya«edhi vanarÃjibhi÷  Pnc_2.32d
nyastÃni yÃni mayi sÆktisudhÃp­«anti  Pnc_gp.3a
nyasyad asamaÓarayantram iva  Pnc_15.51c
nrpatir aviÓal lÅlÃgÃraæ sa÷ sÃhasalÃ¤chana÷  Pnc_14.87b
nrpas trapÃnamramukho babhÆva  Pnc_13.63b
Pa¤cabÃïÃÇkitaæ vaya÷  Pnc_6.88d
pa¤cama÷ prathÃmÃ samit  Pnc_6.14d
pa¤caikena smara iva ÓarÃn pÃïinÃ hemapuÇkhÃn  Pnc_2.101a
paÂalasmerataÂÃ surasravantÅ  Pnc_5.16b
paÂÃ¤cale kÃ¤canakiÇkiïÅnÃm  Pnc_1.29b
paÂu ya÷ pramÃdÃvilÃsahÃsa-  Pnc_5.9c
paÂu vyapÃÂyanta mataÇgajÃnÃæ  Pnc_17.12c
paÂu sÃndhye mahasi prasarpati  Pnc_12.35d
patagam anu tam ÃttahÃraæ  Pnc_3.41c
pataÇgabimbÃnuk­tir vitene  Pnc_17.24d
pataty adha÷ kuÇkumapaÇkapÃÂale  Pnc_7.25a
patadbhaÂaæ nirdalitÃÓvavÃraæ  Pnc_17.25a
patÃkÃÇgÃ hiraïmayÅ  Pnc_6.113d
patitaæ kukÆladahane na kasya vÃ  Pnc_10.52c
patitÃsyatisaÇkaÂe  Pnc_6.83d
patitÃ÷ sparÓakutÆhalÃd iva  Pnc_12.60d
patito manmathapatriïÃæ pathi  Pnc_12.15b
patim utpathagÃminam  Pnc_16.101d
patir avane ravataæsitÃyatÃk«a÷  Pnc_3.49b
patiæ p­thivyÃ÷ prathitaprabhÃva÷  Pnc_11.120d
patiæ madhyamalokasya  Pnc_11.16c
pattikolÃhalena ca  Pnc_2.15b
patyÃ bhuva÷ sÃgaramekhalÃyÃ÷  Pnc_1.63b
patyÃ saha vanÃnte«u  Pnc_11.62a
patyur viÓÃm astagirer ivÃrka÷  Pnc_17.40d
patyu÷ prajÃnÃm asureÓvaro 'tha  Pnc_17.68a
patyu÷ prasÃdasmitarajjuk­«ÂÃ  Pnc_17.42a
patrÃntarair ÃÓramapÃdapÃnÃm  Pnc_14.3d
patrÃvalÅ taruïi te valitÃnaneti  Pnc_12.79b
patreïa sphuÂaghaÂitÃtapatralÅla÷  Pnc_6.119b
patreïÃmbujinÅbhuvÃ  Pnc_2.86b
pathÃnena rathak«uïïa-  Pnc_16.87c
pathi ced avati«Âhase praïÅte  Pnc_5.52a
pathi jÃtena pariÓrameïa sa  Pnc_12.6b
pathi locanayor e«a  Pnc_2.56c
pathi vicare 'dhinÃkakanyakÃnÃm  Pnc_3.70d
pathi siddhÃntasamÅk«ite caranti  Pnc_5.61d
pathi smarasya vi«ame  Pnc_6.74a
patho jayasyÃtha gajÃn asÅæÓ ca  Pnc_17.8b
padam aÇke vanitÃ ca vallakÅ ca  Pnc_5.17d
padam apade h­daye«u cakranÃmnÃm  Pnc_3.50d
padam astÃcalacÆlake ravi÷  Pnc_12.20d
padavÅæ nyÃyavidÃæ vilaÇghayanti  Pnc_5.52d
padaæ kva te kiæ ca kapir bhavÃn abhÆt  Pnc_13.30b
padaæ nidhatte kumude dinaklama÷  Pnc_13.16d
padaæ nidhatse g­hamedhinÃæ dhuri  Pnc_7.76b
padaæ pathi nidhatse 'tra  Pnc_16.111a
padaæ vanÃlokanakautukena  Pnc_14.30d
padÃhata÷ kÃntam alaktakÃÇgam  Pnc_14.62b
pade pade vatsa vilambamÃnÃ  Pnc_9.22d
pade pade sÃndrasudhojjvalÃni  Pnc_1.20a
padmaki¤jalkasaurabha÷  Pnc_2.12b
padmakesaraÓÃlinÃ  Pnc_6.54b
padmachadÃyatad­ÓÃ dad­Óe 'tha tasminn  Pnc_18.26c
padmarÃgaprabhÃv­ta÷  Pnc_2.10b
padmarÃgaracitÃlavÃlakÃ  Pnc_8.66a
panthÃ÷ puro 'surasyÃsya  Pnc_11.110a
panthÃ÷ Óivo 'yaæ purato 'tra gantÃ  Pnc_9.65a
pannagendraduhitu÷ kareïa ya÷  Pnc_8.34a
pannagendrasutayÃ tayÃ n­pa÷  Pnc_8.6d
papÃta paÓcÃd iva hemakuÂÂime  Pnc_13.24c
papÃta me locanagocare 'rïava÷  Pnc_13.35d
papÃta sÅmantamaïir m­gÅd­Óa÷  Pnc_13.46d
papÃtÃvantibhartari  Pnc_6.101d
papau ÓaÓiprabhÃpy enaæ  Pnc_6.33a
paya iva vist­tadhÃram ujjagÃra  Pnc_3.47d
payasi niyamasthitair iva  Pnc_15.9b
payÃæsÅva pade pade  Pnc_11.19d
payodakhaï¬e harivÃ¬ ivÃyudham  Pnc_13.27d
payodhamadhye ÓaÓina÷ kalÃm iva  Pnc_4.9d
payodharadvandvam ivÃjilak«myÃÓ  Pnc_17.64c
payodharasp­Óam ivÃsasÃda sa  Pnc_4.4d
payodharotsaÇganivÃsalÃlitaæ  Pnc_4.43a
payodhiveleva suvelam Ãpa sÃ  Pnc_4.44d
parato 'stagirer idaæ galaty  Pnc_12.33c
parato 'stu Óaras tvadarthitÃ sÃ  Pnc_5.77c
parabrahmopalabdhir vÃ  Pnc_11.44c
paramajyoti«a÷ ÓikhÃ÷  Pnc_11.32d
paramaï¬ale tad anu nÅtipÃragair  Pnc_10.8c
paramÃnandasampada÷  Pnc_11.44b
paramÃra iti k«ite÷  Pnc_16.107d
paramÃra iti prapÃt  Pnc_11.71a
ParamÃrakulodvaha÷  Pnc_16.20b
ParamÃramahÅbh­ti  Pnc_2.52b
ParamÃravaæÓasarasÅsaroruha  Pnc_10.11d
ParamÃrÃnvayodÃra-  Pnc_6.102c
pararandhrad­«ÂipaÂucÃracak«u«Ã  Pnc_10.21b
parava¤canapaï¬itÃ matis te  Pnc_5.70a
parasparak«odasamÃkulÃsu  Pnc_1.80c
parasparaspardhi vilÃsasampadÃæ  Pnc_4.58a
parasparÃghaÂÂitadantakoÂi-  Pnc_17.65a
parasparÃpÃtaju«Ãm asÅnÃæ  Pnc_17.51a
parasparÃpÃtik­pÃïaniryat-  Pnc_17.9a
paraæ vÃnÅrapallavÃ÷  Pnc_16.42d
parÃkramÃgner iva dhÆmalekhÃ  Pnc_17.59d
parÃgam iva paÇkajam  Pnc_2.75d
parÃÇmukhÅnÃm api ratnabhittau  Pnc_1.39a
parÃÇmukhenÃpi sadÃ parasve  Pnc_1.63a
parÃmamarÓÃÇgam anaÇgamohita÷  Pnc_13.3d
parÃrdhyacÆ¬ÃmaïinÃ ca maulinÃ  Pnc_4.30d
parikhacitam ayatnapÆritÃÓair  Pnc_3.14a
parikhÃyÃ÷ patir bhuva÷  Pnc_11.92d
parikhÃrïavam ullaÇghya  Pnc_16.67c
parigalitamauktikabhramÃt  Pnc_15.27b
paricayata÷ k­takÃntisaævibhÃgam  Pnc_3.11d
paricita e«a sadÃ ÓaÓiprabhÃyÃ÷''  Pnc_3.67d
paricumbati vÃruïÅæ diÓaæ  Pnc_12.26a
paricumbati sma na paraæ vadhÆm api  Pnc_15.64d
paricyutai÷ ku¤jarakarïaÓaÇkhai÷  Pnc_17.26b
pariïatabisakÃï¬abhaÇgapÅtaæ  Pnc_3.47c
pariïÃmena tadantare 'tra haæsa÷  Pnc_5.34b
pariïÃhavat kucani«iddha-  Pnc_15.13a
pariïÅtÃm adhÅratÃm  Pnc_6.117d
pariïetuæ ÓaÓiprabhÃm  Pnc_16.87b
parita÷ ÓramavÃribindavo ye  Pnc_5.33c
parita÷ sukhÃtaparikhÃæ puna÷ purÅæ  Pnc_10.32c
parita÷ svadurghaÂane yati«yate  Pnc_10.31d
parita÷ svedalavair ivÃÇkitam  Pnc_12.47d
paritÃpavatyaviralocchalatprabhÃ-  Pnc_10.62a
parito nicitÃ÷ sadaiva yasmin  Pnc_5.10c
parito vyadhitÃraïyaæ  Pnc_2.19c
paripanthinÃm iha vidheyavastuni  Pnc_10.9b
paripi¤jaritÃsitÃmbarair  Pnc_12.36a
parimalamuco m­gÅd­Óa÷  Pnc_15.36b
parimalarasaj¤atÃm ali÷  Pnc_15.58b
parim­jya mukhaæ vilÃsinÃ  Pnc_12.71a
parim­«ÂÃrdrakapolapatrayÃ  Pnc_12.73b
parimlÃneva lak«yase  Pnc_16.18b
parivarto 'yam akÃri hÃrayor ya÷  Pnc_5.74b
parivÃrapramadÃnideÓitaæ sÃ  Pnc_5.29b
parividdharekham adhitÅra-  Pnc_15.4a
parive«avibhramaniveÓi-  Pnc_15.18a
pariÓlatheyaæ kabarÅ niyamyate  Pnc_4.12b
pariÓlathe saæyamanÃrtham etayÃ  Pnc_7.12c
parisaram abhin­ttanÅlakaïÂhaæ  Pnc_3.3c
pariskhalatsaptasamudramudrÃ  Pnc_1.80b
parisphuratkuï¬alagh­«ÂapuÇkhÃs  Pnc_17.56a
parisphuratpallavapÃÂalÃdharo  Pnc_4.5c
parisphuratphenavilÃsahÃsÃ  Pnc_14.79b
parisphurantyÃ sphaÂikÃk«amÃlayÃ  Pnc_13.10d
paryaÇkavat kanakavedisanÃthamadhyam  Pnc_11.121b
paryaÇke dantavÃsasi  Pnc_2.71d
paryantahemasikate p­tanÃniveÓa÷  Pnc_14.86d
paryastastabakÃbhavat  Pnc_2.76d
paryÃïaparyutsukamÃnaso muni÷  Pnc_13.17c
paryÃpta iva candrama÷  Pnc_2.74d
paryÃptak­«ïÃgurudhÆmagandhe  Pnc_14.46b
paryÃyajÃtobhayasainyabhaÇga-  Pnc_17.52a
paryutsuka÷ svanagarÅæ sa n­pa÷ pratasthe  Pnc_18.55d
paryupÃsta viÓÃmpatim  Pnc_2.88d
parvaïy ujjayinÅæ purÅæ  Pnc_6.22d
pallavaprastare tata÷  Pnc_2.99b
pallavÃlikhitahaæsahÃriïi  Pnc_8.28b
pallavÃsanam upÃsya ÓÃsana÷  Pnc_8.33b
paÓcÃd alajjatÃlÅbhis  Pnc_6.108c
paÓcÃd d­Óau ketakapatradÅrghe  Pnc_9.14b
paÓya citre likhÃmy aham  Pnc_6.29b
paÓya japÃpÃÂalayÃnayÃ  Pnc_11.26b
paÓya tatpadam itÅva revayÃ  Pnc_8.29c
paÓyato 'sya na camatk­taæ mana÷  Pnc_8.56d
paÓya nÅpataroÓ chÃyÃ  Pnc_2.62c
paÓyanti paÓya svam ivÃptakÃntiæ  Pnc_14.68c
paÓyanti yenÃvahitÃ÷ kavÅndrÃs  Pnc_1.4c
paÓyantÅnÃæ munim­gad­ÓÃæ locanÃæÓÆtkareïa  Pnc_13.70b
paÓya paÓya capaleyam antikÃt  Pnc_8.10a
paÓya paÓya ÓaÓiprabhe  Pnc_6.102b
paÓya puæskokilai÷ sthitam  Pnc_2.61d
paÓya Ólathaæ keÓakalÃpam e«Ã  Pnc_14.52b
paÓyÃgravÃtÃyanam etad etya  Pnc_14.36a
paÓyÃtra darpaïatale likhitÃ mayeyaæ  Pnc_12.79a
paÓyÃbhita÷ pallaviteyam ÃsÃm  Pnc_14.70c
paÓyÃmburÃser iva jahnukanyÃ  Pnc_14.31d
paÓyÃlinÅle paribhÃgam eti  Pnc_14.46d
paÓyendragopaÓriyam udvahanta÷  Pnc_14.33b
paÓyeyam udbÃhulatÃhitaÓrÅr  Pnc_14.59a
paÓyaite guruÓik«ayÃ  Pnc_11.20b
paÓyotpatatpu«paÓilÅmukheyam  Pnc_14.42c
paÓyonmayÆkhÃ maïikarïapÆrÃ÷  Pnc_14.22b
paÓyopari«ÂÃd alimaï¬alÃni  Pnc_14.40c
pasp­Óe pÃrthivo bh­Óam  Pnc_2.1d
pÃÂalÃku¬male«u te  Pnc_6.81d
pÃÂalÃdharapallavam  Pnc_6.6b
PÃÂalÃm ity avocata  Pnc_16.47d
PÃÂale kiæ na paÓyasi ?  Pnc_16.48d
pÃïisparÓeïa patriïÃ  Pnc_6.10b
pÃïi÷ samucchalitamaÇgalatÆryagho«e  Pnc_18.25b
pÃï¬imÃ ripuyo«itÃm  Pnc_11.100b
pÃï¬upak«malad­Óa÷ paricyutaæ  Pnc_8.24a
pÃï¬u÷ Óaraddhanair Ærdhvam  Pnc_11.58a
pÃtÃlakalpav­k«ÃïÃm  Pnc_11.7c
pÃtÃlakuk«ipratinÃdasÃndra÷  Pnc_14.9b
pÃtÃlacandrakalayÃ sas tayÃ sametya  Pnc_18.48d
pÃtÃlacirasaævÃsÃc  Pnc_16.106c
pÃtÃlamallam anilasya pathÃ jagÃma  Pnc_18.45d
pÃtÃlam etan nayanotsavena  Pnc_14.23a
pÃtÃlavilÃsinÅ jagÃda  Pnc_5.6d
pÃtÃlasaætamasam asya puro babhÆva  Pnc_13.68d
pÃtÃlendukale tava  Pnc_6.53d
pÃtram atrir ivogrÃïÃæ  Pnc_11.36c
pÃdanyÃsotsava÷ sphuÂam  Pnc_6.72b
pÃdapadmadvayÅ tava  Pnc_11.112d
pÃdÃbjayÃvakani«aktam ivÃcakÃÓe  Pnc_17.71d
pÃnanamitamukhamugdhavadhÆ-  Pnc_15.55c
pÃram agÃd dvayo÷  Pnc_2.25b
pÃraæ gatÃ÷ praïavam Ãtmavido vadanti  Pnc_18.21b
pÃrÃvatÃtimadhuradhvanitachalena  Pnc_18.58b
pÃriplavavyaktam­ïÃlakÃï¬Ã  Pnc_14.84b
pÃrollasannavarasormi«u mÃnase«u  Pnc_18.9d
pÃrthasya pÃ¤cÃlan­pÃtmajeva  Pnc_9.44d
pÃrthivaæ janitakautuka÷ Óuka÷  Pnc_8.73b
pÃrthiva÷ patitum aicchad ambhasi  Pnc_8.31b
pÃrthiva÷ svam atha narmadÃmbhasi  Pnc_8.38b
pÃrthivÃhipatikanyakÃæ prati  Pnc_8.8b
pÃrthivendur ajÃyata  Pnc_11.80d
pÃrthivo hi navasÃhasÃÇka  Pnc_8.77c
pÃrvatÅva pinÃkina÷  Pnc_16.109b
pÃÓam ÃkÃÓavartmani  Pnc_2.7d
pÃæsukÆÂair ajÃyata  Pnc_2.13b
pÃæsucchaÂÃ÷ Óe«aphaïÃmaïÅnÃm  Pnc_1.68b
pitrÃ tad asyÃ÷ k­tam arthayuktam  Pnc_9.40c
pidhÃtum Ãlekhyan­pe nyadhÅyata  Pnc_7.25d
pipe«a vairidvi«akumbhapÅÂham  Pnc_17.63b
piÓaÇgayaty e«a diÓÃæ mukhÃni  Pnc_14.16d
pihitÃÓaæ tuhinÃæÓunÃ karai÷  Pnc_12.55b
pihite pu«karapatralocane  Pnc_12.57b
pÅtaÓÅtakaramÆrtitÃnavaæ  Pnc_8.35c
pÅnÃæsataÂasaæÓli«Âa-  Pnc_2.91a
pÅnÃæsalolamaïikuï¬alam uttamÃÇgam  Pnc_17.69d
pÅyÆ«adhÃrÃmadhurair vacobhis  Pnc_9.26b
puï¬arÅkadalatvi«Ã  Pnc_6.45b
puï¬arÅkÃyatek«aïa÷  Pnc_2.21d
puïyayÃ h­tam ÃtmÃnam  Pnc_11.114c
puïyÃ puro dÆrata eva tena  Pnc_14.85c
puïyÃs tatpÃdapÃæsava÷  Pnc_16.116d
puïyena janmÃntarasambh­tena  Pnc_9.47d
puïyair aho bata n­po navasÃhasÃÇka÷  Pnc_18.10d
putro yayos tvaæ naralokapÃla÷  Pnc_9.5d
punaruktacÃÂupaÂubhi÷ priyai÷ saha  Pnc_15.33d
punaruktÅk­tonnidra-  Pnc_6.33c
puna÷puna iti svÃdu  Pnc_6.12a
puna÷ punas tasya vilokya ÓoïatÃm  Pnc_13.23b
puna÷ puna÷ prÃrthitayÃpi yat tvayÃ  Pnc_13.50b
puna÷ puna÷ «aÂpadarÃjimecakÃæ  Pnc_4.3a
puna÷ puna÷ saæsp­ÓatÅva kautukÃt  Pnc_7.50c
puna÷ prasabhavardhi«ïu-  Pnc_2.13c
puna÷ samÃgacchatu patralekhÃ  Pnc_9.63d
puno 'pi tathÃ tatpratyÃÓÃnimÅlitalocana÷  Pnc_12.81b
puno 'pi tam avek«ituæ niÓÃnte  Pnc_2.100c
puno 'py Ãpati«yati  Pnc_2.56d
pumÃæsam agre na hariæ tam aik«ata  Pnc_13.28d
purata imÃm ayam abjinÅm upeta÷  Pnc_3.33b
purata÷ Óuko 'sya puna ity abhÃ«ata  Pnc_10.45d
purato rÃgah­te vivasvati  Pnc_12.26b
purandhribimbÃdharakÃnticora÷  Pnc_14.44b
purandhribhi÷ saudhatalasthitÃbhi÷  Pnc_1.42b
puram uta parvatapak«aÓÃtanasya  Pnc_3.68b
puraæ kÃlakramÃt tena  Pnc_11.98a
pura÷ patÃkeyam ayugmapatriïa÷  Pnc_7.6d
pura÷ pade pade tasya  Pnc_2.9a
pura÷ paÓcÃt tu jÅvitam  Pnc_2.22d
pura÷ pu«kariïÅ tava  Pnc_2.68d
pura÷ pu«pitayÃnayÃ  Pnc_6.76b
pura÷ prasarpattatsainya-  Pnc_16.63c
pura÷ Óirasy ÃhitamanmathÃj¤ayÃ  Pnc_7.32a
pura÷ sandhyeva pÃÂalÃ  Pnc_6.98d
purÃ kila brahmakamaï¬alor yat  Pnc_1.48a
purÃïakÆrmaÓe«aæ yaÓ  Pnc_11.72c
purÃtanÃlekhyam ivÃsphuÂaæ h­di  Pnc_13.2d
purÅ vihÃyasy amarÃvatÅva  Pnc_1.17b
purÅæ ratnavatÅm prati  Pnc_16.60d
purukutsasya bhÆpate÷  Pnc_11.111d
puro¬ÃÓasugandhaya÷  Pnc_11.18d
puro raïotsekabh­tÃæ niruddham  Pnc_17.5a
puro vimu¤cannayane yad­cchayÃ  Pnc_4.9a
pulaka÷ kapolaphalake ca subhruvÃm  Pnc_15.54d
pulakÃlaÇk­tapÅvarastanÅm  Pnc_12.68b
pulakiny adhikaæ vimu¤catÅæ  Pnc_12.13c
pulakena cumbitakapolam Ãnanam  Pnc_10.5b
pulinasthalÅkanakavallidhÃmasu  Pnc_15.35d
pulinaæ prÃpa pÃÂalÃ  Pnc_16.1b
pulinaæ somabhuvas taraÇgavatyÃ÷  Pnc_5.57b
PulinÃdrau ca payodhavelayÃ  Pnc_12.62d
puline sarita÷ ÓaÓÃÇkasÆte÷  Pnc_5.28c
pulomakanyÃpatikÃrmukair iva  Pnc_13.39d
pu«pakesaraÓobhinÃ  Pnc_2.91b
pu«padÃma dadhatÅ sa«aÂpadaæ  Pnc_8.72a
pu«papravÃlÃÇkuramaï¬alaæ tat  Pnc_14.78a
pu«paÓarataralitÃ dadhire  Pnc_15.45c
pu«pÃ¤jali÷ sa÷ puram ujjayinÅæ viveÓa  Pnc_18.58d
pu«pÃïi cinvaty atimuktakasya  Pnc_14.52a
pu«pÃïi nÃnÃvidhavarïabhÃ¤ji  Pnc_14.58a
Pu«pe«utalpe iva vak«asi vallabhÃnÃæ  Pnc_15.73c
pu«pair ita÷ kalpitam Ãtitheyam  Pnc_14.55d
pu«poccaye lolad­Óa÷ prav­ttÃ÷  Pnc_14.38d
pu«podgameneva latÃ  Pnc_6.112a
