Bhamaha: Kavyalamkara
Based on: KÃvyÃlaÇkÃra of BhÃmaha, Paricchedas 1 to 6 With English Translation 
and Notes on Paricchedas 1 to 3 by C. Sankara Rama Sastri. 
Madras, Mylapore : Sri Balamanorama Press, 1956.
(Sri Balamanorama Series, 54)


Input by Dominic Goodall (EFEO)
(The text is not proofread!)



PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akave÷ ÓÃstravedanam  Bh_1.3d
prasiddhadharmÃ pratyak«a-  Bh_5.13c
prasiddhadharmeti matÃ  Bh_5.19c
prasiddhe dharmiïi dhvanau  Bh_5.16b
prahelikÃ sÃ hyuditÃ  Bh_2.19c
prÃgitthaæ samaya÷ k­ta÷  Bh_6.13d
prÃyeïa durbodhatayÃ  Bh_5.2a
prÃyopaveÓÃya yathÃ  Bh_5.41a
prÃvartata nadÅ ghorÃ  Bh_4.36c
prÃv­«eïyÃn nabhasvata÷  Bh_4.31b
priyÃmimÃmutsukayanti yanti ca  Bh_2.14d
priyonmanÃyate sÃ te  Bh_6.39c
prÅïitapraïayi svÃdu  Bh_3.30a
prÅtiæ karoti kÅrtiæ ca  Bh_1.2c
prema ghnanti na hi striya÷  Bh_4.10d
preyo g­hÃgataæ k­«ïam  Bh_3.5a
preyo rasavadÆrjasvi  Bh_3.1a
phalanimnaiÓca ÓÃkhibhi÷  Bh_5.64b
phalabhedÃdayaæ dvidhÃ  Bh_5.22d
phalaæ paÓyata ÓÃkhinÃm  Bh_3.30d
phalino barhiïo yathÃ  Bh_6.56d
phale caikasya va÷ katham  Bh_6.18d
phullÃ÷ surabhayantÅme  Bh_4.31c
phullaiÓca kusumairanye  Bh_5.64c
phenavÃri mukhÃccyutam  Bh_4.37b
babhurdivÅvÃmalavigrahÃ grahÃ÷  Bh_2.63d
balÃkÃmÃlabhÃriïÃm  Bh_2.24b
balÃkÃ÷ paÓya suÓreïi  Bh_6.44c
bahukusumavibhÆ«ite sa tasthau  Bh_5.65c
bahupÆraïamÃkulam  Bh_5.67b
bahuvidhak­tÅrd­«ÂvÃnye«Ãæ svayaæ paritarkya ca  Bh_5.69b
bahusattvÃÓrayatvÃcca  Bh_3.20c
bahvalaÇkÃrayogata÷  Bh_3.49b
bÃdhinÅ ceti du«yati  Bh_5.13d
bÃhyamÃcak«ate pare  Bh_1.14b
bibharti praïayÃgatÃn  Bh_2.74d
bibhratsalÅlaæ ÓaÓibhÃsamabjam  Bh_2.41b
buddhau tu sambhavatyetad  Bh_4.5c
bruvate tÃæ yathoditam  Bh_3.37d
brÆyÃnnÃnyatra paddhate÷  Bh_6.61d
bhaktirvÃ nÃsti bhartari  Bh_4.41d
bhayamÃÓu pramÃdinÃm  Bh_4.19d
bhayaÓokÃbhyasÆyÃsu  Bh_4.14a
bharatastvaæ dilÅpastvaæ  Bh_5.59a
bhartuÓchandÃnuvarttinya÷  Bh_4.10c
bhavau Óarvau m­¬Ãviti  Bh_6.32d
bhÃti ïijvihito yathÃ  Bh_6.44b
bhÃmahena krameïa va÷  Bh_6.66d
bhÃvikatvamiti prÃhu÷  Bh_3.53a
bhÃvikatvaæ ca nijagur  Bh_3.4c
bhÃsÃ bimbaphalena ca  Bh_2.56d
bhinnav­ttamidaæ yathÃ  Bh_4.25d
bhinnav­ttaæ visandhi ca  Bh_4.1d
bhinnaæ geyamivedaæ tu  Bh_1.34c
bhÅmÃmbhasaÓca jaladheriti vismayo 'sau  Bh_6.62d
bhu¤jmahe yadadhÅtina÷  Bh_3.9b
bhÆtÃrthÃpahnavÃdasyÃ÷  Bh_3.21c
bhÆdharÃïÃmupatyakÃ÷  Bh_2.28d
bhÆbh­tÃæ pÅtasomÃnÃæ  Bh_4.48a
bhÆyasÃmupadi«ÂÃnÃm  Bh_2.89a
bhÆyasÃrthopadeÓak­t  Bh_1.21b
bhÆyastvÃdiha nodita÷  Bh_5.29d
bhÆ«aïopavanasraja÷  Bh_5.66b
bhedaæ ca vadata÷ puna÷  Bh_3.43b
bhedÃt te ca caturvidhÃ÷  Bh_6.21b
bhedÃdatrÃbhidhÅyate  Bh_2.37d
bhedÃdi«Âaæ dvayaæ tu na÷  Bh_1.15d
bhedenÃnena vartmanÃ  Bh_5.32b
bhedai÷ Óli«Âamapi tribhi÷  Bh_3.1d
bhramati bhramaramÃlÃ kÃnane«ÆnmadÃsau  Bh_4.26/a
bhrÃturbhrÃt­vyamunmathya  Bh_5.39a
matupprakaraïe jyotsnÃ-  Bh_6.56a
madaklinnakapolÃnÃæ  Bh_1.58a
madÃndhamÃtaÇgavibhinnasÃlÃ  Bh_3.57a
madirÃmadapÃÂalam  Bh_3.38b
madena mukharÃ muhu÷  Bh_3.22b
mado janayati prÅtiæ  Bh_2.27a
madhyame pÅ¬itar«abha÷  Bh_4.33d
manoj¤abhÅmaæ vapurÃpa k­«ïa÷  Bh_2.58b
manovÃkkÃyakarmabhi÷  Bh_1.1b
mantavyÃ÷ kÃvyahetava÷  Bh_1.9d
mantradÆtaprayÃïÃji-  Bh_1.20a
mandÃ÷ sÃÇketikÃnarthÃn  Bh_6.14c
manyante 'tiÓayoktiæ tÃm  Bh_2.81c
manyante pÃramÃrthikÃn  Bh_6.14d
manyante sudhiyo 'pare  Bh_1.31b
manyante sudhiyo 'pare  Bh_2.6b
manyumadbhirarÃtibhi÷  Bh_4.42b
mama putra÷ pitÃ mama  Bh_4.43b
mayÃ prakÊptÃ khalu vÃgalaÇk­ti÷  Bh_2.96b
marmÃïi parih­tyÃsya  Bh_4.42c
malaye kandaropÃnta-  Bh_4.29a
malÅmasamivÃ¤janam  Bh_1.55d
maskariïyatirohitÃ  Bh_3.6d
mahatÃæ ca mahacca yat  Bh_1.19b
mahÃnta÷ prÃjyavar«iïa÷  Bh_3.19b
mahÃnto gurava÷ sthirÃ÷  Bh_3.28b
mahÃsenÃtmajÃmiti  Bh_5.38b
mÃtulo bhÃgineyaÓca  Bh_4.43c
mÃdhuryamabhivÃ¤chanta÷  Bh_2.1a
mÃdhyasthyÃdbhavati na kasyacitpramÃïam  Bh_6.63d
mÃnadaï¬o rathÃÇgina÷  Bh_3.36b
mÃyÃnÃæ sutarÃæ matau  Bh_6.57d
mÃyeva bhadreti yathÃ  Bh_1.39a
mÃrgadrumÃ mahÃntaÓca  Bh_3.18c
mÃrjantyadhararÃgaæ te  Bh_6.31c
mÃlÃkÃro racayati yathÃ sÃdhu vij¤Ãya mÃlÃæ  Bh_1.59c
mÃlinÅraæÓukabh­ta÷  Bh_2.28a
mÃlopamÃdi÷ sarvo 'pi  Bh_2.38c
muktÃkarpÆracakrÃgarukamanaÓilÃsthÃsakavyÃptatÅra÷  Bh_5.68b
mukhaæ padmamivetyatra  Bh_5.56c
mukhendunavadarpaïa÷  Bh_3.36d
mukhyastÃvadayaæ nyÃyo  Bh_6.6a
mudhÃdau grahaïastavau  Bh_1.23d
munivadvacanÃditi  Bh_5.43b
munÅnapi harantyete  Bh_2.13c
m­gyatÃmaparo dhvani÷  Bh_6.17d
m­timÃhurmanÅ«iïa÷  Bh_1.12d
yatirmama pitÃ bÃlyÃt  Bh_5.14c
yatiÓchando 'dhirÆ¬hÃnÃæ  Bh_4.24a
yatkiæcitkÃntisÃmÃnyÃc  Bh_2.44c
yatno viditavedyena  Bh_1.8c
yatno 'syÃæ kavinÃ kÃrya÷  Bh_2.85c
yatra tatparamÃrthata÷  Bh_6.11d
yatra tenaiva tasya syÃd  Bh_3.45a
yatra d­«ÂÃntamÃtreïa  Bh_5.58a
yatra paryÃyato bhavet  Bh_3.37b
yatrÃrthÃ bhÆtabhÃvina÷  Bh_3.53d
yatrokte gamyate 'nyo 'rthas  Bh_2.79a
yatrokte jÃyate mati÷  Bh_1.50b
yat svaÓaktyÃ pravartate  Bh_6.6b
yathÃ.ajihladadityÃdi  Bh_1.53a
yathÃ kamalapatrÃk«Å  Bh_2.32c
yathÃ k«atriyayo«itÃm  Bh_3.10b
yathÃ tadvadasÃdhÅya÷  Bh_1.58c
yathÃ na vyeti cÃrutÃ  Bh_6.42d
yathÃ paÂayatÅtyÃdi  Bh_6.33a
yathÃprak­tamucyate  Bh_4.7d
yathÃbuddhi vidhÃsyate  Bh_1.1d
yathÃbhito vanÃbhogam  Bh_5.48c
yathÃ mandÃrakusuma-  Bh_2.2c
yathÃ vanamupÃgatam  Bh_3.11d
yathÃ viklinnagaï¬ÃnÃæ  Bh_1.57c
yathÃ vidvÃnadhÅte 'sau  Bh_6.35c
yathÃ ÓÅto 'nalo nÃsti  Bh_5.20c
yathÃ ÓucistanustrÅïi  Bh_5.18c
yathÃsaækhyamathotprek«Ãm  Bh_2.88a
yathÃsaækhyaæ taducyate  Bh_2.89d
yathÃha gaccha gaccheti  Bh_4.14c
yathÃha varuïÃvindrau  Bh_6.32c
yatheyaæ bhÆ÷ kumudvatÅ  Bh_6.52b
yathevavatibhirvinÃ  Bh_3.33d
yathevaÓabdau sÃd­Óyam  Bh_2.31a
yathevÃnabhidhÃne 'pi  Bh_2.34c
yathaitacchyÃmamÃbhÃti  Bh_6.60c
yathocyate 'mbhasÃ bhÃsÃ  Bh_6.41c
yathoditaæ balabhidÃ  Bh_6.40c
yathopadeÓaæ kramaÓo  Bh_4.20a
yathopapatti k­tibhir  Bh_2.43c
yadani«Âaæ prakalpate  Bh_1.52b
yadabhinnÃrthamanyonyaæ  Bh_4.12a
yadarthasyoditÃd­te  Bh_2.71b
yadalaÇghitamaryÃdÃÓ  Bh_3.28c
yadi kÃvyaÓarÅrasya  Bh_1.23a
yadi gaurityayaæ Óabda÷  Bh_6.17a
yadi cotkaïÂhayÃ yattad  Bh_1.44a
yadi vopek«itaæ tasya  Bh_4.41a
yadi sÃd­Óyamucyate  Bh_2.64b
yaduktaæ triprakÃratvaæ  Bh_2.37a
yadupravÅra÷ prag­hÅtaÓÃrÇga÷  Bh_2.41c
yad­cchÃÓabdamapyanye  Bh_6.21c
yadviÓe«anidarÓanam  Bh_2.75b
yamakavyapadeÓinÅ  Bh_2.19b
yamakaæ k­tinÃæ matam  Bh_2.18d
yamakaæ tannigadyate  Bh_2.17d
yaÓasÃmambhasÃmiti  Bh_6.41d
yasyÃtiÓayavÃnartha÷  Bh_2.50a
yasyÃrtha÷ k­tibhirbalÃt  Bh_1.38b
yÃ guïÃntarasaæsthiti÷  Bh_3.23b
yÃ deÓe dravyasambhÆtir  Bh_4.28a
yÃnti vÃsÃya pak«iïa÷  Bh_2.87b
yÃvatkÅrtiranaÓvarÅ  Bh_1.7b
yÃ viÓe«ÃbhidhÃnÃya  Bh_3.25c
yÃæ vadatyupamÃmetad  Bh_3.35c
yuktaæ lokasvabhÃvena  Bh_1.21c
yuktaæ vakrasvabhÃvoktyÃ  Bh_1.30c
yuktÃ nocchÃsavatyapi  Bh_1.28b
yuktyÃnayÃ madhyamayÃ  Bh_2.7c
yugÃdau bhagavÃn brahmÃ  Bh_2.55c
yuckurajvaraji«ïuca÷  Bh_6.48d
yuvayo÷ prÃjyaratnayo÷  Bh_3.50b
yenÃgoprati«edhÃya  Bh_6.19c
ye 'bhiprÃyaæ kaverimam  Bh_4.45b
yojanÃæ pratijÃnate  Bh_5.6d
yojyaæ kÃvye«vavahitadhiyÃ tadvadevÃbhidhÃnam  Bh_1.59d
yo viÓe«ÃbhidhitsayÃ  Bh_2.68b
yo 'sthÃne racanÃvidhi÷  Bh_4.25b
racitÃ ratnamÃleva  Bh_3.49c
ratikhedapariÓrÃntÃ  Bh_6.43c
ratikhedÃlasek«aïÃm  Bh_6.45d
ratnavattvÃdagÃdhatvÃt  Bh_3.20a
ratnavanta÷ phalÃnvitÃ÷  Bh_4.19b
rathÃÇgaÓÆle bibhrÃïau  Bh_4.21c
ramaïÅye«u saægatÃ  Bh_2.13b
ramaïÅ ye«u saægatÃ  Bh_2.13d
rasadÃnaniv­ttaye  Bh_3.9d
rasavattve 'pyapeÓalam  Bh_5.62b
rasavaddarÓitaspa«Âa-  Bh_3.6a
rasaiÓca sakalai÷ p­thak  Bh_1.21d
rahitÃ satkavitvena  Bh_1.4c
rÃjatÃ rÃjatÃ bh­tÃ  Bh_2.11b
rÃjante devadÃrava÷  Bh_4.29d
rÃjamitre yathoditam  Bh_2.45d
rÃjyÃya punaruttasthÃv  Bh_5.41c
rÃmaprasattyai yÃntÅnÃæ  Bh_3.10c
rÃmaÓarmÃcyutottare  Bh_2.19d
rÃma÷ saptÃbhinat sÃlÃn  Bh_3.32a
rÃsakaskandhakÃdi yat  Bh_1.24b
ruïaddhi rodasÅ cÃsya  Bh_1.7a
ru«Ã saærabdhacetasa÷  Bh_4.43d
rÆ¬hakÃlÃgurudrume  Bh_4.29b
rÆpakaæ dÅpakopame  Bh_2.4b
rÆpakaæ nÃma tadvidu÷  Bh_2.21d
rÆpakÃdimalaækÃraæ  Bh_1.14a
rÆpakÃdiralaækÃras  Bh_1.13a
rÆpakÃrthena ca punar  Bh_3.47c
rÆpamu«ïa÷ k«apÃkara÷  Bh_5.20d
rÆpÃdÅnÃæ yathÃ dravyam  Bh_5.35a
reïupi¤jaritÃlakÃ  Bh_2.2d
rocanÃbhyÃæ tathÃ ca Âhak  Bh_6.51d
roditi svapitÅtyÃdi  Bh_6.58c
lak«aïaæ kÃvyasaæÓrayam  Bh_5.30b
lak«aïaæ rÆpake 'pÅdaæ  Bh_3.15a
lak«aïena mahÃtmanÃm  Bh_2.45b
lak«ma prayogado«ÃïÃæ  Bh_5.32a
lak«mÅ÷ paurandarÅ yathÃ  Bh_6.51b
lak«yate kÃmamatra tu  Bh_3.15b
laghutÃmasya mÃ gama÷  Bh_4.10b
lÃÂÅyamapyanuprÃsam  Bh_2.8a
liÇgatrayopapannaæ ca  Bh_6.46c
lokasÅmÃ ca tatk­tÃ  Bh_4.47b
lokaæ tattvavido vidu÷  Bh_4.35b
lokÃtikrÃntagocaram  Bh_2.81b
loko yukti÷ kalÃÓceti  Bh_1.9c
lyuÂaæ ca kart­vi«ayaæ  Bh_6.50c
vaktrakÃntÅk«aïagati-  Bh_2.90c
vaktraæ cÃparavaktraæ ca  Bh_1.26c
vakravÃcÃæ kavÅnÃæ ye  Bh_6.23a
vakrÃbhidheyaÓabdoktir  Bh_1.36c
vakroktyanabhidhÃnata÷  Bh_2.86d
vak«yate cÃpara÷ puna÷  Bh_2.65b
vak«yamÃïoktavi«ayas  Bh_2.67a
vaco na sphoÂavÃdinÃm  Bh_6.12b
vacobhedo viparyaya÷  Bh_2.39b
vatinÃpi kriyÃsÃmyaæ  Bh_2.33a
vatseÓaæ v­ddhadarÓanam  Bh_4.39b
vadanaæ vanajadyuti  Bh_3.51b
vadanaæ vanajek«aïe  Bh_1.56b
vadanaæ hÃri sundaram  Bh_6.47b
vadedimanijantaæ ca  Bh_6.54a
vadelluptahalaæ yathÃ  Bh_6.39b
vanaæ vanajalocane  Bh_6.60d
vane 'tha tasminvanitÃnuyÃyina÷  Bh_2.63a
varÃ vibhÆ«Ã saæs­«Âir  Bh_3.49a
varïabhedÃdidaæ bhinnaæ  Bh_6.20a
varïÃnÃæ kramav­ttitvÃn  Bh_6.9c
varïÃnÃæ ya÷ punarvÃdo  Bh_2.17c
varïÃ÷ svÃæÓavikalpata÷  Bh_6.20b
varïyante 'tra ca te p­thak  Bh_2.40d
vastudvayasamÃÓraye  Bh_3.39b
vastuno 'nyasya yÃ stuti÷  Bh_3.29b
vahanti girayo meghÃn  Bh_2.74a
vaæÓavÅryaÓrutÃdibhi÷  Bh_1.22b
vÃkkÃÂavÃdayaÓceti  Bh_1.49c
vÃkyamityÃhurapare  Bh_4.6c
vÃcaæ do«aæ caturvidham  Bh_1.47d
vÃcÃ saptacchadadrumÃ÷  Bh_2.82d
vÃcÃæ vakrÃrthaÓabdoktir  Bh_5.66c
vÃcÃæ vÃ¤chantyalaæk­tim  Bh_1.14d
vÃco 'laækurvate yathÃ  Bh_5.64d
vÃcyo vÃ jalajo 'tra tu  Bh_2.59d
vÃ¤cha¤jyÃyastvaæ chindhi muktÃnayastvam  Bh_2.12d
vÃïÅvÃlaistvayÃ jitÃ÷  Bh_2.90d
vÃrtÃmenÃæ pracak«ate  Bh_2.87d
vÃsa÷ÓaÇkhÃnupÃdÃnÃd  Bh_2.42c
vÃsÃya vÃsara÷ klÃnto  Bh_3.48c
vikÃrakaraïaæ prati  Bh_2.70d
vicitrabarhÃbharaïÃÓca barhiïo  Bh_2.63c
vijahrustasya tÃ÷ Óokaæ  Bh_1.40c
vijigÅ«umupanyasya  Bh_4.39a
vijitendrayaÓatru«u  Bh_4.11b
vij¤ÃnamÃtrasÃd­ÓyÃd  Bh_5.9c
vij¤ÃnÃæÓo mato yadi  Bh_5.9b
vij¤eyÃ tadvirodhinÅ  Bh_5.17b
vi¬varcovi«Âhitaklinnac-  Bh_1.48a
vitatÃmbhogarÅyasa÷  Bh_4.23b
vidadhÃnau kirÅÂendÆ  Bh_4.21a
vidÆradeÓÃnapi va÷  Bh_3.26c
vidyÃnÃæ satatamapÃÓrayo 'parÃsÃæ  Bh_6.63a
vidyutvantastamÃlÃsitavapu«a ime vÃrivÃhÃ dhvananti  Bh_4.25*
vidhirnÃbhimato 'nyaistu  Bh_2.57c
vidheya÷ kÃvyalak«aïa÷  Bh_1.8d
vidheyÃ jalaje mati÷  Bh_2.60d
vinayena vinÃ kÃ ÓrÅ÷  Bh_1.4a
vinaÓvaro 'stu nityo vÃ  Bh_6.15a
vinÃ puru«akÃreïa  Bh_3.30c
vinÃ yathevaÓabdÃbhyÃæ  Bh_2.32a
vinirmitsuriva prajÃ÷  Bh_2.55d
vinaivÃrthagatiryathÃ  Bh_5.50d
vindhyaæ mahÃniva ghana÷ samaye 'bhivar«ann  Bh_3.56c
vipak«astadvisad­Óo  Bh_5.25a
viparyayakaraæ yathÃ  Bh_4.9d
viparyayak­to yathÃ  Bh_5.52d
viparyastaæ tathaivÃhus  Bh_4.32c
viparyÃsÃdidaæ yathÃ  Bh_4.30d
vipralambhodayÃnvitÃ  Bh_1.27d
vibhÃti nÃrÅva vidagdhamaï¬anÃ  Bh_3.58d
vibhÃti vanitÃmukham  Bh_1.13d
virahitaramaïÅko 'rhasyadya gantum  Bh_4.26/b
viruddhapadamasvarthaæ  Bh_5.67a
viruddhaæ tÆpadiÓyate  Bh_4.9b
viruddhÃnyakriyÃbhidhÃ  Bh_3.25b
viruddhÃrthaæ mataæ vyarthaæ  Bh_4.9a
viruddhenopamÃnena  Bh_2.30a
virodhakaraïaæ yathÃ  Bh_5.14b
virodhaæ taæ vidurbudhÃ÷  Bh_3.25d
virodhaæ tulyayogitÃm  Bh_3.2b
virodhe 'pi tayoryathÃ  Bh_2.35d
vilak«maïÃ hi kÃvyena  Bh_1.11c
vilokyÃnyanibandhÃæÓca  Bh_1.10c
vivÃdÃspadadharmeïa  Bh_5.12a
vivÃdo vÃdinormitha÷  Bh_5.16d
vivik«orna tava vyathÃ  Bh_2.72b
viveda payasÃæ kaïai÷  Bh_3.13d
viÓatÅva tamog­ham  Bh_3.48d
viÓi«Âasya yadÃdÃnam  Bh_3.41a
viÓuddhyÃ sad­Óaæ yaÓa÷  Bh_2.61d
viÓe«aprathanÃyÃsau  Bh_3.23c
viÓe«asyÃnudÃh­te÷  Bh_4.17b
viÓe«aæ veda bÃlo 'pi  Bh_4.46c
viÓe«ÃdavadhÃryate  Bh_6.22d
viÓe«ÃpÃdanÃdyathÃ  Bh_2.75d
viÓe«eïa ca tatre«ÂÃ  Bh_6.48c
viÓe«eïeyasunni«Âo  Bh_6.54c
viÓe«oktirmatÃ yathÃ  Bh_3.23d
viÓe«o 'nyo 'bhidhÅyate  Bh_2.65d
viÓe«o 'sya vikalpanÃ  Bh_5.9d
vi«amÃ bhÆbh­tastebhyo  Bh_4.19c
vi«amopalabhinnormir  Bh_2.53c
vi«ayatvaæ tayo÷ kila  Bh_5.5d
visargahadayantritÃ÷  Bh_1.48d
vistareïodito vidhi÷  Bh_2.60b
vihÃyopanataæ rÃjyaæ  Bh_3.11c
v­ttadevÃdicarita-  Bh_1.17a
v­ttamÃkhyÃyate tasyÃæ  Bh_1.26a
v­ttavarïÃhitasm­ti÷  Bh_4.6b
v­ttiæ tadgamako yathÃ  Bh_6.37d
v­trahantÃ yathodita÷  Bh_6.37b
v­ddhipak«aæ prayu¤jÅta  Bh_6.31a
v­ddhimÃyÃnti yÃminya÷  Bh_3.40c
veïudÃkeriti ca tÃæ  Bh_1.39c
veÓyÃvÃn niÓi pÅ¬ita÷  Bh_4.49d
vaicak«aïyaæ kalÃsu ca  Bh_1.2b
vaidarbhamanyadastÅti  Bh_1.31a
vaidarbhamiti kathyate  Bh_1.33b
vaidarbhamiti kiæ p­thak  Bh_1.32b
vaidarbhamiti nÃnyathÃ  Bh_1.35d
vaiparÅtyÃdviparyÃsaæ  Bh_5.61c
vyajerannasya te guïÃ÷  Bh_5.60b
vyajyete sÃdhyasÃdhane  Bh_5.58b
vyatikramaïato yathÃ  Bh_4.47d
vyatirekaæ tamicchanti  Bh_2.75c
vyatireko vibhÃvanÃ  Bh_2.66b
vyapadeÓena tulyatÃm  Bh_3.31b
vyapav­ttadivÃkarÃ  Bh_5.51b
vyavahÃrÃya lokasya  Bh_6.13c
vyÃkhyÃgamyÃni ÓÃstravat  Bh_2.20b
vyÃkhyÃnenÃnyathÃ vidu÷  Bh_3.12b
vyÃjastutinidarÓane  Bh_3.2d
vyÃjastutirasau yathÃ  Bh_3.31d
vyÃdhaye daï¬anÃya vÃ  Bh_1.12b
vyÃptaæ vyometyavÃcakam  Bh_1.41b
vyÃyatÃbhÅpsayÃ yathÃ  Bh_5.67d
vyÃlavanto durÃrohÃ  Bh_4.19a
vyÃv­ttastatra yo hyasan  Bh_5.25b
vyÃv­ttastadvipak«ata÷  Bh_5.21b
vyÃv­ttÅ lak«masÃdhutÃ  Bh_5.25d
Óakyaæ kathayituæ mayÃ  Bh_3.52d
ÓakrakÃrmukavÃraïÃ÷  Bh_2.23d
ÓakracÃpagrahÃdatra  Bh_2.42a
ÓaÇkhavrÃtÃkulo 'ntastimimakarakulÃkÅrïavÅcÅpratÃno  Bh_5.68c
Óata«a«ÂyÃ tvalaÇk­ti÷  Bh_6.65b
ÓatahradendrÃyudhavÃnniÓÃyÃæ  Bh_2.58c
ÓatÃæÓenÃpi bhavatÃ  Bh_3.32c
Óapathairapi cÃdeyaæ  Bh_6.12a
ÓabalÃdibhyo 'titarÃæ  Bh_6.44a
Óabda ityabhidhÅyate  Bh_6.8d
ÓabdatÃgnyanumÃæ prati  Bh_6.7d
ÓabdanyÃyÃnupÃrÆ¬ha÷  Bh_1.38c
ÓabdamarthyamudÅrayet  Bh_6.28b
Óabdaratnaæ svayaægamyam  Bh_6.3c
ÓabdaÓchando 'bhidhÃnÃrthÃ  Bh_1.9a
ÓabdahÅnaæ yatibhra«Âaæ  Bh_4.1c
ÓabdahÅnaæ viduryathÃ  Bh_4.22d
ÓabdÃnÃkulatÃ ceti  Bh_3.54c
ÓabdÃnÃæ yÃ vicÃraïÃ  Bh_4.24b
ÓabdÃbhidheyÃlaækÃra-  Bh_1.15c
ÓabdÃbhidheye vij¤Ãya  Bh_1.10a
ÓabdÃrïavasya yadi kaÓcidupaiti pÃraæ  Bh_6.62c
ÓabdÃrthapadav­ttinÃ  Bh_1.25b
ÓabdÃrthau sahitau kÃvyaæ  Bh_1.16a
ÓabdaistadvÃcibhiryathÃ  Bh_1.50d
Óabdo dÆrÃnupÃtyayam  Bh_5.34b
Óamayanti k«itestÃpaæ  Bh_3.19c
ÓambhunÃ na h­taæ balam  Bh_3.24d
ÓarÃ d­¬hadhanurmuktÃ  Bh_4.42a
ÓarÃ dhanurmaï¬alamadhyabhÃja÷  Bh_2.47b
ÓalyetyahirapÃk­ta÷  Bh_3.7d
ÓaÓÃÇkavadaneti ca  Bh_2.32d
ÓaÓikÃntopalacchannaæ  Bh_3.13c
ÓaÓino grahaïÃdetad  Bh_2.59a
Óaæsanti dvividhaæ yathÃ  Bh_2.68d
Óaæsi cotpÃdyavastu ca  Bh_1.17b
ÓÃkÃrau jÃguri«Âau ca  Bh_6.49c
ÓÃbdÅ va÷ kalpanÃ v­thÃ  Bh_6.11b
ÓÃÓvato 'ÓÃÓvato veti  Bh_5.16a
ÓÃstramapyupayu¤jate  Bh_5.3b
ÓÃstralokÃvapÃsyaivaæ  Bh_4.45c
ÓÃstraæ ja¬adhiyo 'pyalam  Bh_1.5b
ÓÃstrÃd bibhatyamedhasa÷  Bh_5.2b
ÓÃstre«ÆditamanyathÃ  Bh_5.32d
ÓilpÃnyasyÃÓca gocara÷  Bh_4.32b
ÓiÓirÃsÃrakaïikÃ-  Bh_6.45a
Ói«ÂaprayogamÃtreïa  Bh_6.36a
ÓÅkarÃmbhomadas­jas  Bh_2.23a
ÓÅkarÃmbhomadas­jas  Bh_3.16a
Óucirantaæ ninÅ«ati  Bh_2.29d
Óuneva sÃraÇgakulaæ  Bh_2.54c
ÓubhamarakatapadmarÃgacitre  Bh_5.65a
Ó­ÇgÃrÃdirasaæ yathÃ  Bh_3.6b
Óe«o himagiristvaæ ca  Bh_3.28a
ÓyÃmÃbhrahimasacchavÅ  Bh_4.21b
ÓraddadhyÃt ka÷ sacetana÷  Bh_6.12d
Óraddheyaæ jagati mataæ hi pÃïinÅyaæ  Bh_6.63c
Óravyaæ nÃtisamastÃrthaæ  Bh_2.3a
ÓrÅmato bodhayannarÃn  Bh_3.34d
Órutika«Âaæ ca tadvidu÷  Bh_1.53b
Órutika«Âaæ tathaivÃhur  Bh_1.47c
Órutidu«ÂÃ matÃ gira÷  Bh_1.49d
Órutidu«ÂÃrthadu«Âe ca  Bh_1.47a
Órute÷ sÃmÃnyadharmÃïÃæ  Bh_4.17a
Óreyaso vinayÃdhÃnam  Bh_4.11c
ÓreyÃn v­ddhÃnuÓi«ÂatvÃt  Bh_5.57c
ÓrotragrÃhyo dhvaniryathÃ  Bh_5.19d
ÓrautrÃdiæ na tu durbodhaæ  Bh_6.25a
Óli«ÂasyÃrthena saæyukta÷  Bh_3.47a
Óli«Âaæ tadabhidhÅyate  Bh_3.14d
Óle«ÃdevÃrthavacasor  Bh_3.17a
ÓlokamÃtrÃdi tatpuna÷  Bh_1.30b
«a¬alaæk­tayo 'parÃ÷  Bh_2.66d
«a¬ityÃdi yathoditam  Bh_4.8d
«aïïÃm­tÆnÃæ bhedena  Bh_4.30a
«a«ÂyÃ Óabdasya Óuddhi÷ syÃd  Bh_6.66a
