Jayadeva (alias Piyusavarsa): Candraloka
Based on the thesis by R‚ginald Beyaert (forthcoming)


Input by R‚ginald Beyaert, revised by Pierre-Sylvain Filliozat



STRUCTURE OF REFERENCES:
JCand_nn.nn = JayadevaCandrÃloka_mayÆkha.verse


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akrama÷ k­«ïa pÆjyante  JCand_2.27c
viÓÃlalocane! paÓyÃ-  JCand_2.17c
viÓe«aparivartanÃt  JCand_1.12b
viÓe«apariv­tti÷ syÃd  JCand_2.36c
viÓe«a÷ khyÃtam ÃdhÃraæ  JCand_5.84a
viÓe«Ãder asau matÃ  JCand_5.65d
viÓe«Ã÷ sa vikasvara÷  JCand_5.68b
viÓe«oktir anutpatti÷  JCand_5.77a
vi«amaæ yady anaucityÃd  JCand_5.79a
visandhir n­patÅ imau  JCand_2.16d
visarga iha tat tathÃ  JCand_2.16b
vism­ta÷ kim apÃænÃtha  JCand_8.3c
vÅpsotsarpanmukhÃgrÃrdraæ  JCand_6.28a
vÅro 'nubhÃvai÷ sthairyÃdyair  JCand_6.9c
v­ttibhedais tribhir yuktÃ  JCand_7.1a
v­ttir vÃk kÃvyanÃmabhÃk  JCand_1.7d
v­ttyanuprÃsavad vaca÷  JCand_5.3b
v­ttyÃ nirdeÓaÓabdo 'yaæ  JCand_10.4c
vedyamÃnÃ nigadyante  JCand_6.14c
vepitÃdyanubhÃvabh­t  JCand_6.10b
vaicitryaæ cÃrutÃvaham  JCand_4.6b
vaidarbhÅ ca yathÃsaækhyaæ  JCand_6.22c
vaiparÅtyÃt kriyÃnvayÃt  JCand_9.10b
vairÆpyaphullagaï¬atvÃ-  JCand_6.6c
vailak«aïyaæ prativyakti  JCand_5.123c
vaiÓi«ÂyÃd dvividhÃ puna÷  JCand_9.14b
vyaktir eva kvacid vyaÇgya÷  JCand_8.2a
vyaktivallÅ vij­mbhate  JCand_7.16d
vyaÇgyam aÇgÅk­taæ budhai÷  JCand_8.10d
vyaÇgyam Ãpatitaæ tridhÃ  JCand_8.1d
vyaÇgyaæ vaktur abhÅpsitam  JCand_7.13b
vyatiriktam alaÇkÃraæ  JCand_4.11c
vyatireko viÓe«aÓ ced  JCand_5.58a
vyanakty anucitÃrthaæ yat  JCand_2.5a
vyÃghrÃdibhir vibhÃvais tu  JCand_6.10a
vyÃjÃdyair nihnave padai÷  JCand_5.28b
vyÃjokti÷ ÓaÇkamÃnasya  JCand_5.109a
vyÃpÃrÃd vastuto 'tha vÃ  JCand_3.10b
vyÃpÃro vya¤janÃtmaka÷  JCand_7.2d
vyÃhataÓ cedvirodha÷ syÃn  JCand_2.30c
vyÆhÃmandohadohadÃ  JCand_5.2b
vyomagaÇgÃsaroruham  JCand_5.24d
vrÅ¬Ã capalatÃ har«a  JCand_6.16a
ÓaktijanmÃ sphuÂakramÃt  JCand_7.5b
Óaktita÷ sÃ caturvidhÃ  JCand_9.6b
ÓaÇkayÃ tathyanirïaye  JCand_5.26b
ÓaÇkayÃ tathyanihnave  JCand_5.27b
ÓatrukaïÂhÃntikÃÓritÃ  JCand_5.10d
Óatruæ mitraæ dvi«atpak«aæ  JCand_5.91c
Óatro÷ pak«e parÃkrama÷  JCand_5.98b
Óabalatvam iti traya÷  JCand_5.117b
ÓabdanirvÃhahÅnatÃ  JCand_2.27b
Óabdas tÃm abhidhÃæ vidu÷  JCand_10.1d
ÓabdÃrthayo÷ prasiddhyÃ vÃ  JCand_5.1a
ÓabdÃrthÃv analaæk­tÅ  JCand_1.8b
ÓabdÃrthobhayabhÆr eka÷  JCand_7.9a
Óabde padÃrthe vÃkyÃrthe  JCand_5.121a
Óabde padÃrthe vÃkyÃrthe  JCand_9.16a
Óabde puælliÇgatÃdikam  JCand_2.3b
Óabde 'rthe ca k­tonme«aæ  JCand_2.1c
Óabdair bandha÷ sukhÃvaha÷  JCand_4.1d
ÓaÓÅ bhÃti triyÃmayÃ  JCand_5.83d
ÓÃstrÃntararahasyokti÷  JCand_4.12c
ÓÃstrÅya÷ Óabda i«yate  JCand_1.9b
Óithilaæ Óayane lilye  JCand_2.10a
ÓÅta eva sadÃ ÓaÓÅ  JCand_5.104d
ÓuddhatanmÆlasaæbhinna-  JCand_1.11a
Óuddhaæ sÃdhyavasÃnaæ syÃd  JCand_9.12c
Óuddhaæ sÃropam uddi«Âam  JCand_9.12a
Óuddhir ekapradhÃnatvaæ  JCand_5.118a
ÓuÓubhe vÃhinÅpati÷  JCand_5.62d
ÓÆraÓ cÃpena rÃjate  JCand_5.54d
ÓÆra÷ Óaurir ayaæ puna÷  JCand_3.1d
Ó­ÇgÃre ca prasÃde ca  JCand_4.10a
Ó­ÇgÃro dvividho mata÷  JCand_6.5d
Óe«as tvadyaÓasÃ sita÷  JCand_5.102d
Óailam utpÃÂayi«yati  JCand_5.75d
ÓailÃ ivonnatÃ÷ santa÷  JCand_5.58c
ÓokenÃliÇgitÃÇganÃ  JCand_2.28d
ÓoïitÃdiprayogata÷  JCand_2.4d
ÓobhÃ khyÃtÃpi yaddo«o  JCand_3.2a
ÓauryaudÃryÃdivarïanam  JCand_5.115b
ÓyÃmalÃ komalÃ bÃlÃ  JCand_4.4c
ÓyÃmalÃ÷ saraladrumÃ÷  JCand_5.47d
ÓyÃmÃbjaÓyÃmalocanÃ  JCand_2.19b
Órayadhvaæ vibudhÃ mudam  JCand_10.5d
ÓravaïottaæsabhÆmikÃm  JCand_8.7d
Óravaïodvejane paÂu÷  JCand_2.2b
Órito 'smi caraïau vi«ïor  JCand_5.16c
ÓriyÃÓli«Âaæ hariæ stuma÷  JCand_4.2d
ÓrÅr asmÃd upadeÓakauÓalamayaæ pÅyÆ«am asmÃjjagaj  JCand_1.3c
Óreïini÷Óreïim ­cchati  JCand_2.12b
Óreïir ekÃvalÅ matÃ  JCand_5.87b
ÓlÃghyaæ cÃnyopalak«aïam  JCand_5.114b
Óle«ÃdibhÆr virodhaÓ ced  JCand_5.74a
Óle«o vighaÂamÃnÃrtha-  JCand_4.1a
ÓlokasyÃrdhe tadardhe vÃ  JCand_5.5a
ÓvetaÓmaÓrukarÃÇkurai÷  JCand_2.42b
«a¬vidhÃm abhidhÃæ budhÃ÷  JCand_10.2d
sa kathÃÓe«atÃæ yÃta÷  JCand_4.8c
sak«atÃ ramaïÅyatÃ  JCand_2.1b
sakhi paÓya g­hÃrÃma-  JCand_5.109c
saÇkucanti sarojÃni  JCand_5.51c
saÇgatÃnyaguïÃnaÇgÅ-  JCand_5.104a
saÇgrÃmoddhÃmahuæk­ti÷  JCand_5.55d
sa ca vÃkyaikasaæÓraya÷  JCand_7.9b
sa jitas tvanmukhenendu÷  JCand_5.37c
sa tu ÓÃbda÷ sajÃtÅyai÷  JCand_4.1c
satyaæ do«Ãkaro bhavÃn  JCand_3.6d
sa tvayÃ kumbhasaæbhava÷  JCand_8.3d
satsaÇgÃdivibhÃvabhÆ÷  JCand_6.13b
sa na jigye mahÃnto hi  JCand_5.68c
santi ca vyabhicÃriïa÷  JCand_6.14b
sandhi÷ ÓabalatÃ tathÃ  JCand_6.20b
sanniveÓo manohara÷  JCand_5.1d
sa prasÃda iti sm­ta÷  JCand_4.3d
samatÃlpasamÃsatvaæ  JCand_4.4a
samam aucityato 'neka-  JCand_5.80a
samÃkhyÃtÃs tu nÃmata÷  JCand_6.18d
samÃdhir arthamahimÃ  JCand_4.5a
samÃdhi÷ kÃryasaukaryaæ  JCand_5.97a
samÃnadharmayuksÃdhyÃ-  JCand_5.19a
samÃptapunarÃttaæ syÃd  JCand_2.21a
samÃliÇgya marutsakham  JCand_4.8d
samÃsapihite vidhau  JCand_2.13b
samÃsa÷ sarvathÃpi ca  JCand_6.21d
samÃsa÷ syÃt padair na syÃt  JCand_6.21c
samÃsokti÷ parisphÆrti÷  JCand_5.61a
samÃhitamayÃbhidhÃ÷  JCand_5.116d
samprÃptis tu vi«Ãdanam  JCand_5.50b
sambandhÃtiÓayokti÷ syÃt  JCand_5.44a
sambhÃvanaæ yadÅtthaæ syÃd  JCand_5.48a
sambhogo vipralambhaÓ ca  JCand_6.5c
sarasaæ kÃvyam am­taæ  JCand_9.14c
sarasyÃmÅladambhoje  JCand_8.9c
sarÅtir guïabhÆ«aïÃ  JCand_1.7b
sarojanetra putrasya  JCand_2.38a
sarvathÃpy uparajyate  JCand_5.18b
sarvasaækalitadhvane÷  JCand_7.12b
sarvasÃdhÃraïaprema-  JCand_6.19a
sarve«Ãæ ca pratidvandva-  JCand_5.119a
sarvair Ærdhvai÷ sakÃrasya  JCand_6.25a
sarvai rephasya sarvathÃ  JCand_6.25b
salilasyeva sÆktasya  JCand_4.3c
sa vimu¤cati cÃrutÃm  JCand_8.2d
sa hanti hanta kÃntÃre  JCand_2.4a
sahasrapatramitraæ te  JCand_2.31a
sahÃyo vyabhicÃry api  JCand_6.1d
sahitÃ kavitÃæ prati  JCand_1.6b
sahokti÷ sahabhÃvaÓ ced  JCand_5.59a
saækÅrïaæ yat tad eva tat  JCand_2.25b
saæk«epo vÃtibhÆyasa÷  JCand_4.7b
saækhyÃyÃæ kÃrake tathÃ  JCand_9.16b
saægraho dik pradarÓitÃ  JCand_4.12d
saædigdhaæ yadi saædeho  JCand_8.7a
saæprÃpte nayane tasyÃ÷  JCand_8.7c
saæbhinnÃs tu sahasraÓa÷  JCand_7.12d
saæmohÃdyair yathÃkramam  JCand_6.8d
saævidrate vyÃkaraïa-  JCand_2.2c
saæÓritya taraïiæ dhÅrÃs  JCand_8.5c
sÃk«Ãt pa¤ce«ur Åk«yase  JCand_5.113d
sÃk«Ãd darÓanavarïanam  JCand_5.112b
sÃgarÃd utthito dahan  JCand_3.4d
sÃgaro bhÆruha÷ ÓaÓÅ  JCand_1.12d
sÃ ca mÆrtimatÅ rati÷  JCand_9.15d
sÃd­Óyaæ stabakopamÃ  JCand_5.16b
sÃd­ÓyÃt samavÃyÃt sÃ  JCand_9.10a
sÃdhyasÃdhyÃÇgabhedata÷  JCand_9.2d
sÃ netratritayÅva khaï¬aparaÓor vÃgdevatÃ dÅvyatu  JCand_1.1d
sÃnau yasyÃbhavad yuddhaæ  JCand_5.114c
sÃbhiprÃye viÓe«aïe  JCand_5.39b
sÃbhiprÃye viÓe«ye tu  JCand_5.40a
sÃmÃnyapariv­tti÷ syÃt  JCand_2.36a
sÃmÃnyaæ yadi sÃd­ÓyÃd  JCand_5.34a
sÃ yatra prastutÃnugÃ  JCand_5.65b
sÃratÃyÃ yathottaram  JCand_5.89b
sÃraæ sÃrasvataæ tatra  JCand_5.89c
sÃro nÃma padotkar«a÷  JCand_5.89a
sÃropÃdhyavasÃnÃkhye  JCand_9.10c
sÃlaækÃrarasÃneka-  JCand_1.7c
sÃ vicak«aïalak«aïÃ  JCand_9.5b
sÃæmukhyaæ vidadhÃnÃyÃ÷  JCand_7.2a
siktaæ sphaÂikakumbhÃnta÷-  JCand_5.48c
siddhi÷ khyÃte«u cen nÃma  JCand_3.8a
sudhÃnidhÃnam ÃsÃdya  JCand_10.5c
sudhÃæÓukalitottaæsas  JCand_5.39c
sudhÃæÓu÷ preyasÅmukham  JCand_5.25d
sudhÃæÓor akalaÇkatÃ  JCand_5.57d
suptaæ prabodho 'mar«aÓ cÃpy  JCand_6.17a
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_1.16b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_2.45b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_3.12b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_4.13b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_5.125b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_6.29b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_7.18b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_8.11b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_9.17b
sumitrÃ tadbhaktipraïihitamatir yasya pitarau  JCand_10.7b
suvarïakalaÓÃyate  JCand_2.26d
sÆktipÅyÆ«avar«asya  JCand_10.6c
sÆryo yadi kathaæ niÓi  JCand_3.3d
saukumÃryam apÃru«yaæ  JCand_4.8a
saundaryeïai«a kandarpa÷  JCand_9.15c
stabdhakarïair udÅk«yate  JCand_5.111d
stambhÃdivyabhicÃrika÷  JCand_6.12d
stambhÃdivyabhicÃrika÷  JCand_6.13d
stavakandÃÇkuraæ kave÷  JCand_5.8b
stutibhyÃæ stutinindayo÷  JCand_5.70b
staimityÃya sa no dhvani÷  JCand_8.1b
strÅbhi÷ kÃma÷ priyaiÓ candra÷  JCand_5.23c
sthÃyÅ jugupsÃ bÅbhatso  JCand_6.11a
sthÃyÅ bhÃvo rasa÷ sm­ta÷  JCand_6.3d
sthÃyÅ syÃt karuïo rasa÷  JCand_6.7d
sthitiÓvetÅk­tair jalai÷  JCand_5.48d
snehak«aya÷ pradÅpe«u  JCand_5.94c
sphuÂam arthÃntare gira÷  JCand_7.2b
sphuÂaæ nÃsti prayojanam  JCand_9.7d
sphuÂÃnuprÃsatÃ satÃm  JCand_5.5d
sphuÂÃsphuÂaprabhedena  JCand_9.3a
sphÆrtir unmÅlitaæ matam  JCand_5.35b
smareïa h­daye tasyÃs  JCand_5.88c
syÃc ceto viÓatÃ yena  JCand_2.1a
syÃt kÃvyaliÇgaæ vÃgartho  JCand_5.38a
syÃt pratÅpopamÃ tadÃ  JCand_5.14d
syÃt saæpÆrïopamÃ yatra  JCand_5.17a
syÃt sm­tibhrÃntisaædehais  JCand_5.31a
syÃd aÇgaya«Âirityevaæ-  JCand_5.21a
syÃd antarviÓatÃ yena  JCand_4.5c
syÃd anyatrÃpi saæbhavÃt  JCand_5.119d
syÃd apratÅtaæ ÓÃstraika-  JCand_2.9c
syÃd ekasya samanvaya÷  JCand_5.92b
syÃd dvyartham iha sandigdhaæ  JCand_2.9a
syÃd vÃcyÃd amanoharam  JCand_8.9b
syÃd vyÃghÃto 'nyathÃkÃri  JCand_5.85a
syÃn mallapratimallatve  JCand_5.55c
syÃn mithyÃdhyavasÃyaÓ ced  JCand_3.7a
syÆtam uttaram uttaram  JCand_5.107b
srotobhiriva jÃhnavÅ  JCand_7.1b
svacchandaæ dandahÅti mÃm  JCand_5.73d
svacchandÃspadamandiram  JCand_5.3d
svabhÃvÃtiÓayÃtmakÃ÷  JCand_5.121d
svayam artho 'vabhÃsate  JCand_4.3b
svayam ullasitaæ gira÷  JCand_7.13d
svaravya¤janasaædoha-  JCand_5.2a
svargaæ pÃtakino 'pi yat  JCand_5.70d
svarïabhrÃji«ïubhÃlatva-  JCand_3.11c
svarïair var«asi yan muhu÷  JCand_3.9d
svasiddho vÃ vya¤jako 'rthaÓ  JCand_7.8c
svaæ paraæ ca na jÃnate  JCand_2.37d
svÃÇkuritam atadrÆpaæ  JCand_7.13c
svÃnte«u na natabhruvÃm  JCand_5.94d
svÃbhÃvokti÷ svabhÃvasya  JCand_5.111a
svairiïÅvadanÃni ca  JCand_5.51d
hatav­ttam anukto 'pi  JCand_2.17a
hanÆmÃn abdhim atarad  JCand_5.67c
harakaïÂhÃæÓulipto 'pi  JCand_5.102c
hara sÅtÃæ sukhaæ, kiæ tu  JCand_5.72c
haripriyÃpit­vadhÆ-  JCand_2.12c
haæ ho cinmayacittacandramaïaya÷ saævardhayadhvaæ rasÃn  JCand_1.2a
hÃraÓobhipayodharau  JCand_2.14d
hÃrÃdivad alaÇkÃra÷  JCand_5.1c
hÃreïa kucamaï¬alam  JCand_5.80d
hÃsasthÃyÅ raso hÃsyo  JCand_6.6a
hÃ hÃ! matkucakÃÓmÅra-  JCand_8.4c
himÃæÓor hÃradhikkÃra-  JCand_2.11c
hÅnatvam upameyata÷  JCand_5.99b
h­daye khelator uccais  JCand_5.11c
h­daye«v aja¬ÃtmanÃm  JCand_6.2b
hetur m­dambusambaddhÃ  JCand_1.6c
hetus tyaktvÃ bahÆn pak«Ãn  JCand_3.4a
heto÷ kuto 'pi vaiÓi«ÂyÃt  JCand_5.35a
hetvÃdir nihnutiæ vinÃ  JCand_5.29b
hrasvavyavahitau raïau  JCand_6.23d
