Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
nàsavarõeùu tadgraham  Ang_1.337d
nàstikaü kiübhaviùyanta-  Ang_1.752a
nàstikaü paradåùakam  Ang_1.750b
nikùipeccàvanãtale  Ang_1.1014d
nikùipya taduparyevaü  Ang_1.793c
nikhanetkàü÷cidapyuta  Ang_1.1016d
nikhilàgama÷àstraugha-  Ang_1.499c
nikhilàni samàcaret  Ang_1.5d
nikhilànyaghahàni vai  Ang_1.163b
nikhilà màtaro j¤eyà  Ang_1.392a
nikhilàþ prapitàmahàþ  Ang_1.33b
nikhilebhyo sutebhyo 'sàv  Ang_1.446a
nityakarmàõi yàni và  Ang_1.1077b
nityakalyàõakàrakaþ  Ang_1.597d
nityakàmyàdikaü caret  Ang_1.269b
nityatçptà bhavanti vai  Ang_1.554d
nityatçptà bhaveyurvai  Ang_1.33a
nityatçptàþ sutoùitàþ  Ang_1.542b
nityamàkà÷aråpàste  Ang_1.866a
nityayàcakameva ca  Ang_1.745d
nityayuktaþ sadà yogyaþ  Ang_1.594c
nityavetanajãvinam  Ang_1.758d
nitya÷uddhà prakãrtità  Ang_1.921b
nitya÷rãko nityapuùpo  Ang_1.522a
nityaü ca salilàkàïkùã  Ang_1.464a
nityaü teùàü mçtàheùu  Ang_1.1071c
nityaü trivàraü tatraiva  Ang_1.191a
nityaü triùavaõasnàyã  Ang_1.196c
nityaü naimittikaü kàmyaü  Ang_1.94c
nityaü priyapuraþsaram  Ang_1.189d
nityaü vai gàrhapatyaü ca  Ang_1.823c
nityaü ÷àkasahasrasya  Ang_1.579c
nityàgniü pårvavayasaü  Ang_1.771a
nityànandaþ prajàyate  Ang_1.467b
nityà 'prayatavarùmàõaü  Ang_1.744a
nityàbhivandane sandhyà-  Ang_1.345a
nityàmlayukto vartasva  Ang_1.577a
nidànànãti tàn jaguþ  Ang_1.477d
nidhànasya pavitrasya  Ang_1.500a
nidhàya kila padmajaþ  Ang_1.531b
nipuõaþ sarvakarmasu  Ang_1.560d
nipuõà÷ca vicakùaõàþ  Ang_1.582b
nimantraõadinàtparam  Ang_1.759b
nimantraõaü ca pårvedyuþ  Ang_1.734a
nimittagrahaõa÷ràddhaü  Ang_1.276a
nimittaü tatra vidyate  Ang_2,10.3d
niyataü pràpyate sukham  Ang_2,3.3b
niyatàtmà yàvakà÷ã  Ang_1.222a
niyamo 'yamudàhçtaþ  Ang_1.1072b
niyamo 'yaü prakathito  Ang_1.285c
niruddhapretakçtyànàü  Ang_1.92c
niruddhapretakçtyà ye  Ang_1.93a
niruptamanyodde÷ena  Ang_1.233a
nirõãtà viùõunà purà  Ang_1.11b
nirdayaü dànavimukhaü  Ang_1.750a
nirdoùà saiva kathità  Ang_1.909a
nirmàlyamatidurlabham  Ang_1.237d
nirmålo bahupuùpakaþ  Ang_1.522b
nirlajjayà lokapuraþ  Ang_1.200c
nirvatyaiva vidhànataþ  Ang_1.252d
nivasedeva satataü  Ang_1.465a
nivçttakùurakarmakam  Ang_1.752d
nivçttena na pàtavyaü  Ang_2,8.15a
nivedanàdatha punas  Ang_1.234c
niveditamahàkùaõe  Ang_1.238d
niveditasya haviùo  Ang_1.239a
niveditàni vaståni  Ang_1.246a
niveditànnataþ pa¤ca-  Ang_1.1078a
niveditena rucyarthaü  Ang_1.233c
niùkàmo bhojanaü caret  Ang_1.299b
niùkçtitvena vipràõàü  Ang_1.153c
niùkçtirvihità sadbhir  Ang_1.156c
niùkçtirvihitàsti hi  Ang_1.154b
niùkçtiþ kathità sadbhiþ  Ang_1.152c
niùkriyaü vedanindakam  Ang_1.746d
niùphalaü yàti tatkarma  Ang_1.123c
niþ÷eùamiti boddhavyaü  Ang_1.673c
nãlanetro marutpatiþ  Ang_1.519b
-nukalpenaiva tatsmçtam  Ang_1.265b
-nuùñhànaü jàyatetaràm  Ang_1.619b
nçpavçttiü vai÷yavçttiü  Ang_1.755c
nçpavai÷ya÷ràddhabhissà-  Ang_1.763a
nçbhedena vivakùitàþ  Ang_1.298b
netçtvenaiva tatkriyà  Ang_1.131b
naikasya tanayàste syus  Ang_1.336a
naitasmàttu paraü ÷ràddhaü  Ang_1.616c
naitàni kuryàdyatnena  Ang_1.1028a
naite mantrà yàjamànà  Ang_1.818a
naiteùàü tulyamaparaü  Ang_1.491a
naimittike ca tàsàü syàd  Ang_1.584c
naimittikeùu nityeùu  Ang_1.593c
naiva gacchati kartàraü  Ang_2,6.10a
naiva gacchati pàrùadam  Ang_2,6.10b
naivàneneti vai manuþ  Ang_1.264b
nopeyàcca striyaü taràm  Ang_1.67b
nopeyàttatpraviùñaþ san  Ang_1.70a
nopeyàttasya tàmapi  Ang_1.70b
nobhayostu tathà vidhiþ  Ang_1.127b
nyakkçtya gurubàndhavàn  Ang_1.261d
nyakkçtya vàcà dhikkçtya  Ang_1.375c
nyånà eva bhavanti te  Ang_1.409b
nyåno 'pi vayasà jyeùñhaþ  Ang_1.380c
nvàhuveti mantrakam  Ang_1.858d
pakvapàtragamaiva và  Ang_1.241d
pakvamannaü tu garhitam  Ang_2,9.9b
pakvànnavarja viprebhyo  Ang_2,8.10a
pakvena jalatailàbhyàü  Ang_1.530a
pakùamadhye tu viü÷atiþ  Ang_1.707b
pakùamàtraü parityajet  Ang_1.760b
pakùamàtraü prayatnena  Ang_1.189c
pakùayorubhayorapi  Ang_2,6.13d
pakùànte ÷ràddhadakùiõà  Ang_1.696d
pakùeõa kenacitkuryàt  Ang_1.705a
pa¤cagavyastilaiþ ÷vetaiþ  Ang_1.88a
pa¤cagavyasya prà÷anam  Ang_2,8.20b
pa¤cagavyena ÷udhyati  Ang_1.961d
pa¤cagavyena ÷udhyati  Ang_2,9.16d
pa¤ca pràõàhutau mantràþ  Ang_1.829c
pa¤camàdi yathàkramam  Ang_1.1008b
pa¤cayojanaparyanta-  Ang_1.941a
pa¤caràtraü caredbhuktvà  Ang_2,9.3c
pa¤caràtraü caredvajraü  Ang_2,9.9c
pa¤caviü÷ativarùebhyaþ  Ang_1.1064c
pa¤caviü÷atyàdito vai  Ang_1.933c
pa¤casaptàrùakaü vaitan  Ang_1.347a
pa¤ca snànasahasràõi  Ang_1.222c
pa¤càrùeyàõi santi hi  Ang_1.350d
pa¤caite brahmapurato  Ang_1.569a
pa¤caiveti trayaü ceti  Ang_1.658c
pañhanàtkçtakçtyatà  Ang_1.767d
pañhanàttattrayaü punaþ  Ang_1.309d
pañhanàt sarvakilbiùaiþ  Ang_1.159d
pañhanãyaü sakçtkila  Ang_1.903b
pañhane bràhmaõasya vai  Ang_1.160d
pañhitàni dvijàtibhiþ  Ang_1.157d
pañheyurvai vidhànena  Ang_1.461c
pañhyate dharmapàñhakaþ  Ang_2,5.5d
paõe tu parùapakalpasya  Ang_2,6.1a
patitànàü ca sarveùàü  Ang_2,9.7c
patitànàü vikarmiõàm  Ang_1.138b
patitàni bhuvaþ sthale  Ang_1.560b
patitàn màtaraü sutam  Ang_1.139d
patitàü païkalagnàü và  Ang_2,11.6c
patitaiþ saha pa¤camaþ  Ang_2,7.8d
patinà saha kartavyaü  Ang_1.663c
patimeva mitho 'sataþ  Ang_1.140b
pativratà tvanyadine 'nugacched  Ang_1.988a
patedevà÷u taiþ saha  Ang_1.204d
patnã cedàrtavà yadi  Ang_1.989b
patnã tanayaràhitya-  Ang_1.450c
patnã putro 'thavà maurkhyàd  Ang_1.374a
patnãü dçùñvà ciraü pçthak  Ang_1.402b
patnyàdãnàmalaükàraþ  Ang_1.1094a
patnyàþ kuryàdaputràyàþ  Ang_1.975c
patyanyanarayogasya  Ang_1.186c
patyanyena citi vrajet  Ang_1.184d
patyurmàtràdibhiþ saha  Ang_1.975d
patratastrividho j¤eyaþ  Ang_1.529c
patrapuùpamahàvallã-  Ang_1.586c
patreõa ca phalena và  Ang_1.553b
patraiþ puùpai÷ca tatkàùñhair  Ang_1.547a
padmakàpilaùaùñhyàü và  Ang_1.914c
panasasthàpakaü tu tam  Ang_1.492d
panasasthàpakaü procuþ  Ang_1.496a
panasasthàpako hçdà  Ang_1.543b
panasasya tvakàmayan  Ang_1.581b
panasaü kàrtike 'va÷àt  Ang_1.559b
panasaü yatra kutràpi  Ang_1.548c
panasaü sahakàrai÷ca  Ang_1.545a
pannayugmadvayasya cet  Ang_1.385b
payaso vatsapãtatvàd  Ang_1.906c
payo madhu ghçtaü cànte  Ang_1.814a
paradàraparaü duùñaü  Ang_1.748a
paradàraikacintakam  Ang_1.748b
paramaü tçptikàrakam  Ang_1.903d
paramà cottamà ceti  Ang_1.942a
paramàþ kàraõànãha  Ang_1.1110c
paralokagatasya tat  Ang_1.483d
paralokadidçkùavaþ  Ang_1.334b
paralokaü na vindati  Ang_1.462d
paralokànukålà yà  Ang_1.479c
parasaunapurohitaþ  Ang_1.766b
parasparavirodhataþ  Ang_1.92b
parasminnapi gotrake  Ang_1.345d
paraü tadgrahaõàtputras  Ang_1.405c
paraü tçptàþ ÷atàbdakàt  Ang_1.557d
paraü tçptàþ smeti coktvà  Ang_1.565c
paraü tridinaparyantaü  Ang_1.920c
paraü triràtràddahanaü  Ang_1.990a
paraü tveùà parà na tu  Ang_1.217d
paraü putraþ sa ÷àstrataþ  Ang_1.1064d
paraü pràptaikagotriõaþ  Ang_1.353b
paraü vastradvayaü datvà  Ang_1.86c
paraü và tatkçtàkçtam  Ang_1.795d
paràkàti÷atairapi  Ang_1.1065d
paràga÷rutidãpanaþ  Ang_1.524d
paràõi tatkalatràõi  Ang_1.437a
parà durvarõanàmàni  Ang_1.455a
parànninaü paràdhãnaü  Ang_1.755a
parà vyàhçtayaþ ÷ivàþ  Ang_1.898b
parà vyàhçtayaþ smçtàþ  Ang_1.17b
parituùñàþ praharùitàþ  Ang_1.1088d
parito vàpi kiü punaþ  Ang_1.62d
(paripåtàþ) tataþ sadyas  Ang_1.21a
parivçttãti tàmeke  Ang_1.456a
pariùaccintya tatsarvaü  Ang_2,3.8c
pariùatkalpato kàryà  Ang_2,6.3a
pariùattvamudàhçtam  Ang_2,4.6d
pariùattvaü na teùvasti  Ang_2,4.8c
pariùat saüpada÷caiva  Ang_2,3.7c
pariùadda÷adhà proktà  Ang_2,1.3c
pariùadbràhmaõànàü ca  Ang_2,5.7a
pariùadyatra vartate  Ang_2,2.2d
pariùicya tataþ pa÷càd  Ang_1.959c
pariùicyàpradakùiõam  Ang_1.811d
pariùi¤cati mantrataþ  Ang_1.823d
pariùi¤cennaivameva  Ang_1.236c
parihàràya và na cet  Ang_1.1070b
parãhàraikavarjitàþ  Ang_1.901b
paredyurvà prayatnena  Ang_1.1073c
paredyustatpuna÷caret  Ang_1.275d
pareùàü ÷ådratulyo 'yaü  Ang_1.207c
pare 'hani punaþ÷ràddhaü  Ang_1.968c
pare 'hanyeva tarpaõam  Ang_1.718b
paryantaü kila sarvadà  Ang_1.601b
paryantaü cittamucyate  Ang_1.151b
paryantaü da÷amàditaþ  Ang_1.18b
parvaõoryogakàleùu  Ang_1.766c
parvatàdisamudbhavàþ  Ang_1.935b
parùadà kriyate yattat  Ang_2,4.2c
parùadi bråhi tatsarvaü  Ang_2,2.10c
parùadeùà da÷àvarà  Ang_2,5.1d
parùadvacca vrataü smçtam  Ang_2,5.7d
pavitre ÷ràddhakarmaõi  Ang_1.534b
pa÷ubandhaü ca taddine  Ang_1.30d
pa÷càccaturthadivase  Ang_1.80c
pa÷càcchàkhàdibhiryajet  Ang_1.241b
pa÷càcchuddhimavàpnoti  Ang_1.90c
pa÷càcchràddhaü samàcaret  Ang_1.31b
pa÷càjjàtaþ kaniùñho 'pi  Ang_1.416a
pa÷càjjàtaurasasya ca  Ang_1.376d
pa÷càtkàryànusàreõa  Ang_2,1.7c
pa÷càtkçcchratrayaü caret  Ang_1.356b
pa÷càttajjàtajanmanàm  Ang_1.185b
pa÷càttantraü prayoktavyam  Ang_1.79c
pa÷càttu dahyàttàpena  Ang_2,10.18c
pa÷càttu pràkçtaü caret  Ang_1.191b
pa÷càtpatnyà prakãrtitam  Ang_1.1034d
pa÷càtpiõóapradàne 'pi  Ang_1.831a
pa÷càtsapatnãmàtuþ syàt  Ang_1.1034c
pa÷càtsnànaü ca bodhitam  Ang_1.678b
pa÷càtsyàdbhåribhojanam  Ang_1.76d
pa÷càdannaü yathà purà  Ang_1.822b
pa÷càdabhya¤janasnànaü  Ang_1.253a
pa÷càdàràdhanaü kuryàt  Ang_1.113c
pa÷càdudabhavadvàõã  Ang_1.186a
pa÷càddadyàtsamàhitaþ  Ang_1.244d
pa÷càddar÷aü prakurvãta  Ang_1.1029a
pa÷cànmàtàmahasyàpi  Ang_1.1034a
pa÷cànmau¤jã prakartavyà  Ang_1.17c
pa÷yata÷cakùuùã caiva  Ang_1.740c
pa÷yatastasya purato  Ang_1.567a
pa÷yetsadyo mukhaü pumàn  Ang_1.324d
pa÷yemeti vilokayet  Ang_1.769b
'pasàryo yastu kàryavàn  Ang_2,3.5d
pàkasyàrambhato 'khilam  Ang_1.29b
pàkàrambhasamàrambhaþ  Ang_1.21c
pàkàrambhasya pårvaü tat  Ang_1.26c
pàkàrambhàtparaü tu na  Ang_1.27b
pàkùiko 'yaü mahàlayaþ  Ang_1.482b
pàtakã nàtra saü÷ayaþ  Ang_1.160b
pàtakeùu ÷ataü parùat  Ang_2,7.7a
pàtanaü caiva ÷çïgasya  Ang_2,10.8c
pàtràya jalakàükùiõe  Ang_1.561d
pàtreõa saha kevalam  Ang_1.819d
pàtrebhyo 'pi tathà gràhyaü  Ang_2,8.14a
pàthasi snànamucyate  Ang_1.177d
pàtheyàkhyasya såribhiþ  Ang_1.675d
pàdaprakùàlanaü ÷ràddhe  Ang_1.780a
pàdaprakùàlanàrthàya  Ang_1.1081a
pàdaprakùàlane teùàü  Ang_1.1080c
pàdaprakùàlane bhavet  Ang_1.781b
pàdamekaü caredrodhe  Ang_2,10.4a
pàdamekaü samàcaret  Ang_2,10.21f
pàda÷aucakriyà kàryà  Ang_2,11.3a
pànasadravyamuttamam  Ang_1.552d
pànasairàmrakaiþ ÷ivaiþ  Ang_1.598b
pànãyapàne kurvãta  Ang_2,8.20a
pànãyasyà÷aratsamam  Ang_1.285b
pàpaprakhyàpanaü kurvan  Ang_1.209c
pàpamardhaü samàdi÷et  Ang_2,10.20b
pàpaü martyo na cà ' 'caret  Ang_1.101b
pàpaikabahuleùu ca  Ang_1.213b
pàragà ye dvijottamàþ  Ang_2,5.2b
pàrame÷varasàyujyaü  Ang_1.912a
pàramparyeõa kevalam  Ang_1.351d
pàrvaõaü tadvidhànena  Ang_1.112a
pàr÷vataþ parito vàpi  Ang_1.61c
pàrùadatvaü samàgataiþ  Ang_2,4.4d
pàlakasya prakurvãta  Ang_1.999c
pàlayedeva dharmeõa  Ang_1.356a
pàvakapratimaü sàkùàn  Ang_1.1a
pàvakasya tu dhãmataþ  Ang_2,6.11b
pàvakàstàrakàþ paràþ  Ang_1.14d
pàvake juhuyàccarum  Ang_1.955d
pàvanaü paramaü proktaü  Ang_1.943a
pàvanã narmadà caiva  Ang_1.919a
pà÷alagne tathà dàhe  Ang_2,10.6c
pà÷àóhyaþ pà÷aduþsahaþ  Ang_1.525b
pàsyàmi salilaü veti  Ang_1.562c
piõóakàle tu te punaþ  Ang_1.867b
piõóagolakasaüyoge  Ang_1.946c
piõóadànaü ca dakùiõà  Ang_1.686b
piõóadànaü yathàvidhi  Ang_1.957d
piõóadànaü samàcaret  Ang_1.105b
piõóadànàtparaü yasya  Ang_1.964a
piõóadànena mantrataþ  Ang_1.630b
piõóamekaü dvayoþ kùipet  Ang_1.981b
piõóamekaü dvayoþ kùipet  Ang_1.991d
piõóàni vàyasebhyo và  Ang_1.687c
piõóànvà nikùipetteùàü  Ang_1.394c
piõóàstrãnava nirvapet  Ang_1.75d
piõóàüstànpåjayettataþ  Ang_1.859d
piõóe ca vidalãkçte  Ang_1.946b
pitarastasya kevalam  Ang_1.881b
pitarastundilàþ sadyo  Ang_1.542c
pitaraü ca pitàmaham  Ang_1.1104d
pitaraü bhràtaraü patnãü  Ang_1.140a
pitaràvasya tau matau  Ang_1.422d
pitaro nityatçptàste  Ang_1.911c
pitaro nityameva vai  Ang_1.1018d
pitaro naiva tçptàþ syur  Ang_1.1086a
pità càpi prakathyate  Ang_1.1063b
pitàmahàdipiõóeùu  Ang_1.981c
pitàmahàdipiõóeùu  Ang_1.992a
pitàmahàdibhiþ samyak  Ang_1.1001a
pitàmahàdivatkçtvà  Ang_1.953c
pitàmahàstataþ kila  Ang_1.892b
pitàmahe tatparasmin  Ang_1.965c
pitàmahebhya eva ca  Ang_1.890b
pità yasya babhåva vai  Ang_1.1059d
piturucchiùñapàtràõi  Ang_1.874c
pitureva sapiõóatve  Ang_1.998a
piturmàtuþ samantrakam  Ang_1.994d
piturmàtuþ svasustathà  Ang_1.689b
piturmçtatithiü yo và  Ang_1.1057c
pituryadi punastaràm  Ang_1.434b
piturviyogàtparataþ  Ang_1.105a
pitu÷càpyakçtakriyaþ  Ang_1.305d
pitustu bhraü÷amàtreõa  Ang_1.1062a
pituþ karma kçtaü tu cet  Ang_1.443b
pituþ karma kçtaü tena  Ang_1.445a
pituþ piõóapradànena  Ang_1.111a
pituþ ÷ràddhasamatvena  Ang_1.1030a
pituþ ÷ràddhaü prathamato  Ang_1.1033c
pituþ ÷ràddhàtparaü ÷ràddhaü  Ang_1.275a
pituþ siddheranantaram  Ang_1.112b
pitçkçtyaü pretakçtyaü  Ang_1.144c
pitçkriyàdinapràpta-  Ang_1.31c
pitçtçptinimattakam  Ang_1.553d
pitçtçptimakçtvaiva  Ang_1.551c
pitçtçptiü cakàra ha  Ang_1.557b
pitçtvamapi dattena  Ang_1.422a
pitçtvamapi màtçtvam  Ang_1.120a
pitçtvamapi màtçtvam  Ang_1.423a
pitçtvamapi màtçtvaü  Ang_1.119a
pitçtvaü janitaryeva  Ang_1.124a
pitçtvaü màtari gatam  Ang_1.117a
pitçtvaü màtari gatam  Ang_1.424a
pitçnà÷adinena vai  Ang_1.400b
pitçpatnyà vicakùaõaþ  Ang_1.440b
pitçpiõóàrcanaü yaistu  Ang_1.860a
pitçpràõaikaråpiõaþ  Ang_1.498b
pitçprãtyai pitþn mahàn  Ang_1.563b
pitçprãtyai bubhukùitaþ  Ang_1.556d
pitçbhya iti vai punaþ  Ang_1.854d
pitçbhya÷ca krameõa vai  Ang_1.797b
pitçbhya÷ca prathamataþ  Ang_1.890a
pitçbhyo pravadettaràm  Ang_1.839d
pitçbhràtçmukhaiþ khalaiþ  Ang_1.193b
pitçyaj¤amukhàdeva  Ang_1.627c
pitçyaj¤aü samàcaret  Ang_1.104b
pitçyaj¤aþ ÷rutãritaþ  Ang_1.628b
pitçloke ca te 'ni÷am  Ang_1.1019d
pitçvargastu pårvaü syàn  Ang_1.664c
pitçvarge niyojayet  Ang_1.982d
pitçvargo yatra pårvaü  Ang_1.665c
pitçvyatvena tàdç÷e  Ang_1.132b
pitçvyapatnyàdãnàü syàt  Ang_1.118a
pitçvyapatnyàdãnàü syàt  Ang_1.425a
pitçvyasånustvathavà sagotraþ  Ang_1.426b
pitçvyàdikamuccàrya  Ang_1.129c
pitçvyo yadi kevalam  Ang_1.1039b
pitç÷ràddhasamànataþ  Ang_1.726d
pitçsåktavi÷eùakàþ  Ang_1.537b
pitçsåktàni sarvàõi  Ang_1.539c
pitçsthàna u÷antastvà  Ang_1.799c
pitçsthànasya và kimu  Ang_1.1079d
pitçsthànasya viprasya  Ang_1.967a
pitçhetuprapàñhanàt  Ang_1.308d
pitranta eva kathitaü  Ang_1.670c
pitràtyantaikakalahe  Ang_1.1047a
pitràdibhinna÷ràddhànàü  Ang_1.1035c
pitràdibhyo nivedayet  Ang_1.825b
pitràdervamanaü yadi  Ang_1.953b
pitrudvàmanataþ param  Ang_1.1096b
pitrorevàyamucyate  Ang_1.1029b
pitrormçtàhastvannena  Ang_1.629c
pitrormçtàhaü satatam  Ang_1.277a
pitrormçtàhaþ kathito  Ang_1.608a
pitrorvyatyàsataþ kçtaþ  Ang_1.948d
pitrostyakte tu paitçke  Ang_1.152b
pitroþ ÷ràddhamupasthitam  Ang_1.272b
pitroþ ÷ràddhasya ùaõmàsàt  Ang_1.1011c
pitroþ ÷ràddhaü svapatnyà÷ca  Ang_1.723c
pitroþ ÷ràddhe vi÷eùeõa  Ang_1.741c
pitryàkarùaõavarùmaõaþ  Ang_1.500b
pitryàdikriyayà kàlàd  Ang_1.416c
pitþõàmatitçptaye  Ang_1.535b
pitþõàmativallabhàþ  Ang_1.540d
pitþõàmapi sarveùàü  Ang_1.483a
pitþõàmarcane mahàn  Ang_1.789b
pitþõàmevameva vai  Ang_1.777b
pitþõàü ca kramo mukhyo  Ang_1.669c
pitþõàü ca prasàdakam  Ang_1.886d
pitþõàü ca prasàdataþ  Ang_1.885d
pitþõàü tàü samàcaret  Ang_1.549d
pitþõàü dakùiõàmukhaþ  Ang_1.784b
pitþõàü duþkhavàrakam  Ang_1.943d
pitþõàü narakaü ghoraü  Ang_1.780c
pitþõàü panasaþ ÷rãmàn  Ang_1.568a
pitþõàü rajataü param  Ang_1.893d
pitþõàü ÷ràddhasaüpade  Ang_1.708d
pitþõàü sarvadàtyantaü  Ang_1.595c
pitþõàü saükaro bhavet  Ang_1.1003d
pitþn devàn pràkçtànvai  Ang_1.774c
pibatyanekatarasà  Ang_1.563a
pibantaü caiva vatsakam  Ang_2,11.8d
pibaüstadvidhinà rudan  Ang_1.200b
pibetpànãyamaj¤ànàd  Ang_2,8.19c
pi÷àcàve÷inastathà  Ang_1.293b
pãóitasya vi÷eùeõa  Ang_1.294a
pãtamàtçstanaraso  Ang_1.301c
puñagarbhavidhànataþ  Ang_1.206d
puñagarbhavidhànena  Ang_1.202c
puõyakàla udàhçtaþ  Ang_1.643d
puõyakàle tvasaübhàùyaþ  Ang_1.765a
puõyakùetràdinà tathà  Ang_1.939b
puõyakùetreùu niyataü  Ang_1.210a
puõyavaidikadãkùàsu  Ang_1.258c
puõyaü càndràyaõatrayam  Ang_1.199b
puõyaü ÷ràddhavi÷eùaü vai  Ang_1.706a
puõyàyàü viùõupadyàü ca  Ang_1.647c
puõyà vyàhçtaya÷ceti  Ang_1.10a
puõye tadayanadvaye  Ang_1.913d
putragrahaõakàle tu  Ang_1.361a
putragrahaõatuùñyaiva  Ang_1.391c
putragrahaþ prakathito  Ang_1.403a
putratvaü nànyathà matam  Ang_1.306d
putratvaü samavàpnoti  Ang_1.126c
putratvenodaraparo  Ang_1.427c
putrapautràdibhiþ saha  Ang_1.862d
putrapradànasamaye  Ang_1.368a
putrapradànasamaye  Ang_1.370a
putrayatraü sadà kuryàd  Ang_1.321c
putravànagnimànnityaü  Ang_1.317c
putravàneva bhàgyavàn  Ang_1.318b
putravàn yadi tadbhavet  Ang_1.323d
putravàn ÷rotriyaþ smçtaþ  Ang_1.317d
putravikrayiõaü tathà  Ang_1.748d
putrasaüpàdanaü dhãmàn  Ang_1.326a
putrasvãkaraõàdatha  Ang_1.1010d
putraü na pratigçhõãyàd  Ang_1.383c
putriõastu triviùñapam  Ang_1.316d
putrã sàkùàdbrahmavicca  Ang_1.318a
putre jàte tato bhåyaþ  Ang_1.1010c
putreõa jàtamàtreõa  Ang_1.324a
putreõa vidinàtmanà  Ang_1.1060d
putreõa sthàvaraü dànaü  Ang_1.320c
putreõaitena tatkùaõàt  Ang_1.318d
putreùu satsu dattena  Ang_1.443a
putro j¤àtimato dattaþ  Ang_1.307c
punantu màü bràhmaõapàdapàüsavaþ  Ang_2,12.16d
punaranyàni kevalam  Ang_1.843b
punaranye tathàvidhàþ  Ang_1.540b
punaranyeùu tàþ punaþ  Ang_1.914d
punarapyupakàriõaþ  Ang_1.1043d
punarupanayàtparam  Ang_1.203b
punarna iti bhåya÷ca  Ang_1.859a
punarniråpyate spaùñam-  Ang_1.609c
punarvivàhità måóhaiþ  Ang_1.193a
punarvivàhità sà tu  Ang_1.194a
punarvivàhitenaiva  Ang_1.398a
punarvi÷eùaþ ko 'pyasti  Ang_1.1045a
punaþkaraõasaüpràptau  Ang_1.945a
punaþ kàmàdvivàhità  Ang_1.449b
punaþ kumbhaghañeùu ca  Ang_1.1016b
punaþ kuryàttu tàü kriyàm  Ang_1.129d
punaþ kuryàdyathàvidhi  Ang_1.130d
punaþ pakùàntaraü proktaü  Ang_1.987c
punaþ pàkaü prakurvãta  Ang_1.957c
punaþ pàkena tacchràddha-  Ang_1.967c
punaþ pàkena sadyo vai  Ang_1.972c
punaþ pretatva÷aïkayà  Ang_1.881d
punaþ ÷ràddhaü pare 'hani  Ang_1.949b
punaþ sametaü tatprocur  Ang_1.680c
punaþ saükalpamàcaret  Ang_1.806d
punaþ saükalpayitvaiva  Ang_1.804c
punaþsaüdhànavidhinà  Ang_1.1021c
punaþsaüskàra eva hi  Ang_1.59b
punaþsaüskàratastathà  Ang_1.152d
punaþsaüskàrataþ punaþ  Ang_1.202b
punaþsaüskàrataþ ÷uddhaþ  Ang_1.57c
punaþsaüskàrato 'pi tat  Ang_1.66b
punaþsnànaü yathàvidhi  Ang_1.254b
punaþ snànàntaraü vinà  Ang_1.256b
puraskçtyàrthalobhataþ  Ang_1.121b
purà kila pitçtçpti-  Ang_1.503a
purà ku÷avane puõye  Ang_1.558c
puràõasmçticodità  Ang_1.4d
puràõokteùveùu satsu  Ang_1.7a
purà saüskçtayoþ purà  Ang_1.226b
puruùasåktajapo vàpi  Ang_1.156a
puruùasåktena juhuyàd  Ang_1.956a
puruùo hyardhabhàgbhavet  Ang_2,10.20d
puroktànyanyathàkçtvà  Ang_1.365a
purohitàcàryayo÷ca  Ang_1.1043a
puùñaü ÷ådraniketanam  Ang_1.745b
puùpavanmaõóalasama-  Ang_1.280c
påjanãyà vi÷eùataþ  Ang_1.1103b
påjità÷ca bhaviùyanti  Ang_1.1089a
påpasya sthànake tataþ  Ang_1.727d
pårayetpitçtçptyarthaü  Ang_1.1089c
pårõapàtraü ÷armapàtraü  Ang_1.524a
pårvagotre prave÷ayet  Ang_1.352d
pårvataþ pçùñhato 'pi và  Ang_1.61b
pårvadvaye tu satataü  Ang_1.721c
