Visnusmrti


Based on the edition by V. Krishnamacharya, 
Madras : The Adyar Library and Research Center, 1964 (in 2 parts).
(The Adyar Library Series ; vol. 93,1 + 2) 

Input by I. Shima, and collated by T. Hayashi in August 1991.



Completely revised GRETIL version, 2002.


PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akàmaş svayam arjitam  Vi_18.43d
puõóarãkàkùaü acyutam  Vi_1.60b
putreõa lokàn jayati  Vi_15.46a
punar màm ity çcaü japet  Vi_28.51d
punas taü hàrayel lohaü  Vi_11.9c
punaş saüskàrakartà ca  Vi_91.19c
punãdhvaü ca yavà mama  Vi_48.21d
punãdhvaü ca yavà mama  Vi_48.22f
punnàmno narakàd yasmàt  Vi_15.44a
puram àkramya sakalaü  Vi_97.15a
purastàd anucoditàm  Vi_57.11b
puràõa puruùottama  Vi_1.51d
puràõapuruùottama  Vi_1.56d
puruùas tu niraïku÷aş  Vi_52.15b
puruùair bhår yathàvidhi  Vi_5.188b
puùñis tathàsàü rajasi pravçddhà  Vi_23.61b
puùñiş ÷ràddhe kçte dhruvam  Vi_20.36b
puùpitànàü ca vãrudhàm  Vi_50.48d
puùpeùu ÷ukleùu ca parvateùu  Vi_99.16c
påjayitvà tataş pa÷càd  Vi_67.42c
påjayitvàtha ka÷yapaş  Vi_1.30b
påjayitvà yathànyàyam  Vi_73.32c
påyagandhi sudàruõam  Vi_43.39d
påya÷oõitagandhena  Vi_43.36c
pårõaviü÷ativarùeõa  Vi_32.13c
pårõe cànasy anasthnàü tu  Vi_50.46c
pårõodakumbheùu sacàmareùu  Vi_99.13a
pårvaü bhuïkte 'vicakùaõaş  Vi_67.40b
pårvàhõe càparàhõikam  Vi_20.41b
pçcchàmi ka÷yapaü gatvà  Vi_1.20a
pçcchàmy ahaü te vasatiü vibhåteş  Vi_99.6d
pçthivã nàtra saü÷ayaş  Vi_87.9d
pçthivyàü sarvatãrthànàü  Vi_35.6c
pç÷nigarbhaü dhçtàrciùam  Vi_1.59d
paitçkaü tu yadà dravyam  Vi_18.43a
pautradauhitrayor loke  Vi_15.47a
pautreõànantyam a÷nute  Vi_15.46b
paurõamàsã tu mahatã  Vi_49.9c
paurõamàsyàü tathaiva ca  Vi_49.8b
prakà÷aü vàprakà÷aü và  Vi_5.191c
prakãrõapàtake j¤àtvà  Vi_42.2a
prakçtànnaü yathà÷akti  Vi_67.38c
prakùàlya bhaïktvà taj jahyàc  Vi_61.17a
pracchannapàpà japyena  Vi_22.90c
pracchannà và prakà÷à và  Vi_16.17c
prajàsukhe sukhã ràjà  Vi_3.98a
prajàs tatra vivardhante  Vi_3.95c
pratij¤àü sa jayã bhavet  Vi_8.39b
pratiråpakasàhasaiş  Vi_58.11b
prati÷rayaü tathà ÷ayyàü  Vi_67.46a
pratyakùadeveùu parokùadevàş  Vi_19.23d
pratyekadànenàpnoti  Vi_67.46c
prathamaş sàhasaş smçtaş  Vi_4.14b
pradadàti gçhastha÷ ca  Vi_59.27c
pradadyàd àsanodake  Vi_67.45b
prapannàsmi jagannàtha  Vi_1.58c
prabuddhe padmasaübhave  Vi_1.1b
prabhavaty àtmanaş sadà  Vi_24.40d
prabhàyutà nakhàs tàmrà  Vi_1.27a
prabhåtam upatiùñhati  Vi_86.20d
prayata÷ ca ÷ucir bhåtvà  Vi_66.16a
prayayau ke÷avaü draùñuü  Vi_1.33c
pravadanti manãùiõaş  Vi_51.78d
pravargyàvartabhåùaõaş  Vi_1.8d
pravidhàna÷atair api  Vi_20.46b
pravi÷eyur hutà÷anam  Vi_34.2b
prasamãkùya nivarteta  Vi_51.72c
prasahya harate janam  Vi_20.43d
prasåtàsu mçtàsu ca  Vi_22.43d
prasrave ca ÷ucir vatsaş  Vi_23.49c
pràkchàye ku¤jarasya ca  Vi_78.53d
pràgràtràpararàtreùu  Vi_97.16a
pràgvaüùakàyo dyutimàn  Vi_1.7c
pràjàpatyam anicchayà  Vi_38.7d
pràõatyàgàd anantaram  Vi_43.32b
pràõàyàmaü dvijaş kuryàt  Vi_55.8a
pràõàyàmaş sa ucyate  Vi_55.9d
pràõàyàmàş paraü tapaş  Vi_55.17b
pràõàyàmena ÷udhyati  Vi_50.47d
pràõàyàmair dvijasya tu  Vi_55.8d
pràõinàm atha sarveùàü  Vi_23.42a
pràõinàü na cikãrùati  Vi_51.69b
pràõihiüsàparo yas tu  Vi_52.17a
pràtarbhåtvà ca yatavàg  Vi_61.16c
pràtaşsnàyã bhaven nityaü  Vi_90.29c
pràtibhàvyaü vidhãyate  Vi_6 41b
pràptakàlo na jãvati  Vi_20.44d
pràptavantaş paraü sthànaü  Vi_47.10c
pràptaü ca saha bhàryayà  Vi_58.9b
pràpnuvanty ucchritãş punaş  Vi_51.63d
pràya÷cittam abhojanam  Vi_54.29d
pràya÷cittamahàghoõaş  Vi_1.5c
pràya÷cittaü cikãrùanti  Vi_54.27a
pràya÷cittaü tataş kuryàt  Vi_52.14c
pràya÷cittaü tu kàrayet  Vi_39.2d
pràya÷cittaü prakalpyet  Vi_54.34d
pràya÷cittaü budhaş kuryàd  Vi_42.2c
pràya÷cittaü vi÷odhanam  Vi_41.5d
pràya÷cittaü samàcaret  Vi_45.33d
pràya÷cittàrdham arhanti  Vi_54.33c
pràvçñkàle 'site pakùe  Vi_78.52c
pràsàdamàlàsu ca pàõóuràsu  Vi_99.10c
pretalokagatasyànnaü  Vi_20.33c
pretasya ÷ràddhakartu÷ ca  Vi_20.36a
pretasyàtmana eva ca  Vi_20.37d
pretàhàraiş samaü tatra  Vi_22.85c
preto bhavati yo mçtaş  Vi_20.33b
pretya ceha ca niùkçtim  Vi_51.60d
pretya ceha ca ÷à÷vatam  Vi_30.44d
pretya svarge mahãyate  Vi_3.98d
pretyeha cedç÷o vipro  Vi_93.12a
proktà saüvatsare tu sà  Vi_49.9d
prokùaõenaiva pustakam  Vi_23.56b
procyate tattvacintakaiş  Vi_97.15d
phaladànàü tu vçkùàõàü  Vi_50.48a
phalapuùpodbhavànàü ca  Vi_50.49c
phalamålà÷anair divyair  Vi_51.77a
phalàvalãsamudbhåta-  Vi_1.38c
phaleùu ramyeùu saridvaràsu  Vi_99.16d
phalgupàtreõa càpy atha  Vi_79.24d
bakavrataparo dvijaş  Vi_93.9d
bandhujãvàdharàü ÷ubhàm  Vi_1.22d
balàt kàraü vinà kçtà  Vi_5.185d
bahava÷ cet pratibhuvo  Vi_6 42a
bahir anta÷ ca bhåtànàm  Vi_97.18a
bahir etat trikaü dvijaş  Vi_55.13b
bahutvaü pratigçhõãyàt  Vi_8.40a
bahu deyaü ca no 'stv iti  Vi_73.28d
bahånàü prekùamàõànàü  Vi_68.46c
bahånãndrasahasràõi  Vi_20.25a
bàndhavànàm a÷auce tu  Vi_20.32a
bàndhavais tasya kiü kàryaü  Vi_20.31c
bàlaghnàü÷ ca kçtaghnàü÷ ca  Vi_54.32a
bàladhårtam adharmaü ca  Vi_48.22a
bàlo vàpy ånaùoóa÷aş  Vi_54.33b
bàhyànàü siddhikàraõam  Vi_16.18d
bãjauùadhimahàphalaş  Vi_1.6b
buddhir j¤ànena ÷udhyati  Vi_22.92d
bçhatàü bçühaõàj¤eya  Vi_1.55a
baióàlavratike dvije  Vi_93.7b
baióàlavratiko j¤eyo  Vi_93.8c
bradhnasyàpnoti viùñapam  Vi_15.46d
brahmaghnàü ye smçtà lokà  Vi_10.9a
brahmacaryam atandritaş  Vi_28.47b
brahmacarye vyavasthità  Vi_25.17b
brahmacàrã yatir bhikùur  Vi_59.26a
brahmajanma hi viprasya  Vi_30.44c
brahmabhåtam amàvàsyàü  Vi_49.8a
brahmaràtryàü vyatãtàyàü  Vi_1.1a
brahmalokaü samà÷nute  Vi_31.10d
brahma÷ãrùo mahàtapàş  Vi_1.3d
brahmà caiva prajàpatiş  Vi_55.18d
brahmà devànàü padavãş kavãnàm  Vi_48.6a
brahmà rudras tathaiva ca  Vi_47.10d
bràhamaõàntaritaü bhaikùyam  Vi_23.48c
bràhmaõas tu tayoş pità  Vi_32.17d
bràhmaõas tu suràü pibet  Vi_54.7b
bràhmaõaü da÷avarùaü ca  Vi_32.17a
bràhmaõaü và bahu÷rutam  Vi_5.190b
bràhmaõànàm akalpayan  Vi_23.47b
bràhmaõànàü parãvàdaü  Vi_48.22e
bràhmaõànàü prasàdena  Vi_19.22a
bràhmaõànumato yathà  Vi_42.2d
bràhmaõàpa÷adà hy ete  Vi_82.30a
bràhmaõàbhihitaü vàkyaü  Vi_19.22c
bràhmaõàrthe gavàrthe và  Vi_16.18a
bràhmaõàü÷ ca visarjayet  Vi_73.32b
bràhmaõàü÷ càtra bhojayet  Vi_86.18d
bràhmaõeùu kùamànvitaş  Vi_3.96d
bràhmaõo nàtra saü÷ayaş  Vi_55.21b
bràhmaõyàc ca parityaktàs  Vi_54.27c
bråhi me bhagavan dharmàü÷  Vi_1.61c
bhaktavatsala pàvana  Vi_1.57b
bhakùayed dantadhàvanam  Vi_61.16d
bhagnapçùñha÷irogrãvàş  Vi_43.44a
bhajamànàş patanti te  Vi_17.22d
bhayàd và pàtayed yas tu  Vi_11.9a
bhavanty àryavigarhitàş  Vi_27.27d
bhàgadheyaü pracakùate  Vi_81.24d
bhàryàtikramiõaü caiva  Vi_5.193a
bhàryàtvam upayànti tàş  Vi_44.45d
bhàryà yatràgnayo 'pi và  Vi_67.35d
bhàvinã te yathà dhçtiş  Vi_1.31d
bhãmànàü sadç÷ànanaiş  Vi_43.37d
bhuktavatsu ca vipreùu  Vi_67.41a
bhuktavatsu ca vipresu  Vi_67.36c
bhuktaü samyag yadà tu yat  Vi_5.186b
bhuktyàcàreõa dharmataş  Vi_5.187b
bhuktyà pràptaü hi tasya tat  Vi_5.187d
bhujaïgàbhogaveùñitàş  Vi_43.43b
bhujaïgair vç÷cikais tathà  Vi_43.34d
bhu¤jàno na sa jànàti  Vi_67.40c
bhu¤jãyàtàü tataş pa÷càd  Vi_67.41c
bhåtagràmaü caturvidham  Vi_1.17d
bhåtabhavyabhavadråpaü  Vi_97.19c
bhåtàny atithayas tathà  Vi_59.28b
bhåtikàmair naraiş sadà  Vi_100.3d
bhåtikàmo naraş sadà  Vi_100.4b
bhåtvà bhåtahitàrthinà  Vi_1.12b
bhåmaõóalam ivàparam  Vi_1.35b
bhåmiùñham udakaü puõyaü  Vi_23.43a
bhåya evàtha taü naram  Vi_10.12b
bhåyas tv àropayen naram  Vi_10.13b
bhår bhuvaş svar itãti ca  Vi_55.10d
bhçïgàrapàtreùu manohareùu  Vi_99.13c
bhçtyàn gçhyà÷ ca devatàş  Vi_67.42b
bhç÷adaõóa÷ ca ÷atruùu  Vi_3.96b
bhojanaü bahusarpiùkaü  Vi_86.18c
bhojayet saha bhàryayà  Vi_67.38d
bhojayet saha bhçtyais tàv  Vi_67.37c
bhojayed avicàrayan  Vi_67.39d
bhojayed yas tu yoginam  Vi_83.21b
bhaumikais te samà j¤eyà  Vi_23.54c
makàraü ca prajàpatiş  Vi_55.10b
makùikà vipruùa÷ chàyà  Vi_23.52a
maïgalyaü paramaü gavàm  Vi_23.59b
maïgalyaü paramaü damaş  Vi_72.5b
maõi÷çïga ivoditaş  Vi_1.9d
matte gajendre turage prahçùñe  Vi_99.11b
madãyàü vahate cintàü  Vi_1.20c
madbhakta etadvij¤àya  Vi_97.21c
madbhàvàyopapadyate  Vi_97.21d
madyàni bràhmaõasya ca  Vi_22.84b
madhukaiñabhasådana  Vi_1.54d
madhuparke ca yaj¤e ca  Vi_51.64a
madhåtkañena yaş ÷ràddhaü  Vi_78.53a
madhyamaş pa¤ca vij¤eyaş  Vi_4.14c
manava÷ ca caturda÷a  Vi_20.24d
manasà durvicintitam  Vi_48.19b
manasà pçthivã tadà  Vi_98.102b
manaş satyena ÷udhyati  Vi_22.92b
manujeùv atha kà kathà  Vi_20.25d
manova÷enàryapathànuvartinà  Vi_72.6b
mantra mantravahàcintya  Vi_1.53a
mantrais tu saüskçtàn adyàc  Vi_51.59c
mantroheõa yathànyàyaü  Vi_75.7c
manyus tan manyum çcchati  Vi_5.191d
mayà j¤àtà ÷ubhànane  Vi_1.32b
mayà prasannena jagaddhitàrthaü  Vi_100.5a
malinãkaraõãyeùu  Vi_41.5a
mahato 'py enaso màsàt  Vi_55.13c
mahatsu ca na dåùaõam  Vi_23.46d
mahad duşkham avàpnoti  Vi_52.17c
mahàpàtakinas tv ime  Vi_35.6b
mahàpàtakino yathà  Vi_36.8b
mahàprabhàve jagataş pradhàne  Vi_99.3d
mahàbalaparàkrama  Vi_1.50d
mahàmantramayo mahàn  Vi_1.8b
mahàyogabalopetaü  Vi_1.59c
mahàrauravasaüj¤itam  Vi_54.7d
mahàvyàhçtayo 'vyayàş  Vi_55.15b
mahàsàütapanena và  Vi_40.2d
mahãü sàgaraparyantàü  Vi_1.10a
mà ca yàciùma kaücana  Vi_73.30d
màtàpitror a÷u÷råùàü  Vi_48.20c
màtàmahànàm apy evaü  Vi_75.7a
màdhåkam aikùavaü ñàïkaü  Vi_22.83a
mànuùas tolyate tvayi  Vi_10.11b
mànuùas tvayi majjati  Vi_12.8b
mànuùaş ÷uddhim icchati  Vi_11.12b
mànuùaş ÷uddhim icchati  Vi_13.7b
mànuùye ca tathàpnoti  Vi_20.35c
mànyaş snàta÷ ca bhåpateş  Vi_63.50d
mà radhàma dviùate soma ràjan  Vi_86.16d
màrutenaiva ÷udhyanti  Vi_23.41c
màrjanopà¤janair ve÷ma  Vi_23.56a
màrjàra÷ ca sadà ÷uciş  Vi_23.52d
màsam a÷nãta yàvakam  Vi_39.2b
màsaü goùñhe payaş pãtvà  Vi_54.24c
mà hàsmahi prajayà mà tanåbhir  Vi_86.16c
màü bråyà avãryavatã tathà syàm  Vi_29.9d
màü sa bhakùayitàmutra  Vi_51.78a
màüsam utpadyate kvacit  Vi_51.71b
màüsaü vàrdhrãõasasya ca  Vi_80.14b
màüsàni ca na khàded yas  Vi_51.76c
mukuñenàrkavarõena  Vi_1.42c
mucyate 'satpratigrahàt  Vi_54.24d
munyannànàü ca bhojanaiş  Vi_51.77b
måtraü viñ karõaviõnakhàş  Vi_22.81b
mårchamànàş pade pade  Vi_43.36d
mçgahantur dhanàrthinaş  Vi_51.62b
mçõàlakomalau bàhå karau  Vi_1.25a
mçtapa¤canakhàt kåpàd  Vi_23.44a
mçtasyeha janà yataş  Vi_20.30b
mçte bhartari sàdhvã strã  Vi_25.17a
mçto 'pi bàndhavaş ÷akto  Vi_20.39a
mçttoyaiş ÷udhyate ÷odhyaü  Vi_22.91a
mçtprakùepeõa ÷udhyati  Vi_23.38d
mçtyur àdàya gacchati  Vi_20.42d
mçdas tisras tu pàdayoş  Vi_60.25d
mçdi sthitàhaü ca navoddhçtàyàm  Vi_99.13d
mçdbhir adbhi÷ ca kàrayet  Vi_23.42b
mçdvãkàrasamàdhvãke  Vi_22.83c
mçnmano vàryupà¤janam  Vi_22.88b
mçùñà÷ane càtithipåjake ca  Vi_99.18d
mekhalàm ajinaü daõóam  Vi_27.29a
meghe tathà lambapayodhare ca  Vi_99.9c
meghendracàpa÷ampàdyàn  Vi_1.17e
medhàvinaü brahmacaryopapannam  Vi_29.10b
maitro bràhmaõa ucyate  Vi_55.21d
maireyaü nàrikelajam  Vi_22.83d
maunàt satyaü vi÷iùyate  Vi_55.17d
mriyate tatra tallekhyaü  Vi_7.13c
mriyamàõàü÷ ca bàndhavàn  Vi_20.38b
ya àcàmayataş paràn  Vi_23.54b
ya àvçõoty avitathena karõàv  Vi_30.47a
ya idaü pañhate nityaü  Vi_100.4a
yakùaràkùasamànuùàn  Vi_1.17b
yac ca vàcà pra÷asyate  Vi_23.47d
yac càsti dayitaü gçhe  Vi_92.32b
yajeta và÷vamedhena  Vi_85.71c
yajeyur gosavena và  Vi_37.36d
yaj¤amårte nira¤jana  Vi_1.52b
yaj¤a÷iùñà÷anaü hy etat  Vi_67.43c
yaj¤àrthaü nidhanam pràptàş  Vi_51.63c
yaj¤àrthaü pa÷avaş sçùñàş  Vi_51.61a
yaj¤àrtheùu pa÷ån hiüsan  Vi_51.65a
yaj¤àü÷ ca vividhàüs tathà  Vi_1.17f
yaj¤ena tapasà tathà  Vi_67.44b
yaj¤e vare snàta÷irasy athàpi  Vi_99.16b
yaj¤o hi bhåtyai sarvasya  Vi_51.61c
yatãnàü tu caturguõam  Vi_60.26d
yato bhavati nirõayaş  Vi_10.13d
yat karoty ekaràtreõa  Vi_53.9a
yat kiücit kurute naraş  Vi_58.12b
yat kiücin manasecchati  Vi_72.5d
yatra+çõã dhaniko vàpi  Vi_7.13a
yatra kvacana gàminam  Vi_20.40b
yatra kvacana darpitaş  Vi_86.20b
yatra yatràbhijàyate  Vi_52.15d
yatra ÷yàmo lohitàkùo  Vi_3.95a
yat såtraü yà ca mekhalà  Vi_27.28b
yathàkàlam asaüskçtàş  Vi_27.27b
yathà kesariõaş ÷i÷oş  Vi_1.26d
yathà te brahmacàriõaş  Vi_25.17d
yathà tv atithipåjanàt  Vi_67.44d
yathà dhenusahasreùu  Vi_20.47a
yathàvidhena dravyeõa  Vi_58.12a
yathàvidhy upanàyayet  Vi_54.26d
yathà÷vamedhaş kraturàñ  Vi_55.7a
yathàsaükhyaü dvijàtayaş  Vi_62.9b
yathàsthànaü vibhajyàpas  Vi_1.13c
yathaivaikà tathà sarvà  Vi_22.82c
yadi tv atithidharmeõa  Vi_67.36a
yadi syàd ràhudar÷anam  Vi_77.8d
yadãcchec chà÷vataü padam  Vi_65.15d
yadãcched vipulàn bhogàü÷  Vi_90.29a
yad utpàdayato mithaş  Vi_30.45b
yad garhitenàrjayanti  Vi_54.28a
yad duùcaraü yad duràpaü  Vi_95.16a
yad dåraü yac ca duùkaram  Vi_95.16b
yad dhyàyati yat kurute  Vi_51.70a
yad bràhmaõàs tuùñatamà vadanti  Vi_19.23a
yad yat parebhyas tv àdadyàt  Vi_52.15a
yad yad iùñatamaü loke  Vi_92.32a
yady asya vihitaü carma  Vi_27.28a
yady eko 'pi gayàü vrajet  Vi_85.71b
yad yonàv iha jàyate  Vi_30.45d
yad và tad và paradravyam  Vi_44.44a
yan màüsaparivarjanàt  Vi_51.77d
yan me kiücana duùkçtam  Vi_48.18d
yam arthaü pratibhår dadyàd  Vi_6 43a
yamasya puruùair ghoraiş  Vi_43.33a
yam eva vidyàş ÷ucim apramattaü  Vi_29.10a
yayor nikùipta àdhis tau  Vi_5.185a
yavo 'si dhànyaràjo 'si  Vi_48.17a
ya÷ovittaharàn anyàn  Vi_5.193c
ya÷ càtmànaü nivedayet  Vi_57.16d
ya÷ càdharmeõa pçcchati  Vi_29.7b
yas tàm abhyavamanyate  Vi_57.12d
yas tu kçùõàjinaü dadyàt  Vi_87.8a
yas te na druhyet katamac ca nàha  Vi_29.10c
yasmàt tasmàd dhàrayantaü  Vi_1.37a
yasmin de÷e na vidyate  Vi_84.4b
yasmin yasmin vivàde tu  Vi_8.41a
yasya cauraş pure nàsti  Vi_5.197a
yasya pa÷yed dvisaptàhàt  Vi_14.4a
yasya bhuktiş phalaü tasya  Vi_5.185c
yasya màüsam ihàdmy aham  Vi_51.78b
yasya yat paitçkaü rikthaü  Vi_17.23c
yasya saüvatsaràt kçtaü  Vi_21.23b
yasyaite traya àdçtàş  Vi_31.9b
yasyocuş sàkùiõaş satyàü  Vi_8.39a
yaş pacaty àtmakàraõàt  Vi_67.43b
yaş sadàcàravàn naraş  Vi_71.93b
yàcitàra÷ ca naş santu  Vi_73.30c
yàdç÷aü bhavati pretya  Vi_51.62c
yàny adhastàny amedhyàni  Vi_23.51c
yàmyaü panthànam àsàdya  Vi_43.32c
yàmyaü hi yàtanàduşkhaü  Vi_64.42a
yàmyaş panthà virudhyate  Vi_20.39d
yàvaj jãvaü tathà kuryàc  Vi_21.22c
yàvad a÷nanti vàgyatàş  Vi_81.21b
yàvad åùmà bhavaty anne  Vi_81.21a
yàvanti pa÷uromàõi  Vi_51.60a
yàvan nàpaity amedhyàktàd  Vi_23.39a
yàvan noktà havir guõàş  Vi_81.21d
yà vedavihità hiüsà  Vi_51.67a
yà syàc chravaõasaüyutà  Vi_49.10d
yugàny ubhayatomukhãm  Vi_88.4b
yuvatãnàü yuvà bhuvi  Vi_32.14b
ye ca màrjàraliïginaş  Vi_93.10b
ye tu tvàü dhàrayiùyanti  Vi_1.64a
ye dvijà dhàrayiùyanti  Vi_100.1c
yena tçpyàmahe vayam  Vi_83.21d
ye pàkayaj¤à÷ catvàro  Vi_55.20a
ye 'pi pàpakçto naràş  Vi_64.42d
ye bakavratino loke  Vi_93.10a
ye lokàş kåñasàkùiõàm  Vi_10.9b
yeùàü dvijànàü sàvitrã  Vi_54.26a
ye samarthà jagaty asmin  Vi_20.27a
yogakùemaü pracàra÷ ca  Vi_18.44c
yogabhåtaü paricaran  Vi_49.8c
yogã nityam atandritaş  Vi_97.16b
yo gçhãtvà çõaü sarvaü  Vi_6.40a
yo daõóo yac ca vasanaü  Vi_27.28c
yo 'dhãte 'hany ahany etàü  Vi_55.16a
yo naş kuryàt samàhitaş  Vi_85.70d
yo no dadyàj jalà¤jalãn  Vi_85.69b
yo 'nne ÷uciş sa hi ÷ucir  Vi_22.89c
yo bandhanavadhakle÷àn  Vi_51.69a
yo yajeta ÷ataü samàş  Vi_51.76b
yo vardhayitum icchati  Vi_51.75b
yo vçttim upajãvati  Vi_93.13b
yo hastayoş kvacid dagdhas  Vi_11.8a
yo hinasti na kiücana  Vi_51.70d
yo 'hiüsakàni bhåtàni  Vi_51.68a
rajasà strã manoduùñà  Vi_22.91c
rajaş pa÷yaty asaüskçtà  Vi_24.41b
rajo bhår vàyur agni÷ ca  Vi_23.52c
ratiü badhnàti yatra ca  Vi_51.70b
ratneùu vastreùv amaleùu bhåme  Vi_99.10b
ratnottamavibhåùitàü  Vi_1.28d
ratyartham eva sà tasya  Vi_26.5c
rathyàkardamatoyàni  Vi_23.41a
rasajànàü ca sarva÷aş  Vi_50.49b
rasàtalagatà purà  Vi_1.12d
rasàtalatalaü gatà  Vi_1.45b
ràgàndhasya prakãrtità  Vi_26.5d
ràjadvàrakçtaü ca yat  Vi_48.22b
ràjanya÷ caiva vai÷ya÷ ca  Vi_22.84c
ràjarùaya÷ ca bahavaş  Vi_20.26a
ràjàtaïkaü athàpi và  Vi_14.4d
ràjyàbhiùeke ca tathà vivàhe  Vi_99.16a
ràhudar÷anadattaü hi  Vi_77.9a
rukmastambhanibhàv årå  Vi_1.25c
råpayauvanasaüpannàü  Vi_1.29c
råpaü sarvamanoharam  Vi_1.27b
rogànvitàs tathàndhà÷ ca  Vi_45.32c
rogiõãü gurviõãü tathà  Vi_67.39b
rogo 'gnir j¤àtimaraõaü  Vi_14.4c
lakùmãr dhçtiş ÷rãr viratir jayà ca  Vi_99.4b
lakùmãs tadà devavaràgrataşsthà  Vi_99.7b
lakùmãş karãùe praõatau ca dharmas  Vi_23.61c
lakùmyà karatalaiş ÷ubhaiş  Vi_1.43b
labdhakàmà vasuüdharà  Vi_98.102d
labhate maulikaü phalam  Vi_91.19d
lambamànàs tathà kvacit  Vi_43.42b
lekhyàbhàve 'pi tàü tatra  Vi_5.188c
lokànàü saptakaü tathà  Vi_1.15b
lokànàü hitakàmyayà  Vi_1.11b
lokànàü hitakàmyayà  Vi_1.45d
lohapiõóaü tato nyaset  Vi_11.10d
laukikaü vaidikaü vàpi  Vi_30.43a
vatso vindati màtaram  Vi_20.47b
vadhabandhau ca dehinàm  Vi_51.72b
vadhe hantà na doùabhàk  Vi_5.189d
vanasaügham ivàcitam  Vi_1.38d
vane ca vatse ca ÷i÷au prahçùñe  Vi_99.17c
varayadhvaü sadà naràş  Vi_20.38d
varàha bhãma govinda  Vi_1.51c
vareõyànagha jãmåta  Vi_1.55c
varjayec càtibhàùaõam  Vi_46.25b
varõànàm à÷ramàõàü ca  Vi_1.48c
varõànukramato nçpaş  Vi_8.38b
varõà÷ramàcàraratàş  Vi_1.47a
varõai÷ ca tatkçtai÷ cihnaiş  Vi_7.12a
vartayann ekakàlikam  Vi_28.50b
varùe varùe '÷vamedhena  Vi_51.76a
vavande madhusådanam  Vi_1.44b
vasàmy athàrke ca ni÷àkare ca  Vi_99.9a
vasà ÷ukram asçï majjà  Vi_22.81a
vasitvà gardabhàjinam  Vi_28.49b
vasudhà cintayàm àsa  Vi_1.19c
vasuùeõaü vasupradam  Vi_1.59b
vastraü patram alaükàraş  Vi_18.44a
vahnituõóaiş sudàruõaiş  Vi_43.40d
vahniprajvàlanaü kuryàt  Vi_23.45a
vàkyàny ahaü tàni mano 'bhiràme  Vi_19.24d
vàkyais tu yair bhåmi tavàbhidhàsye  Vi_19.24c
vàcà kçtaü karmakçtaü  Vi_48.19a
vàje vàja ity ca tato  Vi_73.32a
vàmanà badhirà måkà  Vi_45.33a
vàyubhåtaş khamårtimàn  Vi_55.16d
vàyuş karmàrkakàlau ca  Vi_22.88c
vàràham àsthito råpam  Vi_1.2c
vàruõo madhusaüyutaş  Vi_48.17b
vàsudevaü mahàtmànaü  Vi_1.60a
vàsenàpy atha và gavàm  Vi_23.57b
vàsyaikaü takùato bàhuü  Vi_96.23a
vikarmasthàs tu ye dvijàş  Vi_54.27b
vikçtaş soma÷oõitaş  Vi_1.6d
vigatà÷eùakalmaùam  Vi_1.36d
vij¤àtaü hçdgataü mayà  Vi_1.30d
vij¤àpayati càpy atha  Vi_1.44d
vij¤eyà trividhà surà  Vi_22.82b
vij¤eyà bràhmaõo mukham  Vi_55.15d
vittaü bandhur vayaş karma  Vi_32.16a
vidadhànam ivàni÷am  Vi_1.36b
viddhaş ÷ara÷atair api  Vi_20.44b
vidyate hi kathaücana  Vi_34.2d
vidyàtapobhyàü bhåtàtmà  Vi_22.92c
vidyàt saptàtatàyinaş  Vi_5.193b
vidyà bhavati pa¤camã  Vi_32.16b
vidyà ha vai brahmaõam àjagàma  Vi_29.9a
vidveùaü vàdhigacchati  Vi_29.7d
vidhiyaj¤asamanvitàş  Vi_55.20b
vidhiyaj¤àj japayaj¤o  Vi_55.19a
vidhivad vandanaü kuryàd  Vi_32.14c
vidhivad vedapàragaş  Vi_30.46b
vidhiü hitvà pi÷àcavat  Vi_51.73b
vinaùtànãha kàlena  Vi_20.25c
vinà và tair gçhe vasan  Vi_57.15b
vinãtavad upasthitàm  Vi_1.29d
vinãtaveùe ca tathà suveùe  Vi_99.18b
