YAMASMRTI: CUMULATIVE PADA INDEX OF FOUR VERSIONS (78 / 99 / 182 verses, and South Indian recension)


Input and proof-reading by Juergen Neuss, Freie Universit„t Berlin.





STRUCTURE OF REFERENCES:
YS78v_nn = Yamasmçti, 78-verse version_verse
YS99v_nn = Yamasmçti, 99-verse version_verse
YS182v_n.nn = Yamasmçti, 182-verse version_adhyàya.verse
YSS_nn = Yamasmçti, South Indian recension

[For details of the e-texts see the separate files of the respective version.]



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________




akartà nityayaj¤ànàü  YSS_2.9a
pariyàpya kharàjinaü  YSS_2.21b
parãtaü vottaraü vàsaþ  YSS_2.14a
pare 'pare lobhahatàs tatas tu  YSS_1.44a
parvotsavamahàlaye  YS99v_83b
pavitraü sarvadà jalam  YSS_1.3d
pavitraü sarvadà jalam  YS182v_3.70d
pavitraü sarvadà jalam  YS78v_64d
pavitraü sarvadà jalam  YS99v_96d
pavitraü sarvadà jalam  YS99v_97d
pa÷càt sarvaü yathà vidhi  YS182v_5.11d
pa÷càd apa upaspç÷et  YS99v_5b
pa÷yaty asaüskçtà rajaþ  YS182v_3.18b
pàkhaõóã vedanindakaþ  YS182v_3.35b
pàõigrahaõamantràbhyàü  YS99v_84c
pàtakena tu liptena  YS78v_75c
pàtityaü tu pracakùate  YSS_2.63d
pàtrabhåto dvijottamaþ  YS182v_3.42d
pàtrãbhåtà÷ ca vij¤eyà  YS182v_4.54c
pàdakçcchran tu pàdape  YS78v_69d
pàdakçcchra÷ ca jàyate  YS182v_4.26b
pàdakçcchraü tathottarà  YS182v_3.66d
pàdam utpannamàtre tu  YS99v_43a
pàdam ekaü tathottarà  YS182v_3.67d
pàdahãnaü caret pårvà  YS182v_3.67c
pàdahãnaü caret pårvà  YS78v_59c
pàdaü ÷ådrasya dàpayet  YS182v_1.11d
pàdàrddhan tu tathottarà  YS78v_59d
pàde caivàsya romàõi  YS99v_53a
pàdonaü kçcchram àcaùñe  YS99v_43c
pànãyaü pàvanaü nçõàü  YSS_1.4d
pàpak÷ayakaraþ smçtaþ  YS182v_4.26d
pàpaü na kùãyate hantur  YS99v_58c
pàpàcàraparo bhavet  YS182v_4.41d
pàpàc caiva nivçttasya  YS182v_4.40c
pàpàn niroddhuü na ca pà÷adàtuþ  YSS_1.54c
pàpà yad icchanti hitàya kartum  YSS_1.57b
pàpã prakhyàpayet pàpaü  YS182v_4.5c
pàmaratràña [sa]÷aïktità  YS182v_4.12b
pàraüparyeõa saükãrõà  YSS_1.35c
pàrvaõaü ceti vij¤eyaü  YS99v_82c
pàlà÷e madhyame parõe  YS99v_74a
pàvamànãs tryahaü japet  YSS_1.27d
pà÷aü chittvà tatas tasya  YS182v_1.6c
pà÷aü tasyaiva chittvà tu  YS78v_5c
pà÷aü÷ chittvà tathà tasya  YSS_1.10c
pà÷àü÷ chittvà tathà tasya  YS99v_27c
pàùaõóã vedanindakaþ  YS78v_30b
pàùàõe và gavàü rujà  YS99v_45b
pàùàõe ÷astraghàtite  YS182v_4.1b
pàùàõair dviguõaü bhavet  YS78v_69b
pàùàõaiþ ÷astraghàtanaiþ  YS78v_66b
piõóam ekaü tu nirvapet  YS99v_81d
piõóe gotre ca såtake  YS99v_84b
piõóe gotre ca såtake  YS99v_86d
piõóe piõóe dvinàmatà  YS99v_79b
pitaras tàvad a÷nanti  YS182v_3.27c
pitaro yatra tarpitàþ  YS78v_39b
pitaro yànty atarpitàþ  YS182v_3.28b
pitaro yànty adhogatim  YS182v_4.37b
pità pibati ÷oõitam  YS182v_3.20d
pità pibati ÷oõitam  YS78v_22d
pitàmahy api svenaiva  YS99v_80c
pità vànyo 'pi bàndhavaþ  YSS_1.20d
pità và 'nyo 'pi bàndhavaþ  YS182v_3.1d
pità vànyo 'pi bàndhavaþ  YS78v_15d
pità hi patitaþ kàmaü  YS99v_19c
pitur gehe tu yà kanyà  YS182v_3.18a
pituþ pàtràdikaü karma  YS182v_5.11c
pitçbhis tarpitaiþ pa÷càd  YS182v_3.28c
pitçbhis tarpitaiþ pa÷càd  YS78v_39c
pitçbhyo bhràtçputrebhyo  YS182v_5.22c
pitçvarõà na te smçtàþ  YSS_1.38b
pitçvyabhràtçbhàryàü ca  YS182v_3.4a
pitéõàü taü parãkùyati  YSS_2.66d
pitéõàü nopatiùñheta  YS182v_3.32c
pitéõàü sthànam àkà÷aü  YS99v_94c
pitéõàü hitam icchatà  YS99v_95d
pibet puùkaraparõe và  YS99v_74c
pibed àcamane dvijaþ  YS78v_65b
pi÷unaü kharam àropya  YSS_2.21c
pi÷unà viùayàtmakàþ  YS182v_4.56b
pi÷uno matsaras tathà  YS78v_29d
pi÷uno matsarã tathà  YS182v_3.34d
pãtvàpaþ pratigçhya ca  YS99v_34b
pãtvà bhåmigataü jalam  YS182v_1.8b
pãtvà vàpidadaü dvijaþ  YSS_2.56b
pãtvà sakçt sutaptaü ca  YS99v_38c
putramatyà sadaiva hi  YS182v_5.22b
putrasya bhàryàü gatvà tu  YSS_1.30c
punarbhår bhaõyate hi sà  YS182v_4.45d
punarbhår vikçtà yena  YS182v_4.45a
punaþ ÷vàno bhaviùyati  YS182v_3.14d
punaþ saüskàram arhati  YS78v_49d
purãùaü÷ ca tathà mu¤can  YSS_2.17c
puùpaü raktàmbaràõi ca  YS78v_50b
puüsopagatasevinã  YS182v_4.39b
påjànte homayet pa÷càd  YS182v_3.58c
påtas tad ahared vàpi  YS182v_2.7c
påtas tad ahar evàpi  YS78v_12c
påyante tadvrate pårõe  YSS_1.18c
påyante tu vrate cãrõe  YS182v_2.9c
påyante 'nuvrate cãrõe  YS78v_14c
påya÷oõita sambhave  YS78v_7b
pårayitvà jalena ca  YS99v_93b
pårte mokùaü sama÷nute  YS99v_68d
pårvapakùe 'dharãbhåte  YS182v_5.26a
pårvavyàdhipranaùñànàü  YS99v_47c
pårvavratam anirdiùñaü  YS182v_4.20c
pårvaü kçtvà dvijaþ ÷aucaü  YS99v_5a
pårvaü nyàsavidhi÷ caiva  YS182v_5.25a
pårvà tu balavattarà  YS182v_5.23d
pçthak piõóaü pçthak ÷ràddhaü  YS182v_5.15c
poùitaü stenakàryeõa  YSS_2.20c
pracchannapàpino ye syuþ  YS182v_4.6a
praõavena tu saüpibet  YS99v_73d
praõavena samàloóya  YS99v_73c
pratigrahàc ca vipro vai  YS182v_3.53c
pratyabdaü sarvam àdàya  YSS_2.13c
pratyavaskandanaü tathà  YS182v_5.24d
pratyahaü paõam àpnuyàt  YSS_2.9d
pratyutthànaü naro 'kurvans  YSS_2.34c
pratyekaü paõikaü damam  YS99v_21b
prathamenaiva ÷udhyati  YS99v_75d
prathame 'hni dvitãye và  YS99v_87a
prabrajyàna÷anacyutàþ  YS78v_2b
pramàdasthànam uttamam  YS78v_68b
pramàdàc ca hatà yena  YS182v_4.7c
pramàdocchiùñasaüspçùñaþ  YS182v_3.47c
prayatnàc chuklam utsçjya  YSS_2.58a
praya÷cittaü tathà pràptaü  YS78v_21c
prayànti tv àpadaü mahat  YSS_2.65b
pravadanti manãùiõaþ  YS182v_4.48b
pravrajyàgnir niràpadi  YS78v_48b
pravrajyànà÷akacyutàþ  YSS_1.7b
pravrajyànà÷akacyutàþ  YS182v_1.3b
pravrajyànà÷akacyutàþ  YS99v_22b
prasåtà và na kàrya ca  YS182v_5.7c
prasåtiþ prathamaü bhavet  YSS_2.47d
prasthàne và pità tasya  YS182v_5.9c
pràjàpatyadvayena hi  YS182v_4.44d
pràjàpatyam iti sthitiþ  YSS_1.24d
pràjàpatyaü tu kùattriyaþ  YS182v_1.11b
pràjàpatyaü tu loùñake  YS99v_49b
pràjàpatyaü na dàtavyaü  YS182v_1.10c
pràjàpatyaü samàcaret  YS182v_3.45d
pràjàpatyaü samàcaret  YS78v_42d
pràjàpatyaü samàcaret  YS99v_15d
pràjàpatyena kçcchreõa  YS78v_62c
pràjàpatyena ÷udhyati  YS182v_1.9d
pràjàpatyais tribhiþ kçcchraü  YS182v_4.25a
pràõàyàma÷atena ca  YS78v_62d
pràõinàü pàpakàriõàm  YS182v_4.27d
pràtah saüdhyàü sanakùatràm  YS182v_4.50a
pràtilomye mahatpàpaü  YS182v_4.48a
pràpte dvàda÷ame varùe  YS182v_3.20a
pràpte dvàda÷ame varùe  YS78v_22a
pràpnuyàt prathamaü damaü  YSS_2.27d
pràpnuyàn madhyamaü damaü  YSS_2.45d
pràpyate pårvasàhasaü  YSS_2.59b
pràbravãd çùibhiþ pçùño  YS99v_1c
pràya÷cittam upakramya  YS182v_2.7a
pràya÷cittaü kathaü tatra  YS99v_48c
pràya÷cittaü kathaü tàsàü  YS78v_56c
pràya÷cittaü kathaü bhavet  YS182v_3.8d
pràya÷cittaü kathaü bhavet  YS182v_3.62d
pràya÷cittaü kathaü bhavet  YS182v_3.64d
pràya÷cittaü kathaü bhavet  YS78v_18d
pràya÷cittaü kathaü bhavet  YS78v_46d
pràya÷cittaü ca kçtvà vai  YS99v_63a
pràya÷cittaü ca dàtavyaü  YS182v_5.6c
pràya÷cittaü ca neùyate  YSS_1.21d
pràya÷cittaü ca yat smçtam  YS182v_4.13b
pràya÷cittaü cared bhràta  YS182v_3.1c
pràya÷cittaü cared bhràtà  YSS_1.20c
pràya÷cittaü cared bhràtà  YS78v_15c
pràya÷cittaü cà ''nulomye  YS182v_4.48c
pràya÷cittaü tataþ kuryur  YS99v_21c
pràya÷cittaü tathà pràptaü  YS182v_3.11c
pràya÷cittaü tadà deyam  YS182v_4.28c
pràya÷cittaü tu bandhubhiþ  YS182v_4.31d
pràya÷cittaü dadàti yaþ  YS182v_4.29b
pràya÷cittaü dine dine  YS182v_4.49d
pràya÷cittaü na vidyate  YSS_1.12d
pràya÷cittaü na vidyate  YS182v_3.2d
pràya÷cittaü na vidyate  YS78v_16d
pràya÷cittaü na vidyate  YS99v_47d
pràya÷cittaü na vidyate  YS99v_50d
pràya÷cittaü na vidyate  YS99v_51d
pràya÷cittaü na sevate  YS182v_2.8b
pràya÷cittaü niùevate  YSS_1.17b
pràya÷cittaü pçthak pçthak  YS182v_4.11d
pràya÷cittaü prakalpayet  YS182v_1.1d
pràya÷cittaü pravartate  YS182v_4.43d
pràya÷cittaü bhavet tatra  YS182v_4.2c
pràya÷cittaü manãùibhiþ  YSS_1.13d
pràya÷cittaü manãùibhiþ  YS182v_4.27b
pràya÷cittaü yathà tathà  YS182v_4.7b
pràya÷cittaü yathà vidhi  YS182v_4.41b
pràya÷cittaü vadanti ye  YS99v_59b
pràya÷cittaü vidur budhàþ  YSS_1.12b
pràya÷cittaü vidhãyate  YS182v_4.23d
pràya÷cittaü vidhãyate  YS182v_4.30b
pràya÷cittaü vinirdi÷et  YS99v_40d
pràya÷cittaü vinirdi÷et  YS99v_56d
pràya÷cittaü vi÷odhanaü  YSS_2.4d
pràya÷cittaü vyàkhyàsyàmaþ  YS182v_1.1b
pràya÷cittaü samaü smçtam  YS182v_4.8d
pràya÷cittaü samàcaret  YS78v_68d
pràya÷cittàd vi÷udhyati  YS182v_4.5b
pràya÷cittàbhidhàyakam  YS78v_1b
pràya÷cittàrddham arhanti  YS78v_17c
pràya÷cittàrdham arhanti  YSS_1.19c
pràya÷cittàrdham arhanti  YS182v_3.3c
pràya÷cittã tadàrhati  YS182v_4.42b
pràya÷cittã bhavec ca saþ  YS182v_4.12d
pràya÷cittã bhavet tadà  YS182v_4.40d
pràya÷cittã bhavet påtas  YS182v_4.29c
pràya÷cittã bhaven naraþ  YS182v_4.4d
pràya÷cittãyatàü pràpya  YSS_2.1a
pràya÷citte tata÷ cãrõe  YS99v_61a
pràya÷cittena ÷uddhyati  YS78v_13b
pràya÷cittena ÷udhyati  YS182v_4.9d
pràya÷citte 'vyavasite  YSS_1.16a
pràya÷citte hy upakrànte  YS78v_12a
pretasammàrjanaü malaü  YSS_2.41a
preùitaþ puruùo và 'pi  YS182v_4.13a
prokùayitvà ÷ucir bhavet  YS78v_50d
protsàhakas saüpratighàtaka÷ ca  YSS_1.42b
plavate ÷ubhakarmaõaþ  YS99v_90b
bandhane rodhane caiva  YS99v_45a
bandhubhir datta eva ca  YS182v_5.18b
bandhubhir hitabuddhibhiþ  YS99v_87d
bandhubhiþ pitçmàtçtaþ  YSS_1.38d
bandhubhyàü pitçmàtçtaþ  YSS_1.31b
balabhçto hi sàhasã  YSS_2.73b
balavaty uttarà kriyà  YS182v_5.24b
balàd gçhãto baddha÷ ca  YS182v_5.18a
balàd dàsã kçtà ye ca  YS182v_5.5c
balãvardasya caiva hi  YS182v_4.2b
balãvarde 'pi ca tathà  YS182v_4.8c
balãvardo mçto 'pi và  YS182v_4.4b
bàlàdivçddhair nçpapãóitai÷ ca  YSS_1.39b
bàlàndharogivçddhànàü  YSS_2.15a
bàlo vàpy ånaùoóa÷aþ  YSS_1.19b
bàlo và 'py ånaùoóa÷aþ  YS182v_3.3b
bàlo vàpy ånaùoóa÷aþ  YS78v_17b
bàhumàtrapramàõakaþ  YS99v_41b
bàhyà bràhmaõamàninaþ  YSS_1.35b
brahmakårcena copari  YS99v_13d
brahmalokaü vrajaty eva  YS182v_4.53a
brahmalokàt katha¤cana  YS99v_90d
brahmavarcasam eva ca  YS182v_4.58b
brahmavàdiùu garhitaþ  YS182v_3.23d
brahmavàdiùu garhitaþ  YS78v_37d
brahmahatyà dine dine  YS182v_3.13d
brahmahà ca suràpa÷ ca  YS182v_4.22c
bràhmaõakùattriyavi÷àü  YS182v_4.34a
bràhmaõas tu ÷unà daùño  YS182v_1.2a
bràhmaõasya maladvàre  YS78v_7a
bràhmaõaü gçham àgatam  YS182v_3.25b
bràhmaõaþ kàmalubdho 'pi  YS182v_4.46c
bràhmaõaþ patito bhavet  YSS_2.57b
bràhmaõàn à÷ayed dvijaþ  YSS_2.67d
bràhmaõàn bhojayet pa÷càc  YS182v_4.38c
bràhmaõà mantrità÷ caiva  YS182v_5.8a
bràhmaõã kùattriyà tathà  YS182v_3.66b
bràhmaõã vai÷yinã tathà  YS182v_3.67b
bràhmaõã ÷ådrajà tathà  YS78v_58b
bràhmaõã ÷ådriõã tathà  YS182v_3.68b
bràhmaõena prayatnataþ  YS99v_68b
bràhmaõena vipa÷cità  YSS_2.77d
bràhmaõo bràhmaõena hi  YS182v_3.46b
bràhmaõo madamohitaþ  YS182v_3.13b
bràhmaõo madamohitaþ  YS182v_3.19b
bràhmaõo madamohitaþ  YS78v_24b
bràhmaõo ràjasevayà  YS182v_4.60d
bràhmaõo và bahu÷rutaþ  YS99v_56b
bràhmaõo vai pramàdataþ  YS182v_3.54b
bràhmaõyaü hi vilupyate  YS182v_4.59d
bràhmaõyàü ÷ådrata÷ ca yaþ  YSS_1.36b
bràhmã dànena ÷udhyati  YS182v_3.68d
bhaktapradàtà pratimucyate tu  YSS_1.43d
bhakùaõe patitaþ smçtaþ  YSS_2.53d
bhakùayitvà tu tad gràsam  YS99v_8a
bhagacihnaü madyacihnaü  YSS_2.11a
bhaginãü màtur eva ca  YS182v_3.4b
bhartuþ ÷arãraü ÷u÷råùàü  YS99v_18a
bhavaty eva na saü÷ayaþ  YS182v_5.15b
bhavanti çõabhàginaþ  YS182v_3.38d
bhavanti vratacàriùu  YSS_2.60d
bhavanty uttaravàdinaþ  YS182v_5.26b
bhaved vai pàpinaþ kila  YS182v_4.28b
bhaveyuþ te vigarhitàþ  YSS_1.17d
bhasmanàpi ca liptàïgaü  YSS_2.24a
bhàõóasthaü dharaõãsthaü và  YSS_1.4c
bhàõóasthaü dharaõãsthaü và  YS99v_97c
bhàõóe tàmramaye tathà  YS99v_74b
bhàryà sutà gotraruhà snuùà và  YSS_1.48a
bhàùaõàt pi÷unair naraiþ  YSS_2.28d
bhàùà pravçttà na khalu pramàõam  YSS_1.39c
bhittvà gçhàüs tu hçtvà svaü  YSS_2.22a
bhuktvà gatvà ca yoùitam  YS99v_28b
bhuktvà caiùàü striyo gatvà  YS99v_34a
bhuktvà pårvaü tu tadgçhe  YSS_2.51d
bhuktvà và mehane kçte  YS99v_6b
bhuktvocchiùñaþ ùaó àcaret  YS99v_10d
bhu¤jànasya tu viprasya  YS99v_4a
bhu¤jànaþ pràpnuyàt gràsaü  YSS_2.33c
bhu¤jàno yasya pakvànnaü  YSS_2.48a
bhu¤jàno vçùalà÷anaü  YSS_2.9b
bhu¤jàno vçùalãpateþ  YSS_2.50b
bhådevà nàtra saü÷ayaþ  YS182v_4.54b
bhåmau nidhàya tad gràsaü  YS99v_7c
bhçtako vedavikrayã  YS182v_3.37d
bhçtako vedavikrayã  YS78v_33b
bheùajànàü ca bhakùaõe  YS99v_51b
bhoktà ca viùamopame  YSS_2.46d
bhoktà naùñakriyas tasya  YSS_2.12c
bhojayitvà dvijottamàn  YS99v_63b
bhojayet tulyapaïktau tu  YSS_2.27c
bhraü÷adaõóam prakalpayet  YSS_2.73d
bhràtara÷ ca pçthak kuryur  YS182v_5.16a
bhràtà suto dàsabhçto jano và  YSS_1.48b
bhràtuþ putro mitraputraþ  YS182v_5.18c
bhråõahatyà pitus tasyàþ  YS182v_3.18c
makùikàdyupaghàtitaþ  YSS_1.11b
makùikàbhi÷ ca pàtitaiþ  YS99v_62b
makùikà÷vopaghàtitaþ  YS78v_6b
makùikai÷ copaghàtitam  YS182v_1.7b
matsyànàü àpnuyàc chataü  YSS_2.52d
madyagomàüsabhaksaõe  YS99v_30b
madyàdãnàü tv abhakùyàõàü  YSS_2.52a
madhyamaü daõóam àpnoti  YSS_2.59c
madhyàhne ca tathà raudrãü  YS182v_4.50c
madhye ca vçùalãpatim  YS182v_3.16b
madhye tu vçùalãpatim  YS78v_35b
mantrã sahàyas sahavàsyavadhyaþ  YSS_1.42c
mayà ca såtakaü bhavet  YS182v_4.20d
mayà proktam idaü ÷àstraü  YS78v_78c
mayårahaüsabhàsà¤ ca  YSS_2.6a
marãcaü khaõóapàùàõaiþ  YSS_2.38a
malla÷ càntyàvasàyinaþ  YSS_1.32d
maha[hà]rghaü yaþ prayacchati  YS182v_3.23b
mahàpàtakakartàra÷  YSS_1.25a
mahàpàtakakartàra÷  YS99v_31a
mahàpàtakanà÷anam  YS99v_72b
mahàpàtakasaüyuktàþ  YSS_1.2a
mahàmçgaü pakùimçgaü pa÷uü và  YSS_1.50a
mahàrghaü yah prayacchati  YS78v_37b
mahiùãty ucyate bhàryà  YS182v_3.17a
mahiùãty ucyate bhàryà  YS78v_36a
màghamàse tu pauruùam  YSS_1.26b
màtaraü gurupatnãü ca  YSS_1.29a
màtaraü gurupatnãü ca  YS182v_3.7a
màtaraü gurupatnãü ca  YS99v_35a
màtà caiva pità caiva  YS182v_3.22a
màtà caiva pità caiva  YS78v_23a
màtà tu tasya ÷ådrasya  YSS_2.63c
màtàpitros tu satkçtim  YS99v_81b
màtà bhuktvà sa daivatam  YS99v_80b
màtçgotragatàsv api  YS99v_37b
màtçvarõà na te proktàþ  YSS_1.38a
màtçsvatantrair nçpasaügatai÷ ca  YSS_1.39a
mànavo nàcared vrataü  YSS_2.4b
mànasaü vàcikaü caiva  YS182v_4.49a
mànuùai÷ ca ratiü vinà  YS99v_25b
mànuùai÷ caritaü vinà  YSS_1.5b
màrutàrkeõa ÷uddhyanti  YS78v_52c
màsam abhyasya påruùaþ  YS99v_32b
màsam ekaü nirantaram  YS182v_3.14b
màsaü kçcchraü cared vipra÷  YS182v_1.12c
màsaü samàpnoti paràya dattvà  YSS_1.46b
màsàrdhena vi÷udhyati  YS99v_26d
màsi màsi rajas tasyàþ  YS182v_3.20c
màsi màsi rajas tasyàþ  YS78v_22c
màhendrãü vàruõã¤ càpi  YSS_2.17a
mi÷ritaü tilatailena  YSS_2.37a
mi÷ritya saha sàdhubhiþ  YSS_2.27b
mi÷rãkçtya tato nçõàü  YSS_2.40b
mukhena dhamitaü bhuïkte  YS182v_3.31c
mucyate pretalokàt sa  YS99v_89c
muõóamuõóàpanaü smçtam  YS99v_54d
munãnàm agraõãr yamaþ  YS99v_1d
muùñyà và nihatà yà gauþ  YS182v_4.10a
måtraü sthitvà samutsçjet  YSS_2.16d
mårchitaþ patito vàpi  YS99v_46a
måle sarvaü samàcaret  YS99v_53d
måùikotkaravartmasu  YS99v_67b
mçtakaü ca yadà bhavet  YS182v_4.18d
mçtakena tu jàtena  YS78v_75a
mçtam udbandhanena ca  YSS_1.10b
mçtam udbandhanena tu  YS182v_1.6b
mçtam udvandhanena ca  YS78v_5b
mçtaü codbandhanàdinà  YS99v_27b
mçtà caiva yadà sà gauþ  YS182v_4.12c
mçte golakanàmà tu  YSS_1.37c
mçtena mçtakaü tathà  YS99v_76b
mçto 'medhyena leptavyo  YS99v_20c
mçtpiõóanavagomaye  YS182v_4.9b
mçtpiõóànyeva sàdhayet  YS182v_4.1d
mçtpiõóe gokulena ca  YS78v_66d
meùaü hatvà ca ùoóa÷a  YSS_2.43d
maithunaü goùu gatvà tu  YSS_2.58c
moktà råpye ca daõóyate  YSS_2.42d
mau¤jãhomena ÷udhyati  YSS_1.15d
mau¤jãhomena ÷udhyati  YS182v_2.3d
mau¤jã homena ÷udhyati  YS99v_30d
mlecchacàõóàladasyubhiþ  YS182v_5.5d
yaj¤e vivàhe ca tathotsaveùu  YSS_1.45a
yat karoty ekaràtreõa  YS78v_26a
yatra yatra mçtà gàvaþ  YS78v_68c
yatra yatra mriyed gau÷ ca  YS182v_4.11c
yathà pårvaü tathà punaþ  YS99v_42d
yathà brahmavadhe pàpaü  YS182v_4.8a
yathà ÷àstrapracoditam  YS99v_21d
yathàsaükhyaü samàcaret  YS99v_3b
yad aïgam upahanyate  YS78v_45b
yad attaü ca hutaü tasmai hy  YS182v_3.43e
yadà bhojanakàle syàd  YS99v_7a
yadi na kùipate toyaü  YS182v_1.10a
yadi pravçttau na paropatàpe  YSS_1.46d
yad dehakaü kàkabalàkacillàm-  YS182v_3.61a
yad yaddhi jàtir dvijavargajàtyà  YSS_1.51a
yad veùñitaü kàkabalàkacillair  YS78v_44a
yan na kàrayate tat tan  YS182v_3.56a
yamadàtur bhaven meùo  YSS_2.61c
yamasya vacanaü yathà  YS78v_65d
yamaü yamitamànasam  YSS_1.1d
yamaþ pràha yathà tatham  YS182v_4.19d
ya÷o ràùñraü ca varddhate  YSS_2.75d
ya÷ càtmanaü nivedayet  YS78v_20d
ya÷ cà ''tmànaü nivedayet  YS182v_3.10d
ya÷ chadati hi pàpànàü  YSS_2.32c
yaùñighàte dvayaü caret  YS78v_b
yaùñyà tu ghàtane caiva  YS78v_66c
yaùñyà tu ghàtite caiva  YS182v_4.1c
yaùñyà tu patità yà gaur  YS182v_4.4a
yas tàü vivàhayet kanyàü  YS182v_3.19a
yas tàü vivàhayet kanyàü  YS78v_24a
yas tu gàü vinipàtayet  YS99v_40b
yas tu bhàryàbhçtiü dvijaþ  YSS_2.54b
yas toyaü pibati dvijaþ  YS182v_1.9b
yasya cotsçjyate vçùaþ  YS99v_89b
''yaü gauriti và çcaþ[cà]  YS182v_3.58b
yaþ kanyàü na prayacchati  YS78v_22b
yaþ karoty ekaràtreõa  YS182v_3.12a
yaþ kùatriyas tathà vai÷yaþ  YS78v_8a
yaþ pratyavasito vipraþ  YS78v_48a
yàgàdikam pàpakçto na daõóyàþ  YSS_1.51b
yàcako viùayàtmakaþ  YS182v_3.36b
yàcako viùayàtmakaþ  YS78v_31b
yà caiva vyabhicàriõã  YS78v_36b
yànti devàmaharùibhiþ  YS78v_34d
yàvato grasate gràsàn  YS182v_3.29a
yàvato grasate gràsàn  YS78v_40a
yàvadasthi manuùyàõàü  YS99v_91a
yàvad àbhåtasaüplavam  YS182v_4.6d
yàvad àbhåtasaüplavam  YS182v_4.61d
yàvad uùõaü bhavaty annaü  YS78v_38a
yàvad uùõaü bhaved annaü  YS182v_3.27a
yàvad ekaþ pçthak dravyaþ  YS78v_13a
yàvad ekaþ pçthag bhàvyaþ  YS182v_2.8a
yàvad eko 'pçthagdravyaþ  YSS_1.17a
yàvad dvijà na càrcyante  YS182v_3.59c
yàvad bhu¤janti vàgyatàþ  YS182v_3.27b
yàvad bhu¤janti vàgyatàþ  YS78v_38b
yàvad viprà na påjyante  YS78v_43a
yàvan noktà havirguõàþ  YS182v_3.27d
yàvan noktà havirguõàþ  YS78v_38d
ye 'gràmya ÷araõacyutàþ  YS78v_4b
ye ca àtmahano janàþ  YS182v_4.31b
ye ca saükãrõayonayaþ  YS182v_1.14b
ye ca strãsåtake mçtàþ  YS182v_4.30d
yena yena tu varõena  YS99v_85a
ye naràs tv akçtavratàþ  YSS_2.1b
ye 'py adhogatim àgatàþ  YS182v_4.33b
ye bhu¤janty abudhà dvijàþ  YS182v_3.11b
ye bhu¤janty abudhà naràþ  YS78v_21b
ye ÷àma÷abalàcyutàþ  YS182v_1.5b
ye ÷yàma÷abalàcyutàþ  YSS_1.9b
yair yair vratair vi÷udhyanti  YSS_1.2c
yojanãyaü[yettu] prayatnataþ  YS182v_3.40d
yojanãyaþ prayatnena  YS182v_3.43c
yo jàyàü karajair vraõaü  YSS_2.55b
yo duùñabhàvena parasya hantà  YSS_1.41a
yo doùaduùñas sa nçpeõa ÷àsyo  YSS_1.48c
yonisaükarajaü sarvaü  YS182v_5.2c
yonyàü goùu naro vrajet  YSS_2.60b
yo bhu¤jàno '÷ucir vàpi  YS99v_2a
yo yasya bhaktà÷rayadàsasaktaþ  YSS_1.43a
yo vartate yasya narasya citte  YSS_1.49c
yo varttayati gomadhye  YS78v_71c
yo vàhanaü kartari vàraõaü và hy  YSS_1.47a
yoùitmukhaü tu bhu¤jàno  YSS_2.56a
raktamàlyavibhåùitaü  YSS_2.20b
raktavastrasya vikretà  YS182v_3.52a
rajaka÷ carmakàra÷ ca  YSS_1.32a
rajaka÷ carmakàra÷ ca  YS78v_54a
rajaka÷ carmakàra÷ ca  YS99v_33a
rajakãü veõujãvinãm  YS182v_2.1b
rajatena tathaiva ca  YSS_2.70b
rajasy uparate sàdhvã  YS99v_77c
rajasvalà tu saüspçùñà  YS99v_12a
rajasvalàü spç÷ed yas tu  YS182v_3.50a
rajasvale yadà nàryàv  YS99v_13a
rajaþ pa÷yati yà nàrã  YS182v_3.57a
rajjvàdibhir upakramaiþ  YS99v_20b
rathy àkardamatoyàni  YS78v_52a
rathyàdau doùam àpnuyàt  YSS_2.15d
rahasyakaraõe 'py evaü  YS99v_32a
rahasyakàriõas tv ete  YSS_1.26a
