GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
pranaùñapitçka÷cettu  Ang_1.719c
pranaùñaş prabhaveddoùas  Ang_1.945c
pranaùñàgamalekhyena  K_320a
pranaùñàdhigataü deyaü  Yj_2.33a
pranaùñàdhigataü dravyaü  Mn_8.34a
pranaùñàdhigatàn nçpaş  Mn_8.33b
prapañhedatra vidhinà  Ang_1.816c
prapadya kàraõaü pårvam  K_191a
prapadya kàraõaü bråyàd  K_170c
prapannaü sàdhayann arthaü  Yj_2.40a
prapàlayedvi÷eùeõa  Ang_1.225c
prapitàmahapårvaü syàt  Ang_1.670a
prapitàmahamukhyakaiş  Ang_1.1001d
prapitàmahameva vai  Ang_1.1005d
prapitàmahamevaü ca  Ang_1.1105a
prapitàmahà÷ca kathità  Ang_1.674c
prapitàmahà÷ca pitaras  Ang_1.892c
prapitàmahàüs tathàdityàn  Mn_3.284[274M]c
prapitàmahebhya÷ca tadvat  Ang_1.890c
prapåjyàş paramàş param  Ang_1.229d
prabalaiş såtimàrutaiş  Yj_3.83b
prabrajyàna÷anacyutàş  YS78v_2b
prabråyàtpakùato yacca  Ang_2,6.12a
prabråyàd itarebhya÷ ca  Mn_10.2c
prabråyàd bràhmaõas tv eùàü  Mn_10.1c
prabråyur yatra sàkùiõaş  Nar_1.213b
prabråyuş sàkùyam anyathà  Nar_M1.61b
prabhakùitam upekùitam  K_596b
prabhavatyeva sumahan  Ang_1.693c
prabhavecchràddhavàrakam  Ang_1.26d
prabhavetkila kevalam  Ang_1.355b
prabhavetpatitaş sadyaş  Ang_1.179a
prabhavetsadya evaivaü  Ang_1.902c
prabhavediti vai manuş  Ang_1.420b
prabhavedeva durghañaş  Ang_1.1004b
prabhaveddhi vi÷eùeõa  Ang_1.22a
prabhavenna tathàcaret  Ang_1.231b
prabhavennàtra saü÷ayaş  Ang_1.57d
prabhàva÷ ca ÷arãriõàm  Mn_1.84d
prabhàsàdãni tãrthàni  Par_12.20a
prabhuõà ÷àsanãyàs tà  K_488c
prabhutvàc ca vi÷eùataş  K_004b
prabhur àsàü tato nçpaş  Nar_18.23b
prabhuş karma samàdi÷at  Mn_1.91b
prabhuş prathamakalpasya  Mn_11.30[29M]a
prabhåtaidhodakagràmaş  Ang_1.1112a
prabhçtyetà rajasvalàş  Ang_1.930d
prabhedaş saptadhà pçthak  Nar_1.40d
pramadàsu vipa÷citaş  Mn_2.213d
pramadà hy utpathaü netuü  Mn_2.214c
pramàõatrayam iùyate  K_313b
pramàõade÷adçùñaü tu  K_050c
pramàõam aphalaü tathà  Nar_M1.54d
pramàõam aphalaü bhavet  Nar_M1.54b
pramàõamàrgaü màrganto  Par_8.8a
pramàõam eva likhitaü  K_304c
pramàõavarjitaü nàma  Nar_M2.11c
pramàõasya yathàkramam  Nar_1.67b
pramàõasya hi ye doùà  K_275a
pramàõaü kùetranàma ca  K_127d
pramàõaü caiva lokasya  Mn_11.84[83M]c
pramàõaü tatra kalpayet  K_416b
pramàõaü tatsmçtaü budhaiş  K_250d
pramàõaü tadviparyaye  K_358d
pramàõaü trividhaü viduş  K_214b
pramàõaü trividhaü smçtam  K_242b
pramàõaü trividhaü smçtaü  Nar_1.65b
pramàõaü naiva tad bhavet  K_464d
pramàõaü paramaü ÷rutiş  Mn_2.13d
pramàõaü parimàõataş  Nar_20.8d
pramàõaü bahavo yataş  Nar_1.209b
pramàõaü mçtasàkùikam  K_303d
pramàõaü likhitaü tadà  K_294d
pramàõaü likhitaü bhuktiş  Yj_2.22a
pramàõaü vidhimàditaş  Ang_2,1.2b
pramàõaü sabhikas tatra  K_942c
pramàõaü sarva evaite  K_468a
pramàõaü sàkùiõàü vacaş  Nar_1.83b
pramàõaü syàd vini÷caye  Nar_1.83d
pramàõaü hy uttarakriyà  Nar_1.148d
pramàõàkçtijàtiùu  Nar_1.212b
pramàõàgamavarjitam  Nar_M2.8b
pramàõàni ca kurvãta  Mn_7.203[204M]a
pramàõàni pramàõasthaiş  Nar_1.64a
pramàõàbhihitaü yattu  Ang_2,1.4a
pramàõàrthaü hi dàtçbhiş  Ang_2,7.3b
pramàõena tu kåñena  K_954a
pramàõenaiva kartavyaü  Ang_2,2.3c
pramàõenaiva vàdinà  K_264d
pramàõe vyaktikàrake  Nar_1.103d
pramàõeùu smçtà bhukteş  K_313c
pramàõeùv iti ni÷cayaş  K_314d
pramàõair avyavasthitaiş  Nar_1.64d
pramàõair bhogadar÷anaiş  Nar_11.6d
pramàõair vàdinirdiùñair  K_243c
pramàõair hetunà vàpi  K_241a
pramàdamçtanaùñàü÷ ca  Yj_2.164c
pramàdavàn bhinnavçtto  Yj_3.139c
pramàdasthànam uttamam  YS78v_68b
pramàdàkaraõe kçtsne  Ang_1.14a
pramàdàc ca hatà yena  YS182v_4.7c
pramàdàd dhaninas tadvad  Nar_1.110a
pramàdàd dhanino yatra  Nar_1.214a
pramàdàd yac ca nà÷itam  Yj_2.260b
pramàdàn nà÷itaü dàpyaş  Nar_3.05a
pramàdàbhihitaü chalam  Nar_M1.24d
pramàdena hyupanayet  Ang_1.382a
pramàdocchiùñasaüspçùñaş  YS182v_3.47c
pramàpaõe pràõabhçtàü  K_792a
pramàpaõe pràõabhçtàü  Par_9.26a
pramàpayati càvyayaş  Mn_1.57d
pramàpayet pràõabhçtas  Mn_8.295c
pramàpya vai÷yaü vçttasthaü  Mn_11.129[128M]c
pramàpyàkàmato dvijam  Mn_11.89[88M]b
pramãtapatikàü striyam  Mn_9.68b
pramukhà dvyaü÷am arhanti  K_636e
pramçtaü karùaõaü smçtam  Mn_4.5d
prayacchanti tathà ràjyaü  Yj_1.270c
prayacchet kvacid uddhçtam  K_497b
prayacchet svadhanàd çõam  Mn_8.158d
prayacchet svadhanàd çõam  K_535d
prayacchenmadhyamaü piõóaü  Ang_1.869a
prayatàtmà jitendriyaş  Mn_4.145b
prayatà ràjasaünidhau  Mn_8.258d
prayatetàrthasiddhaye  Mn_7.215[219M]d
prayato vidhipårvakam  Mn_3.216[206M]b
prayato vedasaühitàm  Mn_11.258[257M]b
prayatna àkçtir varõaş  Yj_3.74a
prayatnasàdhye vicchinne  K_025a
prayatnàc chuklam utsçjya  YSS_2.58a
prayatnena vicàrayet  K_778b
prayatnena vivarjayet  Mn_5.6d
prayatnena vivarjayet  Mn_7.45d
prayatnenàtibhaktitaş  Ang_1.238b
prayatnenopapàdayet  Mn_3.206[196M]d
prayama÷ràddhamevocuş  Ang_1.1107a
praya÷cittaü tathà pràptaü  YS78v_21c
prayàõaü gardabhena ca  Nar_14.9d
prayànti tv àpadaü mahat  YSS_2.65b
prayànti sa catuùpathaş  K_755b
prayàsàt kàlakàritàt  Par_3.12b
prayàsàdhikyataş phalam  Ang_1.693b
prayuktaü dhaninàü sadà  K_509b
prayuktaü yaş svakaü dhanam  Yj_2.44b
prayuktaü sàdhayed arthaü  Mn_8.49c
prayukte ÷àntalàbhe tu  K_293a
prayujyate vivàhe tu  Mn_5.152[150M]c
prayu¤jàno 'gni÷u÷råùàü  Mn_2.248c
prayu¤jãta catuùñayam  Mn_8.130d
prayoktavya÷caturùvapi  Ang_1.671d
prayoktavyaş ÷ràddhadine  Ang_1.789c
prayogaü kurvate ye tu  K_626a
prayogaş karmayoga÷ ca  Mn_10.115c
prayogo yatra caivaü syàd  K_501c
prayojake 'sati dhanaü  Yj_2.62c
prayojanàrtham ànãtaş  K_373a
prayojyaü na vibhajyeta  K_884:1c
prayojyà dharmam icchatà  Mn_2.159d
prarohi÷àkhinàü ÷àkhà-  Yj_2.227a
prarõasaïkaralopanam  K_949d
pralapaüstadduruktàni  Ang_1.365c
pralãyante vibhàga÷aş  Mn_12.17d
pravaktà cànavasthitaş  K_828b
pravakùyàmyatra taü punaş  Ang_1.1045b
pravakùyàmy anupårva÷aş  Mn_8.119d
pravadanti manãùiõaş  Mn_5.55d
pravadanti manãùiõaş  YS182v_4.48b
pravadàmi vinirõayam  Ang_1.288d
pravadàmi samudbhåtas  Ang_1.417c
pravadettena manunà  Ang_1.899a
pravaraş kathitaş sadbhis  Ang_1.404a
pravartante yatastasmàt  Ang_1.497c
pravartante svarikthinàm  Nar_13.40b
pravartamànam anyàye  Mn_9.292c
pravartetàdharottaram  Mn_7.21d
pravasan kàlacoditaş  Par_5.13d
pravaset kàryavàn naraş  Mn_9.74b
pravahatsalilottamà  Ang_1.941b
pravàcyà ÷ràddhakarmaõi  Ang_1.830b
pravàràsu ca yoniùu  Mn_10.27d
pravàsayed daõóayitvà  Mn_8.123c
pravàsàt karmaõas tathà  Nar_M1.42b
pravàsyas tv asthibhedakaş  Mn_8.284d
pravàhanàdikarmàõi  Ang_1.81a
pravibhakte yathàvidhi  Mn_9.218b
pravibhaktair api svataş  Mn_8.166d
pravibhàgas tayoş punaş  Mn_1.67b
pravibhàgas tu pakùayoş  Mn_1.66b
pravivedaü dvàda÷àbdaş  K_333a
pravi÷et sa ÷ubhàü sabhàm  Mn_7.145[146M]d
pravi÷ed bhojanàrthaü ca  Mn_7.224[228M]c
pravi÷eyuş samàlabhya  Yj_3.13c
pravi÷ya bhavanaü svakam  Mn_11.187[186M]b
pravi÷ya sarvabhåtàni  Mn_9.306a
praviùñaparakàyena  Ang_1.224a
praviùñaparakàyo yaş  Ang_1.69c
praviùñaparavarùmàõaü  Ang_1.225a
praviùñe dviguõe dhane  Yj_2.64d
pravçttacakratàü caiva  Yj_1.266a
pravçttam api tad ràjà  Nar_10.7c
pravçttaü karma kãrtyate  Mn_12.89b
pravçttaü karma saüsevyaü  Mn_12.90a
pravçttaü ca nivartayet  Nar_18.8d
pravçttaü ca nivçttaü ca  Mn_12.88c
pravçttaş sàrvakàlikaş  K_046b
pravçttànàü tu vakùyàmi  Ang_2,5.10c
pravçttàn nén mahãpatiş  Mn_8.352b
pravçttir eùà bhåtànàü  Mn_5.56c
pravçttiùv aghadar÷anam  Yj_3.158d
pravçttau madhyamaş smçtaş  K_960d
prave÷anàdikaü karma  Yj_3.14a
prave÷as tv anivàritaş  Nar_18.34d
prave÷yo bràhmaõàd çte  K_479d
pravrajaty abhayaü gçhàt  Mn_6.39b
pravrajan pretya vardhate  Mn_6.34d
pravrajyàgnir niràpadi  YS78v_48b
pravrajyànà÷akacyutàş  YS182v_1.3b
pravrajyànà÷akacyutàş  YS99v_22b
pravrajyànà÷akacyutàş  YSS_1.7b
pravrajyànà÷akeùu ca  Par_12.5b
pravrajyàvasita÷ caiva  K_862c
pravrajyàvasitaü ÷ådraü  K_486a
pravrajyàvasitaü ÷ådraü  K_957a
pravrajyàvasitaş kçtaş  Nar_5.25d
pravrajyàvasità yatra  K_721a
pravrajyàvasità ye tu  K_679c
pravrajyàvasito dàso  K_731a
pravrajyàvasito naraş  Nar_5.33b
pravrajyàvasito ràj¤o  Yj_2.183a
pravrajyàsu ca tiùñhatàm  Mn_5.89[88M]b
pra÷amaü yànti ye mithaş  K_210b
pra÷astaü nànyadà ni÷i  Par_12.26(25)d
pra÷astà da÷aràtrayaş  Mn_3.47d
pra÷astà dàrakarmaõi  Mn_3.12b
pra÷astànàü svakarmasu  Mn_2.183b
pra÷astàn kavayo viduş  Mn_3.24b
pra÷astà mçgapakùiõaş  Mn_5.22b
pra÷astena prayatnataş  Mn_3.123[113M]d
pra÷asya svasti cetyuktvà  Ang_2,8.3c
pra÷aüsàü pràpnuvanti ca  Mn_10.127d
pra÷àntam iva ÷uddhàbhaü  Mn_12.27c
pra÷àsitàraü sarveùàm  Mn_12.122a
praùñavyaş syàt sa saüsadi  Nar_1.174d
praùñavyà yoùita÷ càsya  Yj_2.280c
praùñavyàs te vinigrahe  Nar_19.16d
praùñavyàş sàkùiõas tatra  Nar_1.146c
praùñavyàş sãmaliïgàni  Mn_8.254c
prasakta÷ cendriyàrtheùu  Mn_11.44[43M]c
prasaïgavinivçttaye  Mn_8.368d
prasaïgavinivçttyarthaü  K_620c
prasaïgaü tatra varjayet  Mn_4.186b
prasaïgàd anyabãjajàş  Mn_9.181b
prasaïgàd àgata÷ ca yaş  K_373b
prasabhaü karma kurvate  K_876b
prasabhaü karma yat kçtam  Mn_8.332b
prasamãkùya nivarteta  Mn_5.49c
prasamãkùyàtmano ràjà  Nar_18.7c
prasamãkùyàpado bhç÷am  Mn_7.214[218M]b
prasave gçhamedhã tu  Par_3.23a
prasave ca guõàguõàn  Mn_3.22d
prasahya kanyàharaõaü  Mn_3.33c
prasahyaghàtina÷ caiva  Yj_2.273c
prasahya dàpayed deyaü  K_940a
prasahya dàsyabhigame  Yj_2.291a
prasahya parirakùitum  Mn_9.10b
prasahya puruùo yadà  K_830b
prasahya sa vineyaş syàt  Nar_M1.40c
prasahya haraõaü ca yat  K_796b
prasahya haraõàd ukto  Nar_12.43a
prasaügàttatsvaråpasya  Ang_1.937c
prasaügàdidamãritam  Ang_1.679b
prasàdaü và rahogataş  Mn_7.147[148M]b
prasàdaş svàminà kçtaş  K_876d
prasàdàd svàmino 'nyatra  Nar_5.27c
prasàdo ya÷ ca paitçkaş  Nar_13.6d
prasàdyaiva vi÷udhyati  Yj_3.283b
prasàdyopavased dinam  Yj_3.291d
prasàdhanopacàraj¤am  Mn_10.32a
prasiddhe dhårtamaõóale  Yj_2.201b
prasuptam iva sarvataş  Mn_1.5d
prasuptaş pratibudhyate  Mn_1.74b
prasåtà ca bhavet tataş  K_723b
prasåtà và na kàrya ca  YS182v_5.7c
prasåtir guõakarmataş  Mn_12.98d
prasåtiş prathamaü bhavet  YSS_2.47d
praskhalaty abhiyukta÷ cet  K_441a
prastareùu kañeùu ca  Mn_2.204b
prastutàd alpam avyaktaü  K_187a
prastutàrthopayogitvàd  K_381c
prasthà dvàtriü÷atir droõaş  Par_6.70c
prasthànavighnakçc caiva  Yj_2.197c
prasthàne dviguõàü bhçtim  K_658b
prasthàne và pità tasya  YS182v_5.9c
prasthàne vighnam àcaran  Nar_6.9d
prasrave ca ÷ucir vatsaş  Mn_5.130[128M]c
praharettu nipàtayet  Ang_2,10.1b
prahared yas tu mànavaş  K_780b
praharùayed balaü vyåhya  Mn_7.194[195M]a
prahasan vàkyamabravãt  Ang_1.572b
prahàràd yadi pàtayet  Par_9.2b
prahuto bhautiko baliş  Mn_3.74[64M]b
prahçtà và mçtà vàpi  Par_9.9c
pràkàraparikhàs tathà  Mn_7.196[197M]b
pràkàrastho dhanurdharaş  Mn_7.74b
pràkàrasya ca bhettàraü  Mn_9.289a
pràkàraü bhedayed yas tu  K_809a
pràkkålàn paryupàsãnaş  Mn_2.75a
pràk ca te pårvasàhasàt  Nar_19.64d
pràk chàye ku¤jarasya ca  Mn_3.274[264M]d
pràktanasya dhanarõasya  K_675c
pràk pa÷càdapi ùoóa÷a  Ang_1.647d
pràk pa÷càn nàmacihnitam  K_521b
pràk prajàpatinirmitam  Mn_9.46d
pràksaumikãş kriyàş kuryàd  Yj_1.124c
pràk svayaü guõadoùataş  Nar_9.4b
pràg uktaü ca punar bhajet  K_887d
pràgdçùñadoùa÷ailåùa  Nar_1.163a
pràg và bràhmeõa tãrthena  Yj_1.18c
pràgvipràõàü visarjanàt  Ang_1.1023d
pràï nàbhivardhanàt puüso  Mn_2.29a
pràïnyàyavidhisàdhyaü và  Nar_M2.4c
pràïnyàyas tu sa ucyate  K_171d
pràïnyàyastriprakàrakaş  K_172d
pràïnyàye sa ca vij¤eyo  K_245c
pràïmukhaü tam athotsçjet  Nar_5.41d
pràïmukhã maunamà÷rità  Ang_1.870b
pràïvivàko niyu¤jãta  K_342c
pràcãnàvãtikaü na tu  Ang_1.1075b
pràcãnàvãtinà samyag  Mn_3.279[269M]a
pràcãnàvãtinaiva vai  Ang_1.811b
pràcãü tàü kalpayed di÷am  Mn_7.189[190M]d
pràjaka÷ ced bhaved àptaş  Mn_8.294a
pràjako daõóam arhati  Mn_8.294b
pràjànàm eva pàlanam  Mn_7.144[145M]b
pràjàpatyatrayaü caret  Par_10.13b
pràjàpatyatrayaü caret  Ang_1.68b
pràjàpatyadvayaü kuryàd  Par_10.7c
pràjàpatyadvayaü kçtvà  Par_6.16c
pràjàpatyadvayaü caret  Par_10.6b
pràjàpatyadvayaü caret  Par_10.39b
pràjàpatyadvayaü caret  Par_12.7d
pràjàpatyadvayena hi  YS182v_4.44d
pràjàpatyadvayenaiva  Par_12.6a
pràjàpatyaprapårvakam  Ang_1.57b
pràjàpatyam adattvà÷vam  Mn_11.38[37M]a
pràjàpatyam anantaraş  Par_6.29b
pràjàpatyam anicchayà  Mn_11.124[123M]d
pràjàpatyam iti sthitiş  Nar_19.49d
pràjàpatyam iti sthitiş  YSS_1.24d
pràjàpatyavrataü caret  Par_10.14d
pràjàpatyas tathàsuraş  Mn_3.21b
pràjàpatyas tathaiva ca  Nar_12.38d
pràjàpatyaü caran dvijaş  Mn_11.211[210M]d
pràjàpatyaü caret kçcchram  Mn_11.105[104M]c
pràjàpatyaü caret kçcchraü  Yj_3.260a
pràjàpatyaü caret kçcchraü  Par_6.19c
pràjàpatyaü caret kçcchraü  Par_10.8c
pràjàpatyaü caret pa÷càd  Par_5.12a
pràjàpatyaü tataş kçcchraü  Par_8.36c
pràjàpatyaü tu kùattriyaş  YS182v_1.11b
pràjàpatyaü tu loùñake  Par_9.24b
pràjàpatyaü tu loùñake  YS99v_49b
pràjàpatyaü na dàtavyaü  Par_6.28c
pràjàpatyaü na dàtavyaü  YS182v_1.10c
pràjàpatyaü nirupyeùñiü  Mn_6.38a
pràjàpatyaü vinirdi÷et  Par_8.36b
pràjàpatyaü samàcaret  Par_6.27d
pràjàpatyaü samàcaret  Par_7.22b
pràjàpatyaü samàcaret  Par_11.2d
pràjàpatyaü samàcaret  Par_12.4b
pràjàpatyaü samàcaret  YS182v_3.45d
pràjàpatyaü samàcaret  YS78v_42d
pràjàpatyaü samàcaret  YS99v_15d
pràjàpatyàü tadante tàn  Yj_3.56c
pràjàpatye tathà trayaş  Par_9.25b
pràjàpatyena kçcchreõa  YS78v_62c
pràjàpatyena ÷udhyati  YS182v_1.9d
pràjàpatyena ÷udhyati  Ang_1.58b
pràjàpatyena ÷udhyeta  Par_10.25c
pràjàpatye pità prabhuş  Mn_4.182b
pràjàpatyeùu yad vasu  Mn_9.196b
pràjàpatyais tribhiş kçcchraü  YS182v_4.25a
pràjàpatyo 'yam ucyate  Yj_3.319b
pràjàpatyo vidhiş smçtaş  Mn_3.30d
pràjàpatyo vidhãyate  Nar_12.40d
pràj¤aü kulãnaü ÷åraü ca  Mn_7.210[214M]a
pràj¤aü dàntaü kulodgatam  Mn_7.141[142M]b
pràj¤aş pratigrahaü kuryàd  Mn_4.187c
pràj¤aş ÷åro rahasyavit  Yj_1.310d
pràj¤àn maulàn sthiràn ÷ucãn  Yj_1.312b
pràj¤air maulair dvijottamaiş  K_057b
pràóvivàkamate sthitaş  Nar_M1.29b
pràóvivàkas tataş param  K_121d
pràóvivàkas tataş smçtaş  K_069d
pràóvivàkas tathà ÷alyam  Nar_M3.15c
pràóvivàko 'tha daõóyaş syàt  K_070c
pràóvivàko 'nuyu¤jãta  Mn_8.79c
pràóvivàko 'bhilekhayet  K_131b
pràõatyàgàkhyakarmaõaş  Ang_1.188d
pràõadravyàpahàre ca  K_804e
pràõabàdhabhayeùu ca  Mn_K4.51[52M]d
pràõabhçtsu mahatsv ardhaü  Mn_8.296c
pràõayàtrikamàtraş syàn  Mn_6.57c
pràõavçttiü caratyalam  Ang_1.329b
pràõasaü÷ayam àpannaü  K_646a
pràõasyànnam idaü sarvaü  Mn_5.28a
pràõasyàyatanàni tu  Yj_3.93d
pràõasyàyatanàni tu  Yj_3.99d
pràõàtyaye tathà ÷ràddhe  Yj_1.179a
pràõàtyaye tu yatra syàd  K_482a
pràõàdipa¤cabhirmantrair  Ang_1.971c
pràõàn apsu trir àyamya  Mn_11.149[148M]c
pràõànàm eva càtyaye  Mn_5.27d
pràõànàyamya mantrataş  Ang_1.268b
pràõàn àyamya saüprokùya  Yj_1.24a
pràõànàü parirakùàrthaü  Mn_10.106c
pràõàn evàttum icchanti  Mn_4.28c
pràõàntaü daõóam arhati  Mn_8.359b
pràõàntikam iti sthitiş  Mn_11.146[145M]d
pràõàntikavivàdeùu  K_232c
pràõàn suyuddhena parityajantaş  Par_3.36d
pràõàyamair dahed doùàn  Mn_6.72a
pràõàyàmam upakramet  Yj_3.200d
pràõàyàma÷atadvayam  Par_12.63(62)b
pràõàyàma÷ataü kàryaü  Yj_3.305a
pràõàyàma÷ataü kçtvà  Par_3.46c
pràõàyàma÷atena ca  YS78v_62d
pràõàyàmas tv anasthike  Yj_3.275d
pràõàyàmaü jale kçtvà  Yj_3.277c
pràõàyàmaş paraü tapaş  Mn_2.83b
pràõàyàmàn ùaó àcaret  Mn_6.69d
pràõàyàmàn ùaó àcaret  Par_3.44d
pràõàyàmà bràhmaõasya  Mn_6.70a
pràõàyàmàs tu ùoóa÷a  Mn_11.248[247M]b
pràõàyàmã jale snàtvà  Yj_3.290a
pràõàyàmena ÷udhyati  Mn_11.141[140M]d
pràõàyàmena ÷udhyati  Mn_11.199[198M]d
pràõàyàmena ÷udhyati  Mn_11.201[200M]d
pràõàyàmena ÷udhyati  Par_3.41d
pràõàyàmena ÷udhyati  Par_6.4d
pràõàyàmais tribhiş påtas  Mn_2.75c
pràõàyàmais tribhiş saha  Par_12.65(64)b
pràõàyetyàdikà paràş  Ang_1.829d
pràõàlàbhe vimucyate  Mn_11.80[79M]d
pràõidyåte samàhvaye  Yj_2.203d
pràõinàü caiva hiüsanam  Mn_2.177d
pràõinàü na cikãrùati  Mn_5.46b
pràõinàü pàpakàriõàm  YS182v_4.27d
pràõinàü pràõavçttyarthaü  Ang_2,10.14c
pràõinàü buddhijãvinaş  Mn_1.96b
pràõino 'ttàra eva ca  Mn_5.30d
pràõino 'hanyahany api  Mn_5.30b
pràõinau pretya ceha ca  Mn_3.175[165M]b
pràõibhiş kriyate yas tu  Mn_9.223c
pràõiloke tatastattu  Ang_1.711a
pràõi và yadi vàpràõi  Mn_4.117a
pràõihatyàsu niùkçtim  Par_6.1b
pràõe vàcaü ca sarvadà  Mn_4.23b
pràõoparodhi yac cànyad  Nar_14.5c
pràõyucchedad vigarhitam  K_823d
pràtar utthàya nçpatiş  K_053a
pràtar utthàya pàrthivaş  Mn_7.37b
pràtah saüdhyàü sanakùatràm  YS182v_4.50a
pràtaşsaüdhyàm upàsãta  Yj_1.98c
pràtaşsàyaü na parvasu  Ang_1.257d
pràtaş snàtvà samàrambhaü  Ang_2,12.2c
pràtibhàvyakçtaü vinà  Nar_1.08d
pràtibhàvyam çõaü sàkùyam  Yj_2.52c
pràtibhàvyaü tu yo dadyàt  K_539a
pràtibhàvyaü vidhãyate  Yj_2.53b
pràtibhàvyaü vçthàdànam  Mn_8.159a
pràtibhàvyàgataü pautrair  K_561a
pràtibhàvyàgateùu ca  K_508d
pràtilome pramàpaõam  Nar_12.69d
pràtilomyapasåtànàü  K_433c
pràtilomyaprasåtànàü  K_435a
pràtilomyànulomataş  K_786b
pràtilomyàpavàdeùu  Yj_2.207a
pràtilomyena jàyante  Mn_10.16c
pràtilomyena yaj janma  Nar_12.103c
pràtilomyena yatraiko  Nar_12.108c
pràtilomyena varõànàü  Nar_12.113c
pràtilomye 'pi janmani  Mn_10.13d
pràtilomye mahatpàpaü  YS182v_4.48a
pràtilomye vadhaş puüso  Yj_2.286c
pràtilomye vadhaş smçtaş  Yj_2.287d
pràdur àsãt tamonudaş  Mn_1.6d
pràduùkçteùv agniùu tu  Mn_4.106a
pràdhãte ÷atasàhasram  Mn_7.85c
pràpaõàt sarvakàmànàü  Mn_2.95c
pràpità yady api grahe  K_489b
pràptakàlaü parãkùyate  Nar_M1.56b
pràptakàle kçte kàrye  K_607a
pràptam anviùya pàrthivaş  K_815d
pràptam etais tu yat kiücit  K_651a
pràptaye karmañhatvasya  Ang_1.1070c
pràptavàn manur eva ca  Mn_7.42b
pràpta÷ ca vivaden na yaş  Nar_M1.53b
pràptaü ca saha bhàryayà  Nar_1.47b
pràptaü tatra phalaü samam  K_624d
pràptaü divyaiş parãkùaõam  K_230b
pràptaü nirdahati kùaõàt  Mn_11.246[245M]b
pràptaü vànena cet ki¤cid  K_303a
pràptaü ÷ilpais tu yad vittaü  K_904a
pràptaş syàc corakilbiùam  Mn_8.342d
pràptaş syàc caurakilbiùam  Mn_8.198d
pràptaş syàc caurakilbiùam  Mn_8.300d
pràptà de÷àd dhanakrãtà  Nar_12.51a
pràptànàü pitçtaş kramàt  Nar_1.78d
pràptàparàdhàs tàóyàş syå  Mn_8.299c
pràptàrtho hy uttamarõikaş  Yj_2.42d
pràptiyuktibhir uddharet  Nar_1.123d
pràpte kàle niyacchati  Mn_9.307b
pràpte tu dvàda÷e varùe  Par_7.5c
pràpte dvàda÷ame varùe  YS182v_3.20a
pràpte dvàda÷ame varùe  YS78v_22a
pràpte nçpatinà bhàge  Yj_2.201a
pràpte naimittike yadi  Ang_1.106b
pràpte bhartçkule vaset  K_910b
pràpto yuddhàt paõe jitaş  Nar_5.25b
pràpto yo svajanairapi  Ang_1.1063d
pràpnuyàt tàvatãü bhçtim  K_661d
pràpnuyàt pårvasàhasam  Mn_8.354d
pràpnuyàt pårvasàhasam  K_379d
pràpnuyàt pårvasàhasam  K_526d
pràpnuyàt pårvasàhasam  K_642d
pràpnuyàt pårvasàhasam  K_728d
pràpnuyàt pårvasàhasam  K_759d
pràpnuyàt pårvasàhasam  K_789d
pràpnuyàt pårvasàhasam  K_808d
pràpnuyàt pårvasàhasam  K_809d
pràpnuyàt pårvasàhasam  K_812d
pràpnuyàt prathamaü damaü  YSS_2.27d
pràpnuyàt sàhasaü pårvam  K_527c
pràpnuyàt sàhasaü pårvam  K_590c
