Yajnavalkyasmrti

PADA INDEX

Input by Muneo Tokunaga, checked by Yasuke Ikari
Based on the edition: Yajnavalkyasmrti of Yogisvara Yajnavalkya 
With the commentary Mitaksara of Vij¤anesvara, Notes, Variant readings, etc. 
Ed. by Narayan Ram Acharya Nirnayasagara Press, Bombay, 1949.



akÃmata÷ kÃmacÃre  Yj_2.162c
grÅvÃ pa¤cadaÓÃsthi÷ syÃj  Yj_3.88c
grÅ«me pa¤cÃgnimadhyastho  Yj_3.52a
glahe Óatikav­ddhes tu  Yj_2.199a
ghaÂÃdi«u p­thag bhavet  Yj_3.144b
ghaÂe 'pavarjite j¤Ãti-  Yj_3.299a
ghÃtayed vividhair vadhai÷  Yj_2.270b
ghÃtÃrthaæ cet samÃgata÷  Yj_3.252b
ghÃtite 'pah­te do«o  Yj_2.271a
gh­taæ prÃÓya viÓudhyati  Yj_3.277d
gh­tÃbhyakta ­tÃv iyÃt  Yj_1.68d
cakravad bhrÃmyate hy asau  Yj_3.182d
cakraæ saæparivartate  Yj_3.124d
cak«u«aÓ ca divÃkara÷  Yj_3.128b
caï¬ÃlaÓ cottamÃn sp­Óet  Yj_2.234d
catasra÷ koÂya eva ca  Yj_3.103b
catura÷ pa¤ca mÃnu«e  Yj_2.174b
caturthaæ pathi saætyajan  Yj_2.198b
caturthe mÃsi ni«krama÷  Yj_1.12b
caturdaÓa prathamaja÷  Yj_1.59c
caturbhi÷ kalaÓair hradÃt  Yj_1.280b
caturviæÓatika÷ p­thak  Yj_2.291d
caturviæÓatiko daï¬as  Yj_2.293c
caturviæÓÃc ca vatsarÃt  Yj_1.37b
catu«pa¤cakam anyathÃ  Yj_2.37d
catu«pÃdak­to do«o  Yj_2.298a
catu«pÃd vyavahÃro 'yaæ  Yj_2.8c
catustridviguïÃ parÃ  Yj_2.39d
catustridvyekabhÃgÃ÷ syur  Yj_2.125a
catvÃri Óirasas tathÃ  Yj_3.90b
catvÃriæÓac ca pa¤ca ca  Yj_3.88b
catvÃriæÓac chatadvayam  Yj_3.324b
catvÃriæÓadgh­tÃhutÅ÷  Yj_3.302d
catvÃro mÆtram eva ca  Yj_3.106b
catvÃro vedadharmaj¤Ã÷  Yj_1.9a
catvÃro '«Âau daÓÃpi vÃ  Yj_2.152b
catvÃryaratnikÃsthÅni  Yj_3.86c
candanÃt svarïakÃd ubhau  Yj_1.297b
candanair yaÓ ca liæpati  Yj_3.53b
candrasyaiti salokatÃm  Yj_3.326d
carava÷ pratidaivatam  Yj_1.299d
caritavrata ÃyÃte  Yj_3.295a
caritrabandhakak­taæ  Yj_2.61a
carusruksruvasasneha-  Yj_1.183c
caru÷ sÃrasvato dvijai÷  Yj_2.83d
cared Ãgneyam eva vÃ  Yj_3.286b
cared brahmahaïi vratam  Yj_3.251b
cared vÃpi samÃhita÷  Yj_3.264b
cared vratam ahatvÃpi  Yj_3.252a
carmaïy Ãna¬uhe rakte  Yj_1.280c
cÃÂataskaradurv­tta-  Yj_1.336a
cÃï¬Ãlo jÃyate yaj¤a-  Yj_1.127a
cÃturmÃsyÃni caiva hi  Yj_1.125d
cÃdagdhvÃ na nivartate  Yj_1.341d
cÃndrÃyaïam athÃparam  Yj_3.324d
cÃndrÃyaïaæ caret sarvÃn  Yj_3.262a
cÃndrÃyaïaæ vÃ trÅn mÃsÃn  Yj_3.260c
cÃndrÃyaïair nayet kÃlaæ  Yj_3.50a
cÃpalye cÃn­te 'pi ca  Yj_3.279d
cÃrÃïÃæ gÆ¬habhÃ«itam  Yj_1.330b
cÃriïÃæ rikthabhÃgina÷  Yj_2.137b
cÃrair j¤ÃtvÃ vice«Âitam  Yj_1.338b
cÃ«ÃæÓ ca raktapÃdÃæÓ ca  Yj_1.175a
cikitsakÃturakruddha-  Yj_1.162a
cintayed Ãtmano hitam  Yj_1.115b
cibuke galaÓuï¬ike  Yj_3.98b
cÅrÅ lavaïahÃraka÷  Yj_3.215d
cÅrïavratÃn api sata÷  Yj_3.298c
cÆ¬Ã kÃryÃ yathÃkulam  Yj_1.12d
ce«ÂÃbhojanavÃgrodhe  Yj_2.220a
caityaÓmaÓÃnasÅmÃsu  Yj_2.228a
caityÃdyair upalak«itÃm  Yj_2.151d
cailadhÃvasurÃjÅva-  Yj_1.164c
cauradaï¬ena daï¬ayet  Yj_2.269d
cauravad daï¬am arhati  Yj_2.162d
cauraæ pradÃpyÃpah­taæ  Yj_2.270a
cauroddhartur avÅtake  Yj_2.271d
cauryapÃru«yasÃhase  Yj_2.72d
cchedane japyam ­kÓatam  Yj_3.276b
chatramÃlyÃnulepanam  Yj_1.211b
chatrÃkaæ grÃmakukkuÂam  Yj_1.176b
chalaæ nirasya bhÆtena  Yj_2.19a
chittvÃ jihvÃæ pravÃsayet  Yj_2.302d
chinnanasyena yÃnena  Yj_2.299a
chuddhiæ tasya vinirdiÓet  Yj_2.111d
chÆdrÃt k«attÃram eva ca  Yj_1.94b
chedane karïanÃsayo÷  Yj_2.219b
che«Ãd bhÆtabaliæ haret  Yj_1.103b
che«e«u pit­gÃmi tat  Yj_2.145d
chrÃddhe vratam apÅ¬ayan  Yj_1.32d
chreyÃæÓ ced vara Ãvrajet  Yj_1.65d
chrotriyÃïÃæ mahÃkulÃt  Yj_1.54b
jagac ca sacarÃcaram  Yj_3.128d
jagataÓ cÃtmasaæbhava÷  Yj_3.117d
jagad Ãnandayet sarvam  Yj_1.356c
jagadudbhÆtam ÃtmÃ ca  Yj_3.118c
jagdhvÃ cÃndrÃyaïaæ caret  Yj_1.176d
jagdhvÃ pare 'hny upavaset  Yj_3.314c
jaghanÃd antarik«aæ ca  Yj_3.128c
jaÇghayos tÃvad eva tu  Yj_3.86d
jaÇghoru«u ca piï¬ikÃ  Yj_3.97d
jaÂÃlomabh­d ÃtmavÃn  Yj_3.46d
ja¬abÃladhanair vinÃ  Yj_2.25b
jatrv ekaikaæ tathÃ hanu÷  Yj_3.88d
janakoÓÃtmaguptaye  Yj_1.321d
janayÃmÃsa vai sutam  Yj_1.94d
janmanÃ maraïena ca  Yj_3.170b
janmÃntaraÓatai÷ k­tam  Yj_2.75b
japadbhir laukikÃgninÃ  Yj_3.2b
japann ÃsÅta sÃvitrÅæ  Yj_1.24c
japayaj¤aprasiddhyarthaæ  Yj_1.101c
japa÷ pracchannapÃnÃnÃæ  Yj_3.33c
japed Ãyantu nas tata÷  Yj_1.233d
japed vyÃh­tipÆrvikÃm  Yj_1.23b
japen mantrÃn samÃhita÷  Yj_1.99b
japtvÃ pÆrvajapaæ tathÃ  Yj_1.240d
japtvÃ yathÃsukhaæ vÃcyaæ  Yj_1.239c
japtvÃ sahasraæ gÃyatryÃ÷  Yj_3.311c
jarÃ rÆpaviparyaya÷  Yj_3.63d
jalaprapatanodyamÅ  Yj_3.154d
jalabudbudasaænibhe  Yj_3.8d
jalabhÆtimirais tathÃ  Yj_3.172d
jalam ekÃham ÃkÃÓe  Yj_3.17a
jalasthalaÓikhaï¬ina÷  Yj_3.272b
jalasyÃ¤jalayo daÓa  Yj_3.105b
jalaæ tu pras­titrayam  Yj_2.112d
jalaæ piben nÃ¤jalinÃ  Yj_1.138a
jalaæ plava÷ paya÷ kÃko  Yj_3.214c
jalaæ bhÆÓ ceti dhÃtava÷  Yj_3.145b
jalaæ muï¬ÃæÓ ca paÓyati  Yj_1.272d
jalÃdhÃre«v ivÃæÓumÃn  Yj_3.144d
jalÃnte chandasÃæ kuryÃd  Yj_1.143c
jale sthitvÃbhijuhuyÃc  Yj_3.302c
jÃgarai÷ svapnajair api  Yj_3.172b
jÃÇgalaæ deÓam Ãvaset  Yj_1.321b
jÃtadrumÃïÃæ dviguïo  Yj_2.228c
jÃtasya ca m­tasya ca  Yj_2.138d
jÃta÷ pÃraÓavo 'pi vÃ  Yj_1.91d
jÃta÷ paunarbhava÷ suta÷  Yj_2.130b
jÃta÷ prÃïair viyujyate  Yj_3.82d
jÃtinÃmÃdinihnavai÷  Yj_2.267b
jÃtirÆpavayov­tta-  Yj_3.151a
jÃto 'pi dÃsyÃæ ÓÆdreïa  Yj_2.133c
jÃtyutkar«o yuge j¤eya÷  Yj_1.96a
jÃnato dama uttama÷  Yj_2.249d
jÃnato dama uttama÷  Yj_2.276d
jÃnann api narÃdhama÷  Yj_2.77b
jÃmisaæbandhimÃtulai÷  Yj_1.157b
jÃyate 'nyÃsu yoni«u  Yj_3.134d
jÃyante lak«aïabhra«ÂÃ  Yj_3.217c
jÃyante vidyayopetÃ  Yj_3.218c
jÃyante hi sajÃtaya÷  Yj_1.90b
jÃraæ caurety abhivadan  Yj_2.301a
jÃlapÃdÃn kha¤jarÅÂÃn  Yj_1.174c
jÃlasÆryamarÅcisthaæ  Yj_1.362a
jitam udgrÃhayej jetre  Yj_2.200c
jitaæ sasabhike sthÃne  Yj_2.201c
jihmaæ tyajeyur nirlÃbham  Yj_2.265a
jihvÃ pÃdau ca pa¤ca vai  Yj_3.92b
jÅrïakÃ«ÃyadhÃraïam  Yj_3.157d
jÅvato '«ÂaÓato dama÷  Yj_2.304d
jÅvann api viÓudhyati  Yj_3.246d
jÅvann api viÓudhyati  Yj_3.248d
jÅvet sa Óarada÷ Óatam  Yj_1.308Ad
jÅved vÃpi Óilo¤chena  Yj_1.128c
jugupseran na cÃpy enaæ  Yj_3.295c
juhuyÃd Ãhutidvayam  Yj_3.281d
juhuyÃn mÆrdhani kuÓÃn  Yj_1.284c
j¤Ãtayo 'bhyupayanty apa÷  Yj_3.3b
j¤Ãtayo vÃ hareyus tad-  Yj_2.264c
j¤ÃtiÓrai«Âhyaæ sarvakÃmÃn  Yj_1.263c
j¤ÃtvÃ na«Âe balÃbalam  Yj_2.181b
j¤ÃtvÃparÃdhaæ deÓaæ ca  Yj_1.368a
j¤ÃtvÃ rÃjÃ kuÂumbaæ ca  Yj_3.44c
j¤Ãnani«Âho 'tithipriya÷  Yj_3.205b
j¤Ãnam Ãyu÷ sukhaæ dh­ti÷  Yj_3.73b
j¤ÃnotpattinimittatvÃt  Yj_3.62c
j¤eyaj¤e prak­tau caiva  Yj_3.154a
j¤eyaæ cÃraïyakam ahaæ  Yj_3.110a
j¤eyaæ yogam abhÅpsatÃ  Yj_3.110d
j¤eya÷ pa¤cadaÓÃhika÷  Yj_3.322d
jye«ÂhayÃ na vinetarÃ  Yj_1.88d
jye«Âhaæ vÃ Óre«ÂhabhÃgena  Yj_2.114c
jvalanÃrkasamo hi sa÷  Yj_3.41d
tak«aïaæ dÃruÓ­ÇgÃsthnÃæ  Yj_1.185a
tajja÷ punÃty ubhayata÷  Yj_1.58c
ta¬ÃgÃrÃmavikraya÷  Yj_3.237d
tatas tÃn puru«o 'bhyetya  Yj_3.194a
tata÷ ÓuklÃmbaradhara÷  Yj_1.292a
tata÷ svairavihÃrÅ syÃn  Yj_1.329a
tato dhyeya÷ sthito yo 'sau  Yj_3.201a
tato ni«kalma«ÅbhÆtÃ÷  Yj_3.218a
tato 'bhivÃdayed v­ddhÃn  Yj_1.26a
tato mÃæ tvam adho naya  Yj_2.102b
tato 'rthÅ lekhayet sadya÷  Yj_2.7c
tato 'haækÃrasaæbhava÷  Yj_3.179b
tatkarmaïÃm anu«ÂhÃnaæ  Yj_3.156c
tatkÃlak­tamÆlyo vÃ  Yj_2.63a
tat tasyaiva dhanaæ bhavet  Yj_2.123b
tattvasm­ter upasthÃnÃt  Yj_3.160a
tatpÃvanÃya nirvÃpyaÓ  Yj_2.83c
tat punas te samair aæÓair  Yj_2.126c
tat pramÃïaæ sm­taæ lekhyaæ  Yj_2.89c
tatra kÃ paridevanÃ  Yj_3.9d
tatra gatvÃvati«Âhante  Yj_3.188c
tatra tatra ca ni«ïÃtÃn  Yj_1.322a
tatra tatra tilair homo  Yj_3.309c
tatra ti«Âhed av­ddhika÷  Yj_2.63b
tatra durgÃïi kurvÅta  Yj_1.321c
tatra daivam abhivyaktaæ  Yj_1.349c
tatra sÃk«y an­taæ vadet  Yj_2.83b
tatra syÃt sad­Óaæ svÃmyaæ  Yj_2.121c
tatra syÃt svÃminaÓ chando  Yj_2.195c
tatra hÅnaæ tu dÃpayet  Yj_2.18b
tatrÃtmÃ hi svayaæ kiæcit  Yj_3.68a
tatrÃyaæ jÃyate svayam  Yj_1.56d
tatrÃ«ÂÃÓÅtisÃhasra-  Yj_3.186a
tat satyaæ vada kalyÃïi  Yj_2.101c
tatsamaæ daï¬am arhati  Yj_2.33d
tatsama÷ putrikÃsuta÷  Yj_2.128b
tat sarvaæ tasya jÃnÅhi  Yj_2.75c
tat sarvaæ vipraïaÓyati  Yj_3.307d
tatsiddhau siddhim Ãpnoti  Yj_2.8a
tatsutÃ gotrajÃ bandhu-  Yj_2.135c
tatsnÃnodakam Ãharet  Yj_2.112b
tathÃcamanabindava÷  Yj_1.195b
tathÃ cÃkrikabandinÃm  Yj_1.165b
tathÃ cÃÓuddhavÃsaka÷  Yj_2.266d
tathÃcchÃdanadÃnaæ ca  Yj_1.232a
tathÃtmÃ eko hy anekaÓ ca  Yj_3.144c
tathÃtmÃ karmajÃs tanÆ÷  Yj_3.162d
tathÃtreyÅni«Ædaka÷  Yj_3.251d
tathÃdatte bhavann api  Yj_3.70d
tathÃ nava ÓatÃni ca  Yj_3.101b
tathÃnasthimatÃm ana÷  Yj_3.269d
tathÃni«ÂÃni cintayan  Yj_3.134b
tathÃ pÃÂhÅnarÃjÅva-  Yj_1.178a
tathÃ pravrajitÃgame  Yj_2.293d
tathÃ bhagnayugÃdinÃ  Yj_2.299b
tathÃ mahati pÃtake  Yj_1.72d
tathÃ mÃæsaæ Óvacaï¬Ãla-  Yj_1.192c
tathÃ var«ÃtrayodaÓyÃæ  Yj_1.261c
tathÃ va÷ kathito mayÃ  Yj_3.181b
tathÃvipakvakaraïa  Yj_3.141c
tathÃ Óakta÷ pratibhuvaæ  Yj_2.209c
tathÃ ÓÃlakaÂaÇkaÂau  Yj_1.285b
tathÃÓvamedhÃvabh­tha-  Yj_3.244c
tathÃ saævatsarasya vÃ  Yj_3.47b
tathaiva gurutalpaga÷  Yj_3.227b
tathaiva paripÃlyo 'sau  Yj_1.343c
tathaiva prÃïijÃtaya÷  Yj_3.216d
tathaivÃnÃÓrame vÃsa÷  Yj_3.241c
tathaivÃnnÃt parisruta÷  Yj_1.301b
tathaivÃbhicarann api  Yj_1.295d
tathaivÃyÃcitena ca  Yj_3.318b
tathaivoï¬erakasraja÷  Yj_1.288d
tathopanidhirÃjastrÅ-  Yj_2.25c
tathau«Âhau nirbhujaty api  Yj_2.14d
tad annaæ rasarÆpeïa  Yj_3.71c
tad annaæ vikired bhÆmau  Yj_1.241c
tadabhÃve mahÅpate÷  Yj_2.157d
tadabhÃve 'sya tanaye  Yj_1.49c
tadardham adhama÷ sm­ta÷  Yj_1.366d
tadardhaæ nyÃyavartina÷  Yj_3.22d
tadardhaæ madhyama÷ proktas  Yj_1.366c
tad avÃpya n­po daï¬aæ  Yj_1.354a
tad as­gdarÓanÃd dhruvam  Yj_3.19b
tad ahar na pradu«yeta  Yj_3.19c
tad aha÷ ÓuddhikÃraïam  Yj_3.25d
tad evÃ«ÂaguïÅk­tam  Yj_2.301d
tad dadat samavÃpnoti  Yj_1.212c
tad dÃtavyaæ sasÃk«ikam  Yj_2.94d
tad dhi pÃtraæ prakÅrtitam  Yj_1.200d
tad bhavÃn anumanyatÃm  Yj_3.333d
tanaye«u mayÃ vidhi÷  Yj_2.133b
tantuvÃyaÓvav­ttinÃm  Yj_1.163d
tantraæ vÃ vaiÓvadevikam  Yj_1.228d
tandrÃlasyavivarjanam  Yj_3.158b
tannimittaæ k«ata÷ Óastrair  Yj_3.246c
tanmantrasya ca bhettÃraæ  Yj_2.302c
tanmÃtrÃdÅny ahaækÃrÃd  Yj_3.179c
tanmÆle dve lalÃÂÃk«i-  Yj_3.89a
tanmÆlyÃd dviguïo daï¬o  Yj_2.230c
tapasaÓ ca parasyeha  Yj_1.48c
tapasÃ brahmacaryeïa  Yj_3.188a
tapasÃ vÃpi pÃtratÃ  Yj_1.200b
tapas taptvÃs­jad brahmÃ  Yj_1.198a
tapasvino dÃnaÓÅlÃ÷  Yj_2.68a
tapasvÅ vijitendriya÷  Yj_3.137b
tapo vedavidÃæ k«Ãntir  Yj_3.33a
taptak­cchra udÃh­ta÷  Yj_3.317d
taptak«Åragh­tÃmbÆnÃm  Yj_3.317a
tapte 'ya÷Óayane sÃrdham  Yj_3.259a
tam ÃyÃntaæ punar jitvÃ  Yj_2.306c
tam eva k­tsnam Ãpnoti  Yj_1.342c
tayÃjÅvan vaïig bhavet  Yj_1.120b
tayÃ vÃnugato vanam  Yj_3.45b
tarika÷ sthalajaæ Óulkaæ  Yj_2.263a
tarpaïaæ sa divaukasÃm  Yj_1.46b
tarpayed arcayet tathÃ  Yj_1.100d
tarpayed yo 'nvahaæ paÂhet  Yj_1.43b
tavÃhaævÃdinaæ klÅbaæ  Yj_1.326a
taskaraj¤ÃnakÃraïÃt  Yj_2.203b
tasmÃc ca sacarÃcaram  Yj_3.145d
tasmÃt kÃryaæ priyaæ striyÃ÷  Yj_3.79d
tasmÃt tu n­pater ardhaæ  Yj_1.337c
tasmÃt teneha kartavyaæ  Yj_3.220a
tasmÃt pÆjyatamÃ grahÃ÷  Yj_1.308d
tasmÃd annÃt punar yaj¤a÷  Yj_3.124a
tasmÃd ardhÃrdhahÃnita÷  Yj_2.207d
tasmÃd asti paro dehÃd  Yj_3.176c
tasmÃd ete dvijÃ÷ sm­tÃ÷  Yj_1.39d
tasmÃd yas tasya vikrayÅ  Yj_2.170d
tasmÃn mantraæ surak«itam  Yj_1.344b
tasmin dhanikapÆrvakam  Yj_2.84d
tasmin dharmÃn nibodhata  Yj_1.2d
tasmin yugmÃsu saæviÓet  Yj_1.79b
tasya tasyÃpnuyÃt phalam  Yj_1.47d
tasya rikthÅ tam uddharet  Yj_2.29b
tasya varïÃ yathÃkramam  Yj_3.126d
tasya v­ttaæ kulaæ ÓÅlaæ  Yj_3.44a
tasya «o¬hÃ ÓarÅrÃïi  Yj_3.84a
tasya sakÃmÃyÃ÷ striyÃ api  Yj_3.233d
tasyÃdis tu ÓarÅrakam  Yj_3.117b
tasyÃpy annaæ sodakumbhaæ  Yj_1.255c
tasyÃpy a«Âaguïo dama÷  Yj_2.239d
tasyety uktavato lauhaæ  Yj_2.105a
tasyaitad Ãtmajaæ sarvam  Yj_3.74c
tasyaivÃkroÓakÃriïam  Yj_2.302b
taæ rÃ«ÂrÃd vipravÃsayet  Yj_2.187d
tÃpanaæ caikaviæÓakam  Yj_3.224d
tÃmisraæ lohaÓaÇkuæ ca  Yj_3.222a
tÃmrakÃt sphaÂikÃd rakta-  Yj_1.297a
tÃmre pa¤ca daÓÃyasi  Yj_2.178d
tÃrÃnak«atrasaæcÃrair  Yj_3.172a
tÃlaj¤aÓ cÃprayÃsena  Yj_3.115c
tÃlusthÃcalajihvaÓ ca  Yj_3.199c
tÃlÆdaraæ bastiÓÅr«aæ  Yj_3.98a
tÃvat tasya tu vetanam  Yj_2.196b
tÃvat sÆtreïa ve«Âayet  Yj_2.103d
tÃvat syÃt k«etriïa÷ phalam  Yj_2.161b
tÃvad gau÷ p­thivÅ j¤eyÃ  Yj_1.207c
tÃvanta eva munaya÷  Yj_3.187c
tÃsÃæ madhye ÓaÓiprabham  Yj_3.108d
tÃsu tÃsv iha yoni«u  Yj_3.148b
tittirau tu tiladroïaæ  Yj_3.274a
tithiv­ddhyÃ caret piï¬Ãn  Yj_3.323a
tiryaktvaæ kÃlaparyayÃt  Yj_3.217b
tiryak«u prathamaæ damam  Yj_2.242b
tilakaæ svÃminas tathÃ  Yj_1.294b
tilasarpi÷pratiÓrayÃn  Yj_1.210b
tilÃ dhÃnyena tatsamÃ÷  Yj_3.39d
tilaudanarasak«ÃrÃn  Yj_3.36c
ti«Âhed ÃsÆryadarÓanÃt  Yj_1.25b
tisro varïÃnupÆrvyeïa  Yj_1.57a
tulÃgnyÃpo vi«aæ koÓo  Yj_2.95a
tulÃdhÃraïavidvadbhir  Yj_2.100a
tulÃpuru«a ity e«a  Yj_3.322c
tulÃm ity abhimantrayet  Yj_2.102d
tulÃÓÃsanamÃnÃnÃæ  Yj_2.240a
tulÃ strÅbÃlav­ddhÃndha-  Yj_2.98a
tulyo daï¬ena caiva hi  Yj_2.77d
tÆ«ïÅm etÃ÷ kriyÃ÷ strÅïÃæ  Yj_1.13c
t­cenÃbdaivatena tu  Yj_1.24b
t­ïagulmalatÃtvaæ ca  Yj_3.208c
t­tÅye 'Çgendriyair yuta÷  Yj_3.75d
t­tÅye spandate tata÷  Yj_3.78d
t­ptyarthaæ pit­devÃnÃæ  Yj_1.198c
te t­ptÃs tarpayanty enaæ  Yj_1.47a
tena tvÃm abhi«i¤cÃmi  Yj_1.281c
tena devaÓarÅrÃïi  Yj_3.168c
tena yÃti parÃæ gatim  Yj_3.167d
tenÃgnihotriïo yÃnti  Yj_3.184c
tenÃnÃmikayÃ sp­Óet  Yj_3.278d
tenaiva saha modate  Yj_3.116d
tenopas­«Âo yas tasya  Yj_1.272a
tenopas­«Âo labhate  Yj_1.275a
te 'pi tenaiva mÃrgeïa  Yj_3.185c
tebhyas tatra pradÅyate  Yj_1.264d
tebhya÷ kriyÃparÃ÷ Óre«ÂhÃs  Yj_1.199c
tebhyo 'py adhyÃtmavittamÃ÷  Yj_1.199d
te yÃsyanti trivi«Âapam  Yj_3.329d
te«Ãm iha na vidyate  Yj_3.194d
te«Ãæ vai mantrata÷ kriyÃ÷  Yj_1.10d
te«Ãæ sthÃnacatu«Âayam  Yj_3.85d
te '«Âau lik«Ã tu tÃs tisro  Yj_1.362c
te suvarïas tu «o¬aÓa  Yj_1.363d
te svargaæ yogino yathÃ  Yj_1.324d
tailah­t tailapÃyÅ syÃt  Yj_3.211c
taiÓ cÃpi saæyatair bhÃvyaæ  Yj_1.225c
tai÷ saæsarati so 'vaÓa÷  Yj_3.169d
tai÷ sÃrdhaæ cintayed rÃjyaæ  Yj_1.312c
tyaktvÃ ca ÓaraïÃgatam  Yj_3.288d
tyajan dÃpyas t­tÅyÃæÓam  Yj_1.76c
tyajan dviguïam Ãvahet  Yj_2.193b
tyajet pro«itabhart­kÃ  Yj_1.84d
tyÃga÷ parigrahÃïÃæ ca  Yj_3.157c
tyÃgÃt tan ni«krayÃd api  Yj_2.182d
tyÃgÅ ca Óatadaï¬abhÃk  Yj_2.237d
trapusÅsakatÃmrÃïÃæ  Yj_1.190a
trayo lak«Ãs tu vij¤eyÃ÷  Yj_3.102a
trayo varïÃ dvijÃtaya÷  Yj_3.255d
trayyÃæ caiva narÃdhipa÷  Yj_1.311d
trasareïÆ raja÷ sm­tam  Yj_1.362b
trÃyasvÃsmÃd abhÅÓÃpÃt  Yj_2.110c
triïÃciketadauhitra-  Yj_1.220c
tridaï¬Å sakamaï¬alu÷  Yj_3.58b
trimadhus trisuparïaka÷  Yj_1.219d
trir ayaæ prÃïasaæyama÷  Yj_1.23d
trirÃtram ÃvratÃdeÓÃd  Yj_3.23c
trirÃtraæ daÓarÃtraæ vÃ  Yj_3.18a
trirÃtrÃnte gh­taæ prÃÓya  Yj_3.287c
trirÃtropo«ito japtvÃ  Yj_3.301a
trirÃtropo«ito hutvÃ  Yj_3.303a
trir vittapÆrïap­thivÅ-  Yj_1.48a
trir vai vedasya saæhitÃm  Yj_3.249b
trivargas tatra vardhate  Yj_1.74d
triæÓaddinÃni ÓÆdrasya  Yj_3.22c
triæÓadbhÃga÷ k«ayo mata÷  Yj_2.180b
tri÷ prÃÓyÃpo dvir unm­jya  Yj_1.20a
trÅn k­cchrÃn Ãcared vrÃtya-  Yj_3.288a
traikÃlyasaædhyÃkaraïÃt  Yj_3.307c
traivÃr«ikÃdhikÃnno ya÷  Yj_1.124a
traividyan­padevÃnÃæ  Yj_2.211a
traividyaæ v­ttimad brÆyÃt  Yj_2.185c
tryaÇgahÅnas tu kartavyo  Yj_2.297c
tryavarÃ÷ sÃk«iïo j¤eyÃ÷  Yj_2.69a
tryahaæ prete«v anadhyÃya÷  Yj_1.144a
tryÃhiko 'Óvastano 'pi vÃ  Yj_1.128b
tvaÇmÃæsasm­timÃn api  Yj_3.81d
tvam agne sarvabhÆtÃnÃm  Yj_2.104a
tvaæ tule satyadhÃmÃsi  Yj_2.101a
tvaæ vi«a brahmaïa÷ putra÷  Yj_2.110a
dak«iïÃpravaïe tathÃ  Yj_1.227d
dak«iïÃyanam eva ca  Yj_3.195d
dagdhavyÃs tu kaÂÃgninÃ  Yj_2.282d
daï¬a uttamasÃhasa÷  Yj_1.366b
daï¬a uttamasÃhasa÷  Yj_2.250d
daï¬a uttamasÃhasa÷  Yj_2.303d
daï¬anÅtyÃæ ca kuÓalam  Yj_1.313c
daï¬anÅtyÃæ tathaiva ca  Yj_1.311b
daï¬anÅya÷ païÃn daÓa  Yj_2.209b
daï¬anÅyÃ tadardhaæ tu  Yj_2.159c
daï¬apraïayanaæ kÃryaæ  Yj_2.206c
daï¬aÓulkÃvaÓi«Âakam  Yj_2.47b
daï¬aÓ ca dviguïas tata÷  Yj_2.221d
daï¬as tv agatikÃ gati÷  Yj_1.346d
daï¬aæ ca tatsamaæ rÃj¤e  Yj_2.26c
daï¬aæ ca svapaïaæ caiva  Yj_2.18c
daï¬aæ daï¬ye«u pÃtayet  Yj_1.368d
daï¬aæ dadyÃt savarïÃsu  Yj_2.287c
daï¬aæ sa dÃpyo dviÓataæ  Yj_2.244c
daï¬a÷ k«udrapaÓÆnÃæ tu  Yj_2.225c
daï¬ÃjinopavÅtÃni  Yj_1.29a
daï¬o daÓapaïa÷ sm­ta÷  Yj_2.213b
daï¬o daÓapaïa÷ sm­ta÷  Yj_2.291b
daï¬o madhyamasÃhasa÷  Yj_2.210b
daï¬o vidhÅyate  Yj_2.165b
daï¬ya uttamasÃhasam  Yj_1.66b
daï¬ya uttamasÃhasam  Yj_2.296b
daï¬yo dÃpyaÓ ca taddhanam  Yj_2.40d
dattam adhyagnyupÃgatam  Yj_2.143b
dattÃm api haret pÆrvÃc  Yj_1.65c
datte tv ardhaæ prakalpayet  Yj_2.148d
dattair iha pitÃmahÃ÷  Yj_1.259d
dattvÃ arghyaæ saæsravÃæs te«Ãæ  Yj_1.235a
dattvÃ udakaæ gandhamÃlyaæ  Yj_1.231c
dattvÃ kanyÃæ haran daï¬yo  Yj_2.146a
dattvÃ gÃæ ca payasvinÃm  Yj_3.301d
dattvÃ caurasya vÃ hantur  Yj_2.276c
dattvÃ tu dak«iïÃæ ÓaktyÃ  Yj_1.244a
dattvÃ tu brÃhmaïÃyaiva  Yj_2.41c
dattvÃtmÃ tu svayaædatto  Yj_2.131c
dattvÃtyantaæ sukhÅ bhavet  Yj_1.211d
dattvÃ dattvÃ rïiko dhanam  Yj_2.93b
dattvÃ nÃpaharet puna÷  Yj_2.176d
dattvÃnnaæ p­thivÅpÃtram  Yj_1.238a
dattvÃ bhÆmiæ nibandhaæ vÃ  Yj_1.318a
dattvÃrghyaæ pÆrïam a¤jalim  Yj_1.290d
dattvÃ rïaæ pÃÂayel lekhyaæ  Yj_2.94a
dattvÃ Óuddhim avÃpnuyÃt  Yj_3.250b
dattvÃ svarge mahÅyate  Yj_1.210d
dattvÃæÓaæ tu turÅyakam  Yj_2.124d
dadyÃc catu«pathe ÓÆrpe  Yj_1.286c
dadyÃc cÃpa÷ sak­t sak­t  Yj_1.241d
dadyÃt k«atravadhe pumÃn  Yj_3.266b
dadyÃt trirÃtraæ copo«ya  Yj_3.264c
dadyÃt satyaæ vaca÷ k«amÅ  Yj_2.200d
dadyÃt saævatsaraæ dvije  Yj_1.255d
dadyÃd akrodhano 'tvara÷  Yj_1.240b
