Haribhadrasuri: Sastravartasamuccaya, 
Based on the ed. by K. K. Dixit,
Ahmedabad : Lalbhai Dalpatbhai Bharatiya 1969
(L. D. Series, 22)


Input by Yasunori Harada



PADA INDEX



The text has a number of metrical irregularities.
Pada boundaries frequently cut through compounds, and sometimes through words.



REFERENCE SYSTEM:
The reference includes the stabaka and section nos. 
of K.K. Dixit's Vi«ayasÆcÅ [bracketed]:

HSvs_[n.n]nnn = [stabaka.section]verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarmakaæ tathÃ caitat  HSvs_[5.1]393c
tata÷ kartÃ sa eva syÃt  HSvs_[2.1]162c
tata÷ kÃlÃd asau matÃ  HSvs_[2.2]167d
tata÷ kiæ nopapadyate  HSvs_[5.1]386d
tata÷ sa iti cen nanu  HSvs_[6.1]431b
tata÷ sa sarvavid bhÆtvÃ  HSvs_[9.1]573a
tata÷ saævÃdadarÓanÃt  HSvs_[2.1]115b
tato na janakaæ tasya  HSvs_[4.3]283c
tato nÃÓo 'pi tasya yat  HSvs_[4.2]249b
tato niyatijÃ hy ete  HSvs_[2.2]173c
tato 'nyabhÃva evaitan  HSvs_[6.2]440c
tato bÃhyÃrthatÃsiddhir  HSvs_[5.2]407c
tato bhÃva÷ prasajyate  HSvs_[4.3]282b
tato bhÃvodayÃjjantor  HSvs_[1.1]8c
tato muktir asaæÓayam  HSvs_[9.1]575d
tato 'mukti÷ sadaiva syÃd  HSvs_[1.4]104c
tato vyakti÷ sadÃ bhavet  HSvs_[1.2]38b
tato vyÃdhiniv­ttyarthaæ  HSvs_[2.1]159a
tato 'sat tat tathÃ nyÃyÃd  HSvs_[7.1]513a
tato 'sau naiva vidyate  HSvs_[4.1]240d
tatkart­tve ca citratvaæ  HSvs_[2.2]184c
tatkart­tvena saphalaæ  HSvs_[11.1]663c
tatkÃryaæ kiæ na d­Óyate  HSvs_[2.1]126b
tatk­tÃtiÓayÃptita÷  HSvs_[6.1]420d
tatkriyÃyogata÷ sÃ cet  HSvs_[1.4]98a
tat k«aïasthitidharmiïi  HSvs_[7.1]491b
tatk«ayopaÓamaæ vinÃ  HSvs_[11.1]663b
tat tac cen mÃnam eveti  HSvs_[7.1]497c
tattajjananabhÃvatve  HSvs_[4.6]355a
tat tajjananasvabhÃvaæ  HSvs_[4.6]330a
tattatkÃlÃdisÃpek«o  HSvs_[2.2]188a
tattatsvarÆpabhÃvena  HSvs_[1.2]71c
tattathÃtÃæ vinÃ bhavet  HSvs_[4.3]300b
tattathÃdharmake hy ukta-  HSvs_[4.2]273c
tattathÃbhÃvato yadi  HSvs_[4.6]340b
tat tathÃbhÃvato hi tat  HSvs_[6.3]450b
tattathÃÓaktiyogata÷  HSvs_[4.3]276b
tat tatheti na yuktimat  HSvs_[4.6]351d
tat tatheti na yujyate  HSvs_[9.1]555b
tat tatheti viniÓcaya÷  HSvs_[4.2]264b
tat tadaiva tatas tathÃ  HSvs_[2.2]174b
tat taddharmÃdi nÃnyathÃ  HSvs_[1.2]65d
tattadbhÃvavirodhata÷  HSvs_[10.1]611d
tat tadvidhasvabhÃvaæ yat  HSvs_[4.2]259a
tat tu nÃnekabhÃvata÷  HSvs_[4.4]307d
tat tenÃnyena vÃ bhavet  HSvs_[4.4]316d
tat teneha pracoditam  HSvs_[3.1]200b
tattvato niÓcaya÷ puna÷  HSvs_[4.2]261b
tattvato 'nya iti nyÃyÃt  HSvs_[4.5]329c
tattvato 'stÅti na pramÃ  HSvs_[7.1]486d
tat tvattas tatsvabhÃvata÷  HSvs_[2.1]128d
tattvavÃdaæ pracak«ate  HSvs_[1.4]109d
tattvaviddhi÷ samÃkhyÃta÷  HSvs_[1.1]10c
tattvaÓraddhÃnapÆtÃtmÃ  HSvs_[9.1]560c
tattvasaækhyÃ na yujyate  HSvs_[1.2]38d
tattvasaækhyÃ na yujyate  HSvs_[1.2]47d
tattvasaækhyÃvirodhata÷  HSvs_[1.2]35d
tattvÃd eva nirarthaka÷  HSvs_[4.3]284b
tattvÃÓraddhÃnam eva ca  HSvs_[1.1]4b
tattve na tatra sÃmarthyam  HSvs_[6.2]438c
tatpadÃrthasya tulyatÃ  HSvs_[10.1]601b
tat punarvastuta÷ samam  HSvs_[4.6]341d
tatpratÅtyÃditas tata÷  HSvs_[11.1]652d
tatpratyekatvavarjitam  HSvs_[4.4]311d
tatprÃptyupÃyavaicitrye  HSvs_[11.2]687c
tatra tattvaæ na yad bhavet  HSvs_[7.1]491d
tatra tatra svakarmaïi  HSvs_[11.2]676b
tatra tasyÃ na kart­tÃ  HSvs_[2.2]184b
tatra hetvantaraæ parai÷  HSvs_[1.4]93b
tatrÃnte darÓanaæ katham  HSvs_[6.4]452b
tatrÃnyatrÃpy ata÷ ÓaÇkÃ  HSvs_[10.1]602c
tatrÃpi kiæ pramÃïaæ ced  HSvs_[4.7]365c
tatrÃpi deha÷ kartÃ cen  HSvs_[3.2]219a
tatrÃbhÃvapramÃïatÃ  HSvs_[10.1]583d
tatrÃsaædigdhaniÓcaya÷  HSvs_[4.6]354d
tatrety anupapattikam  HSvs_[4.6]336b
tatraudÃsÅnyayogata÷  HSvs_[2.1]149b
tatsattvasÃdhakaæ tan na  HSvs_[4.3]279a
tatsadbhÃvÃviÓe«ata÷  HSvs_[1.3]81b
tatsadbhÃve 'py asau sama÷  HSvs_[1.2]48d
tatsarvak«ayasaæbhavÃt  HSvs_[10.2]631b
tatsaæghÃte«u caitanyaæ  HSvs_[1.2]53c
tatsaæyogÃd bhavo 'nyathÃ  HSvs_[10.2]640b
tatsaæÓayÃdiyogÃc ca  HSvs_[8.1]549c
tatsaæskÃraprasÆtatvÃt  HSvs_[4.6]346c
tatsÃdhutvaviniÓcaya÷  HSvs_[10.1]611b
tatsÃdhutvÃdyaniÓcite÷  HSvs_[10.1]610d
tatsiddhau j¤Ãyate prÃj¤ais  HSvs_[10.2]631c
tatsvabhÃvatvakalpanam  HSvs_[4.6]359b
tatsvabhÃvatvakalpanÃ  HSvs_[4.4]312b
tatsvabhÃvatvakalpanÃ  HSvs_[5.1]380b
tatsvabhÃvatvato graha÷  HSvs_[6.4]454d
tatsvabhÃvatvayogata÷  HSvs_[1.3]86b
tatsvabhÃvatvayogata÷  HSvs_[9.1]558b
tatsvabhÃvaæ tu tatkuta÷  HSvs_[11.1]656d
tatsvabhÃvaæ yato nanu  HSvs_[4.2]255b
tatsvabhÃva÷ sa neti cet  HSvs_[1.2]70b
tatsvabhÃvÃdibhÃve 'pi  HSvs_[2.2]175c
tatsvabhÃvÃdyayogata÷  HSvs_[6.4]461d
tatsvarÆpam asaæsthitam  HSvs_[2.1]155b
tatsvarÆpÃnuvedhata÷  HSvs_[2.2]173d
tat svasaævedyam i«yate  HSvs_[5.1]386b
tathÃ karmasthiti«v alam  HSvs_[9.1]558d
tathÃkÃlÃdibhÃve 'pi  HSvs_[2.2]171c
tathÃgater abhÃve ca  HSvs_[6.4]456a
tathÃgrahas tayor neta-  HSvs_[4.6]334a
tathÃgrahe ca sarvatrÃ-  HSvs_[4.6]335a
tathÃ ca bhÆtamÃtratve  HSvs_[1.2]60a
tathÃ cÃha b­haspati÷  HSvs_[11.2]683d
tathÃ cÃha mahÃmati÷  HSvs_[4.3]290d
tathÃ citrasvabhÃvatvÃn  HSvs_[6.4]463a
tathÃ caitad v­thoditam  HSvs_[5.2]403d
tathÃ coktam idaæ tava  HSvs_[6.1]418d
tathÃ coktÃnatikrama÷  HSvs_[4.2]250d
tathÃ j¤Ãnam apÅ«yatÃm  HSvs_[5.1]394d
tathÃ tantravirodhata÷  HSvs_[3.2]229d
tathÃ tulye 'pi cÃrambhe  HSvs_[1.4]92a
tathÃtrÃpi nirÆpyatÃm  HSvs_[10.1]600d
tathÃtvÃpracyutau cÃsya  HSvs_[3.2]215c
tathÃtve nanu tat kuta÷ ?  HSvs_[3.2]216d
tathÃ darÓanato bhuvi  HSvs_[11.1]662d
tathÃ naÓvara i«yate  HSvs_[6.1]416b
tathÃnÃptapraïÅtatvÃd  HSvs_[2.1]140c
tathÃniyatabhÃve ca  HSvs_[2.2]181c
tathÃnubhavasiddhita÷  HSvs_[1.3]84b
tathÃnyad api yat kalpa-  HSvs_[4.7]366a
tathÃnya÷ puïyalak«aïa÷  HSvs_[1.1]20d
tathÃ pÃpak«ayeïa ca  HSvs_[2.1]117d
tathÃpi tu tayor eva  HSvs_[4.6]359a
tathÃpy aparam ucyate  HSvs_[7.1]501d
tathÃpy abhÃvaprÃmÃïyam  HSvs_[10.1]597c
tathÃpy Ærdhvaæ viÓe«eïa  HSvs_[4.7]374c
tathÃpratÅtito nyÃyyaæ  HSvs_[4.6]343c
tathÃpratÅtito bhedÃ-  HSvs_[11.1]668c
tathÃpratÅtiyogena  HSvs_[7.1]488c
tathÃprav­ttito yuktyÃ  HSvs_[2.1]145c
tathÃbhÃvaprakÃÓakam  HSvs_[5.1]397b
tathÃbhÃvaprasÃdhakam  HSvs_[7.1]530d
tathÃbhÃvopalabdhita÷  HSvs_[6.3]444d
tathÃbhÆd ity ato neha  HSvs_[4.6]339c
tathÃ muktir apÅ«yate  HSvs_[2.1]143b
tathÃ vikalpak­n nÃnyad  HSvs_[4.6]342c
tathÃvidhatadanyavat  HSvs_[6.1]421d
tathÃ vede 'pi paÂhyate  HSvs_[1.3]87d
tathÃsatyeva bhÆte«u  HSvs_[1.2]45c
tathÃ sÃpi kathaæ na cet  HSvs_[1.2]58d
tathÃ syÃd anivedanam  HSvs_[10.1]622f
tathÃsvabhÃva evÃsau  HSvs_[6.1]417a
tathÃhaækÃravedanÃt  HSvs_[1.3]85d
tathÃ hÅndÅvare dÅpa÷  HSvs_[10.1]607c
tatheti hanta ko nv artha÷  HSvs_[4.6]340a
tathety abhrÃntam atrÃpi  HSvs_[5.1]398c
tathedam amalaæ brahma  HSvs_[8.1]545a
tathaitad ubhayÃdhÃra-  HSvs_[7.1]489a
tathaiva lokasaævitter  HSvs_[1.2]63c
tathocyate jagaty asmiæs  HSvs_[5.1]394c
tathopari«ÂÃd vak«yÃma÷  HSvs_[1.1]28c
tadatadrÆpabhÃvena  HSvs_[7.1]484c
tadatyantavidharmiïa÷  HSvs_[5.1]402b
tadanantarabhÃvi tat  HSvs_[4.3]280b
tadanantarabhÃvitva-  HSvs_[4.3]293a
tadanantarabhÃvitvÃd  HSvs_[4.2]255c
tadanÃsevanÃd eva  HSvs_[3.1]205a
tadanyagrahaïe cÃsya  HSvs_[5.1]389a
tadanyabhedakaæ muktvÃ  HSvs_[2.2]182c
tadanyabhrÃntivadyata÷  HSvs_[5.1]400b
tadanyayogÃbhÃve ca  HSvs_[1.4]98c
tadanyahetusÃdhyatve  HSvs_[2.1]155a
tadanyÃgrahaïÃd dhruvam  HSvs_[4.6]345b
tadanyÃvaraïÃbhÃvÃd  HSvs_[1.4]100a
tadanyÃ vÃ dvayÅ gati÷  HSvs_[6.2]438b
tadanyÆnÃtiriktatve  HSvs_[5.2]408c
tadanyebhyaÓ ca tacchubham  HSvs_[2.1]113b
tadanyebhyas tathÃsthite÷  HSvs_[11.1]649d
tadapu«Âau na yujyate  HSvs_[1.4]98b
tadapy asÃmprataæ yat tad  HSvs_[7.1]482c
tadaprÃptÃv upÃyatvaæ  HSvs_[11.2]684c
tadabhÃva÷ kathaæ nu cet  HSvs_[1.2]71d
tadabhÃvÃd abhÃvaÓ ced  HSvs_[1.2]68c
tadabhÃve ca ni÷Óe«a-  HSvs_[11.3]694c
tadabhÃve ca suvyaktaæ  HSvs_[11.1]671c
tadabhÃve tu tadbhÃvÃt  HSvs_[6.4]458c
tadabhÃve na tajj¤Ãnaæ  HSvs_[4.2]258c
tadabhÃve na tatsthiti÷  HSvs_[2.1]153b
tadabhÃve na tadvattvaæ  HSvs_[11.1]650c
tadabhÃve 'nimittatvÃt  HSvs_[3.2]225c
tadabhÃve 'nyathÃ bhÃvas  HSvs_[4.6]341a
tadabhÃve 'pi tadbhÃve  HSvs_[1.2]50c
tadabhÃve 'py abhÃvata÷  HSvs_[11.2]689d
tadabhÃve 'pramÃïakam  HSvs_[8.1]548d
tadabhÃve hi ÓÃÓvata÷  HSvs_[11.3]695b
tadabhÃvo 'nyathÃ bhavet  HSvs_[7.1]506d
tadabhÃvo 'vasÅyate  HSvs_[5.1]377d
tadabhÃvo 'vasÅyate  HSvs_[5.1]385b
tadabhede na yujyate  HSvs_[7.1]490d
tadayuktaæ yataÓ citrÃ  HSvs_[7.1]494c
tadayogÃd vinÃ bhedaæ  HSvs_[11.1]649c
tadarthaniyato 'sau yad  HSvs_[6.4]455a
tad arthaæ ce«Âate nityaæ  HSvs_[9.1]566c
tadarthaæ yatnasiddhita÷  HSvs_[8.1]551d
tadavasthÃntaraæ ca sa÷  HSvs_[4.3]299d
tadavasthÃntaraæ na sa÷  HSvs_[4.3]296d
tadasaævedanÃdi yat  HSvs_[5.1]389d
tad asÃv eva darÓyate  HSvs_[2.1]141d
tad asau kÃraïaæ kila  HSvs_[2.2]165d
tad asau kÃraïaæ kila  HSvs_[2.2]169d
tad asau tannibandhanÃ  HSvs_[11.2]681d
tadÃkÃraparityÃgÃt  HSvs_[4.6]349a
tadÃ tat tasya jÃnÃti  HSvs_[6.4]459c
tadÃtmakatvamÃtratve  HSvs_[1.2]58a
tadÃtve vartamÃne tu  HSvs_[10.2]632c
tadÃbhÃsÃ na saiva hi  HSvs_[7.1]540d
tadÃ bhÆter iyaæ tulyÃ  HSvs_[4.2]254a
tadÃsattvÃt paraæ yathÃ  HSvs_[4.3]283d
tadÃ hemamayasya ca  HSvs_[1.1]18b
tad ittham ucyate 'smÃbhir  HSvs_[11.1]654c
tad itthaæ nirviÓe«aïam  HSvs_[7.1]492b
taditthaæ bhÆtam eveti  HSvs_[7.1]493a
tad idÃnÅæ parÅk«yate  HSvs_[6.1]414d
tad iheti prasaægena  HSvs_[7.1]536c
taduktavratasevanÃt  HSvs_[3.1]204b
tadutpattyÃdido«ata÷  HSvs_[4.2]248d
tadupÃdÃnatÃyÃæ ca  HSvs_[3.2]217c
tad Ærdhvaæ tuccham eva tat  HSvs_[4.2]267b
tadekatvavirodhata÷  HSvs_[4.4]306d
tad etac cintyatÃæ katham  HSvs_[4.4]305d
tad etat tu«akhaï¬anam  HSvs_[11.1]671d
tadetadubhayÃtmakam  HSvs_[7.1]534d
tadenakatvakalpanÃ  HSvs_[4.4]315d
tad enam eva vidvÃæsas  HSvs_[1.4]109c
tad eva kli«Âateti cet  HSvs_[5.2]408b
tad eva tair vinirmuktaæ  HSvs_[5.2]404c
tad eva na bhavaty etat  HSvs_[6.3]447a
tad eva na bhavatyetad  HSvs_[4.2]274a
tad eva vastusaæsparÓÃd  HSvs_[4.2]274c
tad eva hi tadÃ na yat  HSvs_[4.3]279b
tad eva hi yatas tathÃ  HSvs_[7.1]529b
tad eva hi yato bhÃva÷  HSvs_[4.6]356c
tad evÃtmÃ prasajyate  HSvs_[1.2]74d
tadevÃd­«ÂamityÃhur  HSvs_[1.4]93c
tad eveti na laukikam  HSvs_[7.1]493d
tad evedam ayogata÷  HSvs_[7.1]536d
tad evedam iti k«itau  HSvs_[7.1]532d
tad e«Ãpy uktimÃtrakam  HSvs_[4.4]323d
tadgatoktÃ vadhakriyÃ  HSvs_[4.7]362b
tadgrahÃd hi tadagraha÷  HSvs_[6.4]453d
tadgrahÃd hi tadagraha÷  HSvs_[6.4]456d
tadgrÃhakapramÃbhÃvÃd  HSvs_[10.1]580c
tad darÓanam avÃpnoti  HSvs_[9.1]559a
tadd­«ÂÃvanyathoktita÷  HSvs_[11.1]646b
tad d­«ÂvÃ cintayaty evaæ  HSvs_[9.1]562a
taddeÓanÃ pramÃïaæ cet  HSvs_[4.7]365a
taddharma÷ kaÓcid eva ca  HSvs_[11.1]665b
taddhetos tatsamudbhavÃt  HSvs_[6.2]439d
tadbahutvÃdyaniÓcite÷  HSvs_[10.1]617d
tadbÃhulyaprasaægata÷  HSvs_[2.1]132b
tadbhÃva eva tadbhÃvÃt  HSvs_[11.2]689c
tadbhÃvapratibandhata÷  HSvs_[9.1]568d
tadbhÃvas tasya tattvaæ vÃ  HSvs_[2.1]116c
tadbhÃvÃder aniÓcayÃt  HSvs_[4.6]344d
tadbhÃvÃn upapattita÷  HSvs_[1.4]105d
tadbhÃve 'tiprasaægÃdi  HSvs_[7.1]495c
tadbhÃve laukikaæ na kim  HSvs_[10.1]615b
tadbhÃvo na virudhyate  HSvs_[10.1]622d
tadbhinnabhedakatve ca  HSvs_[2.2]184a
tadbhedÃd iti cintyatÃm  HSvs_[4.5]324d
tadbhedÃd hetubhedata÷  HSvs_[11.1]658d
tadbhrÃntatvÃt tathÃ na kim  HSvs_[11.1]650d
tad yathoktÃtmalak«aïam  HSvs_[1.4]88d
tadrÆpaÓaktiÓÆnyaæ tat  HSvs_[4.6]358a
tadvaj j¤eyo narottama÷  HSvs_[9.1]571b
tadvat taddhetubhedata÷  HSvs_[11.1]659d
tadvat tadbhÃvasaÇgate÷  HSvs_[1.2]51d
tadvat tasyÃpyasaægatam  HSvs_[2.2]184d
tadvaty ubhayasÃÇkarye  HSvs_[11.1]651c
tadvad atrÃpi d­ÓyatÃm  HSvs_[6.1]436d
tadvad abhyÃsato na kim  HSvs_[10.2]630d
tadvad eva prasajyate  HSvs_[5.2]406d
tadvÃkyÃt kiæ na sÃdhanam  HSvs_[2.1]137b
tad vÃ tena vinirmuktaæ  HSvs_[7.1]512c
tadvÃdo 'ip na saægata÷  HSvs_[2.2]187d
tadvÃn saæyujyate tena  HSvs_[1.4]108c
tadvineyÃnuguïyata÷  HSvs_[6.6]476b
tadviparyayajo 'pi vÃ  HSvs_[2.1]152b
tadviparyayadarÓanÃt  HSvs_[10.1]601d
tadviparyayasÃdhyatve  HSvs_[2.1]154a
tad vimukte÷ prasÃdhanam  HSvs_[1.1]21d
tadvivak«Ã yato matÃ  HSvs_[4.7]364d
tadvedane grahas tasya  HSvs_[5.1]386c
tadvaicitryopalabdheÓ ca  HSvs_[10.1]609c
tadvaiphalyaprasaægata÷  HSvs_[6.1]433b
tadvaiyarthyamato 'nyathÃ  HSvs_[10.2]642d
tadvailak«aïyasaævitte÷  HSvs_[1.2]72a
tadvaiÓi«Âyopalabdhita÷  HSvs_[10.2]636d
tadvyaktÃrthÃvirodhata÷  HSvs_[10.2]632d
tadvyaktÃrthÃvirodhÃdau  HSvs_[10.2]635c
tantrÃntarÃnurodhena  HSvs_[9.1]579c
tan na j¤Ãnavivardhanam  HSvs_[1.5]110d
tanna«Âasya punarbhÃva÷  HSvs_[4.2]249c
tannibandhanabhÃvasya  HSvs_[4.3]286c
tannirÃkaraïÃd vyaktir  HSvs_[1.4]100c
tanniv­tti÷ sasÃdhanÃ  HSvs_[10.2]640d
tanniv­ttÅtarÃtmakam  HSvs_[7.1]504b
tanniv­ttÅtarÃtmakam  HSvs_[7.1]527d
tanniv­tter gati÷ katham ?  HSvs_[4.2]258d
tanniv­tter na tasya kim  HSvs_[4.2]254b
tanniv­ttau ca nopÃyo  HSvs_[10.1]603a
tannÅtipratipattyÃder  HSvs_[10.2]630a
tanmÃtratve tathÃvidha÷  HSvs_[1.2]61b
tanmÃtrÃd bhÆtasaæhate÷  HSvs_[3.2]212d
tanmÃdhyasthyaæ paraæ yata÷  HSvs_[2.1]146d
tan me iti na saægatam  HSvs_[4.7]363d
tanmohÃt saæpravartate  HSvs_[2.1]163b
tam antareïa tu tayo÷  HSvs_[1.1]24a
tayÃhur nÃÓubhÃt saukhyaæ  HSvs_[2.1]132a
tayor agrahaïe sati  HSvs_[4.6]343b
tayor api ca tadbhÃva÷  HSvs_[11.2]682c
tayor abhinnatÃpatter  HSvs_[4.4]309c
tayor evÃprasiddhita÷  HSvs_[7.1]511d
tayor nyÃyyaæ na caikena  HSvs_[4.6]331c
tayor bheda÷ parÅk«yatÃm  HSvs_[10.1]613d
tayorvai tulyakÃlatÃ  HSvs_[4.3]285d
tayos tattvÃprasiddhita÷  HSvs_[11.1]653d
tavÃyaæ kena neti cet  HSvs_[1.2]71b
tasmÃc ca jÃyate muktir  HSvs_[1.1]28a
tasmÃt j¤ÃnÃd asau matÃ  HSvs_[11.2]677d
tasmÃt tat karmajaæ hi tat  HSvs_[2.2]178d
tasmÃt tattvaæ trayÃtmakam  HSvs_[7.1]479d
tasmÃt tadÃtmano bhinnaæ  HSvs_[1.4]106a
tasmÃt sarvasya kÃryasya  HSvs_[2.2]192c
tasmÃd atrÃpi yujyate  HSvs_[5.2]413d
tasmÃd adharmavat tvÃjyo  HSvs_[1.1]19a
tasmÃdavaÓyame«Âavyaæ  HSvs_[1.4]93a
tasmÃd avaÓyam e«Âavyaæ  HSvs_[4.2]267a
tasmÃd avaÓyam e«Âavyaæ  HSvs_[4.6]352a
tasmÃd avaÓyam e«Âavya÷  HSvs_[1.1]25a
tasmÃd du«ÂÃÓayakaraæ  HSvs_[1.5]112a
tasmÃd yathoditÃt samyag  HSvs_[2.1]120a
tasmÃd vyÃkhyÃnam asyedaæ  HSvs_[10.1]612a
tasmÃn na cÃviÓe«eïa  HSvs_[10.1]608a
tasmin kiæ kena vÃsitam  HSvs_[5.2]405d
tasmin devÃdhideve bhagavati bhavatÃdhÅyatÃæ bhaktirÃga÷  HSvs_[11.4]701d
tasya kart­tvadeÓanÃ  HSvs_[3.1]206d
tasya yasmÃd vicitratvaæ  HSvs_[2.2]180c
tasya ÓaktyÃdisÃdhakam  HSvs_[1.4]106d
tasya so 'syÃpi vidyate  HSvs_[4.6]341b
tasyÃ eva tathÃbhÆta÷  HSvs_[2.2]185a
tasyÃkÃrÃntarasthiti÷  HSvs_[4.6]349b
tasyÃtiÓaya ity api  HSvs_[10.2]631d
tasyÃnatiÓayÃt tata÷  HSvs_[6.1]430d
tasyÃnekasvabhÃvatÃ  HSvs_[4.4]321b
tasyÃnekÃntavÃdina÷  HSvs_[7.1]531b
tasyÃpi bhedakÃbhÃve  HSvs_[2.2]186c
tasyÃpy anyat tathÃ na yat  HSvs_[7.1]525b
tasyÃpy aÓÆnyatÃyÃæ ca  HSvs_[6.6]474a
tasyÃpratyak«e 'pi pÃpÃdau  HSvs_[2.1]115c
tasyÃm iti nidarÓitam  HSvs_[6.2]443b
tasyÃyam abhidhÅyate  HSvs_[9.1]574d
tasyÃrtho 'yaæ vivak«ita÷  HSvs_[4.7]364b
tasyÃ vÃsakarÆpavat  HSvs_[4.5]327b
tasyÃ vyakti÷ kadÃcana  HSvs_[1.4]99d
tasyÃÓ cÃnekarÆpatvÃt  HSvs_[3.2]233a
tasyÃsiddhi÷ kathaæ bhavet  HSvs_[5.1]378d
tasyÃæ ca nÃg­hÅtÃyÃæ  HSvs_[4.2]264a
tasyÃæ satyÃæ hi yujyate  HSvs_[4.3]286b
tasyÃ÷ kriyÃntarÃbhÃvÃd  HSvs_[3.2]228c
tasyeti yogasÃmarthyÃd  HSvs_[7.1]526a
tasyaikasyÃpramÃïatÃ  HSvs_[4.7]369b
tasyaiva ca tathÃbhÃvÃt  HSvs_[7.1]527c
tasyaiva ca tathÃbhÃve  HSvs_[7.1]504a
tasyaiva citrarÆpatvÃt  HSvs_[9.1]555a
tasyaiva tatsvabhÃvatva-  HSvs_[4.3]292a
tasyaiva tatsvabhÃvatvÃt  HSvs_[1.3]84c
tasyaiva tatsvabhÃvatvÃt  HSvs_[6.4]451c
tasyaiva tatsvabhÃvatvÃt  HSvs_[6.4]460a
tasyaiva tatsvabhÃvatvÃd  HSvs_[3.2]216a
tasyaiva tathÃsthite÷  HSvs_[4.2]257b
tasyaiva tu tathÃbhÃve  HSvs_[4.3]289c
tasyaiva tu tathÃbhÃve  HSvs_[6.2]441c
tasyaiva tu tathÃbhÃve  HSvs_[7.1]529a
tasyaiva tu tathÃbhÃve  HSvs_[7.1]535a
tasyaiva nanu sadbhÃvÃd  HSvs_[6.6]471c
tasyaiva bhÃvo nÃnyo yaj  HSvs_[4.6]355c
tasyaiva hi tathÃbhÃva÷  HSvs_[7.1]528c
tasyaivÃbhavanatve tu  HSvs_[4.2]266c
tasyotkar«aprasÃdhanÃt  HSvs_[2.1]147d
taæ pratÅtya tadutpÃda  HSvs_[4.3]290a
taæ prÃpya tatsvabhÃvatvÃt  HSvs_[6.1]431a
taæ vinÃpy upapadyate  HSvs_[10.1]583b
'tÃdavasthyamanityatÃm  HSvs_[6.3]446b
tÃdÃtmyÃdisamudbhavÃ÷  HSvs_[11.1]658b
tÃn aÓe«Ãn pratÅtyeha  HSvs_[4.4]307a
tÃbhyÃæ bede tayo÷ kuta÷  HSvs_[4.3]285b
tÃmyante 'ticiraæ kÃlaæ  HSvs_[11.2]675c
tÃvat sÃmarthyajatve ca  HSvs_[4.4]308c
tiprasaægÃdado 'pyasat  HSvs_[4.2]260d
'tiprasaægo 'nivÃrita÷  HSvs_[2.2]172b
timiropapluto jana÷  HSvs_[8.1]544b
tilÃdau nek«yate yata÷  HSvs_[1.4]102d
-tis taddhatvantarasaæhati÷  HSvs_[5.1]378b
tucchatÃ tanniv­ttita÷  HSvs_[4.2]263b
tucchatÃpterna bhÃvo 'stu  HSvs_[4.2]254c
tucchatvÃn nety atucchasyÃpy  HSvs_[4.2]253c
tuccharÆpÃ tadÃsattÃ  HSvs_[4.2]272c
tucchetaraviÓe«ata÷  HSvs_[4.2]268b
tulyayor api tadbhÃve  HSvs_[4.6]336c
tulyÃparÃparotpatti-  HSvs_[6.4]452c
tulye tatra m­da÷ kumbho  HSvs_[2.2]172c
t­«ïÃpi vinivarttate  HSvs_[1.1]9d
te 'tra mÃnaæ na vidyate  HSvs_[1.2]48b
tena karmavipÃkena  HSvs_[4.7]361c
tena ki¤cin na vidyate  HSvs_[10.1]581d
tena tadbhÃvabhÃvitvaæ  HSvs_[1.2]69a
tena tasyÃpi kart­tvaæ  HSvs_[3.1]205c
tena do«o na kaÓcana  HSvs_[2.1]144d
tenÃgnihotraæ juhuyÃt  HSvs_[10.1]605a
tenÃsÃv eva vÃ dvayam  HSvs_[7.1]516b
tenÃsya sahakÃriïÃ  HSvs_[6.1]418b
tebhya eva tadudbhavÃt  HSvs_[1.2]46b
tebhyas tÃvadbhya eveti  HSvs_[4.4]305c
tebhyo 'sattvÃviÓe«ata÷  HSvs_[1.2]47b
te«Ãm anyatareïa vÃ  HSvs_[1.2]36b
te«Ãm eva tathÃbhÃvo  HSvs_[1.2]49c
te«Ãæ nÃptapraïÅtatÃ  HSvs_[2.1]141b
te«Ãæ prabhÆtabhÃvena  HSvs_[4.4]306c
