Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
pràpya jàlam ariüdamàþ  BrP_239.17b
pràpya tatra sarasvatãm  BrP_101.2b
pràpyate 'pi bhavàntare  BrP_165.24d
pràpyate bråhi mànavaiþ  BrP_66.3d
pràpyate bhàrate varùe  BrP_27.78a
pràpyate yatra tapasaþ  BrP_27.73a
pràpyante nàrakair vipràs  BrP_234.49c
pràpyante puruùair mçtaiþ  BrP_234.43d
pràpya puõyo bhaviùyasi  BrP_80.87d
pràpya prabhàsaü prayatà  BrP_210.38a
pràpya bàlo 'py abàlavat  BrP_78.66b
pràpya brahmarùisamatàü  BrP_10.56a
pràpya bhàryàü ÷ive bhaktiü  BrP_110.189a
pràpya yogabalàd yogã  BrP_235.25c
pràpya yogaü hares tatra  BrP_57.61c
pràpya lakùmãü navàm iva  BrP_184.60b
pràpyasi tvaü samãhitam  BrP_178.184d
pràpya siddhiü gatàn çùãn  BrP_240.79b
pràpyà yà nikhilair makhaiþ  BrP_171.7b
pràpyàvabhçtham apy agryaü  BrP_9.17a
pràpyeha sa bhiùakkriyaþ  BrP_11.38b
pràpsyate manasaþ priyàn  BrP_136.34b
pràpsyanti dhanyàþ khalu te manuùyà  BrP_19.27c
pràpsyanti nirupaskçtàþ  BrP_231.53d
pràpsyanti vyàhatasukhaü  BrP_230.26c
pràpsyanti hràsam àyuùaþ  BrP_231.44d
pràpsyasi tvaü tadà raõam  BrP_206.3d
pràpsyasi tvaü na saü÷ayaþ  BrP_213.58d
pràpsyasi paramàü gatim  BrP_51.26d
pràpsyase nàtra saü÷ayaþ  BrP_110.114d
pràpsyase priyakçn mama  BrP_87.64d
pràpsyase vada kalyàõaü  BrP_110.165c
pràpsyase sarvakàmàü÷ ca  BrP_90.33a
pràpsyàmaþ saügaraü hitvà  BrP_106.5c
pràbalyam anayor bhuvi  BrP_170.29d
pràbravãc chva÷uraü gurum  BrP_144.8f
pràyacchat sa tu viprebhyo  BrP_47.83c
pràya÷o nàtimàninaþ  BrP_221.106b
pràya÷o 'mã prakãrtitàþ  BrP_27.42d
pràya÷o 'lpajalà÷ayaþ  BrP_36.118b
pràya÷cittakriyà kalau  BrP_230.13d
pràya÷cittanakho ghoraþ  BrP_213.35c
pràya÷cittaparàïmukhaþ  BrP_22.34d
pràya÷cittaü tata÷ caret  BrP_220.201b
pràya÷cittaü tu tasyaikaü  BrP_22.38c
pràya÷cittaü na tasyàsti  BrP_130.13a
pràya÷cittàni yad yathà  BrP_22.35b
pràya÷cittàni vàrghyaü ca  BrP_213.17c
pràya÷cittàni viprendrà  BrP_22.36c
pràya÷cittàny a÷eùàõi  BrP_22.37a
pràyas tvaü pàpakàriùu  BrP_137.19b
pràyàc ca vyathito 'gastyàc  BrP_124.81c
pràyàc chvetagçhaü svayam  BrP_94.7b
pràyàt pårvàrõavaü prati  BrP_76.12d
pràyàt pårvàrõavaü prati  BrP_78.75b
pràyàt pårvàrõavaü prati  BrP_172.2d
pràyàt svapitaraü gurum  BrP_95.28b
pràyàd a÷vattharåpiõam  BrP_118.19b
pràyàd uttaïkasahito  BrP_7.74c
pràyàd yatra puråravàþ  BrP_101.8d
pràyàd vàrã÷varaü viùõuþ  BrP_129.23a
pràyànà÷akayor api  BrP_221.153b
pràyeõa haraõe doùàþ  BrP_217.115c
pràyo vçndàrako bhavet  BrP_170.80b
pràrabdha eva hi mayà  BrP_210.22c
pràrabdhe 'bhiùñutà ràj¤à  BrP_168.14a
pràrambham akarot tadà  BrP_47.1d
pràrambhaü ca karomy aham  BrP_46.30d
pràrambhà÷ càvasãdanti  BrP_230.46a
pràrthanà saphalà nàtha  BrP_94.34c
pràrthanàü tàü maõer baddhvà  BrP_16.28c
pràrthayanta÷ ca taü viprà  BrP_240.102a
pràrthayante bhavanta÷ cet  BrP_142.8e
pràrthayan dãrgham àyu÷ ca  BrP_220.151a
pràrthayan sumahad ya÷aþ  BrP_2.10d
pràrthayàm àsa cà÷iùam  BrP_219.87d
pràrthayitvà suvidyaü taü  BrP_107.40c
pràrthaye÷aü divàkaram  BrP_168.9b
pràrthitaü saüpratãha naþ  BrP_34.96d
pràrthitaü sumahad varam  BrP_13.162d
pràrthitaþ sumahàtapàþ  BrP_3.112b
pràrthitaþ soma evàdàv  BrP_174.13c
pràrthità bhuvam àpnuyàt  BrP_74.20b
pràrthità÷vàsitas tayà  BrP_228.140b
pràrthitau trida÷àrcitau  BrP_135.18b
pràleyacårõavarùibhyàü  BrP_36.90c
pràleyapañalacchannaiþ  BrP_36.93a
pràleyàdreþ samantataþ  BrP_36.119d
pràvartanta mahàkratån  BrP_83.5d
pràvartayat tadà ràjà  BrP_13.181c
pràvàdyanta tatas tatra  BrP_32.101c
pràvi÷ac cårõito 'bhavat  BrP_90.24d
pràvi÷at tan mahàraõyaü  BrP_123.118a
pràvi÷ad yatra sa dvijaþ  BrP_94.9b
pràvi÷ann anivàritàþ  BrP_168.16d
pràvçñkàla ivàbhåc ca  BrP_184.51a
pràvçñkàlavahàþ santi  BrP_27.41a
pràvçñkàlas tato 'tãva  BrP_184.57c
pràvçñkàle ca nabhasi  BrP_181.44a
pràvçñkàle 'mbujekùaõaþ  BrP_13.177d
pràvçóvyatãtà vikasat-  BrP_187.31c
pràvçõmeghapratãkà÷aü  BrP_51.13a
pràvçùãva balàhakaþ  BrP_187.16d
pràsatomarapàõayaþ  BrP_44.18b
pràsàdakaraõaü tathà  BrP_45.79d
pràsàda÷atasaübàdhaü  BrP_47.38a
pràsàdas tatra tiùñhet tu  BrP_45.57c
pràsàdaü kàrayàm àsa  BrP_43.17c
pràsàdaü caiva vi÷rutam  BrP_43.11b
pràsàdaü caiva vaiùõavam  BrP_47.20b
pràsàdaü vaiùõavaü tataþ  BrP_47.77d
pràsàdaü vaiùõavaü tathà  BrP_47.98f
pràsàdaü ÷ubhalakùaõam  BrP_59.28d
pràsàdàrthaü hares tatra  BrP_47.1c
pràsàde caiva nirmite  BrP_48.4b
pràsàde bhavanottame  BrP_51.54b
pràsàde bhuvanottame  BrP_43.19b
pràsàde bhuvanottame  BrP_45.82b
pràsàdair upa÷obhitam  BrP_41.15d
pràsàdaiþ samalaükçtà  BrP_43.28b
pràsàdopari saüsthitam  BrP_51.71b
pràsåta mohite jane  BrP_182.24d
pràha ko 'yaü tvayocyate  BrP_205.17b
pràha gacchasva satyena  BrP_228.39c
pràha gambhãranàdinã  BrP_201.21b
pràha càõåramuùñikau  BrP_193.17d
pràha cintàparo bhåtvà  BrP_108.21c
pràha cedaü parasparam  BrP_192.13d
pràha cainàm alaü caõói  BrP_203.70c
pràha j¤àto bhavàn viùõor  BrP_196.25c
pràha taü nandagopa÷ ca  BrP_187.34c
pràha taü brahmaràkùasaþ  BrP_228.68f
pràha dàmodaras tadà  BrP_187.41d
pràha daityà ime iti  BrP_168.19b
pràha brahmà sure÷varaþ  BrP_26.37b
pràha bhadra kva gacchasi  BrP_228.44b
pràha bhadre na gçhõàmi  BrP_228.134c
pràha bhàsvàn vçõuùvaikaü  BrP_32.23c
pràha bhåyo gamiùyatha  BrP_212.85d
pràha macchàpam àditaþ  BrP_101.13b
pràha vàkyaü ÷anaiþ ÷anaiþ  BrP_185.43d
pràha vçddhàn mahàmatiþ  BrP_187.33d
pràha ÷ãghraü jagatpatiþ  BrP_136.33b
pràhasat te ca cukùubhuþ  BrP_100.28b
pràha sarvàn idaü vacaþ  BrP_74.74d
pràha sarvàn mahàsuràn  BrP_183.1b
pràha sà lalitaü kubjà  BrP_193.3c
pràha svargasadomadhye  BrP_21.6a
pràhàbhãràn hasann iva  BrP_212.18f
pràhàsau ÷akañaü bhokùye  BrP_228.118a
pràhur avyaktagocaràt  BrP_245.26b
pràhur yoganidar÷anam  BrP_244.48d
pràhedaü patitau bhuvi  BrP_166.7d
pràhedaü vacanaü prãtyà  BrP_170.6c
pràhedaü vacanaü ÷ubham  BrP_168.28d
pràhendrasya paràbhavam  BrP_129.23d
pràhendraü pramatis tadvan  BrP_171.9c
pràhendraü vinayànvità  BrP_129.49b
pràhe÷aþ sarvabhåtànàm  BrP_197.1c
pràhocca÷abdaü vriyatàü dvijàte  BrP_229.39c
pràhoccai ràmake÷avau  BrP_192.72d
pràhoccair vyàyatàn naràn  BrP_193.68d
pràhoccais taü jitaü mayà  BrP_201.19b
pràhotphullavilocanà  BrP_189.27d
pràü÷um uttuïgabàhuü ca  BrP_191.24a
pràü÷å riùña÷ ca saptamaþ  BrP_7.2b
pràü÷or eko 'bhavat putraþ  BrP_7.26c
priya ity api kathyate  BrP_160.22d
priyaïgutagaràrjunaiþ  BrP_68.7b
priyaïgubhis tathàrghayet  BrP_220.155b
priyaïguvañakhàdiraiþ  BrP_44.58b
priyaïgå÷ cåtatarava÷  BrP_36.97a
priyadar÷às tathà cànye  BrP_224.43c
priyaputràv ekaputrau  BrP_35.38a
priyaputrai÷ càtakai÷ ca  BrP_42.23a
priyaputrai÷ càtakai÷ ca  BrP_178.39a
priyaputraiþ ÷ukais tathà  BrP_41.45d
priyayà ca purodhasaþ  BrP_138.18b
priyayàntaþ praviùño 'si  BrP_87.48c
priyavàdaratà÷ ca ye  BrP_214.113b
priyavàdaratà÷ ca ye  BrP_214*.113b
priyavratottànapàdau  BrP_2.5c
priya÷ càsãc chatakratoþ  BrP_171.46d
priyaü cocur divaukasaþ  BrP_98.8d
priyaü yan manasi sthitam  BrP_108.66b
priyaü syàt surapåjita  BrP_124.114d
priyaþ kakùãvataþ sutaþ  BrP_99.2b
priyàõàm ucitàgame  BrP_123.33b
priyàõy anekàny avadan  BrP_197.11a
priyà tu somasya mahàsukãrtiþ  BrP_75.17d
priyànuyuktaþ saüvçtaþ premavadbhiþ  BrP_157.17b
priyàn kàmàn avàpsyasi  BrP_128.42d
priyàn pràõàn devavipràrthahetos  BrP_110.64c
priyàyà guõakãrtanam  BrP_80.29d
priyàyàs tanayà nçpàþ  BrP_5.50d
priyà ràj¤o va÷e sthitàþ  BrP_123.86b
priyàrthaü tasya nçpater  BrP_47.42a
priyà ÷aübhor mahàmate  BrP_74.8d
priyàü tadovàca mahàtriputraþ  BrP_140.10d
priyàü bhàryàü svakaü padam  BrP_108.84b
priyàü vai parameùñhine  BrP_3.14d
priyàü÷ ca manasepsitàn  BrP_175.47b
priye ahalye bhavati  BrP_87.50c
priye càïgena te ÷ape  BrP_129.102b
priyepsuþ sa ÷atakratuþ  BrP_87.42b
priye vai jàtavedasi  BrP_98.5b
priyeùu mànoddhatamànasànàü  BrP_36.74a
priyo dharmaþ sanàtanaþ  BrP_133.9b
prãõayanti manuùyàõàü  BrP_220.119a
prãõayàvaþ svakarmabhiþ  BrP_4.63d
prãõayitvà paràvçtya  BrP_219.80a
prãõàty amçtasaümitam  BrP_18.6d
prãtaye hy anulepanam  BrP_193.5b
prãtaþ provàca bhagavàn  BrP_56.1c
prãtaþ provàca màdhavaþ  BrP_178.178b
prãtaþ san manasepsitam  BrP_73.54d
prãtaþ saüsmçtya pauràõãü  BrP_229.30c
prãtà babhåvuþ saühçùñà  BrP_179.1c
prãtà 'stu girijà mama  BrP_74.87b
prãtàs te kukkuràndhakàþ  BrP_210.38b
prãtàþ procuþ punaþ punaþ  BrP_120.7d
prãtàþ sarve 'suràrayaþ  BrP_106.42b
prãtàþ sumanaso 'bhavan  BrP_178.60d
prãtibhedaþ kçto na ca  BrP_214.36b
prãtibhedaþ kçto na ca  BrP_214*.36b
prãtimantaü priyaü tathà  BrP_108.67d
prãtimanto 'bhavan mune  BrP_158.30b
prãtimàn agamat tatra  BrP_104.34a
prãtimàn atha taü dçùñvà  BrP_16.19a
prãtimàn abhavat kçùõaü  BrP_190.20c
prãtimàn abhavad ràjà  BrP_12.23c
prãtiyuktà gataklamà  BrP_38.12d
prãtiyukto bhaviùyati  BrP_226.48d
prãtir ya÷aþ saukhyam anàdidharmaþ  BrP_130.30c
prãtivistàritekùaõaiþ  BrP_188.19b
prãtivisphàritekùaõaþ  BrP_188.28d
prãti÷ ca kriyate yadi  BrP_142.7d
prãti÷ ca vadatàü vara  BrP_179.3d
prãti÷ càbhån mahàmune  BrP_106.2d
prãtiü vai cakratuþ surau  BrP_125.33d
prãtiþ kadàcid vaiùamyaü  BrP_165.29a
prãtiþ sastrãkumàrasya  BrP_189.7a
prãtena ca purodhasà  BrP_138.38b
prãto 'bhavat tatas tasya  BrP_213.46c
prãto 'bhavan mahe÷o 'pi  BrP_128.70a
prãto bhaven mahàdevaþ  BrP_110.95a
prãto bhogaü pradàsyati  BrP_82.10d
prãto 'si yadi me nàtha  BrP_51.18a
prãto 'smi tava bhaktasya  BrP_213.52a
prãto 'haü te nçpa÷reùñha  BrP_51.7a
prãtau svo varavarõini  BrP_7.12d
prãtyarthaü dhàraye÷ànaü  BrP_182.8c
prãtyarthaü munisattamàþ  BrP_17.34d
prãtyarthaü sarvasattvànàü  BrP_47.92c
prãtyà kauravanandanaþ  BrP_12.17d
prãtyà caivàrjitàn arthàn  BrP_106.6a
prãtyà provàca pàrvatã  BrP_81.2d
prãtyà yadi prasanno 'si  BrP_133.15a
prãtyà sa parayà devas  BrP_178.119a
prãtyà sapra÷rayaü kçùõaü  BrP_188.38c
prãtyà hariharàv evaü  BrP_135.18c
prãtyutphullamukhà vipràþ  BrP_187.55c
prãtyendràya nyavedayat  BrP_124.30d
prãyatàm iti devatàþ  BrP_219.79d
prãyatàü puruùottamaþ  BrP_67.48d
prãyante triùu lokeùu  BrP_220.145c
prãyante pitaras tasya  BrP_213.168c
prãyamàõaþ ÷atakratum  BrP_11.22b
prekùaõàlàpaku÷alàþ  BrP_41.34a
prekùaõàlàpaku÷alàþ  BrP_43.43c
prekùantaü nçtyam uttamam  BrP_140.6d
prekùantaþ kiü bhaved iti  BrP_78.31d
prekùasva pa÷càn màü bråhi  BrP_108.45a
prekùite càpi kiücana  BrP_74.58d
prekùya lajjàm upeyivàn  BrP_81.11d
pretakàryàõi cakrire  BrP_213.147d
pretatvàt pitçtàü gatàþ  BrP_220.66d
pretam uddi÷ya kartavyam  BrP_221.159a
pretaràjànam antarà  BrP_196.42d
pretàdhàraü kumàrakam  BrP_25.66d
pretàya salilaü deyaü  BrP_221.149c
pretàvàsakçtàlayaþ  BrP_39.52b
pretàsthicayanaü dvijaiþ  BrP_220.62d
pretãbhåtasya vidhivad  BrP_220.68c
pretãbhåtasya satataü  BrP_220.61c
pretãbhåtà niùiddhàs te  BrP_215.26c
pretãbhåtà yamàlayam  BrP_214.91b
pretãbhåtà yamàlayam  BrP_214*.91b
pretãbhåtà÷ ca ye naràþ  BrP_125.56b
pretya ca parikliùñeùu  BrP_217.44c
pretya càpy a÷nute sukham  BrP_218.27b
pretya càpy a÷nute sukham  BrP_218.31b
pretya jàtisahasràõi  BrP_245.48c
premagarbhabharàlasam  BrP_193.11b
premagarbhair agarvitaiþ  BrP_197.20b
premõà satràjid uttamam  BrP_16.23d
premõà spç÷ati kànteva  BrP_36.87c
premõaiva na tad asmàkaü  BrP_208.18c
prerayasvety abhàùata  BrP_74.14b
prerità devadevena  BrP_106.57c
prerità matsaràkulà  BrP_123.106d
preritendreõa menakà  BrP_147.6b
preùaõaü ca nagaryàü tàü  BrP_108.85a
preùaõaü tat prayacchaiùà  BrP_86.32c
preùayanti pitén putrà  BrP_231.38c
preùayàm àsa ce÷o 'pi  BrP_106.37a
preùayàm àsa tàü punaþ  BrP_111.46d
preùayàm àsur amarà  BrP_71.42a
preùayàm àsur avyagràþ  BrP_71.34c
preùayàm àsur udvàha-  BrP_208.39c
preùayitvà dhanànvitam  BrP_138.23b
preùitaü cakriõà cakraü  BrP_86.29a
preùità devadevena  BrP_39.72c
preùyavat karavàõi kim  BrP_74.37b
preùyàõàm apradàyàtha  BrP_221.59c
proktamàtram avàpya tau  BrP_194.23b
prokta÷ ca devaiþ saüsuptaü  BrP_196.22a
proktaü kùetraü sudurlabham  BrP_28.64d
proktaü dhçtau prãtiva÷àc chivena  BrP_108.108c
proktaü puràõaü bahudharmayuktam  BrP_175.78d
proktaü màtàmaha priyam  BrP_165.43b
proktaü ÷rutaü tathàsmàbhir  BrP_246.7a
proktaþ proktas tayà tanvyà  BrP_178.77c
proktà ca sà siddhir anàdikartuþ  BrP_75.22d
proktàni paramarùibhiþ  BrP_22.35d
proktà praõayabhaïgàrti-  BrP_178.78c
proktàþ kesaraparvatàþ  BrP_18.52b
prokto jahnugaõo mayà  BrP_10.68b
prokto jahnugaõo mayà  BrP_13.92b
prokto yathàvad àcaùña  BrP_212.42c
prokùaõaü praõavena tu  BrP_61.18b
prokùaõàt saücayasya ca  BrP_221.116d
prokùaõãyaü sruvaü caiva  BrP_179.30a
prokùaõãü dakùiõàyanam  BrP_213.15b
prokùayadhvaü samantataþ  BrP_168.20b
prokùitaü cauùadhàrthaü ca  BrP_221.112c
prokùitaü tad dhayaü nãtvà  BrP_78.15a
procur mahe÷varaü sarvàþ  BrP_112.17a
procu÷ ca ke÷avaü prãtyà  BrP_185.25c
procus tam itthaü vinayàvanamràþ  BrP_110.41d
procus te kà÷yapaü munim  BrP_100.4f
procus te 'bhiratàþ sma vai  BrP_219.85b
procus te ràkùasàþ suràn  BrP_116.6d
procus te ÷àntikàraõam  BrP_110.194d
procuþ serùyam athàparàþ  BrP_197.11d
procuþ svàrthakaraü vacaþ  BrP_219.92b
proccaiþ procur yathoditam  BrP_203.45b
procya taü vaiùõavaü jvaram  BrP_206.18b
procyate prakçtir hetuþ  BrP_233.34a
procyate yatisattamaiþ  BrP_243.77b
procyate yà mahàbalà  BrP_106.45b
procyate yo nato 'smi tam  BrP_191.15d
procyate yo manãùibhiþ  BrP_222.45b
procyase vedapàragaiþ  BrP_241.3b
procyete j¤ànacintakaiþ  BrP_244.12d
proddhatàn asuràn hanti  BrP_180.25c
prodbhàsayan sarvadi÷o vivasvàn  BrP_36.10d
prodvejayati caiva hi  BrP_225.32d
provàca kim idaü dåtà  BrP_94.7e
provàca tàü siddhavaraþ  BrP_228.114a
provàca duþkhasaütaptaþ  BrP_228.76c
provàca parayà prãtyà  BrP_45.21c
provàca pitaraü dvijàþ  BrP_6.25b
provàca praõato gaïgàü  BrP_85.17a
provàca prahasann iva  BrP_55.4d
provàca phalasådanaþ  BrP_178.17d
provàca brahmaràkùasaþ  BrP_228.63f
provàca brahmaràkùasaþ  BrP_228.72f
provàca bhagavàn vàkyaü  BrP_213.63c
provàca madhusådanaþ  BrP_178.119d
provàca muni÷àrdålàs  BrP_53.18e
provàca muni÷àrdålàs  BrP_53.41c
provàca ràjà hçùñàtmà  BrP_47.18c
provàca vacanaü viprà  BrP_35.61c
provàca vadatàü varaþ  BrP_104.22d
provàca vadatàü varà  BrP_167.26b
provàca vàyuü kàmaü ca  BrP_178.44c
provàca ÷a÷i÷ekharaþ  BrP_90.31f
provàca ÷aübhos tat kùetraü  BrP_41.9c
provàca satvaraü kruddho  BrP_133.5c
provàcàtha pitén viùõus  BrP_219.99a
provàcedaü kramàgatam  BrP_104.24b
provàcedaü punaþ punaþ  BrP_124.40f
provàcedaü ÷ubhodayam  BrP_128.50b
provàce÷aü jagatprabhum  BrP_90.8d
provàcoccais tvayà mattaþ  BrP_193.21c
prauóho 'pi ko 'tra jànàti  BrP_108.51e
plakùadvãpa udàhçtaþ  BrP_20.21b
plakùadvãpapramàõena  BrP_20.20a
plakùadvãpas tathà sthitaþ  BrP_20.1d
plakùadvãpaþ samàvçtaþ  BrP_20.20b
plakùadvãpàdike vipràþ  BrP_20.15a
plakùadvãpe 'py udàhçtaþ  BrP_20.2d
plakùadvãpe÷varasya vai  BrP_20.3b
plakùadvãpe÷varà hi te  BrP_20.4d
plakùadvãpo dvijottamàþ  BrP_20.18d
plakùam evàbhyaùecayat  BrP_4.9d
plakùas tannàmasaüj¤o 'yaü  BrP_20.18c
plakùo vatsas tu vçkùàõàü  BrP_4.109a
plavamànam acetanam  BrP_55.4b
plavamàno vicetanaþ  BrP_53.39b
plavasaübhàrasaübhçtàþ  BrP_231.67b
plavai÷ ca jalakukkuñaiþ  BrP_43.62b
plavo matsyàn asaüskçtàn  BrP_217.87b
plàvayanti divaü dvijàþ  BrP_232.39d
plàvayantã gireþ ÷çïgaü  BrP_219.20c
plàvayantãndumaõóalam  BrP_18.38d
plàvayantã himàcalam  BrP_219.28d
plàvayanto jagat sarvaü  BrP_232.38c
plàvayantau di÷aþ sadà  BrP_36.89b
plàvayaüs tãrajàn gràmàn  BrP_209.9a
plàvayàm àsa tad vanam  BrP_198.11d
plàvayàm àsa tàü ÷ånyàü  BrP_212.9a
plàvayitvàkhilàü bhuvam  BrP_232.39b
plàvayethà madàj¤ayà  BrP_144.12d
plàvayeyaü jalais tathà  BrP_4.41b
phañkàràntaü samuddiùñaü  BrP_61.18c
phaõàmaõi÷ikhàruõà  BrP_21.22d
phaõàmaõisahasreõa  BrP_21.15c
phaõàvikañamastakam  BrP_57.25b
phaõàsahasramàlàóhyaü  BrP_192.36a
phaõair ànakadundubhim  BrP_182.21d
phalakaü paridhàna÷ ca  BrP_242.13c
phalagçhyànvitàsu ca  BrP_242.11d
phaladaü kãrtivardhanam  BrP_131.51b
phaladàtàpi tadvidham  BrP_173.20b
phaladàya namo 'stu te  BrP_109.34d
phaladàþ sarvajantuùu  BrP_219.103b
phalade puruùottame  BrP_178.1d
phalaniùpattir ucyate  BrP_173.15b
phalapiõyàkasaktukaiþ  BrP_58.19b
phalabhàgã bhaviùyasi  BrP_40.106d
phalabhàrànatair vçkùaiþ  BrP_41.44c
phalabhàrai÷ ca nàmitaiþ  BrP_45.12b
phalam atyantam icchatà  BrP_220.43b
phalam àhur manãùiõaþ  BrP_149.17b
phalam àhur maharùayaþ  BrP_234.26b
phalamålaghçtaudanaiþ  BrP_29.54d
phalamåladadhikùãra-  BrP_220.201c
phalavikrayiõa÷ caiva  BrP_44.31a
phalasaüpatsamanvitam  BrP_186.3b
phalasaüyogadàya ca  BrP_37.21d
phalasya dàne pratibhår jañãti  BrP_113.9c
phalasya dçùñasya tathà ÷rutasya  BrP_122.79d
phalahaüsakadambakàþ  BrP_36.121d
phalaü karmànusàrataþ  BrP_173.18d
phalaü kair iha varõyate  BrP_149.18d
phalaü ko vaktum ã÷varaþ  BrP_159.48b
phalaü tat tu na vidmahe  BrP_91.12d
phalaü tatra jagatpateþ  BrP_67.9d
phalaü tathàlpasàraü ca  BrP_230.51c
phalaü tadanurodhena  BrP_165.24c
phalaü tad iha bhokùyatha  BrP_216.71d
phalaü tàlataråõàü ca  BrP_220.197c
phalaü te pràpnuvanti vai  BrP_41.59b
phalaü dadàti phalinàü  BrP_173.20c
phalaü da÷aguõaü labhet  BrP_58.71b
phalaü da÷aguõaü labhet  BrP_176.58d
phalaü dàsyati karmiõaþ  BrP_129.59b
phalaü dàsyanti bhàvataþ  BrP_173.17b
phalaü nçpatisattama  BrP_123.155b
phalaü pattraü nçõàü vàpi  BrP_215.134c
phalaü paramadurlabham  BrP_27.73b
phalaü puõyasya karmaõaþ  BrP_65.97d
phalaü pårvoditaü labhet  BrP_43.83b
phalaü pràptaü bhaviùyati  BrP_110.178b
phalaü pràpnoti càdhikam  BrP_57.18b
phalaü pràpnoti càdhikam  BrP_64.2d
phalaü pràpnoti càdhikam  BrP_66.19d
phalaü pràpnoti càdhikam  BrP_177.9d
phalaü pràpnoti durlabham  BrP_63.20b
phalaü pràpnoti puùkalam  BrP_131.44d
phalaü pràpnoti mànavaþ  BrP_28.49b
phalaü pràpnoti mànavaþ  BrP_43.70d
phalaü pràpnoti mànavaþ  BrP_57.9d
phalaü pràpnoti mànavaþ  BrP_62.4d
phalaü pràpnoti mànavaþ  BrP_63.5d
phalaü pràpnoti vai dvijàþ  BrP_57.41d
phalaü pràpsyasy a÷eùeõa  BrP_148.20c
phalaü bråhi pçthak pçthak  BrP_67.1b
phalaü bhavati tàdç÷am  BrP_136.20b
phalaü bhavati puùkalam  BrP_40.110d
phalaü màhàtmyam eva ca  BrP_79.3b
phalaü yat samudàhçtam  BrP_65.71b
phalaü yasmàt prayacchati  BrP_58.7d
phalaü yasya yad ãpsitam  BrP_66.12b
phalaü và målakaü hçtvà  BrP_217.88a
phalaü viùõor mahàmune  BrP_228.6b
phalaü sarvàbhivà¤chitam  BrP_27.76b
phalaü sahasraguõitam  BrP_62.12a
phalaü snànàd avàpyate  BrP_83.29d
phalaü syàd yad yad ãpsitam  BrP_58.6d
phalaü hantàraü rakùasàm  BrP_73.29b
phalàdàne 'bruvan vacaþ  BrP_186.3d
phalàni ca nivedayet  BrP_67.27d
phalàni pa÷ya tàlànàü  BrP_186.5a
phalàni vividhàni ca  BrP_173.10b
phalàni vividhàny à÷u  BrP_173.24a
phalàni svecchayà yathà  BrP_227.9b
phalàhàras tathaiva ca  BrP_242.17b
phalepsånàü phalaü dàtà  BrP_175.58a
phale yadi pravartate  BrP_173.20d
phalaiþ snàtvà tu màü pa÷yet  BrP_124.127a
phàlgunaþ kànanà÷rayam  BrP_212.35b
phàlgunena samaü vibhuþ  BrP_210.2b
phàlgunyàü prayato bhåtvà  BrP_63.18c
phàlgunyàü viùuve tathà  BrP_67.3b
phullàravindàyatapattranetra  BrP_246.11b
phullà÷okalatàs tatra  BrP_36.99a
phullendãvarapattràbhaü  BrP_182.12a
phåtkàraravabhãùaõaiþ  BrP_214.64b
phåtkàraravabhãùaõaiþ  BrP_214*.64b
phåtkçtya phåtkçtya ca roditi sma  BrP_229.80b
phetkàraravasaüyuktam  BrP_215.3a
phenaråpàs tadàmbhasi  BrP_82.5d
phenas tasya suto 'bhavat  BrP_13.28b
phenasya sutapà jaj¤e  BrP_13.28c
phenàyà÷ caiva gaïgàyàs  BrP_129.95a
phenàyàþ saügamo yatra  BrP_129.1c
phenàsaügamam àkhyàtaü  BrP_84.20a
phenenendro 'harac chiraþ  BrP_129.4d
phenenaivàhanad ripum  BrP_124.36b
bakulà÷ ca nitambeùu  BrP_36.123a
bakulair nàgakesaraiþ  BrP_28.12d
bakulair nàgakesaraiþ  BrP_43.46b
bakulair nàgakesaraiþ  BrP_44.55d
bakulair nàgakesaraiþ  BrP_68.6d
bakulair bahuvàrakaiþ  BrP_44.56d
